wave_A,ep_eV,loggf,term_low,term_up,level_low,level_up,label_low,label_up,flag_low,flag_up,reason_low,reason_up,nlte
6690.92,3.422,-4.097,b3G,z5G*,16,48,b3G,z5G*,c,c,label,label,True
6692.443,3.847,-4.259,b3D,y3F*,20,62,b3D,y3F*,c,c,label,label,True
6694.075,4.096,-3.637,b3F,u5F*,26,78,b3F,u5F*,c,c,label,label,True
6700.81,4.855,-3.636,b1G,v3G*,41,121,b1G,v3G*,c,c,label,label,True
6701.42,3.422,-5.077,b3G,z5G*,16,48,b3G,z5G*,c,c,label,label,True
6701.492,3.966,-5.301,a1G,z3G*,24,67,a1G,z3G*,c,c,label,label,True
6701.633,3.85,-1.692,b3D,y3F*,20,62,b3D,y3F*,c,c,label,label,True
6703.304,4.099,-4.177,b3F,u5F*,26,78,b3F,u5F*,c,c,label,label,True
6707.596,4.208,-2.625,c3D,x3D*,29,85,c3D,x3D*,c,c,label,label,True
6709.042,4.106,-4.707,b3F,u5F*,26,78,b3F,u5F*,c,c,label,label,True
6713.409,3.966,-5.167,a1G,u5P*,24,68,a1G,u5P*,c,c,label,label,True
6715.471,4.175,-0.87,z5D*,f5D,27,84,z5D*,f5D,c,c,label,label,True
6719.542,2.142,-11.95,3H,1D2*,0,0,none,none,x,x,label-absent->energy-route-disabled,label-absent->energy-route-disabled,False
6719.556,4.096,-3.473,b3F,u5F*,26,78,b3F,u5F*,c,c,label,label,True
6721.328,3.395,-3.188,z7D*,e7D,15,46,z7D*,e7D,c,c,label,label,True
6721.935,4.106,-2.557,b3F,u5F*,26,78,b3F,u5F*,c,c,label,label,True
6722.096,3.395,-2.872,z7D*,e7D,15,46,z7D*,e7D,c,c,label,label,True
6722.611,3.395,-2.865,z7D*,e7D,15,46,z7D*,e7D,c,c,label,label,True
6724.68,4.389,-2.927,c5D,w3D*,31,98,c5D,w3D*,c,c,label,label,True
6727.02,4.106,-3.302,b3F,u5F*,26,78,b3F,u5F*,c,c,label,label,True
6727.163,3.435,-3.932,b3G,z5G*,16,48,b3G,z5G*,c,c,label,label,True
6728.854,4.099,-3.101,b3F,u5F*,26,78,b3F,u5F*,c,c,label,label,True
6729.733,4.389,-0.56,c5D,s5F*,31,96,c5D,s5F*,c,c,label,label,True
6729.821,4.44,-5.155,c3F,u5D*,32,99,c3F,u5D*,c,c,label,label,True
6733.456,4.44,-4.332,c3F,u5D*,32,99,c3F,u5D*,c,c,label,label,True
6734.2,4.193,-0.957,z5D*,f5D,27,84,z5D*,f5D,c,c,label,label,True
6737.817,4.096,-2.957,b3F,u5F*,26,78,b3F,u5F*,c,c,label,label,True
6738.969,3.435,-9.543,b3G,z5G*,16,48,b3G,z5G*,c,c,label,label,True
6740.911,4.616,-5.473,c3G,t5D*,37,105,c3G,t5D*,c,c,label,label,True
6743.125,4.613,-4.611,c3G,t5D*,37,105,c3G,t5D*,c,c,label,label,True
6744.13,4.535,-3.195,d3F,z1H*,35,103,d3F,z1H*,c,c,label,label,True
6746.174,3.888,-2.576,a5F,y3D*,23,63,a5F,y3D*,c,c,label,label,True
6746.601,2.987,-3.3,a3P,z3D*,7,40,a3P,z3D*,c,c,label,label,True
6749.15,4.389,-1.05,c5D,s5F*,31,96,c5D,s5F*,c,c,label,label,True
6750.322,3.889,-2.509,a5F,y3D*,23,63,a5F,y3D*,c,c,label,label,True
6751.881,4.613,-5.054,c3G,t5D*,37,105,c3G,t5D*,c,c,label,label,True
6752.241,4.099,-3.508,b3F,v5D*,26,76,b3F,v5D*,c,c,label,label,True
6753.727,3.375,-5.937,b3P,z5H*,14,45,b3P,z5H*,c,c,label,label,True
6755.336,4.389,-2.788,c5D,7P*,31,0,c5D,none,c,x,label,label-absent->energy-route-disabled,False
6756.476,3.89,-2.222,a5F,y3D*,23,63,a5F,y3D*,c,c,label,label,True
6759.948,3.449,-4.797,b3G,z5G*,16,48,b3G,z5G*,c,c,label,label,True
6760.57,4.618,-5.58,c3G,t5D*,37,105,c3G,t5D*,c,c,label,label,True
