wave_A,ep_eV,loggf,term_low,term_up,level_low,level_up,label_low,label_up,flag_low,flag_up,reason_low,reason_up,nlte
4670.4,5.871,-2.553,d2D,z2F*,178,208,d2D,z2F*,c,c,label,label,True
4670.511,11.65,-5.273,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4670.54,11.65,-3.285,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4671.354,5.662,-2.809,c2D,y4F*,176,201,c2D,y4F*,c,c,label,label,True
4678.916,4.143,-4.978,b4G,z4D*,162,186,b4G,z4D*,c,c,label,label,True
4679.891,3.758,-5.34,b4P,z4F*,157,183,b4P,z4F*,c,c,label,label,True
4684.753,5.67,-2.345,c2D,y4F*,176,201,c2D,y4F*,c,c,label,label,True
4690.081,11.688,-1.045,x6D*,6D,269,0,x6D*,none,c,x,label,label-absent->energy-route-disabled,False
4690.202,1.526,-12.02,a6D,b4G*,150,0,a6D,none,c,x,label,label-absent->energy-route-disabled,False
4690.202,1.526,-10.93,a6D,b4G*,150,0,a6D,none,c,x,label,label-absent->energy-route-disabled,False
4695.762,7.331,-2.263,b2P,w2D*,189,230,b2P,w2D*,c,c,label,label,True
4697.598,5.67,-1.584,c2D,y4F*,176,201,c2D,y4F*,c,c,label,label,True
4698.66,3.758,-5.436,b4P,z4F*,157,183,b4P,z4F*,c,c,label,label,True
4700.01,8.147,-5.11,z4G*,e6G,195,243,z4G*,e6G,c,c,label,label,True
4700.104,1.506,-12.86,a6D,b4G*,150,0,a6D,none,c,x,label,label-absent->energy-route-disabled,False
4700.104,1.506,-11.05,a6D,b4G*,150,0,a6D,none,c,x,label,label-absent->energy-route-disabled,False
4700.151,11.135,-2.48,f4D,4D*,251,0,f4D,none,c,x,label,label-absent->energy-route-disabled,False
4700.288,10.476,-2.437,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4700.356,4.168,-10.8,b4G,d4F*,162,0,b4G,none,c,x,label,label-absent->energy-route-disabled,False
4700.356,4.168,-8.697,b4G,d4F*,162,0,b4G,none,c,x,label,label-absent->energy-route-disabled,False
4701.608,4.156,-3.572,b4G,z4D*,162,186,b4G,z4D*,c,c,label,label,True
4709.242,5.871,-3.528,d2D,z2F*,178,208,d2D,z2F*,c,c,label,label,True
4709.832,11.748,-4.714,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4709.881,11.748,-4.808,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4710.027,11.682,-5.49,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4710.782,6.578,-2.74,c4F,w4F*,185,219,c4F,w4F*,c,c,label,label,True
4713.258,5.874,-2.517,d2D,z2F*,178,208,d2D,z2F*,c,c,label,label,True
4713.965,4.143,-3.647,b4G,z4D*,162,186,b4G,z4D*,c,c,label,label,True
4715.092,5.662,-2.31,c2D,z2P*,176,200,c2D,z2P*,c,c,label,label,True
4719.716,10.476,-3.57,,,0,0,none,none,x,x,no-label->energy-route-disabled,no-label->energy-route-disabled,False
4719.796,4.761,-12.01,c4D,e2F*,168,0,c4D,none,c,x,label,label-absent->energy-route-disabled,False
4719.981,8.416,-5.42,x4D*,e4G,205,250,x4D*,e4G,c,c,label,label,True
4720.021,3.858,-11.96,a4F,d2G*,158,0,a4F,none,c,x,label,label-absent->energy-route-disabled,False
4720.021,3.858,-9.979,a4F,d2G*,158,0,a4F,none,c,x,label,label-absent->energy-route-disabled,False
4720.066,10.754,-9.125,e6G,q2G*,243,336,e6G,q2G*,c,c,label,label,True
4723.339,4.168,-2.784,b4G,z4D*,162,186,b4G,z4D*,c,c,label,label,True
4723.538,6.487,-3.332,d2G,w4D*,184,217,d2G,w4D*,c,c,label,label,True
4726.233,6.605,-3.276,c4F,w4F*,185,219,c4F,w4F*,c,c,label,label,True
4729.413,6.484,-4.066,d2G,w4D*,184,217,d2G,w4D*,c,c,label,label,True
