wavelength_obs_A	wavelength_ritz_A	fik	gi	aki_s-1	nist_grade	ref_transition_probability	ref_line	ei_ek_raw	ei_eV	log_gf	nist_acc_pct	wavelength_A
	56099.3	0.0166	4.0	35100.0	C	u18,LS		13.017878   -   13.2388265	13.017878	-1.1778319206319825	25.0	56099.3
	56343.0	0.0206	2.0	43300.0	C	u18,LS		13.016403   -   13.2363957	13.016403	-1.3851027839668655	25.0	56343.0
	56489.0	0.0096	6.0	30100.0	C	u18,LS		13.019401   -   13.2388265	13.019401	-1.239577516576788	25.0	56489.0
	56625.5	0.11	2.0	114000.0	C	u18,LS		13.7800461  -   13.9989413	13.7800461	-0.6575773191777937	25.0	56625.5
	56723.0	0.0102	4.0	42400.0	C	u18,LS		13.017878   -   13.2363957	13.017878	-1.38933983691012	25.0	56723.0
	56773.0	0.109	2.0	226000.0	C	u18,LS		13.7800461  -   13.99837	13.7800461	-0.6615435063953952	25.0	56773.0
	57152.5	0.0482	4.0	98400.0	D+	u18,LS		13.6511356  -   13.8680121	13.6511356	-0.714892970433188	40.0	57152.5
	57236.5	0.536	2.0	1090000.0	D+	u18,LS		13.7697973  -   13.9863558	13.7697973	0.03019478535675124	40.0	57236.5
	57275.5	0.076	4.0	103000.0	C	u18,LS		13.7827230  -   13.9991340	13.782723	-0.5171264163912462	25.0	57275.5
	57326.5	0.0868	4.0	176000.0	C	u18,LS		13.7827230  -   13.9989413	13.782723	-0.4594202834955457	25.0	57326.5
	57451.4	1.06	2.0	1070000.0	D+	u18,LS		13.7697973  -   13.9855454	13.7697973	0.32633586092875144	40.0	57451.4
	57477.0	0.054	4.0	218000.0	C	u18,LS		13.7827230  -   13.99837	13.782723	-0.6655462488490691	25.0	57477.0
	57703.1	0.862	4.0	1150000.0	C	u18,LS		13.7886883  -   14.0034956	13.7886883	0.5375672571526752	25.0	57703.1
	57847.7	0.955	2.0	951000.0	C	u18,LS		13.7869000  -   14.0011704	13.7869	0.28103336724772754	25.0	57847.7
	57898.0	0.0357	2.0	70900.0	D+	u18,LS		13.7800461  -   13.994130	13.7800461	-1.1463017882238256	40.0	57898.0
	58334.5	0.0949	4.0	186000.0	C	u18,LS		13.7886883  -   14.0011704	13.7886883	-0.42067379624474494	25.0	58334.5
	58564.2	0.0403	6.0	58800.0	C	u18,LS		13.7875408  -   13.9991896	13.7875408	-0.6165437034752469	25.0	58564.2
	58579.6	0.121	6.0	236000.0	C	u18,LS		13.7875408  -   13.9991340	13.7875408	-0.1390633792999063	25.0	58579.6
	58631.0	0.0176	4.0	68300.0	D+	u18,LS		13.7827230  -   13.994130	13.782723	-1.1524273408578878	40.0	58631.0
	58633.0	0.0495	6.0	144000.0	C	u18,LS		13.7875408  -   13.9989413	13.7875408	-0.5272435506827876	25.0	58633.0
	59000.0	0.007	2.0	6700.0	D+	u18,LS		13.7800461  -   13.990131	13.7800461	-1.853871964321762	40.0	59000.0
	59185.8	0.172	2.0	164000.0	D+	u18,LS		13.6149817  -   13.8244077	13.6149817	-0.46344155742846993	40.0	59185.8
	59313.3	0.134	4.0	169000.0	D+	u18,LS		13.6655516  -   13.8745272	13.6655516	-0.27083521030722996	40.0	59313.3
	59761.0	0.0221	4.0	41300.0	D+	u18,LS		13.7827230  -   13.990131	13.782723	-1.0535477349869269	40.0	59761.0
	60249.9	0.00206	4.0	2520.0	D+	u18,LS		13.7827230  -   13.9884501	13.782723	-2.0840727883028842	40.0	60249.9
	60582.0	0.176	8.0	319000.0	C	u18,LS		13.7945902  -   13.9991896	13.7945902	0.1486026548060934	25.0	60582.0
	60598.5	0.0292	8.0	70700.0	C	u18,LS		13.7945902  -   13.9991340	13.7945902	-0.6315271615596382	25.0	60598.5
	60779.3	0.167	4.0	302000.0	D+	u18,LS		13.6204726  -   13.8244077	13.6204726	-0.1752235375244543	40.0	60779.3
	61052.8	0.559	2.0	500000.0	C	u18,LS		13.7959196  -   13.9989413	13.7959196	0.04844180355040453	25.0	61052.8
	61183.0	0.0283	6.0	75700.0	D+	u18,LS		13.7875408  -   13.990131	13.7875408	-0.7700623140920662	40.0	61183.0
	61222.0	0.0144	4.0	25600.0	D+	u18,LS		13.6655516  -   13.8680121	13.6655516	-1.239577516576788	40.0	61222.0
	61224.0	0.558	2.0	993000.0	C	u18,LS		13.7959196  -   13.99837	13.7959196	0.04766419460155998	25.0	61224.0
	61522.2	0.7	4.0	822000.0	C	u18,LS		13.7976614  -   13.9991340	13.7976614	0.4471580313422192	25.0	61522.2
	61581.1	0.355	4.0	624000.0	C	u18,LS		13.7976614  -   13.9989413	13.7976614	0.15228834438305647	25.0	61581.1
	61694.7	0.012	6.0	21100.0	D+	u18,LS		13.7875408  -   13.9884501	13.7875408	-1.1426675035687315	40.0	61694.7
	61738.1	0.0125	6.0	21800.0	C	u18,LS		13.6737591  -   13.8745272	13.6737591	-1.1249387366083	25.0	61738.1
	61755.0	0.0552	4.0	193000.0	C	u18,LS		13.7976614  -   13.99837	13.7976614	-0.6560009309428387	25.0	61755.0
	61849.1	1.22	2.0	1060000.0	C	u18,LS		13.7800461  -   13.9804540	13.7800461	0.3873898263387294	25.0	61849.1
	62144.3	0.0453	2.0	78200.0	D+	u18,LS		13.7869000  -   13.9863558	13.7869	-1.0428718023231869	40.0	62144.3
	62176.8	0.141	2.0	122000.0	D+	u18,LS		13.6686606  -   13.8680121	13.6686606	-0.549750891680639	40.0	62176.8
	62397.8	0.0225	2.0	19300.0	D+	u18,LS		13.7869000  -   13.9855454	13.7869	-1.3467874862246563	40.0	62397.8
	62464.4	1.08	8.0	1470000.0	C	u18,LS		13.7945902  -   13.9930238	13.7945902	0.9365137424788933	25.0	62464.4
	62535.0	0.0435	2.0	74200.0	D+	u18,LS		13.7959196  -   13.994130	13.7959196	-1.0604807473813815	40.0	62535.0
	62672.3	0.963	4.0	1090000.0	C	u18,LS		13.7827230  -   13.9804985	13.782723	0.5856862784524969	25.0	62672.3
	62686.4	0.24	4.0	408000.0	C	u18,LS		13.7827230  -   13.9804540	13.782723	-0.017728766960431602	25.0	62686.4
	62706.5	0.0112	4.0	38100.0	D+	u18,LS		13.7886883  -   13.9863558	13.7886883	-1.348721986001856	40.0	62706.5
	62729.6	0.984	6.0	1250000.0	C	u18,LS		13.7875408  -   13.9851355	13.7875408	0.7711463488149851	25.0	62729.6
	62964.6	0.0559	4.0	94000.0	D+	u18,LS		13.7886883  -   13.9855454	13.7886883	-0.6505282007856144	40.0	62964.6
	63089.0	0.108	4.0	362000.0	D+	u18,LS		13.7976614  -   13.994130	13.7976614	-0.3645162531850879	40.0	63089.0
	63102.9	0.868	6.0	1090000.0	C	u18,LS		13.8027638  -   13.9991896	13.8027638	0.7166709755601356	25.0	63102.9
	63120.8	0.195	6.0	326000.0	C	u18,LS		13.8027638  -   13.9991340	13.8027638	0.06818586174616162	25.0	63120.8
	63182.8	0.0216	6.0	54200.0	C	u18,LS		13.8027638  -   13.9989413	13.8027638	-0.8873949984654255	25.0	63182.8
	63486.6	0.16	6.0	398000.0	D+	u18,LS		13.6291690  -   13.8244077	13.629169	-0.017728766960431602	40.0	63486.6
	63808.8	0.169	6.0	415000.0	C	u18,LS		13.6737591  -   13.8680121	13.6737591	0.006037954997317177	25.0	63808.8
	63822.0	0.214	2.0	175000.0	D+	u18,LS		13.7959196  -   13.990131	13.7959196	-0.368556230986828	40.0	63822.0
	63938.1	0.0387	8.0	84200.0	D+	u18,LS		13.7945902  -   13.9884501	13.7945902	-0.5091990479891451	40.0	63938.1
	64237.1	0.204	6.0	329000.0	C	u18,LS		13.7875408  -   13.9804985	13.7875408	0.08778141780954238	25.0	64237.1
	64251.9	0.0111	6.0	27000.0	C	u18,LS		13.7875408  -   13.9804540	13.7875408	-1.176525770829699	25.0	64251.9
	64400.0	0.0338	4.0	54400.0	D+	u18,LS		13.7976614  -   13.990131	13.7976614	-0.8690233083943829	40.0	64400.0
	64785.0	0.178	8.0	377000.0	C	u18,LS		13.6832014  -   13.8745272	13.6832014	0.15350998930083753	25.0	64785.0
	64967.4	0.113	4.0	119000.0	D+	u18,LS		13.7976614  -   13.9884501	13.7976614	-0.3448615651886179	40.0	64967.4
	65050.3	0.118	8.0	186000.0	C	u18,LS		13.7945902  -   13.9851355	13.7945902	-0.02502800570193105	25.0	65050.3
	66154.0	0.074	6.0	169000.0	D+	u18,LS		13.8027638  -   13.990131	13.8027638	-0.35261702988538024	40.0	66154.0
	66672.9	0.00585	8.0	11700.0	C	u18,LS		13.7945902  -   13.9804985	13.7945902	-1.329754146925876	25.0	66672.9
	66752.6	0.171	6.0	256000.0	D+	u18,LS		13.8027638  -   13.9884501	13.8027638	0.011147360775797479	40.0	66752.6
	67851.2	0.631	2.0	457000.0	D+	u18,LS		13.6149817  -   13.7976614	13.6149817	0.10105935490811552	40.0	67851.2
	67995.8	0.34	4.0	327000.0	D+	u18,LS		13.6204726  -   13.8027638	13.6204726	0.13353890837021754	40.0	67995.8
	68504.4	0.125	2.0	178000.0	D+	u18,LS		13.6149817  -   13.7959196	13.6149817	-0.6020599913279624	40.0	68504.4
	68541.3	0.00488	4.0	4620.0	C	u18,LS		13.6936867  -   13.8745272	13.6936867	-1.709520186669327	25.0	68541.3
	69649.7	0.0449	6.0	61700.0	C	u18,LS		13.6965647  -   13.8745272	13.6965647	-0.5696024086130331	25.0	69649.7
	69953.9	0.0984	4.0	134000.0	D+	u18,LS		13.6204726  -   13.7976614	13.6204726	-0.40494491024069607	40.0	69953.9
	70648.3	0.303	4.0	810000.0	D+	u18,LS		13.6204726  -   13.7959196	13.6204726	0.0835026198302674	40.0	70648.3
	71102.9	0.0424	4.0	55900.0	C	u18,LS		13.6936867  -   13.8680121	13.6936867	-0.770574152079305	25.0	71102.9
	71402.1	0.504	6.0	659000.0	D+	u18,LS		13.6291690  -   13.8027638	13.629169	0.4805817868291689	40.0	71402.1
	72296.4	0.00309	6.0	5910.0	C	u18,LS		13.6965647  -   13.8680121	13.6965647	-1.7318902701915218	25.0	72296.4
	73031.0	0.29	4.0	726000.0	D+	T5723LS		13.8244077  -   13.994130	13.8244077	0.06445798922691845	40.0	73031.0
	73564.4	0.209	6.0	387000.0	D+	u18,LS		13.6291690  -   13.7976614	13.629169	0.09829753649469763	40.0	73564.4
	73893.8	0.509	2.0	311000.0	D+	u18,LS		13.6149817  -   13.7827230	13.6149817	0.007747778000739948	40.0	73893.8
	74191.5	0.639	4.0	516000.0	D+	u18,LS		13.6204726  -   13.7875408	13.6204726	0.40756084948636256	40.0	74191.5
	74793.0	0.567	4.0	676000.0	D+	T5723LS		13.8244077  -   13.990131	13.8244077	0.35564305022086895	40.0	74793.0
	74930.2	0.803	6.0	715000.0	D+	u18,LS		13.6291690  -   13.7945902	13.629169	0.6828667956623247	40.0	74930.2
	75092.2	0.501	2.0	592000.0	D+	u18,LS		13.6149817  -   13.7800461	13.6149817	0.0008677215312269133	40.0	75092.2
	75560.0	0.843	4.0	656000.0	D+	T5723LS		13.8244077  -   13.9884501	13.8244077	0.5278875659527047	40.0	75560.0
	76394.5	0.315	4.0	360000.0	D+	u18,LS		13.6204726  -   13.7827230	13.6204726	0.10037054511756291	40.0	76394.5
	77676.1	0.0484	4.0	107000.0	D+	u18,LS		13.6204726  -   13.7800461	13.6204726	-0.7130946470276252	40.0	77676.1
	78265.4	0.173	6.0	188000.0	D+	u18,LS		13.6291690  -   13.7875408	13.629169	0.016197353512438967	40.0	78265.4
	80721.0	0.0186	6.0	28600.0	D+	u18,LS		13.6291690  -   13.7827230	13.629169	-0.9523358053984401	40.0	80721.0
	83214.0	0.28	6.0	404000.0	D+	u18,LS		13.6754539  -   13.8244077	13.6754539	0.2253092817258629	40.0	83214.0
	84721.2	0.16	4.0	99300.0	D+	T5723LS		13.8244077  -   13.9707117	13.8244077	-0.1938200260161128	40.0	84721.2
	84819.9	0.275	4.0	255000.0	D+	u18,LS		13.6782741  -   13.8244077	13.6782741	0.04139268515822508	40.0	84819.9
	84898.9	0.191	2.0	88200.0	D+	u18,LS		13.6426905  -   13.7886883	13.6426905	-0.41793663708829126	40.0	84898.9
	85951.6	0.377	2.0	340000.0	D+	u18,LS		13.6426905  -   13.7869000	13.6426905	-0.12262865413022594	40.0	85951.6
	86830.6	0.269	2.0	119000.0	D+	u18,LS		13.6816580  -   13.8244077	13.681658	-0.2692177243336108	40.0	86830.6
	90111.2	0.449	4.0	369000.0	D+	u18,LS		13.6511356  -   13.7886883	13.6511356	0.2543063323312856	40.0	90111.2
	90208.2	0.1	4.0	82300.0	D+	T5723LS		13.8244077  -   13.9618125	13.8244077	-0.3979400086720376	40.0	90208.2
	91298.1	0.0888	4.0	142000.0	D+	u18,LS		13.6511356  -   13.7869000	13.6511356	-0.4495270428934366	40.0	91298.1
	91487.5	0.0192	4.0	10200.0	C	u18,LS		13.8680121  -   14.0034956	13.8680121	-1.114638779968488	25.0	91487.5
	93085.0	0.169	4.0	130000.0	C	u18,LS		13.8680121  -   14.0011704	13.8680121	-0.17005330405836405	25.0	93085.0
	93950.3	0.0482	4.0	72800.0	D+	T5723LS		13.8244077  -   13.9563396	13.8244077	-0.714892970433188	40.0	93950.3
	95350.4	0.00371	6.0	2040.0	C	u18,LS		13.6645956  -   13.7945902	13.6645956	-1.6524748400013105	25.0	95350.4
	96109.2	0.17	6.0	123000.0	C	u18,LS		13.8745272  -   14.0034956	13.8745272	0.00860017176191757	25.0	96109.2
	97361.1	0.0529	6.0	37200.0	D+	u18,LS		13.6754539  -   13.8027638	13.6754539	-0.4983930775811706	40.0	97361.1
	97516.8	0.0506	2.0	35500.0	D+	u18,LS		13.6426905  -   13.7697973	13.6426905	-0.9948194874962197	40.0	97516.8
	97873.7	0.012	6.0	12500.0	C	u18,LS		13.8745272  -   14.0011704	13.8745272	-1.1426675035687315	25.0	97873.7
	98632.8	0.0528	8.0	36200.0	C	u18,LS		13.6689216  -   13.7945902	13.6689216	-0.37427609047424415	25.0	98632.8
	99045.5	0.00737	4.0	3340.0	C	u18,LS		13.6623958  -   13.7875408	13.6623958	-1.5304725208129861	25.0	99045.5
	99566.8	0.0332	4.0	14900.0	D+	u18,LS		13.6782741  -   13.8027638	13.6782741	-0.8768019249680014	40.0	99566.8
	100660.9	0.00125	4.0	825.0	D+	u18,LS		13.6655516  -   13.7886883	13.6655516	-2.3010299956639813	40.0	100660.9
	100817.6	0.0883	6.0	57900.0	C	u18,LS		13.6645956  -   13.7875408	13.6645956	-0.27588804603878775	25.0	100817.6
	101426.2	0.0218	6.0	21200.0	D+	u18,LS		13.6754539  -   13.7976614	13.6754539	-0.8833922560117515	40.0	101426.2
	101430.4	0.93	6.0	452000.0	C	u18,LS		13.8745272  -   13.9967297	13.8745272	0.7466341989375788	25.0	101430.4
	102144.2	0.000247	4.0	316.0	D+	u18,LS		13.6655516  -   13.7869000	13.6655516	-3.0052430554123717	40.0	102144.2
	103011.2	0.0993	4.0	62400.0	C	u18,LS		13.6623958  -   13.7827230	13.6623958	-0.4009907601766564	25.0	103011.2
	103268.2	0.000489	2.0	153.0	D+	u18,LS		13.6686606  -   13.7886883	13.6686606	-3.0096611452123985	40.0	103268.2
	103822.2	0.00946	4.0	5850.0	D+	u18,LS		13.6782741  -   13.7976614	13.6782741	-1.422048872270245	40.0	103822.2
	104040.8	0.0485	6.0	22400.0	D+	u18,LS		13.6754539  -   13.7945902	13.6754539	-0.5361070110140926	40.0	104040.8
	104197.2	0.95	4.0	389000.0	C	u18,LS		13.8680121  -   13.9869696	13.8680121	0.5797835966168101	25.0	104197.2
	104394.9	0.35	10.0	268000.0	C	u18,LS		13.6758579  -   13.7945902	13.6758579	0.5440680443502757	25.0	104394.9
	104457.0	0.0472	4.0	57700.0	D+	u18,LS		13.6511356  -   13.7697973	13.6511356	-0.7239980100379498	40.0	104457.0
	104494.4	0.3	8.0	244000.0	C	u18,LS		13.6689216  -   13.7875408	13.6689216	0.38021124171160603	25.0	104494.4
	104737.7	0.123	4.0	150000.0	D+	u18,LS		13.8680121  -   13.9863558	13.8680121	-0.30803489723263966	40.0	104737.7
	104830.0	0.000964	2.0	585.0	D+	u18,LS		13.6686606  -   13.7869000	13.6686606	-2.714892970433188	40.0	104830.0
	104929.4	0.261	6.0	237000.0	C	u18,LS		13.6645956  -   13.7827230	13.6645956	0.1947917577219246	25.0	104929.4
	105355.0	0.243	4.0	292000.0	C	u18,LS		13.6623958  -   13.7800461	13.6623958	-0.012333735073725434	25.0	105355.0
	105359.2	0.0291	4.0	35000.0	D+	u18,LS		13.6782741  -   13.7959196	13.6782741	-0.9340470196861304	40.0	105359.2
	105459.8	0.0245	4.0	14700.0	D+	u18,LS		13.8680121  -   13.9855454	13.8680121	-1.0087739243075051	40.0	105459.8
	106850.7	0.0575	2.0	16800.0	D+	u18,LS		13.6816580  -   13.7976614	13.681658	-0.9393021596463883	40.0	106850.7
	107343.5	0.0133	4.0	5130.0	C	u18,LS		13.6872930  -   13.8027638	13.687293	-1.274088367704952	25.0	107343.5
	108027.0	0.0793	6.0	45300.0	C	u18,LS		13.6880236  -   13.8027638	13.6880236	-0.32257556229875256	25.0	108027.0
	108245.0	0.264	8.0	200000.0	C	u18,LS		13.6882547  -   13.8027638	13.6882547	0.32469391386177465	25.0	108245.0
	108479.5	0.0113	2.0	6410.0	D+	u18,LS		13.6816580  -   13.7959196	13.681658	-1.645891560852599	40.0	108479.5
