wavelength_obs_A	wavelength_ritz_A	fik	gi	aki_s-1	nist_grade	ref_transition_probability	ref_line	ei_ek_raw	ei_eV	log_gf	nist_acc_pct	wavelength_A
	2433.99	0.000114	3.0	128000.0	D	T5803		10.9887923  -   16.08112	10.9887923	-3.465973893943865	50.0	2433.99
	2434.03	0.000453	1.0	170000.0	C	T5803		10.9888811  -   16.08112	10.9888811	-3.343901797987168	25.0	2434.03
	2434.31	0.000344	3.0	232000.0	C	T5803		10.9887923  -   16.08044	10.9887923	-2.9863203027088074	25.0	2434.31
	2434.35	6.85e-05	5.0	77000.0	D	T5803		10.9888616  -   16.08044	10.9888616	-3.465339424171556	50.0	2434.35
	2434.65	0.00039	5.0	313000.0	C	T5803		10.9888616  -   16.07980	10.9888616	-2.709965388637482	25.0	2434.65
	2611.45	0.000212	5.0	148000.0	C	T5803		12.3588750  -   17.10517	12.358875	-2.9746941347352296	25.0	2611.45
	2611.45	0.000184	3.0	108000.0	D	T5803		12.3588649  -   17.10517	12.3588649	-3.258060922270801	50.0	2611.45
	2611.45	7.26e-05	5.0	71000.0	D	T5803		12.3588750  -   17.10517	12.358875	-3.4400933749638876	50.0	2611.45
	2611.45	9.79e-05	3.0	95700.0	D	T5803		12.3588649  -   17.10517	12.3588649	-3.5320960534771997	50.0	2611.45
	2611.47	0.000276	1.0	90000.0	D	T5803		12.3589072  -   17.10517	12.3589072	-3.5590909179347823	50.0	2611.47
	2799.85	0.00057	3.0	485000.0	C+	T5803		10.9887923  -   15.41574	10.9887923	-2.7670038896078464	18.0	2799.85
	2799.89	0.00057	5.0	808000.0	C+	T5803		10.9888616  -   15.41574	10.9888616	-2.54515513999149	18.0	2799.89
	2799.9	0.000568	1.0	161000.0	C	T5803		10.9888811  -   15.41574	10.9888811	-3.245651664288981	25.0	2799.9
	2805.53	0.000209	3.0	177000.0	C	T5803		10.9887923  -   15.40677	10.9887923	-3.2027324591692836	25.0	2805.53
	2805.57	8.36e-06	5.0	11800.0	D	T5803		10.9888616  -   15.40677	10.9888616	-4.3788237182249645	50.0	2805.57
	2805.58	0.000836	1.0	236000.0	C	T5803		10.9888811  -   15.40677	10.9888811	-3.0777937225609837	25.0	2805.58
	2806.02	0.000634	3.0	322000.0	C	T5803		10.9887923  -   15.40599	10.9887923	-2.720789487398605	25.0	2806.02
	2806.07	0.000126	5.0	107000.0	C	T5803		10.9888616  -   15.40599	10.9888616	-3.2006594505464183	25.0	2806.07
	2806.9	0.00072	5.0	435000.0	C	T5803		10.9888616  -   15.40468	10.9888616	-2.4436974992327127	25.0	2806.9
	2876.2948	0.000608	3.0	1470000.0	C	T5713LS		10.9887923  -   15.2980803	10.9887923	-2.7389751660076027	25.0	2876.2948
	2878.9312	0.000458	3.0	368000.0	C	T5713LS		10.9887923  -   15.2941343	10.9887923	-2.862013267276468	25.0	2878.9312
	2878.9776	0.000457	5.0	613000.0	C	T5713LS		10.9888616  -   15.2941343	10.9888616	-2.641113795594131	25.0	2878.9776
	2878.9906	0.00183	1.0	490000.0	C	T5713LS		10.9888811  -   15.2941343	10.9888811	-2.7375489102695707	25.0	2878.9906
	2883.8092	0.000761	3.0	366000.0	C	T5713LS		10.9887923  -   15.2868521	10.9887923	-2.6414940885097646	25.0	2883.8092
	2883.8557	0.00137	5.0	1100000.0	C+	T5713LS		10.9888616  -   15.2868521	10.9888616	-2.1643094285075746	18.0	2883.8557
	2958.365	6.35e-14	5.0	0.000242	C+	T4539,T5081		0.0000000  -    4.1897463	0.0	-12.498256270372005	18.0	2958.365
2972.29	2972.2861	3.33e-11	3.0	0.0754	B+	T4539,T5081	L3760	0.0196224  -    4.1897463	0.0196224	-10.000434511774017	7.0	2972.29
