wavelength_obs_A	wavelength_ritz_A	fik	gi	aki_s-1	nist_grade	ref_transition_probability	ref_line	ei_ek_raw	ei_eV	log_gf	nist_acc_pct	wavelength_A
4222.466	4222.467		7.0				L17684	7.945771557   -   10.881243	7.945771557			4222.466
4223.159	4223.152		3.0				L17684	7.94613476    -   10.881130	7.94613476			4223.159
4223.159	4223.172		5.0				L17684	7.94627046    -   10.881251	7.94627046			4223.159
4223.36	4223.361		5.0				L17684	7.94627046    -   10.881120	7.94627046			4223.36
4223.36	4223.347		5.0				L17684	7.94627046    -   10.881130	7.94627046			4223.36
4228.326	4228.3269		3.0				L17684	7.68476777    -   10.6161705	7.68476777			4228.326
	4246.448		5.0					1.2637284     -    4.1826219	1.2637284			4246.448
4269.0197	4269.0179	0.01	3.0	2100000.0	E	T9787	L12175c183	7.68476777    -   10.5882298	7.68476777	-1.5228787452803376	100.0	4269.0197
4341.64	4341.6453		7.0				L17684	7.945771557   -   10.800665	7.945771557			4341.64
4342.396	4342.4042		5.0				L17684	7.94627046    -   10.800665	7.94627046			4342.396
4344.111	4344.104		3.0				L17684	7.94613476    -   10.7994123	7.94613476			4344.111
4344.309	4344.311		5.0				L17684	7.94627046    -   10.7994123	7.94627046			4344.309
4348.966	4348.967		3.0				L17684	7.94613476    -   10.796222	7.94613476			4348.966
4355.408	4355.404		3.0				L17684	7.68476777    -   10.5306428	7.68476777			4355.408
4371.3814	4371.3814	0.0036	3.0	1270000.0	B	T5520	L12175c183	7.68476777    -   10.52024138	7.68476777	-1.9665762445130504	10.0	4371.3814
4461.3	4461.2697		3.0				L17684	7.94613476    -   10.7244786	7.94613476			4461.3
4461.3	4461.3155		3.0				L17684	7.94613476    -   10.7244500	7.94613476			4461.3
4461.5	4461.4876		5.0				L17684	7.94627046    -   10.7244786	7.94627046			4461.5
4461.5	4461.5334		5.0				L17684	7.94627046    -   10.7244500	7.94627046			4461.5
4463.886	4463.8895		7.0				L17684	7.945771557   -   10.72248485	7.945771557			4463.886
4463.886	4463.8653		7.0				L17684	7.945771557   -   10.7224999	7.945771557			4463.886
4464.448	4464.4492		3.0				L17684	7.94613476    -   10.7224999	7.94613476			4464.448
4464.677	4464.6917		5.0				L17684	7.94627046    -   10.72248485	7.94627046			4464.677
4464.677	4464.6675		5.0				L17684	7.94627046    -   10.7224999	7.94627046			4464.677
4466.476	4466.47168		7.0				L17684	7.945771557   -   10.72087957	7.945771557			4466.476
4466.476	4466.5079		7.0				L17684	7.945771557   -   10.7208571	7.945771557			4466.476
4467.309	4467.3111		5.0				L17684	7.94627046    -   10.7208571	7.94627046			4467.309
4477.472	4477.46591		7.0				L17684	7.945771557   -   10.71406552	7.945771557			4477.472
4477.472	4477.50602		7.0				L17684	7.945771557   -   10.71404072	7.945771557			4477.472
4478.319	4478.31312		5.0				L17684	7.94627046    -   10.71404072	7.94627046			4478.319
4478.588	4478.5821		3.0				L17684	7.94613476    -   10.71373880	7.94613476			4478.588
4478.825	4478.8219		5.0				L17684	7.94627046    -   10.71372629	7.94627046			4478.825
4478.825	4478.8017		5.0				L17684	7.94627046    -   10.71373880	7.94627046			4478.825
	4565.10527		3.0				L12175	7.48277598    -   10.19792602	7.48277598			4565.10527
4621.5695	4621.5693	2.5e-12	3.0	0.0023	C+	T7851	L12175c183	0.0020354130  -    2.6840136	0.002035413	-11.1249387366083	18.0	4621.5695
4627.3438	4627.3444	1.4e-14	5.0	2.2e-05	C	T7851	L12175c183	0.0053825826  -    2.6840136	0.0053825826	-13.154901959985743	25.0	4627.3438
4671.4	4671.4		3.0				L2138	8.53709962    -   11.19047	8.53709962			4671.4
4676.66	4676.68116	9e-06	5.0	2700.0	E	T9787	L2138	7.48779869    -   10.13817190	7.48779869	-4.346787486224656	100.0	4676.66
4677.55	4677.4		3.0				L2138	8.53709962    -   11.187064	8.53709962			4677.55
4677.55	4677.57		3.0				L2138	8.53709962    -   11.18697	8.53709962			4677.55
4701.7	4701.58		3.0				L2138	8.53709962    -   11.173440	8.53709962			4701.7
4703.83	4703.58		3.0				L2138	8.53709962    -   11.17232	8.53709962			4703.83
4734.262	4734.26281	0.00061	7.0	260000.0	C	T5520LS	L17684	7.945771557   -   10.56390942	7.945771557	-2.3695721249749764	25.0	4734.262
	4734.91967	1.7e-05	3.0	3100.0	D	T5520LS		7.94613476    -   10.56390942	7.94613476	-4.292429823902063	50.0	4734.91967
4735.165	4735.16514	0.00015	5.0	46000.0	C	T5520LS	L17684	7.94627046    -   10.56390942	7.94627046	-3.1249387366083	25.0	4735.165
4738.213	4738.22053	0.00026	3.0	76000.0	C	T5520LS	L17684	7.94613476    -   10.56208579	7.94613476	-3.1079053973095196	25.0	4738.213
4738.466	4738.46634	0.00046	5.0	230000.0	C	T5520LS	L17684	7.94627046    -   10.56208579	7.94627046	-2.638272163982407	25.0	4738.466
4742.57	4742.56	0.00034	3.0	300000.0	C	T5520LS	L17684	7.94613476    -   10.559692	7.94613476	-2.9913998282380825	25.0	4742.57
4762.3033	4762.30541	0.0034	1.0	340000.0	C	T6070n	L12175c183	7.48039414    -   10.083115460	7.48039414	-2.468521082957745	25.0	4762.3033
