band,holding,species,wavelength_air_A,ep_eV,loggf,canonical_line_id,measurement_eligibility,status,ew_mA,core_depth,method,provenance,reason
Y,solar_crires_plus_y_wide_rya1054,Si I,10727.406,5.984,0.2169999999999999,gf_167443,HOLD,DIAGNOSTIC_SERVED,96.6929,0.45723,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_y_wide_rya1054 · vesta_crires_plus_Y_9800_10796_normalized.csv,"side-band 95th pct is 0.8084, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours."
Y,solar_crires_plus_y_wide_rya1054,Si I,10741.728,6.6161,-0.883,gf_167445,HOLD,DIAGNOSTIC_SERVED,11.6881,0.07246,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_y_wide_rya1054 · vesta_crires_plus_Y_9800_10796_normalized.csv,canonical line remains HOLD for identity/gf adjudication
Y,solar_crires_plus_y_wide_rya1054,Si I,10749.378,4.9296,-0.205,gf_167447,HOLD,DIAGNOSTIC_SERVED,114.4785,0.54405,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_y_wide_rya1054 · vesta_crires_plus_Y_9800_10796_normalized.csv,"side-band 95th pct is 0.7750, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours."
Y,solar_crires_plus_y_wide_rya1054,Si I,10770.133,6.6192,-1.253,gf_167451,HOLD,DIAGNOSTIC_SERVED,6.0774,0.03129,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_y_wide_rya1054 · vesta_crires_plus_Y_9800_10796_normalized.csv,canonical line remains HOLD for identity/gf adjudication
Y,solar_crires_plus_y_wide_rya1054,Si I,10784.562,5.9639,-0.839,gf_167456,HOLD,DIAGNOSTIC_SERVED,48.5379,0.27245,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_y_wide_rya1054 · vesta_crires_plus_Y_9800_10796_normalized.csv,"side-band 95th pct is 0.9512, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours."
Y,solar_crires_plus_y_wide_rya1054,Si I,10786.849,4.9296,-0.303,gf_167457,HOLD,DIAGNOSTIC_SERVED,98.3343,0.5266,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_y_wide_rya1054 · vesta_crires_plus_Y_9800_10796_normalized.csv,"side-band 95th pct is 0.7727, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours."
H,solar_crires_plus_h_rya1094,Si I,15030.0046,6.7206,-1.214,gf_172820,HOLD,DIAGNOSTIC_SERVED,93.6306,0.17969,"integrated over +/-0.321 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15077.332,6.7181,-2.187,gf_172859,HOLD,HOLD,,,,,ValueError: too few side-band points around 15077.332 (4) — cannot set a local continuum honestly
H,solar_crires_plus_h_rya1094,Si I,15091.869299999998,7.0693,-1.63,gf_172869,HOLD,DIAGNOSTIC_SERVED,7.2832,0.01913,"integrated over +/-0.412 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
H,solar_crires_plus_h_rya1094,Si I,15120.7766,6.7255,-2.04,gf_172889,HOLD,DIAGNOSTIC_SERVED,3.5941,0.02924,"integrated over +/-0.136 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv,canonical line remains HOLD for identity/gf adjudication
