wavelength_air_A,flux_normalized
1.028374614079022467e+04,9.752536040856877309e-01
1.028377513036324854e+04,9.709538468994081128e-01
1.028380411993627604e+04,9.713538661840936950e-01
1.028383310950930172e+04,9.752537194388264385e-01
1.028386209908232740e+04,9.811534781978346054e-01
1.028389108865534945e+04,9.917530147894347836e-01
1.028392007822838059e+04,9.968528125796374262e-01
1.028394906780140445e+04,9.931530269889673468e-01
1.028397805737443196e+04,9.962529197944860471e-01
1.028400704694746128e+04,9.969529261857722480e-01
1.028403603652048332e+04,9.956530270074913647e-01
1.028406502609351264e+04,9.976529721999428668e-01
1.028409401566653469e+04,1.001552828090825908e+00
1.028412300523956947e+04,9.985530090069415499e-01
1.028415199481259151e+04,9.949532179185002212e-01
1.028418098438562083e+04,9.976531306094480467e-01
1.028420997395864470e+04,9.989531092510257615e-01
1.028423896353167038e+04,9.973532240232262369e-01
1.028426795310469606e+04,9.954533527487924305e-01
1.028429694267772174e+04,9.994532051183632193e-01
1.028432593225074743e+04,9.984532917221163872e-01
1.028435492182377675e+04,9.980533502262654011e-01
1.028438391139680243e+04,9.901537589618888413e-01
1.028441290096982993e+04,9.876539151327287103e-01
1.028444189054285562e+04,9.891538846515914862e-01
1.028447088011587948e+04,9.912538263659949056e-01
1.028449986968890880e+04,9.933537682713402539e-01
1.028452885926193449e+04,9.907539289124907000e-01
1.028455784883496381e+04,9.921539035331843337e-01
1.028458683840798767e+04,9.893540732479767508e-01
1.028461582798101517e+04,9.915540108678152498e-01
1.028464481755403904e+04,9.977537633326263311e-01
1.028467380712707018e+04,1.002353590395579808e+00
1.028470279670009404e+04,1.000353723156097496e+00
1.028473178627312154e+04,1.001053730990131285e+00
1.028476077584614904e+04,1.001053771228225919e+00
1.028478976541917291e+04,9.970539960405703228e-01
1.028481875499219677e+04,9.960540822616450463e-01
1.028484774456522791e+04,9.950541684253013663e-01
1.028487673413824996e+04,9.944542361246759832e-01
1.028490572371128110e+04,1.002753894606463358e+00
1.028493471328430314e+04,1.000854022331330029e+00
1.028496370285733246e+04,9.983541774636397470e-01
1.028499269243035997e+04,9.918545158395782879e-01
1.028502168200338565e+04,9.928545100994726758e-01
1.028505067157641133e+04,9.943544815757772160e-01
1.028507966114943338e+04,9.948544989306996600e-01
1.028510865072246452e+04,9.992543381430928351e-01
1.028513764029549202e+04,9.979544379589133651e-01
1.028516662986851588e+04,9.912547840017539302e-01
1.028519561944154339e+04,9.931547376027088925e-01
1.028522460901457089e+04,9.963546321894524160e-01
1.028525359858759657e+04,9.984545770991296587e-01
1.028528258816062407e+04,1.002654426756253603e+00
1.028531157773364794e+04,1.001754508368190244e+00
1.028534056730667544e+04,9.968547714070192800e-01
1.028536955687970112e+04,1.004754453864739938e+00
1.028539854645272862e+04,1.006254426830812898e+00
1.028542753602575613e+04,1.002854621653151090e+00
1.028545652559877999e+04,1.001954703205624408e+00
1.028548551517180749e+04,9.947550692511456516e-01
1.028551450474482772e+04,9.988549248218768772e-01
1.028554349431786068e+04,1.003254767225006949e+00
1.028557248389088636e+04,1.001554884773774745e+00
1.028560147346391750e+04,1.000954952704159240e+00
1.028563046303693955e+04,9.999550385930729979e-01
1.028565945260996341e+04,9.989551244231769100e-01
1.028568844218299091e+04,9.994551428750482192e-01
1.028571743175602023e+04,1.005154928230057587e+00
1.028574642132904410e+04,1.005654947022855961e+00
1.028577541090207160e+04,1.000055238895173115e+00
1.028580440047509910e+04,9.987553380539994086e-01
1.028583339004812296e+04,9.972554460639624363e-01
1.028586237962115047e+04,1.000355348659585752e+00
1.028589136919417797e+04,1.002555291666012538e+00
1.028592035876720547e+04,9.955556447480388149e-01
1.028594934834023297e+04,1.007855138231423586e+00
1.028597833791325684e+04,1.006155255315876129e+00
1.028600732748628434e+04,1.005255336741152972e+00
1.028603631705931184e+04,1.004855395922004568e+00
1.028606530663233571e+04,1.002755530479984225e+00
1.028609429620536503e+04,1.005155465519249613e+00
1.028612328577839071e+04,1.005655484878947847e+00
1.028615227535141639e+04,1.003955601590287960e+00
1.028618126492443844e+04,9.985558816508730562e-01
1.028621025449746958e+04,1.005255627207718883e+00
1.028623924407049162e+04,1.008455527682923680e+00
1.028626823364351731e+04,9.993559703359966573e-01
1.028629722321654299e+04,9.922563242290056706e-01
1.028632621278957595e+04,9.978561190961898753e-01
1.028635520236259981e+04,1.004055888091293758e+00
1.028638419193562731e+04,1.001556039469209125e+00
1.028641318150865118e+04,1.000056146813703473e+00
1.028644217108168050e+04,1.000556166441907591e+00
1.028647116065470254e+04,9.952564399756568259e-01
1.028650015022773187e+04,9.967564157673136638e-01
1.028652913980075937e+04,1.001856234449240990e+00
1.028655812937378505e+04,9.971564812595488103e-01
1.028658711894681073e+04,1.004456204509717177e+00
1.028661610851984005e+04,9.944566819378685141e-01
1.028664509809286392e+04,9.988565319255721109e-01
1.028667408766588960e+04,1.007956177974056677e+00
1.028670307723891710e+04,1.005756315592037264e+00
1.028673206681194461e+04,1.000756574543295585e+00
1.028676105638497029e+04,9.967567897506691699e-01
1.028679004595799597e+04,9.991567274805196464e-01
1.028681903553102347e+04,1.005156509678537091e+00
1.028684802510404734e+04,1.005156551742372395e+00
1.028687701467707666e+04,1.003656658601468799e+00
1.028690600425010234e+04,1.000656830067306213e+00
1.028693499382312802e+04,9.994569237283540408e-01
1.028696398339615553e+04,9.994569656443914596e-01
1.028699297296918303e+04,9.992570161858774780e-01
1.028702196254220689e+04,9.971571483799167579e-01
1.028705095211523803e+04,9.986571258724100675e-01
1.028707994168826190e+04,1.004756906229197666e+00
1.028710893126128940e+04,1.002357051311415725e+00
1.028713792083431690e+04,9.959573674295764123e-01
1.028716691040734077e+04,1.002557127129632963e+00
1.028719589998036827e+04,9.969574085869636892e-01
1.028722488955339213e+04,9.967574591368701942e-01
1.028725387912641963e+04,9.950575736453594056e-01
1.028728286869944895e+04,9.972575219199342200e-01
1.028731185827247646e+04,9.982575214637653405e-01
1.028734084784550032e+04,1.000957448849901343e+00
1.028736983741852237e+04,1.002357431693062129e+00
1.028739882699154987e+04,1.003757414677200366e+00
1.028742781656457919e+04,1.004757414755128808e+00
1.028745680613760487e+04,9.957578383352601037e-01
1.028748579571063237e+04,1.000157694394102847e+00
1.028751478528365624e+04,1.005557508593452276e+00
1.028754377485668374e+04,1.001557720069628177e+00
1.028757276442971124e+04,1.007857496878395320e+00
1.028760175400273511e+04,1.005057657605058941e+00
1.028763074357576443e+04,1.004657717112458659e+00
1.028765973314879011e+04,1.003657801834075158e+00
1.028768872272181579e+04,1.003957831893169006e+00
1.028771771229484330e+04,1.002657929132498849e+00
1.028774670186787080e+04,9.946583071145317367e-01
1.028777569144089466e+04,9.964582740878440426e-01
1.028780468101392216e+04,1.000758136662169173e+00
1.028783367058694785e+04,1.003958045591364590e+00
1.028786266015997535e+04,1.001258201109200607e+00
1.028789164973300103e+04,9.991583313980545444e-01
1.028792063930602853e+04,9.999583407182165429e-01
1.028794962887905240e+04,1.001058337644166629e+00
1.028797861845207990e+04,1.000358409519492398e+00
1.028800760802510922e+04,9.936587305440451878e-01
1.028803659759813127e+04,9.959586776229272242e-01
1.028806558717116059e+04,1.002358454994246362e+00
1.028809457674418627e+04,9.960587587504893259e-01
1.028812356631721195e+04,9.996586525266042411e-01
1.028815255589023946e+04,1.002458579687253604e+00
1.028818154546326878e+04,1.003658573149061484e+00
1.028821053503629082e+04,9.990588058774290126e-01
1.028823952460932196e+04,1.002058725202226164e+00
1.028826851418234401e+04,9.992588834501248130e-01
1.028829750375536969e+04,9.977589880467009342e-01
1.028832649332840083e+04,9.969590637950713763e-01
1.028835548290142469e+04,9.951591805132871116e-01
1.028838447247444856e+04,9.907594036294884443e-01
1.028841346204747606e+04,9.853596673192389632e-01
1.028844245162050356e+04,9.876596157345366445e-01
1.028847144119353288e+04,9.832598380254051751e-01
1.028850043076655857e+04,9.846598233133255773e-01
1.028852942033958425e+04,9.865597883651208155e-01
1.028855840991260629e+04,9.838599408901769205e-01
1.028858739948563743e+04,9.789601826810987451e-01
1.028861638905865948e+04,9.796601965524946998e-01
1.028864537863168880e+04,9.744604499575084677e-01
1.028867436820471630e+04,9.642609056428934622e-01
1.028870335777774017e+04,9.516614576631454714e-01
1.028873234735076767e+04,9.300623727094345927e-01
1.028876133692379153e+04,9.038634717992024559e-01
1.028879032649681903e+04,8.691649117695744442e-01
1.028881931606984836e+04,8.239667721628332053e-01
1.028884830564287404e+04,7.821684916947451160e-01
1.028887729521589972e+04,7.425701190910390936e-01
1.028890628478892722e+04,7.247708668177932356e-01
1.028893527436195291e+04,7.208710549103402032e-01
1.028896426393497859e+04,7.358704846416531664e-01
1.028899325350800427e+04,7.683692145684316577e-01
1.028902224308103177e+04,8.084676431829287413e-01
1.028905123265405564e+04,8.503660033483346758e-01
1.028908022222708496e+04,8.894644789975147958e-01
1.028910921180011246e+04,9.205632771954372906e-01
1.028913820137313633e+04,9.349627435620262439e-01
1.028916719094616565e+04,9.546620002509585978e-01
1.028919618051919133e+04,9.663615767541715584e-01
1.028922517009221519e+04,9.762612257886174039e-01
1.028925415966524452e+04,9.751613120992411732e-01
1.028928314923827020e+04,9.779612437859572793e-01
1.028931213881129588e+04,9.825611044875673938e-01
1.028934112838432338e+04,9.837611000512559434e-01
1.028937011795734725e+04,9.858610601947538354e-01
1.028939910753037475e+04,9.873610442157788603e-01
1.028942809710340043e+04,9.919609062220648976e-01
1.028945708667642975e+04,9.962607804632641617e-01
1.028948607624945726e+04,9.930609500135635370e-01
1.028951506582248476e+04,1.003360589060009245e+00
1.028954405539550862e+04,1.001060723375012840e+00
1.028957304496853067e+04,9.983608731857992469e-01
1.028960203454156544e+04,9.976609444901349821e-01
1.028963102411458749e+04,9.951610861376927186e-01
1.028966001368761681e+04,9.982610088649850333e-01
1.028968900326064249e+04,9.985610411250429586e-01
1.028971799283366818e+04,9.923613267348537770e-01
1.028974698240669022e+04,9.950612653844244093e-01
1.028977597197972136e+04,1.001461060433416428e+00
1.028980496155274341e+04,1.003261034719888478e+00
1.028983395112576909e+04,1.001761137204139285e+00
1.028986294069879659e+04,1.001161204704038798e+00
1.028989193027182773e+04,9.929615663279380833e-01
1.028992091984485160e+04,9.980614130655531824e-01
1.028994990941787546e+04,1.003761237106527870e+00
1.028997889899090296e+04,1.000361412678219875e+00
1.029000788856393046e+04,9.980615455904839894e-01
1.029003687813695797e+04,9.934617668325393947e-01
1.029006586770998365e+04,9.882620107521129516e-01
1.029009485728301115e+04,9.967617282257603684e-01
1.029012384685604047e+04,1.003361519340877583e+00
1.029015283642906252e+04,9.956618588378683965e-01
1.029018182600209002e+04,9.925620216701726006e-01
1.029021081557511752e+04,9.938620160938808068e-01
1.029023980514813957e+04,1.000661800705779036e+00
1.029026879472116889e+04,9.968619901021689156e-01
1.029029778429419639e+04,9.936621563321196282e-01
1.029032677386722207e+04,9.960621092801538179e-01
1.029035576344024776e+04,9.951621878456961001e-01
1.029038475301327708e+04,9.916623650227202047e-01
1.029041374258629912e+04,9.902624623081159871e-01
1.029044273215932844e+04,9.896625292016834052e-01
1.029047172173235413e+04,9.841627813623937682e-01
1.029050071130537981e+04,9.862627459903083871e-01
1.029052970087840367e+04,9.884627070546848637e-01
1.029055869045143118e+04,9.904626758736955194e-01
1.029058768002445868e+04,9.949625507997005291e-01
1.029061666959748436e+04,9.996624186314683191e-01
1.029064565917051368e+04,1.000062448361620060e+00
1.029067464874353755e+04,9.969626094102564950e-01
1.029070363831656869e+04,9.956627027779797467e-01
1.029073262788959255e+04,9.953627586374234060e-01
1.029076161746262005e+04,9.929628929657507985e-01
1.029079060703564392e+04,9.933629225939041296e-01
1.029081959660867142e+04,9.957628777219046379e-01
1.029084858618169528e+04,9.978628442573119761e-01
1.029087757575472642e+04,9.996628221598325981e-01
1.029090656532775211e+04,9.980629265356517621e-01
1.029093555490077415e+04,1.000962863843524397e+00
1.029096454447380165e+04,9.997629533557451653e-01
1.029099353404682915e+04,9.975630797907036884e-01
1.029102252361985666e+04,1.001662973176085769e+00
1.029105151319288416e+04,1.003762940790534408e+00
1.029108050276590802e+04,1.002863019237602238e+00
1.029110949233893552e+04,1.003863027650706119e+00
1.029113848191195939e+04,1.001763150204959762e+00
1.029116747148498871e+04,1.005063074203828677e+00
1.029119646105801439e+04,1.007763020538547050e+00
1.029122545063104189e+04,1.001663289642028554e+00
1.029125444020406758e+04,1.002663298335541686e+00
1.029128342977708962e+04,1.003363318108528635e+00
1.029131241935012440e+04,1.000163480364708146e+00
1.029134140892314826e+04,1.002663434490627115e+00
1.029137039849617395e+04,1.006763330589948824e+00
1.029139938806920145e+04,1.002863518093980222e+00
1.029142837764222350e+04,9.994636871005426748e-01
1.029145736721525282e+04,1.003063601820421757e+00
1.029148635678828032e+04,1.002363672722040189e+00
1.029151534636130418e+04,1.004863627758129541e+00
1.029154433593433168e+04,1.004163698721307396e+00
1.029157332550735737e+04,9.966640151497143663e-01
1.029160231508038487e+04,1.002263858551088127e+00
1.029163130465341055e+04,1.005363792516127619e+00
1.029166029422643805e+04,1.004863856268010336e+00
