species,ion,network,wavelength_air_A,elo_eV,eup_eV,delta_E_eV,loggf
Fe1,I,gt02,6173.330000,2.223000,4.230829,2.007829,-2.880000
Fe1,I,gt02,6187.990000,3.943000,5.946072,2.003072,-1.620000
Fe1,I,gt02,6200.310000,2.608000,4.607092,1.999092,-2.405000
Fe1,I,gt02,6219.280000,2.198000,4.190994,1.992994,-2.434000
Fe1,I,gt02,6226.730000,3.883000,5.873610,1.990610,-2.120000
Fe1,I,gt02,6240.650000,2.223000,4.209170,1.986170,-3.203000
Fe1,I,gt02,6246.320000,3.602000,5.586367,1.984367,-0.805000
Fe1,I,gt02,6252.560000,2.404000,4.386387,1.982387,-1.727000
Fe1,I,gt02,6265.130000,2.176000,4.154409,1.978409,-2.545000
Fe1,I,gt02,6270.220000,2.858000,4.834803,1.976803,-2.536000
Fe1,I,gt02,6271.280000,3.332000,5.308469,1.976469,-2.703000
Fe1,I,gt02,6297.790000,2.223000,4.191149,1.968149,-2.702000
Fe1,I,gt02,6301.500000,3.654000,5.620991,1.966991,-0.718000
Fe1,I,gt02,6315.810000,4.076000,6.038534,1.962534,-1.610000
Fe1,I,gt02,6322.690000,2.588000,4.548399,1.960399,-2.448000
Fe1,I,gt02,6335.330000,2.198000,4.154487,1.956487,-2.177000
Fe1,I,gt02,6336.820000,3.686000,5.642027,1.956027,-0.856000
Fe1,I,gt02,6393.600000,2.433000,4.371656,1.938656,-1.504000
Fe1,I,gt02,6411.650000,3.654000,5.587199,1.933199,-0.656000
Fe1,I,gt02,6430.850000,2.176000,4.103427,1.927427,-1.976000
Fe1,I,gt02,6481.870000,2.279000,4.191256,1.912256,-2.985000
Fe1,I,gt02,6494.980000,2.404000,4.312396,1.908396,-1.256000
Fe1,I,gt02,6496.470000,4.795000,6.702958,1.907958,-0.530000
Fe1,I,lt02,6498.940000,0.958000,2.865233,1.907233,-4.688000
Fe1,I,gt02,6533.930000,4.558000,6.455020,1.897020,-1.360000
Fe1,I,lt02,6574.230000,0.990000,2.875391,1.885391,-5.013000
Fe1,I,gt02,6593.870000,2.433000,4.312776,1.879776,-2.394000
Fe1,I,gt02,6597.560000,4.795000,6.673724,1.878724,-0.970000
Fe1,I,gt02,6609.110000,2.559000,4.434441,1.875441,-2.676000
Fe1,I,gt02,6627.540000,4.548000,6.418226,1.870226,-1.580000
Fe1,I,lt02,6648.080000,1.011000,2.875448,1.864448,-5.918000
Fe1,I,gt02,6699.140000,4.593000,6.443237,1.850237,-2.101000
Fe1,I,gt02,6703.570000,2.758000,4.607014,1.849014,-3.060000
Fe1,I,gt02,6713.740000,4.795000,6.641214,1.846214,-1.500000
Fe1,I,lt02,6739.520000,1.557000,3.396151,1.839151,-4.794000
Fe1,I,gt02,6750.150000,2.424000,4.260255,1.836255,-2.604000
Fe1,I,gt02,6810.260000,4.607000,6.427048,1.820048,-0.986000
Fe2,II,fe2,4923.930000,2.891000,5.408290,2.517290,-1.260000
Fe2,II,fe2,4993.360000,2.807000,5.289289,2.482289,-3.684000
Fe2,II,fe2,5264.810000,3.230000,5.584305,2.354305,-3.130000
Fe2,II,fe2,5325.550000,3.221000,5.548454,2.327454,-3.160000
Fe2,II,fe2,5414.070000,3.221000,5.510400,2.289400,-3.580000
Fe2,II,fe2,5425.260000,3.199000,5.483678,2.284678,-3.220000
Fe2,II,fe2,5534.850000,3.245000,5.484442,2.239442,-2.865000
Fe2,II,fe2,5991.380000,3.153000,5.221803,2.068803,-3.647000
Fe2,II,fe2,6084.110000,3.199000,5.236272,2.037272,-3.881000
Fe2,II,fe2,6247.560000,3.892000,5.875973,1.983973,-2.435000
Fe2,II,fe2,6432.680000,2.891000,4.817879,1.926879,-3.570000
Fe2,II,fe2,6456.380000,3.903000,5.822806,1.919806,-2.185000
