ion,wavelength_air_A,elo_eV,loggf,a_3d_lte_ap2002,a_1d_lte_ap2002,ew_mA,delta_E_eV,eup_eV,rew,weak_line_rew_lt_m49
I,6625.020000,1.011000,-5.340000,7.360000,7.510000,15.000000,1.870937,2.881937,-5.645096,True
I,6667.710000,4.584000,-2.110000,7.490000,7.510000,9.000000,1.858959,6.442959,-5.869734,True
I,6699.140000,4.593000,-2.100000,7.440000,7.460000,8.000000,1.850237,6.443237,-5.922929,True
I,6739.520000,1.557000,-4.790000,7.250000,7.350000,12.000000,1.839151,3.396151,-5.749448,True
I,6750.150000,2.424000,-2.590000,7.440000,7.540000,76.000000,1.836255,4.260255,-4.948500,True
I,6793.260000,4.076000,-2.330000,7.370000,7.400000,13.000000,1.824602,5.900602,-5.718135,True
I,6804.270000,4.584000,-1.810000,7.400000,7.420000,14.000000,1.821650,6.405650,-5.686654,True
I,6837.010000,4.593000,-1.690000,7.390000,7.420000,17.000000,1.812927,6.405927,-5.604417,True
I,6854.820000,4.593000,-1.930000,7.480000,7.500000,13.000000,1.808217,6.401217,-5.722053,True
I,6945.210000,2.424000,-2.450000,7.430000,7.510000,83.000000,1.784683,4.208683,-4.922607,True
I,6971.930000,3.018000,-3.340000,7.330000,7.400000,13.000000,1.777844,4.795844,-5.729410,True
I,6978.850000,2.484000,-2.450000,7.450000,7.490000,80.000000,1.776081,4.260081,-4.940694,True
I,7189.150000,3.071000,-2.770000,7.480000,7.540000,40.000000,1.724126,4.795126,-5.254618,True
I,7401.690000,4.186000,-1.600000,7.470000,7.510000,42.000000,1.674618,5.860618,-5.246082,True
I,7723.210000,2.279000,-3.620000,7.510000,7.620000,41.000000,1.604904,3.883904,-5.275014,True
II,4576.330000,2.844000,-2.910000,7.400000,7.350000,66.000000,2.708490,5.552490,-4.840973,False
II,4620.510000,2.828000,-3.190000,7.300000,7.280000,52.000000,2.682593,5.510593,-4.948687,True
II,4656.980000,2.891000,-3.580000,7.320000,7.290000,34.000000,2.661585,5.552585,-5.136625,True
II,5234.620000,3.221000,-2.230000,7.500000,7.460000,86.000000,2.367883,5.588883,-4.784387,False
II,5264.800000,3.230000,-3.230000,7.580000,7.560000,47.000000,2.354310,5.584310,-5.049284,True
II,5414.070000,3.221000,-3.480000,7.350000,7.330000,28.000000,2.289400,5.510400,-5.286366,True
II,5525.120000,3.267000,-3.940000,7.340000,7.330000,12.000000,2.243386,5.510386,-5.663160,True
II,5627.490000,3.387000,-4.100000,7.440000,7.420000,9.000000,2.202577,5.589577,-5.796072,True
II,6432.680000,2.891000,-3.510000,7.390000,7.370000,41.000000,1.926879,4.817879,-5.195608,True
II,6516.080000,2.891000,-3.380000,7.540000,7.510000,54.000000,1.902217,4.793217,-5.081593,True
II,7222.390000,3.889000,-3.370000,7.630000,7.620000,20.000000,1.716191,5.605191,-5.557651,True
II,7224.480000,3.889000,-3.290000,7.530000,7.520000,20.000000,1.715695,5.604695,-5.557777,True
II,7449.330000,3.889000,-3.070000,7.250000,7.230000,18.000000,1.663909,5.552909,-5.616845,True
II,7515.830000,3.903000,-3.450000,7.470000,7.460000,13.000000,1.649187,5.552187,-5.762034,True
II,7711.720000,3.903000,-2.450000,7.380000,7.350000,47.000000,1.607295,5.510295,-5.215053,True
