line_id,physical_id,key_z,ion,species,wavelength_air_A,excitation_potential_eV,hfs_n_components,log_gf,loggf_reference,nist_grade,seed_source,adjudication_status,gf_synth_ges,gf_regions_vald,gf_linelist_vald,in_synth,in_regions,in_linelist,delta_synth_minus_ew,lab_source_tag,gf_sigma_dex,gf_source_doi,is_diagnostic,gf_tier,diagnostic_excluded_by_registry,band,wavelength_frame,external_membership,reference_gf_source,reference_gf_sigma_dex,DH23_matches,physical_identity_status,reference_grade,codex_grade,deep_grade,measurement_eligibility,abundance
gf_117224,pk_100ffd0132b5,14,1.0,Si I,4260.428,4.93,1,-3.241,K07,,synth(GES),single_source,-3.241,,-3.241,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117225,pk_6baff0f95aa4,14,1.0,Si I,4290.123,4.92,1,-4.245,K07,,synth(GES),single_source,-4.245,,-4.245,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117226,pk_230ed00301fb,14,1.0,Si I,4296.087,4.954,1,-2.744,K07,,synth(GES),single_source,-2.744,,-2.744,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117227,pk_46761c649b49,14,1.0,Si I,4304.3158,4.93,2,-3.7436,K07,,synth(GES),single_source,-3.7436,,-3.7436,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117228,pk_506069408c21,14,1.0,Si I,4310.115,4.93,1,-5.067,K07,,synth(GES),single_source,-5.067,,,True,False,False,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117229,pk_bb334a231e7d,14,1.0,Si I,4340.703,4.954,1,-4.917,K07,,synth(GES),single_source,-4.917,,,True,False,False,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117230,pk_92692519c83c,14,1.0,Si I,4346.716,4.954,1,-3.884,K07,,synth(GES),single_source,-3.884,,-3.884,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117231,pk_856328e3969a,14,1.0,Si I,4354.422,4.93,1,-3.655,K07,,synth(GES),single_source,-3.655,,-3.655,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117232,pk_c67c9a5767f2,14,1.0,Si I,4372.854,4.92,1,-2.657,K07,,synth(GES),single_source,-2.657,,-2.657,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117233,pk_7b84aa3ab664,14,1.0,Si I,4377.814,4.93,1,-4.267,K07,,synth(GES),single_source,-4.267,,-4.267,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117234,pk_dc10f2690ebb,14,1.0,Si I,4384.266,5.082,1,-3.146,K07,,synth(GES),single_source,-3.146,,-3.146,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117235,pk_3ab57b007fb6,14,1.0,Si I,4384.418,5.082,1,-5.281,K07,,synth(GES),single_source,-5.281,,,True,False,False,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117236,pk_ef0e8430f391,14,1.0,Si I,4387.655,4.93,1,-2.802,K07,,synth(GES),single_source,-2.802,,-2.802,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117237,pk_6baec2c82671,14,1.0,Si I,4388.256,5.082,1,-3.427,K07,,synth(GES),single_source,-3.427,,-3.427,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117238,pk_2e583c55e8ac,14,1.0,Si I,4391.043,4.92,1,-4.447,K07,,synth(GES),single_source,-4.447,,-4.447,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117239,pk_b4b1dc45a0e1,14,1.0,Si I,4392.56,4.93,1,-2.404,K07,,synth(GES),single_source,-2.404,,-2.404,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117240,pk_7b4c486492c4,14,1.0,Si I,4401.204,4.954,1,-4.113,K07,,synth(GES),single_source,-4.113,,-4.113,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117241,pk_a160abb74524,14,1.0,Si I,4401.313,4.954,1,-5.105,K07,,synth(GES),single_source,-5.105,,,True,False,False,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117242,pk_3c7e68d2e908,14,1.0,Si I,4401.573,4.954,1,-3.923,K07,,synth(GES),single_source,-3.923,,-3.923,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117243,pk_effd03237e79,14,1.0,Si I,4405.968,4.93,1,-4.321,K07,,synth(GES),single_source,-4.321,,-4.321,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117244,pk_2ed18222e9a4,14,1.0,Si I,4415.474,4.954,1,-2.734,K07,,synth(GES),single_source,-2.734,,-2.734,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117245,pk_20f3a292f90b,14,1.0,Si I,4418.314,5.082,1,-2.237,K07,,synth(GES),single_source,-2.237,,-2.237,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117246,pk_fd4fb074886f,14,1.0,Si I,4425.486,4.954,1,-2.626,K07,,synth(GES),single_source,-2.626,,-2.626,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117247,pk_5d8be7fea15f,14,1.0,Si I,4430.475,4.954,1,-2.08,K07,,synth(GES),single_source,-2.08,,-2.08,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117248,pk_dd2dea061c0e,14,1.0,Si I,4431.691,4.93,1,-2.498,K07,,synth(GES),single_source,-2.498,,-2.498,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117249,pk_3d2b7de1685f,14,1.0,Si I,4434.677,4.92,1,-3.021,K07,,synth(GES),single_source,-3.021,,-3.021,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117250,pk_a390f1b46dd1,14,1.0,Si I,4443.68,5.082,1,-2.816,K07,,synth(GES),single_source,-2.816,,-2.816,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117251,pk_841d889384e3,14,1.0,Si I,4444.116,4.954,1,-4.474,K07,,synth(GES),single_source,-4.474,,-4.474,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117252,pk_a8bf17463908,14,1.0,Si I,4448.792,4.93,1,-3.489,K07,,synth(GES),single_source,-3.489,,-3.489,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117253,pk_c58d7b7b3cad,14,1.0,Si I,4449.901,4.93,1,-3.104,K07,,synth(GES),single_source,-3.104,,-3.104,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117254,pk_a3e93636d155,14,1.0,Si I,4449.926,4.954,1,-3.521,K07,,synth(GES),single_source,-3.521,,-3.521,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117255,pk_bc865d5c9836,14,1.0,Si I,4451.38,4.92,1,-4.256,K07,,synth(GES),single_source,-4.256,,-4.256,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117256,pk_ddc89d16d5a7,14,1.0,Si I,4466.719,4.93,1,-3.936,K07,,synth(GES),single_source,-3.936,,-3.936,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117257,pk_b91fc1fedfda,14,1.0,Si I,4469.394,7.104,1,-3.238,K07,,synth(GES),single_source,-3.238,,,True,False,False,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117258,pk_614abc3a0a56,14,1.0,Si I,4475.98,7.108,1,-3.014,K07,,synth(GES),single_source,-3.014,,,True,False,False,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117259,pk_059c1f6d8d94,14,1.0,Si I,4487.688,4.954,1,-2.665,K07,,synth(GES),single_source,-2.665,,-2.665,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117260,pk_e2c0e699f866,14,1.0,Si I,4488.817,4.954,1,-2.756,K07,,synth(GES),single_source,-2.756,,-2.756,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117261,pk_27881398ae8b,14,1.0,Si I,4496.432,5.082,1,-2.299,K07,,synth(GES),single_source,-2.299,,-2.299,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117262,pk_be53a3cd5a68,14,1.0,Si I,4504.101,7.125,1,-2.589,K07,,synth(GES),single_source,-2.589,,-2.589,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117263,pk_e1dc23e7c485,14,1.0,Si I,4519.103,7.134,1,-3.243,K07,,synth(GES),single_source,-3.243,,,True,False,False,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117264,pk_cb484b634d0f,14,1.0,Si I,4545.33,5.082,1,-3.093,K07,,synth(GES),single_source,-3.093,,-3.093,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117265,pk_d194e5e1bfd1,14,1.0,Si I,4551.588,4.92,1,-3.94,K07,,synth(GES),single_source,-3.94,,-3.94,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117266,pk_d751664a8697,14,1.0,Si I,4551.812,5.082,1,-3.263,K07,,synth(GES),single_source,-3.263,,-3.263,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117267,pk_30ecc9900065,14,1.0,Si I,4567.519,4.93,1,-3.601,K07,,synth(GES),single_source,-3.601,,-3.601,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117268,pk_812c5365d6b2,14,1.0,Si I,4567.626,4.93,1,-4.087,K07,,synth(GES),single_source,-4.087,,-4.087,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117269,pk_dc1b0a6c40a0,14,1.0,Si I,4577.92,4.93,1,-4.553,K07,,synth(GES),single_source,-4.553,,-4.553,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117270,pk_ca3b9b1906d5,14,1.0,Si I,4601.257,5.082,1,-2.091,K07,,synth(GES),single_source,-2.091,,-2.091,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117271,pk_f63fa1129dda,14,1.0,Si I,4608.529,4.954,1,-4.407,K07,,synth(GES),single_source,-4.407,,-4.407,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117272,pk_2c148f3249ad,14,1.0,Si I,4608.638,4.954,1,-5.283,K07,,synth(GES),single_source,-5.283,,,True,False,False,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117273,pk_697ac899bf29,14,1.0,Si I,4619.118,4.954,1,-4.539,K07,,synth(GES),single_source,-4.539,,-4.539,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117274,pk_df7e9474b48c,14,1.0,Si I,4619.276,4.954,1,-3.507,K07,,synth(GES),single_source,-3.507,,-3.507,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117275,pk_24db2dbd03ba,14,1.0,Si I,4627.383,5.082,1,-1.64,K07,,synth(GES),single_source,-1.64,,-1.64,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117276,pk_5c4ec65740c5,14,1.0,Si I,4638.38,5.082,1,-3.618,K07,,synth(GES),single_source,-3.618,,-3.618,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117277,pk_07e9014af619,14,1.0,Si I,4640.364,4.93,1,-4.725,K07,,synth(GES),single_source,-4.725,,-4.725,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117278,pk_382fc1d0ed87,14,1.0,Si I,4643.861,5.082,1,-3.023,K07,,synth(GES),single_source,-3.023,,-3.023,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
