filename,sha256,pages,text_extraction,same_bytes_as
aa59148-26 (1).pdf,074f3c11c219c2028108d1cae8ee53281a511f2e3967d2d21dcacb4b044adc46,18,text_extracted_not_full_scientific_review,aa59148-26.pdf
aa59148-26.pdf,074f3c11c219c2028108d1cae8ee53281a511f2e3967d2d21dcacb4b044adc46,18,text_extracted_not_full_scientific_review,aa59148-26 (1).pdf
aa7151.pdf,75067f34827525e4f8f4af59d4fe3e95e7e0830b40cdc51dfabdee1e0fb61b4a,8,text_extracted_not_full_scientific_review,
atlas9atlas12.pdf,72c480d7f7f7d99d77bf123ce543f07fe5bd708e31e5248f890a01e9626ff8d6,13,text_extracted_not_full_scientific_review,
jpcrd3520061669.pdf,843948557f7094323a9c08fc3af4201ec544aebb558b20597d24e0d4f2e16234,141,text_extracted_not_full_scientific_review,
jpcrd3720081501p.pdf,9cfe66b9a82e3270cb63096e77625cd8df68e51d198dcd01a1803f663a92c77d,217,text_extracted_not_full_scientific_review,
jpcrd372008911p.pdf,7b04a7b68269e3a229ea2f7e1d8aa878fc0d3ab1ea9adc56cb65ce8c8bb0a49b,203,text_extracted_not_full_scientific_review,
omaraxx.pdf,79666eeb60fb03be2a49df270df05eb7124a09c238cd34fb74de06698962d4a9,6,text_extracted_not_full_scientific_review,
p138.pdf,9aac6f2599ca374f6637b99a2cbeaa15fdcca1fa6eba171151fe653a389ded34,30,text_extracted_not_full_scientific_review,
science.abg8794.pdf,916df11df407296dc7b5dfa21875c0c198f7914bcc3914869394d1d101cf6c50,4,text_extracted_not_full_scientific_review,
solar-spec.pdf,1f30736c2e6031ef21a8e19283f94875c13214749eb496b236ceed4accd0b3b2,8,text_extracted_not_full_scientific_review,
stu780.pdf,2fa0dfea712f36307b9e5616bd0501e5d55d9049aca3ac145f76c890b4349680,10,text_extracted_not_full_scientific_review,
stv2608.pdf,862b99923284f8fd0fc610262992cea452c3368a7403261ee6fa9c5b62cea484,17,text_extracted_not_full_scientific_review,
von_Braun_2011_ApJ_740_49.pdf,1c1ad02fbde723ae8bd7637ac3e9930d69ac14cafbd80ad1ae6a9e52de564fda,6,text_extracted_not_full_scientific_review,
