stored_file,element,ion,wavelength_air_A,ep_eV,stored_loggf,stored_grade,stored_grade_dex,n_nist_candidates,nist_loggf,nist_accuracy,nist_accuracy_dex,ambiguous,grade_matches,delta_loggf,value_matches
nist_reference,Fe,I,5506.779,0.99,-2.797,A,0.012837224705172217,1.0,-2.7972393126068003,A,0.012837224705172217,False,True,0.0002393126068001017,True
nist_reference,Fe,I,5956.694,0.859,-4.605,A,0.012837224705172217,1.0,-4.608359296507612,B+,0.029383777685209667,False,False,0.0033592965076119086,True
nist_reference,Fe,I,6574.228,0.99,-5.023,A,0.012837224705172217,1.0,-5.00436480540245,B+,0.029383777685209667,False,False,-0.018635194597549365,True
nist_reference,Fe,I,6648.079,1.011,-5.918,A,0.012837224705172217,1.0,-5.917573699139228,B+,0.029383777685209667,False,False,-0.0004263008607718888,True
nist_reference,Fe,I,5576.089,3.43,-1.0,A,0.012837224705172217,1.0,-0.9430951486635274,D,0.17609125905568124,False,False,-0.056904851336472606,False
nist_reference,Fe,I,6065.482,2.608,-1.53,A,0.012837224705172217,1.0,-1.530177984021837,B,0.04139268515822507,False,False,0.00017798402183699658,True
nist_reference,Fe,I,6136.615,2.453,-1.4,A,0.012837224705172217,1.0,-1.4003352212115832,B,0.04139268515822507,False,False,0.0003352212115832476,True
nist_crosscheck,Fe,I,5576.09,3.43,-1.0,B,0.04139268515822507,1.0,-0.9430951486635274,D,0.17609125905568124,False,False,-0.056904851336472606,False
nist_crosscheck,Fe,I,6065.49,2.608,-1.53,B,0.04139268515822507,1.0,-1.530177984021837,B,0.04139268515822507,False,True,0.00017798402183699658,True
nist_crosscheck,Fe,I,6136.62,2.453,-1.4,B,0.04139268515822507,1.0,-1.4003352212115832,B,0.04139268515822507,False,True,0.0003352212115832476,True
nist_reference,Fe,II,6149.258,3.889,-2.724,B,0.04139268515822507,1.0,-2.853871964321762,E,0.3010299956639812,False,False,0.12987196432176162,False
nist_reference,Fe,II,6247.557,3.892,-2.329,B,0.04139268515822507,1.0,-2.4436974992327127,D,0.17609125905568124,False,False,0.11469749923271255,False
nist_crosscheck,Fe,II,6149.25,3.889,-2.724,B,0.04139268515822507,1.0,-2.853871964321762,E,0.3010299956639812,False,False,0.12987196432176162,False
nist_crosscheck,Fe,II,6247.56,3.892,-2.329,B,0.04139268515822507,1.0,-2.4436974992327127,D,0.17609125905568124,False,False,0.11469749923271255,False
nist_reference,Li,I,6707.761,0.0,0.177,A+,0.008600171761917567,1.0,-0.0017668246825414716,AAA,0.001300933020418072,False,False,0.17876682468254146,False
nist_reference,Li,I,6707.914,0.0,-0.123,A+,0.008600171761917567,1.0,-0.30278809913598165,AAA,0.001300933020418072,False,False,0.17978809913598165,False
nist_crosscheck,Li,I,6707.76,0.0,-0.002,A,0.012837224705172217,1.0,-0.0017668246825414716,AAA,0.001300933020418072,False,False,-0.0002331753174585284,True
nist_reference,Mg,I,4571.096,0.0,-5.623,A,0.012837224705172217,1.0,-5.623423042943488,D,0.17609125905568124,False,False,0.00042304294348749494,True
nist_reference,Mg,I,5167.322,2.709,-1.031,A,0.012837224705172217,1.0,-0.8696662315049939,B+,0.029383777685209667,False,False,-0.16133376849500602,False
nist_reference,Mg,I,5172.684,2.712,-0.45,A,0.012837224705172217,2.0,,,,True,False,,False
nist_reference,Mg,I,5183.604,2.717,0.18,A,0.012837224705172217,2.0,,,,True,False,,False
nist_reference,Mg,I,5528.405,4.346,-0.498,B+,0.029383777685209667,1.0,-0.4975728800155673,B+,0.029383777685209667,False,True,-0.00042711998443267785,True
nist_reference,Mg,I,5711.088,4.346,-1.724,B,0.04139268515822507,1.0,-1.723538195826756,B,0.04139268515822507,False,True,-0.00046180417324404033,True
nist_crosscheck,Mg,I,5711.09,4.346,-1.729,A,0.012837224705172217,1.0,-1.723538195826756,B,0.04139268515822507,False,False,-0.005461804173244156,True
nist_reference,Na,I,5682.633,2.102,-0.7,A,0.012837224705172217,1.0,-0.7064164865038832,A,0.012837224705172217,False,True,0.0064164865038832675,True
nist_reference,Na,I,5688.205,2.104,-0.452,A,0.012837224705172217,2.0,,,,True,False,,False
nist_reference,Na,I,6154.226,2.102,-1.547,A,0.012837224705172217,1.0,-1.5466816599529623,A,0.012837224705172217,False,True,-0.0003183400470376796,True
nist_reference,Na,I,6160.747,2.104,-1.246,A,0.012837224705172217,1.0,-1.245651664288981,A,0.012837224705172217,False,True,-0.00034833571101899885,True
nist_crosscheck,Na,I,5682.63,2.102,-0.7,A,0.012837224705172217,1.0,-0.7064164865038832,A,0.012837224705172217,False,True,0.0064164865038832675,True
nist_crosscheck,Na,I,5688.21,2.104,-0.45,A,0.012837224705172217,2.0,,,,True,False,,False
nist_reference,Ni,I,6300.336,4.266,-2.11,B,0.04139268515822507,,,,,False,False,,False
nist_crosscheck,Ni,I,6300.336,4.266,-2.31,B,0.04139268515822507,,,,,False,False,,False
nist_reference,O,I,7771.944,9.146,0.369,A+,0.008600171761917567,1.0,0.3692158574101429,A,0.012837224705172217,False,False,-0.0002158574101429056,True
nist_reference,O,I,7774.166,9.146,0.223,A+,0.008600171761917567,1.0,0.22401481137286405,A,0.012837224705172217,False,False,-0.0010148113728640495,True
nist_reference,O,I,7775.388,9.146,0.002,A+,0.008600171761917567,1.0,0.0021660617565077258,A,0.012837224705172217,False,False,-0.00016606175650772572,True
nist_reference,O,I,6300.304,0.0,-9.717,A,0.012837224705172217,2.0,,,,True,False,,False
nist_crosscheck,O,I,6300.304,0.0,-9.717,A+,0.008600171761917567,2.0,,,,True,False,,False
nist_reference,P,I,6034.04,1.873,-0.31,C,0.09691001300805642,,,,,False,False,,False
nist_reference,P,I,6043.12,1.873,-0.46,C,0.09691001300805642,,,,,False,False,,False
nist_crosscheck,P,I,6034.04,1.873,-0.38,C,0.09691001300805642,,,,,False,False,,False
nist_crosscheck,P,I,6043.12,1.873,-0.52,C,0.09691001300805642,,,,,False,False,,False
nist_reference,S,I,6052.674,7.869,0.37,B,0.04139268515822507,2.0,,,,True,False,,False
nist_crosscheck,S,I,6052.67,7.87,-0.55,C,0.09691001300805642,2.0,,,,True,False,,False
nist_reference,Si,I,5793.073,4.93,-1.963,B,0.04139268515822507,1.0,-2.0163737128754655,E,0.3010299956639812,False,False,0.05337371287546544,False
nist_crosscheck,Si,I,5793.07,4.93,-1.963,B,0.04139268515822507,1.0,-2.0163737128754655,E,0.3010299956639812,False,False,0.05337371287546544,False
nist_reference,Ti,I,5866.452,1.067,-0.84,B,0.04139268515822507,1.0,-0.8401321529074334,C+,0.07188200730612536,False,False,0.0001321529074334027,True
nist_crosscheck,Ti,I,5866.46,1.067,-0.84,B,0.04139268515822507,1.0,-0.8401321529074334,C+,0.07188200730612536,False,False,0.0001321529074334027,True
