source,wavelength_air_A,our_loggf,our_unc_dex,n_paper_candidates,paper_loggf,paper_unc_dex,d_loggf,d_unc
Ruffoni2014,4707.2745,-0.96,0.02,1,-0.96,0.02,0.0,0.0
Ruffoni2014,4720.9602,-1.86,0.08,1,-1.86,0.08,0.0,0.0
Ruffoni2014,4741.0696,-2.4,0.07,1,-2.4,0.07,0.0,0.0
Ruffoni2014,4768.3965,-2.27,0.05,1,-2.27,0.05,0.0,0.0
Ruffoni2014,4807.7088,-2.15,0.05,1,-2.15,0.05,0.0,0.0
Ruffoni2014,4860.9785,-2.33,0.08,1,-2.33,0.08,0.0,0.0
Ruffoni2014,4871.3182,-0.34,0.02,1,-0.34,0.02,0.0,0.0
Ruffoni2014,4875.8776,-1.9,0.04,1,-1.9,0.04,0.0,0.0
Ruffoni2014,4885.4306,-0.97,0.03,1,-0.97,0.03,0.0,0.0
Ruffoni2014,4889.1021,-1.19,0.03,1,-1.19,0.03,0.0,0.0
Ruffoni2014,4890.7551,-0.38,0.02,1,-0.38,0.02,0.0,0.0
Ruffoni2014,4903.3102,-0.89,0.02,1,-0.89,0.02,0.0,0.0
Ruffoni2014,4905.1328,-1.73,0.1,1,-1.73,0.1,0.0,0.0
Ruffoni2014,4911.5294,-1.84,0.08,1,-1.84,0.08,0.0,0.0
Ruffoni2014,4911.7794,-1.75,0.07,1,-1.75,0.07,0.0,0.0
Ruffoni2014,4921.8768,0.07,0.02,1,0.07,0.02,0.0,0.0
Ruffoni2014,4933.873,-1.56,0.05,1,-1.56,0.05,0.0,0.0
Ruffoni2014,4946.3881,-1.11,0.02,1,-1.11,0.02,0.0,0.0
Ruffoni2014,4958.682,-0.37,0.02,1,-0.37,0.02,0.0,0.0
Ruffoni2014,4973.1019,-0.69,0.03,1,-0.69,0.03,0.0,0.0
Ruffoni2014,4986.9382,-1.34,0.02,1,-1.34,0.02,0.0,0.0
Ruffoni2014,5001.8636,-0.01,0.02,1,-0.01,0.02,0.0,0.0
Ruffoni2014,5002.7927,-1.46,0.03,1,-1.46,0.03,0.0,0.0
Ruffoni2014,5005.7123,-0.12,0.02,1,-0.12,0.02,0.0,0.0
Ruffoni2014,5022.2355,-0.33,0.02,1,-0.33,0.02,0.0,0.0
Ruffoni2014,5023.4978,-1.67,0.08,1,-1.67,0.08,0.0,0.0
Ruffoni2014,5028.1264,-1.02,0.02,1,-1.02,0.02,0.0,0.0
Ruffoni2014,5098.5723,-0.88,0.02,1,-0.88,0.02,0.0,0.0
Ruffoni2014,5129.6308,-1.67,0.07,1,-1.67,0.07,0.0,0.0
Ruffoni2014,5139.2515,-0.73,0.02,1,-0.73,0.02,0.0,0.0
Ruffoni2014,5140.8947,-0.48,0.02,1,-0.48,0.02,0.0,0.0
Ruffoni2014,5171.6731,-2.27,0.1,1,-2.27,0.1,0.0,0.0
Ruffoni2014,5226.8623,-0.55,0.02,1,-0.55,0.02,0.0,0.0
Ruffoni2014,5268.0211,-0.37,0.02,1,-0.37,0.02,0.0,0.0
Ruffoni2014,5285.1286,-1.66,0.13,1,-1.66,0.13,0.0,0.0
Ruffoni2014,5288.5247,-1.49,0.02,1,-1.49,0.02,0.0,0.0
Ruffoni2014,5324.179,-0.11,0.02,1,-0.11,0.02,0.0,0.0
Ruffoni2014,5353.3736,-0.76,0.03,1,-0.76,0.03,0.0,0.0
Ruffoni2014,5373.7086,-0.71,0.03,1,-0.71,0.03,0.0,0.0
Ruffoni2014,5393.1676,-0.72,0.02,1,-0.72,0.02,0.0,0.0
Ruffoni2014,5473.9005,-0.72,0.03,1,-0.72,0.03,0.0,0.0
Ruffoni2014,5481.4387,-1.33,0.04,1,-1.33,0.04,0.0,0.0
Ruffoni2014,5493.4988,-1.48,0.08,1,-1.48,0.08,0.0,0.0
Ruffoni2014,5538.5162,-1.54,0.06,1,-1.54,0.06,0.0,0.0
Ruffoni2014,5554.8951,-0.27,0.02,1,-0.27,0.02,0.0,0.0
Ruffoni2014,5563.6002,-0.75,0.04,1,-0.75,0.04,0.0,0.0
Ruffoni2014,5615.6439,0.04,0.02,1,0.04,0.02,0.0,0.0
Ruffoni2014,5638.2621,-0.72,0.02,1,-0.72,0.02,0.0,0.0
Ruffoni2014,5705.9922,-0.46,0.03,1,-0.46,0.03,0.0,0.0
Ruffoni2014,5709.3783,-1.01,0.02,1,-1.01,0.02,0.0,0.0
Ruffoni2014,5717.8329,-0.96,0.03,1,-0.96,0.03,0.0,0.0
Ruffoni2014,5762.9922,-0.36,0.02,1,-0.36,0.02,0.0,0.0
Ruffoni2014,5784.6584,-2.67,0.09,1,-2.67,0.09,0.0,0.0
Ruffoni2014,5792.6238,-2.18,0.06,1,-2.18,0.06,0.0,0.0
Ruffoni2014,6003.0123,-1.1,0.02,1,-1.1,0.02,0.0,0.0
Ruffoni2014,6008.5566,-0.98,0.02,1,-0.98,0.02,0.0,0.0
Ruffoni2014,6056.0047,-0.32,0.03,1,-0.32,0.03,0.0,0.0
Ruffoni2014,6315.8115,-1.63,0.1,1,-1.63,0.1,0.0,0.0
Ruffoni2014,6400.0012,-0.27,0.02,1,-0.27,0.02,0.0,0.0
Ruffoni2014,6627.5448,-1.59,0.1,1,-1.59,0.1,0.0,0.0
Ruffoni2014,6663.2325,-1.2,0.11,1,-1.2,0.11,0.0,0.0
Ruffoni2014,6705.1024,-0.87,0.04,1,-0.87,0.04,0.0,0.0
Ruffoni2014,6725.3572,-2.1,0.1,1,-2.1,0.1,0.0,0.0
Ruffoni2014,6841.3391,-0.49,0.03,1,-0.49,0.03,0.0,0.0
Ruffoni2014,6843.656,-0.73,0.03,1,-0.73,0.03,0.0,0.0
Ruffoni2014,6916.6815,-1.28,0.03,1,-1.28,0.03,0.0,0.0
Ruffoni2014,6999.8841,-1.38,0.03,1,-1.38,0.03,0.0,0.0
Ruffoni2014,7007.9701,-1.77,0.04,1,-1.77,0.04,0.0,0.0
Ruffoni2014,7071.8573,-1.17,0.13,1,-1.17,0.13,0.0,0.0
Ruffoni2014,7181.1959,-1.11,0.03,1,-1.11,0.03,0.0,0.0
Ruffoni2014,7207.388,-0.31,0.02,1,-0.31,0.02,0.0,0.0
Ruffoni2014,7306.5623,-1.43,0.03,1,-1.43,0.03,0.0,0.0
Ruffoni2014,7333.5572,-1.82,0.05,1,-1.82,0.05,0.0,0.0
Ruffoni2014,7495.0674,-0.1,0.02,1,-0.1,0.02,0.0,0.0
Ruffoni2014,7586.0187,-0.27,0.02,1,-0.27,0.02,0.0,0.0
Ruffoni2014,7620.5128,-0.54,0.03,1,-0.54,0.03,0.0,0.0
Ruffoni2014,7661.1974,-0.88,0.02,1,-0.88,0.02,0.0,0.0
Ruffoni2014,7664.1587,-1.38,0.11,1,-1.38,0.11,0.0,0.0
Ruffoni2014,7937.1406,-0.02,0.02,1,-0.02,0.02,0.0,0.0
Ruffoni2014,7945.8469,0.0,0.02,1,0.0,0.02,0.0,0.0
Ruffoni2014,8198.9221,-0.76,0.02,1,-0.76,0.02,0.0,0.0
Ruffoni2014,8248.1309,-1.23,0.05,1,-1.23,0.05,0.0,0.0
Ruffoni2014,8331.9157,-0.26,0.02,1,-0.26,0.02,0.0,0.0
Ruffoni2014,8432.1708,-1.77,0.08,1,-1.77,0.08,0.0,0.0
Ruffoni2014,8446.3844,-0.92,0.05,1,-0.92,0.05,0.0,0.0
Ruffoni2014,8446.5685,-1.44,0.13,1,-1.44,0.13,0.0,0.0
Ruffoni2014,8471.7444,-0.91,0.03,1,-0.91,0.03,0.0,0.0
Ruffoni2014,8571.8052,-1.11,0.04,1,-1.11,0.04,0.0,0.0
Ruffoni2014,8610.612,-1.69,0.04,1,-1.69,0.04,0.0,0.0
Ruffoni2014,8632.4147,-2.32,0.11,1,-2.32,0.11,0.0,0.0
Ruffoni2014,8699.454,-0.37,0.02,1,-0.37,0.02,0.0,0.0
Ruffoni2014,8866.9329,-0.01,0.02,1,-0.01,0.02,0.0,0.0
Ruffoni2014,8905.9947,-1.22,0.04,1,-1.22,0.04,0.0,0.0
Ruffoni2014,8945.19,-0.23,0.03,1,-0.23,0.03,0.0,0.0
Ruffoni2014,9103.6375,-2.19,0.05,1,-2.19,0.05,0.0,0.0
Ruffoni2014,9147.9579,-0.87,0.03,1,-0.87,0.03,0.0,0.0
Ruffoni2014,9163.9826,-1.57,0.06,1,-1.57,0.06,0.0,0.0
Ruffoni2014,9199.4455,-1.12,0.04,1,-1.12,0.04,0.0,0.0
Ruffoni2014,9258.2698,-0.68,0.03,1,-0.68,0.03,0.0,0.0
Ruffoni2014,9350.4175,-0.97,0.02,1,-0.97,0.02,0.0,0.0
Ruffoni2014,9414.0422,-0.27,0.02,1,-0.27,0.02,0.0,0.0
Ruffoni2014,9786.645,-1.84,0.04,1,-1.84,0.04,0.0,0.0
Ruffoni2014,10216.314,-0.13,0.02,1,-0.13,0.02,0.0,0.0
Ruffoni2014,10353.197,-2.13,0.11,1,-2.13,0.11,0.0,0.0
Ruffoni2014,10863.52,-0.9,0.02,1,-0.9,0.02,0.0,0.0
Ruffoni2014,11316.0637,-1.7,0.13,1,-1.7,0.13,0.0,0.0
DenHartog2014,3211.9873,-0.31,0.03,1,-0.31,0.03,0.0,0.0
DenHartog2014,3217.3772,-0.5,0.03,1,-0.5,0.03,0.0,0.0
DenHartog2014,3225.7872,0.41,0.03,1,0.41,0.03,0.0,0.0
DenHartog2014,3227.7955,-0.26,0.03,1,-0.26,0.03,0.0,0.0
DenHartog2014,3228.249,-0.78,0.04,1,-0.78,0.04,0.0,0.0
DenHartog2014,3228.8987,-1.31,0.08,1,-1.31,0.08,0.0,0.0
DenHartog2014,3230.9636,-0.49,0.03,1,-0.49,0.03,0.0,0.0
DenHartog2014,3233.9675,-0.5,0.03,1,-0.5,0.03,0.0,0.0
DenHartog2014,3239.4329,-0.21,0.03,1,-0.21,0.03,0.0,0.0
DenHartog2014,3247.2801,-1.15,0.05,1,-1.15,0.05,0.0,0.0
DenHartog2014,3248.2042,-0.67,0.03,1,-0.67,0.03,0.0,0.0
DenHartog2014,3254.4569,-2.38,0.11,1,-2.38,0.11,0.0,0.0
DenHartog2014,3259.9895,-1.27,0.04,1,-1.27,0.04,0.0,0.0
DenHartog2014,3506.5803,-1.68,0.12,1,-1.68,0.12,0.0,0.0
DenHartog2014,3509.7258,-1.61,0.12,1,-1.61,0.12,0.0,0.0
DenHartog2014,3523.3087,-1.36,0.06,1,-1.36,0.06,0.0,0.0
DenHartog2014,3529.8198,-0.43,0.02,1,-0.43,0.02,0.0,0.0
DenHartog2014,3533.0066,-0.37,0.02,1,-0.37,0.02,0.0,0.0
DenHartog2014,3540.1211,-0.71,0.02,1,-0.71,0.02,0.0,0.0
DenHartog2014,3570.2542,0.65,0.02,1,0.65,0.02,0.0,0.0
DenHartog2014,3604.3716,-1.59,0.09,1,-1.59,0.09,0.0,0.0
DenHartog2014,3610.1591,0.12,0.05,1,0.12,0.05,0.0,0.0
DenHartog2014,3610.6946,-1.31,0.05,1,-1.31,0.05,0.0,0.0
DenHartog2014,3618.299,-1.0,0.04,1,-1.0,0.04,0.0,0.0
DenHartog2014,3623.7731,-1.08,0.04,1,-1.08,0.04,0.0,0.0
DenHartog2014,3625.1417,-0.78,0.03,1,-0.78,0.03,0.0,0.0
DenHartog2014,3630.3478,-0.82,0.06,1,-0.82,0.06,0.0,0.0
DenHartog2014,3645.0748,-1.31,0.04,1,-1.31,0.04,0.0,0.0
DenHartog2014,3735.3238,-0.32,0.03,1,-0.32,0.03,0.0,0.0
DenHartog2014,3742.6166,-0.81,0.03,1,-0.81,0.03,0.0,0.0
DenHartog2014,3769.9874,-1.07,0.04,1,-1.07,0.04,0.0,0.0
DenHartog2014,3790.6547,-1.53,0.06,1,-1.53,0.06,0.0,0.0
DenHartog2014,3793.4806,-1.13,0.04,1,-1.13,0.04,0.0,0.0
DenHartog2014,3809.5643,-1.5,0.08,1,-1.5,0.08,0.0,0.0
DenHartog2014,3928.0829,-0.77,0.03,1,-0.77,0.03,0.0,0.0
DenHartog2014,3941.2753,-1.03,0.04,1,-1.03,0.04,0.0,0.0
DenHartog2014,3955.3413,-1.05,0.04,1,-1.05,0.04,0.0,0.0
DenHartog2014,3963.1005,-0.68,0.03,1,-0.68,0.03,0.0,0.0
DenHartog2014,3965.5088,-1.55,0.04,1,-1.55,0.04,0.0,0.0
DenHartog2014,3966.4995,-0.97,0.04,1,-0.97,0.04,0.0,0.0
DenHartog2014,3984.934,-2.15,0.1,1,-2.15,0.1,0.0,0.0
DenHartog2014,3996.2623,-2.35,0.07,1,-2.35,0.07,0.0,0.0
DenHartog2014,4058.217,-1.18,0.03,1,-1.18,0.03,0.0,0.0
DenHartog2014,4067.9777,-0.53,0.03,1,-0.53,0.03,0.0,0.0
DenHartog2014,4070.7707,-0.87,0.03,1,-0.87,0.03,0.0,0.0
DenHartog2014,4073.7623,-0.97,0.03,1,-0.97,0.03,0.0,0.0
DenHartog2014,4076.6291,-0.59,0.02,1,-0.59,0.02,0.0,0.0
DenHartog2014,4080.2092,-1.18,0.07,1,-1.18,0.07,0.0,0.0
DenHartog2014,4084.4915,-0.54,0.02,1,-0.54,0.02,0.0,0.0
DenHartog2014,4097.0834,-1.77,0.06,1,-1.77,0.06,0.0,0.0
DenHartog2014,4098.1758,-0.97,0.03,1,-0.97,0.03,0.0,0.0
DenHartog2014,4104.1136,-1.27,0.04,1,-1.27,0.04,0.0,0.0
DenHartog2014,4106.4229,-1.5,0.04,1,-1.5,0.04,0.0,0.0
DenHartog2014,4108.133,-2.0,0.13,1,-2.0,0.13,0.0,0.0
DenHartog2014,4109.0561,-1.55,0.05,1,-1.55,0.05,0.0,0.0
DenHartog2014,4112.3185,-1.56,0.07,1,-1.56,0.07,0.0,0.0
DenHartog2014,4127.7843,-1.61,0.04,1,-1.61,0.04,0.0,0.0
DenHartog2014,4131.9354,-1.64,0.1,1,-1.64,0.1,0.0,0.0
DenHartog2014,4133.8557,-1.13,0.03,1,-1.13,0.03,0.0,0.0
DenHartog2014,4140.4024,-1.6,0.07,1,-1.6,0.07,0.0,0.0
DenHartog2014,4150.2491,-1.19,0.04,1,-1.19,0.04,0.0,0.0
DenHartog2014,4158.7924,-0.7,0.03,1,-0.7,0.03,0.0,0.0
DenHartog2014,4245.3444,-1.43,0.04,1,-1.43,0.04,0.0,0.0
DenHartog2014,4259.9992,-1.4,0.05,1,-1.4,0.05,0.0,0.0
DenHartog2014,4278.2314,-1.58,0.05,1,-1.58,0.05,0.0,0.0
DenHartog2014,4286.8645,-2.2,0.09,1,-2.2,0.09,0.0,0.0
DenHartog2014,4287.9385,-1.95,0.11,1,-1.95,0.11,0.0,0.0
DenHartog2014,4289.0824,-1.17,0.03,1,-1.17,0.03,0.0,0.0
DenHartog2014,4289.9146,-1.74,0.07,1,-1.74,0.07,0.0,0.0
DenHartog2014,4484.2198,-0.64,0.02,1,-0.64,0.02,0.0,0.0
DenHartog2014,4488.9069,-1.72,0.04,1,-1.72,0.04,0.0,0.0
DenHartog2014,4495.3936,-3.39,0.14,1,-3.39,0.14,0.0,0.0
DenHartog2014,4495.9531,-1.7,0.06,1,-1.7,0.06,0.0,0.0
DenHartog2014,4554.4512,-2.81,0.09,1,-2.81,0.09,0.0,0.0
DenHartog2014,4565.6619,-2.17,0.04,1,-2.17,0.04,0.0,0.0
DenHartog2014,4574.2162,-2.35,0.06,1,-2.35,0.06,0.0,0.0
DenHartog2014,4607.6469,-1.33,0.03,1,-1.33,0.03,0.0,0.0
DenHartog2014,4619.288,-1.06,0.03,1,-1.06,0.03,0.0,0.0
DenHartog2014,4625.0453,-1.27,0.02,1,-1.27,0.02,0.0,0.0
DenHartog2014,4637.5034,-1.29,0.03,1,-1.29,0.03,0.0,0.0
DenHartog2014,4654.605,-1.14,0.03,1,-1.14,0.03,0.0,0.0
DenHartog2014,4667.4531,-0.71,0.03,1,-0.71,0.03,0.0,0.0
DenHartog2014,4668.1344,-1.08,0.03,1,-1.08,0.03,0.0,0.0
DenHartog2014,4669.1711,-1.25,0.03,1,-1.25,0.03,0.0,0.0
DenHartog2014,4678.8458,-0.68,0.02,1,-0.68,0.02,0.0,0.0
DenHartog2014,4704.9481,-1.32,0.05,1,-1.32,0.05,0.0,0.0
DenHartog2014,4709.0881,-1.32,0.04,1,-1.32,0.04,0.0,0.0
DenHartog2014,4726.137,-2.89,0.09,1,-2.89,0.09,0.0,0.0
DenHartog2014,4727.3946,-1.06,0.03,1,-1.06,0.03,0.0,0.0
DenHartog2014,4736.7734,-0.67,0.02,1,-0.67,0.02,0.0,0.0
DenHartog2014,4745.8001,-1.25,0.04,1,-1.25,0.04,0.0,0.0
DenHartog2014,4768.3203,-1.41,0.04,1,-1.41,0.04,0.0,0.0
DenHartog2014,4787.8269,-2.62,0.06,1,-2.62,0.06,0.0,0.0
DenHartog2014,4843.1438,-1.65,0.03,1,-1.65,0.03,0.0,0.0
DenHartog2014,4855.6732,-1.63,0.03,1,-1.63,0.03,0.0,0.0
DenHartog2014,4882.1434,-1.48,0.03,1,-1.48,0.03,0.0,0.0
DenHartog2014,4896.4385,-1.89,0.05,1,-1.89,0.05,0.0,0.0
DenHartog2014,4907.7318,-1.7,0.03,1,-1.7,0.03,0.0,0.0
DenHartog2014,4910.0169,-1.28,0.02,1,-1.28,0.02,0.0,0.0
DenHartog2014,4950.106,-1.5,0.03,1,-1.5,0.03,0.0,0.0
DenHartog2014,4966.0889,-0.79,0.02,1,-0.79,0.02,0.0,0.0
DenHartog2014,4985.2529,-0.44,0.02,1,-0.44,0.02,0.0,0.0
DenHartog2014,5014.9425,-0.18,0.02,1,-0.18,0.02,0.0,0.0
DenHartog2014,5039.252,-1.52,0.03,1,-1.52,0.03,0.0,0.0
DenHartog2014,5048.4361,-1.0,0.02,1,-1.0,0.02,0.0,0.0
DenHartog2014,5099.0773,-1.39,0.03,1,-1.39,0.03,0.0,0.0
DenHartog2014,5133.6885,0.36,0.02,1,0.36,0.02,0.0,0.0
DenHartog2014,5208.594,-0.89,0.02,1,-0.89,0.02,0.0,0.0
DenHartog2014,5215.1806,-0.86,0.02,1,-0.86,0.02,0.0,0.0
DenHartog2014,5217.3893,-1.07,0.02,1,-1.07,0.02,0.0,0.0
DenHartog2014,5253.4617,-1.58,0.02,1,-1.58,0.02,0.0,0.0
DenHartog2014,5263.3063,-0.87,0.02,1,-0.87,0.02,0.0,0.0
DenHartog2014,5273.1636,-1.01,0.02,1,-1.01,0.02,0.0,0.0
DenHartog2014,5283.621,-0.45,0.02,1,-0.45,0.02,0.0,0.0
DenHartog2014,5302.303,-0.73,0.02,1,-0.73,0.02,0.0,0.0
DenHartog2014,5339.9294,-0.63,0.02,1,-0.63,0.02,0.0,0.0
DenHartog2014,5455.4544,0.27,0.02,1,0.27,0.02,0.0,0.0
DenHartog2014,5476.5642,-0.28,0.02,1,-0.28,0.02,0.0,0.0
DenHartog2014,5483.0988,-1.39,0.03,1,-1.39,0.03,0.0,0.0
DenHartog2014,5569.6181,-0.52,0.02,1,-0.52,0.02,0.0,0.0
DenHartog2014,5572.8424,-0.28,0.02,1,-0.28,0.02,0.0,0.0
DenHartog2014,5573.1024,-1.29,0.04,1,-1.29,0.04,0.0,0.0
DenHartog2014,5586.7559,-0.11,0.02,1,-0.11,0.02,0.0,0.0
DenHartog2014,5602.7673,-0.95,0.03,1,-0.95,0.03,0.0,0.0
DenHartog2014,5602.9451,-0.89,0.02,1,-0.89,0.02,0.0,0.0
DenHartog2014,5618.6327,-1.25,0.03,1,-1.25,0.03,0.0,0.0
DenHartog2014,5624.5422,-0.76,0.02,1,-0.76,0.02,0.0,0.0
DenHartog2014,5658.5317,-1.85,0.03,1,-1.85,0.03,0.0,0.0
DenHartog2014,5658.8164,-0.76,0.02,1,-0.76,0.02,0.0,0.0
DenHartog2014,5662.5162,-0.41,0.02,1,-0.41,0.02,0.0,0.0
DenHartog2014,5712.1316,-2.01,0.07,1,-2.01,0.07,0.0,0.0
DenHartog2014,5753.1227,-0.62,0.02,1,-0.62,0.02,0.0,0.0
DenHartog2014,5775.0806,-1.08,0.03,1,-1.08,0.03,0.0,0.0
DenHartog2014,6141.732,-1.46,0.03,1,-1.46,0.03,0.0,0.0
DenHartog2014,6232.6412,-1.24,0.03,1,-1.24,0.03,0.0,0.0
DenHartog2014,6246.3188,-0.77,0.02,1,-0.77,0.02,0.0,0.0
DenHartog2014,6301.5012,-0.71,0.02,1,-0.71,0.02,0.0,0.0
DenHartog2014,6336.8243,-0.85,0.02,1,-0.85,0.02,0.0,0.0
DenHartog2014,6408.0184,-0.99,0.02,1,-0.99,0.02,0.0,0.0
DenHartog2014,6411.6493,-0.59,0.02,1,-0.59,0.02,0.0,0.0
DenHartog2014,6855.1621,-0.49,0.02,1,-0.49,0.02,0.0,0.0
DenHartog2014,6858.1498,-0.9,0.03,1,-0.9,0.03,0.0,0.0
DenHartog2014,7016.392,-1.07,0.03,1,-1.07,0.03,0.0,0.0
DenHartog2014,7022.9539,-1.05,0.03,1,-1.05,0.03,0.0,0.0
DenHartog2014,7130.9221,-0.69,0.02,1,-0.69,0.02,0.0,0.0
DenHartog2014,7164.4486,-0.54,0.02,1,-0.54,0.02,0.0,0.0
DenHartog2014,7175.9251,-1.27,0.07,1,-1.27,0.07,0.0,0.0
DenHartog2014,7187.318,-0.09,0.02,1,-0.09,0.02,0.0,0.0
DenHartog2014,7239.8676,-1.34,0.11,1,-1.34,0.11,0.0,0.0
DenHartog2014,7261.514,-1.37,0.08,1,-1.37,0.08,0.0,0.0
DenHartog2014,7288.7385,-1.24,0.03,1,-1.24,0.03,0.0,0.0
DenHartog2014,7292.8294,-1.16,0.06,1,-1.16,0.06,0.0,0.0
DenHartog2014,7293.0454,-0.96,0.03,1,-0.96,0.03,0.0,0.0
DenHartog2014,7411.1544,-0.43,0.02,1,-0.43,0.02,0.0,0.0
DenHartog2014,7445.7508,-0.23,0.02,1,-0.23,0.02,0.0,0.0
DenHartog2014,7491.6486,-1.06,0.03,1,-1.06,0.03,0.0,0.0
DenHartog2014,7511.0205,0.12,0.02,1,0.12,0.02,0.0,0.0
DenHartog2014,7568.8999,-0.88,0.03,1,-0.88,0.03,0.0,0.0
DenHartog2014,7653.7596,-0.77,0.03,1,-0.77,0.03,0.0,0.0
DenHartog2014,7710.3645,-1.07,0.03,1,-1.07,0.03,0.0,0.0
DenHartog2014,7998.9458,-0.02,0.02,1,-0.02,0.02,0.0,0.0
DenHartog2014,8046.0479,-0.1,0.02,1,-0.1,0.02,0.0,0.0
DenHartog2014,8207.7429,-0.96,0.03,1,-0.96,0.03,0.0,0.0
DenHartog2014,8220.379,0.3,0.02,1,0.3,0.02,0.0,0.0
DenHartog2014,8232.3178,-0.85,0.02,1,-0.85,0.02,0.0,0.0
DenHartog2014,8339.4039,-0.54,0.03,1,-0.54,0.03,0.0,0.0
DenHartog2014,8360.7956,-1.1,0.04,1,-1.1,0.04,0.0,0.0
DenHartog2014,8526.669,-0.59,0.03,1,-0.59,0.03,0.0,0.0
DenHartog2014,8598.8302,-1.2,0.03,1,-1.2,0.03,0.0,0.0
DenHartog2014,8713.2034,-0.75,0.04,1,-0.75,0.04,0.0,0.0
DenHartog2014,8784.4405,-1.14,0.12,1,-1.14,0.12,0.0,0.0
DenHartog2014,8808.171,-0.92,0.06,1,-0.92,0.06,0.0,0.0
DenHartog2014,8846.7407,-0.56,0.04,1,-0.56,0.04,0.0,0.0
DenHartog2014,8876.0241,-1.05,0.05,1,-1.05,0.05,0.0,0.0
DenHartog2014,9012.0745,-0.05,0.02,1,-0.05,0.02,0.0,0.0
DenHartog2014,9070.4342,-1.76,0.03,1,-1.76,0.03,0.0,0.0
DenHartog2014,9119.9705,-2.62,0.12,1,-2.62,0.12,0.0,0.0
DenHartog2014,9164.5715,-1.18,0.04,1,-1.18,0.04,0.0,0.0
DenHartog2014,9173.6758,-1.11,0.03,1,-1.11,0.03,0.0,0.0
DenHartog2014,9214.4977,-0.76,0.03,1,-0.76,0.03,0.0,0.0
DenHartog2014,9259.0055,-0.71,0.03,1,-0.71,0.03,0.0,0.0
DenHartog2014,9294.5351,-1.36,0.07,1,-1.36,0.07,0.0,0.0
DenHartog2014,9311.5149,-1.36,0.06,1,-1.36,0.06,0.0,0.0
DenHartog2014,9318.1787,-1.1,0.04,1,-1.1,0.04,0.0,0.0
DenHartog2014,9324.1745,-1.39,0.05,1,-1.39,0.05,0.0,0.0
DenHartog2014,9354.6304,-1.18,0.04,1,-1.18,0.04,0.0,0.0
