wavelength_air_A,model_flux
8.677653999999936786e+03,9.986685776137796955e-01
8.677655999999935375e+03,9.986398435543044627e-01
8.677657999999935782e+03,9.986094433277921123e-01
8.677659999999934371e+03,9.985772989558961976e-01
8.677661999999934778e+03,9.985433296021659633e-01
8.677663999999933367e+03,9.985074517233814007e-01
8.677665999999933774e+03,9.984695791110136387e-01
8.677667999999932363e+03,9.984296227974722715e-01
8.677669999999932770e+03,9.983874909473363646e-01
8.677671999999931359e+03,9.983430888994527796e-01
8.677673999999931766e+03,9.982963193793438217e-01
8.677675999999930355e+03,9.982470827490976806e-01
8.677677999999930762e+03,9.981952771772479860e-01
8.677679999999929350e+03,9.981407986917554265e-01
8.677681999999929758e+03,9.980835411548324432e-01
8.677683999999928346e+03,9.980233962703403128e-01
8.677685999999928754e+03,9.979602537898578651e-01
8.677687999999927342e+03,9.978940020291642288e-01
8.677689999999927750e+03,9.978245285412702392e-01
8.677691999999926338e+03,9.977517206009925976e-01
8.677693999999926746e+03,9.976754653316590726e-01
8.677695999999925334e+03,9.975956496492428549e-01
8.677697999999925742e+03,9.975121603612432386e-01
8.677699999999924330e+03,9.974248845799397190e-01
8.677701999999924737e+03,9.973337103706588769e-01
8.677703999999923326e+03,9.972385274939076227e-01
8.677705999999923733e+03,9.971392280772780614e-01
8.677707999999922322e+03,9.970357070739110927e-01
8.677709999999922729e+03,9.969278625361064350e-01
8.677711999999921318e+03,9.968155959559056312e-01
8.677713999999921725e+03,9.966988129564148258e-01
8.677715999999920314e+03,9.965774242842027064e-01
8.677717999999920721e+03,9.964513467461573182e-01
8.677719999999919310e+03,9.963205038382755285e-01
8.677721999999919717e+03,9.961848261094399248e-01
8.677723999999918306e+03,9.960442514900966771e-01
8.677725999999918713e+03,9.958987257919702518e-01
8.677727999999917301e+03,9.957482035107770857e-01
8.677729999999917709e+03,9.955926489720202666e-01
8.677731999999916297e+03,9.954320375771108509e-01
8.677733999999916705e+03,9.952663567141513123e-01
8.677735999999915293e+03,9.950956061462445934e-01
8.677737999999915701e+03,9.949197981621512588e-01
8.677739999999914289e+03,9.947389579731912290e-01
8.677741999999914697e+03,9.945531245101120188e-01
8.677743999999913285e+03,9.943623513760739829e-01
8.677745999999913693e+03,9.941667076789456603e-01
8.677747999999912281e+03,9.939662786112998250e-01
8.677749999999912689e+03,9.937611657778626650e-01
8.677751999999911277e+03,9.935514873777607781e-01
8.677753999999911684e+03,9.933373784687944408e-01
8.677755999999910273e+03,9.931189915260747458e-01
8.677757999999910680e+03,9.928964971795870564e-01
8.677759999999909269e+03,9.926700847287694973e-01
8.677761999999909676e+03,9.924399621762275414e-01
8.677763999999908265e+03,9.922063559142833000e-01
8.677765999999908672e+03,9.919695104105152872e-01
8.677767999999907261e+03,9.917296880701277351e-01
8.677769999999907668e+03,9.914871692115625468e-01
8.677771999999906257e+03,9.912422520303509899e-01
8.677773999999906664e+03,9.909952524418951247e-01
8.677775999999905252e+03,9.907465037120756213e-01
8.677777999999905660e+03,9.904963558328144790e-01
8.677779999999904248e+03,9.902451747171234775e-01
8.677781999999904656e+03,9.899933413577268748e-01
8.677783999999903244e+03,9.897412510131670116e-01
8.677785999999903652e+03,9.894893123650149169e-01
8.677787999999902240e+03,9.892379465728760035e-01
8.677789999999902648e+03,9.889875862460011380e-01
8.677791999999901236e+03,9.887386743980676185e-01
8.677793999999901644e+03,9.884916633358957760e-01
8.677795999999900232e+03,9.882470133100099696e-01
8.677797999999900640e+03,9.880051908166443964e-01
8.677799999999899228e+03,9.877666667326308048e-01
8.677801999999899635e+03,9.875319146509480284e-01
8.677803999999898224e+03,9.873014095662739908e-01
8.677805999999898631e+03,9.870756266990197147e-01
8.677807999999897220e+03,9.868550401104204672e-01
8.677809999999897627e+03,9.866401209656033844e-01
8.677811999999896216e+03,9.864313355443540265e-01
8.677813999999896623e+03,9.862291431588265933e-01
8.677815999999895212e+03,9.860339942197178242e-01
8.677817999999895619e+03,9.858463287011515197e-01
8.677819999999894208e+03,9.856665749429320833e-01
