canonical_line_id,species,wavelength_air,lower_EP,historical_band,historical_gf_source,historical_gf_grade,historical_source_class,historical_loggf,historical_gf_sigma_dex,verified_source_record_id,bibliography_chain,verified_source_class,verified_loggf,gf_uncertainty_bound_dex,uncertainty_basis,reference_membership,disposition_reason,physical_identity_status,component_semantics,hfs_component_status,codex_membership,deep_membership,external_membership,source_candidate_count,feature_depth,component_count,raw_component_sum_loggf,blend_flag,atomic_handoff_status,replication_membership
alphys_I_2077.5120_0152,Al I,2077.512,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-4.682,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.331,1.0,-4.682,False,HOLD,NONMEMBER
alphys_I_2077.5180_0153,Al I,2077.518,0.0,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-4.227,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.669,1.0,-4.227,False,HOLD,NONMEMBER
alphys_I_2077.5310_0154,Al I,2077.531,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-3.2045127992,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,MULTIPLE_FINE_STRUCTURE_TRANSITIONS,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.968,2.0,-3.2045127992,False,HOLD,NONMEMBER
alphys_I_2077.5990_0155,Al I,2077.599,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-4.655,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.347,1.0,-4.655,False,HOLD,NONMEMBER
alphys_I_2077.6200_0156,Al I,2077.62,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-3.1775127992,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,MULTIPLE_FINE_STRUCTURE_TRANSITIONS,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.97,2.0,-3.1775127992,False,HOLD,NONMEMBER
alphys_I_2077.6370_0157,Al I,2077.637,0.0,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-2.729,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.984,1.0,-2.729,False,HOLD,NONMEMBER
alphys_I_2077.6920_0158,Al I,2077.692,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-4.629,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.363,1.0,-4.629,False,HOLD,NONMEMBER
alphys_I_2077.7140_0159,Al I,2077.714,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-3.1505127992,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,MULTIPLE_FINE_STRUCTURE_TRANSITIONS,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.971,2.0,-3.1505127992,False,HOLD,NONMEMBER
alphys_I_2077.7910_0160,Al I,2077.791,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-4.601,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.38,1.0,-4.601,False,HOLD,NONMEMBER
alphys_I_2077.8141_0161,Al I,2077.8141,0.0139,NUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-3.1225127992,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,MULTIPLE_FINE_STRUCTURE_TRANSITIONS,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.972,2.0,-3.1225127992,False,HOLD,NONMEMBER
