canonical_line_id,line_set,membership,atomic_handoff_status,verified_source_record_id,gf_semantics,reason
alphys_II_1818.3550_0021,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1818.3550_0021,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1818.3550_0021,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1855.9182_0022,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1855.9182_0022,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1855.9182_0022,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1855.9182_0022,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1855.9323_0023,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1855.9323_0023,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1855.9323_0023,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1855.9323_0023,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1858.0250_0024,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1858.0250_0024,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1858.0250_0024,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1858.0250_0024,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1862.3110_0025,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1862.3110_0025,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1862.3110_0025,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1862.3110_0025,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1931.0500_0026,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1931.0500_0026,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1931.0500_0026,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1931.0500_0026,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_1932.2660_0027,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_1932.2660_0027,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_1932.2660_0027,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_1932.2660_0027,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_1936.4590_0028,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_1936.4590_0028,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_1936.4590_0028,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_1936.4590_0028,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1960.8470_0029,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1960.8470_0029,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1960.8470_0029,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1960.8470_0029,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1964.9910_0030,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1964.9910_0030,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1964.9910_0030,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1964.9910_0030,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1990.5330_0031,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1990.5330_0031,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1990.5330_0031,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1990.5330_0031,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.4140_0032,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.4140_0032,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.4140_0032,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.4140_0032,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.4338_0033,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.4338_0033,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.4338_0033,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.4338_0033,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.4538_0034,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.4538_0034,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.4538_0034,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.4538_0034,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.4748_0035,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.4748_0035,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.4748_0035,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.4748_0035,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.4968_0036,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.4968_0036,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.4968_0036,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.4968_0036,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.5198_0037,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.5198_0037,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.5198_0037,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.5198_0037,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.5428_0038,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.5428_0038,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_I_2071.5428_0038,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
