source_row,species,wavelength_vac_nm,lower_energy_eV,published_loggf,source_band,join_status,candidate_count,matched_file,matched_line,raw_transition_label,identity_basis,ambiguity_note
48,CH,3303.452,0.464,-2.778,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
49,CH,3328.182,0.312,-3.234,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
50,CH,3328.316,0.312,-3.186,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
51,CH,3340.768,0.268,-3.283,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
52,CH,3340.912,0.268,-3.235,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
53,CH,3341.536,1.229,-2.400,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
54,CH,3341.748,1.229,-2.421,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
55,CH,3354.336,0.227,-3.330,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
56,CH,3354.502,0.227,-3.285,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
57,CH,3368.937,0.189,-3.391,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
58,CH,3369.147,0.190,-3.337,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
59,CH,3386.223,0.155,-3.393,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
60,CH,3404.767,0.123,-3.516,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
61,CH,3405.068,0.124,-3.453,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
62,CH,3425.336,0.096,-3.588,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
63,CH,3425.709,0.096,-3.518,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
64,CH,3426.271,0.096,-3.519,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
65,CH,3466.055,1.151,-2.275,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
66,CH,3481.479,1.293,-2.217,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
67,CH,3481.883,1.293,-2.219,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
68,CH,3490.577,0.639,-2.935,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
69,CH,3490.728,0.639,-2.891,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
70,CH,3516.531,0.557,-2.984,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
71,CH,3527.370,0.021,-3.878,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
72,CH,3568.989,0.458,-3.210,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
73,CH,3569.319,0.458,-3.148,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
74,CH,3590.970,0.431,-3.281,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
75,CH,3644.955,1.091,-2.329,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
76,CH,3650.817,1.041,-2.691,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
77,CH,3650.937,1.041,-2.646,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
78,CH,3652.374,1.442,-2.128,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
79,CH,3661.034,1.507,-2.099,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
80,CH,3666.597,0.370,-3.567,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
81,CH,3668.813,0.950,-2.729,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
82,CH,3680.588,0.910,-2.815,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
83,CH,3680.762,0.910,-2.769,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
84,CH,3693.757,0.872,-2.865,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
85,CH,3693.976,0.872,-2.817,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
86,CH,3694.527,0.872,-2.864,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
87,CH,3710.490,0.837,-2.916,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
88,CH,3728.067,0.805,-2.918,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
89,CH,3748.550,0.776,-3.036,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
90,CH,3770.038,0.751,-3.107,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
91,CH,3770.482,0.751,-3.039,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
92,CH,3771.106,0.751,-3.036,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
93,CH,3795.461,0.728,-3.110,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
94,12C16O,4297.175,2.242,-2.876,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,104714,0.000  199.0 2.41E+01 'X' 'X'   99.0   98.0 'X' 'X'   0.0    0.0  'v1-0_J99-98_Li2015',wavelength+lower_energy+loggf,
95,12C16O,4297.866,2.286,-2.872,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,104718,0.000  201.0 2.41E+01 'X' 'X'   100.0   99.0 'X' 'X'   0.0    0.0  'v1-0_J100-99_Li2015',wavelength+lower_energy+loggf,
96,12C16O,4298.650,2.331,-2.867,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,104722,0.000  203.0 2.41E+01 'X' 'X'   101.0   100.0 'X' 'X'   0.0    0.0  'v1-0_J101-100_Li2015',wavelength+lower_energy+loggf,
97,12C16O,4299.525,2.376,-2.862,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,104727,0.000  205.0 2.42E+01 'X' 'X'   102.0   101.0 'X' 'X'   0.0    0.0  'v1-0_J102-101_Li2015',wavelength+lower_energy+loggf,
98,12C16O,4301.555,2.467,-2.854,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,104741,0.000  209.0 2.42E+01 'X' 'X'   104.0   103.0 'X' 'X'   0.0    0.0  'v1-0_J104-103_Li2015',wavelength+lower_energy+loggf,
99,12C16O,4303.958,2.560,-2.845,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,104752,0.000  213.0 2.42E+01 'X' 'X'   106.0   105.0 'X' 'X'   0.0    0.0  'v1-0_J106-105_Li2015',wavelength+lower_energy+loggf,
100,12C16O,4306.737,2.654,-2.837,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,104761,0.000  217.0 2.41E+01 'X' 'X'   108.0   107.0 'X' 'X'   0.0    0.0  'v1-0_J108-107_Li2015',wavelength+lower_energy+loggf,
101,12C16O,4309.898,2.750,-2.828,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,104774,0.000  221.0 2.41E+01 'X' 'X'   110.0   109.0 'X' 'X'   0.0    0.0  'v1-0_J110-109_Li2015',wavelength+lower_energy+loggf,
102,12C16O,4715.722,0.266,-4.639,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,106524,0.000    3.0 2.30E+01 'X' 'X'    1.0    0.0 'X' 'X'   0.0    0.0  'v2-1_J1-0_Li2015',wavelength+lower_energy+loggf,
103,12C16O,4741.278,0.267,-4.340,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,106631,0.000    3.0 4.52E+01 'X' 'X'    1.0    2.0 'X' 'X'   0.0    0.0  'v2-1_J1-2_Li2015',wavelength+lower_energy+loggf,
104,12C16O,4801.248,0.530,-4.170,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,106871,0.000    3.0 6.52E+01 'X' 'X'    1.0    2.0 'X' 'X'   0.0    0.0  'v3-2_J1-2_Li2015',wavelength+lower_energy+loggf,
105,12C16O,4827.641,0.788,-4.049,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,106964,0.000    5.0 5.11E+01 'X' 'X'    2.0    1.0 'X' 'X'   0.0    0.0  'v4-3_J2-1_Li2015',wavelength+lower_energy+loggf,
106,12C16O,4836.209,0.787,-4.351,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,106988,0.000    3.0 4.24E+01 'X' 'X'    1.0    0.0 'X' 'X'   0.0    0.0  'v4-3_J1-0_Li2015',wavelength+lower_energy+loggf,
107,12C16O,4862.594,0.789,-4.052,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,107106,0.000    3.0 8.34E+01 'X' 'X'    1.0    2.0 'X' 'X'   0.0    0.0  'v4-3_J1-2_Li2015',wavelength+lower_energy+loggf,
108,12C16O,4864.405,1.048,-3.559,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,107113,0.000   11.0 7.08E+01 'X' 'X'    5.0    4.0 'X' 'X'   0.0    0.0  'v5-4_J5-4_Li2015',wavelength+lower_energy+loggf,
109,12C16O,4871.619,0.790,-3.877,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,107144,0.000    5.0 7.46E+01 'X' 'X'    2.0    3.0 'X' 'X'   0.0    0.0  'v4-3_J2-3_Li2015',wavelength+lower_energy+loggf,
110,12C16O,4880.759,0.792,-3.753,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,107178,0.000    7.0 7.07E+01 'X' 'X'    3.0    4.0 'X' 'X'   0.0    0.0  'v4-3_J3-4_Li2015',wavelength+lower_energy+loggf,
111,12C16O,4881.246,1.045,-3.782,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,107180,0.000    7.0 6.60E+01 'X' 'X'    3.0    2.0 'X' 'X'   0.0    0.0  'v5-4_J3-2_Li2015',wavelength+lower_energy+loggf,
112,12C16O,4898.544,1.043,-4.261,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,107235,0.000    3.0 5.08E+01 'X' 'X'    1.0    0.0 'X' 'X'   0.0    0.0  'v5-4_J1-0_Li2015',wavelength+lower_energy+loggf,
113,12C16O,4916.305,1.044,-4.262,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,107304,0.000    1.0 1.51E+02 'X' 'X'    0.0    1.0 'X' 'X'   0.0    0.0  'v5-4_J0-1_Li2015',wavelength+lower_energy+loggf,
114,12C16O,4934.535,1.046,-3.787,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,107382,0.000    5.0 8.95E+01 'X' 'X'    2.0    3.0 'X' 'X'   0.0    0.0  'v5-4_J2-3_Li2015',wavelength+lower_energy+loggf,
115,12C16O,4943.828,1.048,-3.663,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,107416,0.000    7.0 8.48E+01 'X' 'X'    3.0    4.0 'X' 'X'   0.0    0.0  'v5-4_J3-4_Li2015',wavelength+lower_energy+loggf,
116,12C16O,4962.772,1.053,-3.488,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,107480,0.000   11.0 8.00E+01 'X' 'X'    5.0    6.0 'X' 'X'   0.0    0.0  'v5-4_J5-6_Li2015',wavelength+lower_energy+loggf,
117,12C16O,6113.014,2.154,-3.041,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,111207,0.000  191.0 8.49E+00 'X' 'X'   95.0   96.0 'X' 'X'   0.0    0.0  'v1-0_J95-96_Li2015',wavelength+lower_energy+loggf,
118,12C16O,6162.372,2.242,-3.034,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,111333,0.000  195.0 8.32E+00 'X' 'X'   97.0   98.0 'X' 'X'   0.0    0.0  'v1-0_J97-98_Li2015',wavelength+lower_energy+loggf,
119,12C16O,6225.817,2.443,-2.743,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,111519,0.000  193.0 1.61E+01 'X' 'X'   96.0   97.0 'X' 'X'   0.0    0.0  'v2-1_J96-97_Li2015',wavelength+lower_energy+loggf,
120,12C16O,6251.223,2.486,-2.739,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,111583,0.000  195.0 1.60E+01 'X' 'X'   97.0   98.0 'X' 'X'   0.0    0.0  'v2-1_J97-98_Li2015',wavelength+lower_energy+loggf,
121,12C16O,6329.214,2.619,-2.729,IR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,111797,0.000  201.0 1.54E+01 'X' 'X'   100.0   101.0 'X' 'X'   0.0    0.0  'v2-1_J100-101_Li2015',wavelength+lower_energy+loggf,
122,12C16O,2295.407,0.408,-5.325,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88201,0.000   85.0 7.04E-01 'X' 'X'   42.0   41.0 'X' 'X'   0.0    0.0  'v2-0_J42-41_Li2015',wavelength+lower_energy+loggf,
123,12C16O,2297.774,1.009,-5.056,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88235,0.000  133.0 8.35E-01 'X' 'X'   66.0   65.0 'X' 'X'   0.0    0.0  'v2-0_J66-65_Li2015',wavelength+lower_energy+loggf,
124,12C16O,2298.392,1.039,-5.046,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88242,0.000  135.0 8.41E-01 'X' 'X'   67.0   66.0 'X' 'X'   0.0    0.0  'v2-0_J67-66_Li2015',wavelength+lower_energy+loggf,
125,12C16O,2305.777,0.167,-5.561,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88338,0.000   55.0 6.27E-01 'X' 'X'   27.0   26.0 'X' 'X'   0.0    0.0  'v2-0_J27-26_Li2015',wavelength+lower_energy+loggf,
126,12C16O,2306.789,0.155,-5.580,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88348,0.000   53.0 6.22E-01 'X' 'X'   26.0   25.0 'X' 'X'   0.0    0.0  'v2-0_J26-25_Li2015',wavelength+lower_energy+loggf,
127,12C16O,2308.934,0.131,-5.621,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88373,0.000   49.0 6.11E-01 'X' 'X'   24.0   23.0 'X' 'X'   0.0    0.0  'v2-0_J24-23_Li2015',wavelength+lower_energy+loggf,
128,12C16O,2310.067,0.120,-5.642,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88400,0.000   47.0 6.06E-01 'X' 'X'   23.0   22.0 'X' 'X'   0.0    0.0  'v2-0_J23-22_Li2015',wavelength+lower_energy+loggf,
129,12C16O,2313.709,0.090,-5.711,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88459,0.000   41.0 5.91E-01 'X' 'X'   20.0   19.0 'X' 'X'   0.0    0.0  'v2-0_J20-19_Li2015',wavelength+lower_energy+loggf,
130,12C16O,2317.714,0.065,-5.790,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88510,0.000   35.0 5.75E-01 'X' 'X'   17.0   16.0 'X' 'X'   0.0    0.0  'v2-0_J17-16_Li2015',wavelength+lower_energy+loggf,
131,12C16O,2322.085,0.043,-5.883,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88560,0.000   29.0 5.58E-01 'X' 'X'   14.0   13.0 'X' 'X'   0.0    0.0  'v2-0_J14-13_Li2015',wavelength+lower_energy+loggf,
132,12C16O,2336.839,0.407,-5.119,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88784,0.000   51.0 1.82E+00 'X' 'X'   25.0   24.0 'X' 'X'   0.0    0.0  'v3-1_J25-24_Li2015',wavelength+lower_energy+loggf,
133,12C16O,2337.940,0.396,-5.139,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88801,0.000   49.0 1.81E+00 'X' 'X'   24.0   23.0 'X' 'X'   0.0    0.0  'v3-1_J24-23_Li2015',wavelength+lower_energy+loggf,
134,12C16O,2338.045,1.657,-4.467,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88803,0.000  157.0 2.65E+00 'X' 'X'   78.0   77.0 'X' 'X'   0.0    0.0  'v3-1_J78-77_Li2015',wavelength+lower_energy+loggf,
135,12C16O,2339.083,0.385,-5.160,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88816,0.000   47.0 1.79E+00 'X' 'X'   23.0   22.0 'X' 'X'   0.0    0.0  'v3-1_J23-22_Li2015',wavelength+lower_energy+loggf,
136,12C16O,2341.492,0.365,-5.205,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88845,0.000   43.0 1.76E+00 'X' 'X'   21.0   20.0 'X' 'X'   0.0    0.0  'v3-1_J21-20_Li2015',wavelength+lower_energy+loggf,
137,12C16O,2341.747,1.765,-4.441,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88851,0.000  163.0 2.70E+00 'X' 'X'   81.0   80.0 'X' 'X'   0.0    0.0  'v3-1_J81-80_Li2015',wavelength+lower_energy+loggf,
138,12C16O,2342.759,0.355,-5.230,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88860,0.000   41.0 1.75E+00 'X' 'X'   20.0   19.0 'X' 'X'   0.0    0.0  'v3-1_J20-19_Li2015',wavelength+lower_energy+loggf,
139,12C16O,2344.067,0.346,-5.255,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88875,0.000   39.0 1.73E+00 'X' 'X'   19.0   18.0 'X' 'X'   0.0    0.0  'v3-1_J19-18_Li2015',wavelength+lower_energy+loggf,
140,12C16O,2345.416,0.338,-5.281,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88892,0.000   37.0 1.72E+00 'X' 'X'   18.0   17.0 'X' 'X'   0.0    0.0  'v3-1_J18-17_Li2015',wavelength+lower_energy+loggf,
141,12C16O,2346.808,0.330,-5.308,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88909,0.000   35.0 1.70E+00 'X' 'X'   17.0   16.0 'X' 'X'   0.0    0.0  'v3-1_J17-16_Li2015',wavelength+lower_energy+loggf,
142,12C16O,2348.240,0.322,-5.338,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88923,0.000   33.0 1.69E+00 'X' 'X'   16.0   15.0 'X' 'X'   0.0    0.0  'v3-1_J16-15_Li2015',wavelength+lower_energy+loggf,
143,12C16O,2349.715,0.315,-5.368,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88948,0.000   31.0 1.67E+00 'X' 'X'   15.0   14.0 'X' 'X'   0.0    0.0  'v3-1_J15-14_Li2015',wavelength+lower_energy+loggf,
144,12C16O,2351.231,0.309,-5.401,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,88973,0.000   29.0 1.65E+00 'X' 'X'   14.0   13.0 'X' 'X'   0.0    0.0  'v3-1_J14-13_Li2015',wavelength+lower_energy+loggf,
145,12C16O,2359.442,0.283,-5.606,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,89124,0.000   19.0 1.56E+00 'X' 'X'    9.0    8.0 'X' 'X'   0.0    0.0  'v3-1_J9-8_Li2015',wavelength+lower_energy+loggf,
146,12C16O,2363.125,0.013,-6.240,NIR,PHYSICAL_TUPLE_MATCH,1,data/linelists/molecular/turbospectrum/CO/CO_IR_Li2015.dat,89181,0.000   13.0 5.29E-01 'X' 'X'    6.0    7.0 'X' 'X'   0.0    0.0  'v2-0_J6-7_Li2015',wavelength+lower_energy+loggf,
