species,system,wavelength_air_A,j_lower,j_upper,branch,sym_lower,e_upper,e_lower,f_value,einstein_A,source
NH,A-X,3333.3371,3,4,sR21(3),e,30089.05033,97.70999796,9.54E-05,44508.58112,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3314.5808,3,4,tR31(3),e,30258.75738,97.70999796,8.60E-08,40.56397719,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3375.3606,3,4,pR13(3),e,29943.98144,326.0236991,2.59E-05,11779.5057,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3358.9081,3,4,qR23(3),e,30089.05033,326.0236991,0.000507312,233145.3953,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3339.8638,3,4,rR3(3),e,30258.75738,326.0236991,0.002600448,1208756.362,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3372.0754,4,3,pP1(4),e,29842.31486,195.503014,0.000943922,711506.3928,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3358.6633,4,3,qP21(4),e,29960.69906,195.503014,0.00052394,398094.3172,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3343.1877,4,3,rP31(4),e,30098.47755,195.503014,1.90E-05,14585.27261,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3405.7570,4,3,nP13(4),e,29842.31486,488.6894407,7.09E-07,524.0159192,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3392.0762,4,3,oP23(4),e,29960.69906,488.6894407,3.29E-05,24525.97465,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3376.2919,4,3,pP3(4),e,30098.47755,488.6894407,0.001436508,1080103.618,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3360.5784,4,4,qQ1(4),e,29943.73778,195.503014,0.003620059,2136880.434,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3344.0610,4,4,rQ21(4),e,30090.66892,195.503014,0.00052577,313429.5863,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3325.2957,4,4,sQ31(4),e,30259.36726,195.503014,4.91E-06,2963.07466,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3394.0296,4,4,oQ13(4),e,29943.73778,488.6894407,6.24E-06,3610.006686,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3377.1826,4,4,pQ23(4),e,30090.66892,488.6894407,0.000293294,171429.7809,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3358.0449,4,4,qQ3(4),e,30259.36726,488.6894407,0.003872032,2289067.295,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3345.6227,4,5,rR1(4),e,30076.71476,195.503014,0.00284257,1385158.852,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3326.3020,4,5,sR21(4),e,30250.27278,195.503014,6.12E-05,30175.49733,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3304.1557,4,5,tR31(4),e,30451.71018,195.503014,3.16E-08,15.79457464,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3378.7754,4,5,pR13(4),e,30076.71476,488.6894407,1.18E-05,5615.280306,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3359.0710,4,5,qR23(4),e,30250.27278,488.6894407,0.000339345,164038.3266,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3336.4877,4,5,rR3(4),e,30451.71018,488.6894407,0.002547584,1248221.862,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3387.0922,4,3,oP12(4),f,29842.22875,326.8531771,5.49E-05,41015.24797,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3373.3991,4,3,pP2(4),f,29962.03186,326.8531771,0.001077789,811774.4898,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3357.8265,4,3,qP32(4),f,30099.46653,326.8531771,0.000406293,308858.7051,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3375.4551,4,4,pQ12(4),f,29943.98144,326.8531771,0.000391104,228833.6761,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3359.0018,4,4,qQ2(4),f,30089.05033,326.8531771,0.003322299,1962957.792,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3339.9564,4,4,rQ32(4),f,30258.75738,326.8531771,0.000342587,204729.9394,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3360.4491,4,5,qR12(4),f,30076.23206,326.8531771,0.000476939,230362.1559,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3340.6864,4,5,rR2(4),f,30252.21673,326.8531771,0.002435313,1190215.83,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3318.5395,4,5,sR32(4),f,30451.92263,326.8531771,3.67E-05,18182.62512,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3394.1157,5,4,oP12(5),f,29943.73778,489.4367017,4.23E-05,29940.26412,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3377.2678,5,4,pP2(5),f,30090.66892,489.4367017,0.001289263,920987.1381,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3358.1291,5,4,qP32(5),f,30259.36726,489.4367017,0.000287879,207997.4177,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3378.8607,5,5,pQ12(5),f,30076.71476,489.4367017,0.000279437,163168.3959,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3359.1554,5,5,qQ2(5),f,30250.27278,489.4367017,0.003589095,2120398.469,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3336.5709,5,5,rQ32(5),f,30451.71018,489.4367017,0.000242438,145174.9922,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3360.3004,5,6,qR12(5),f,30240.13209,489.4367017,0.000325285,162498.5888,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3337.1913,5,6,rR2(5),f,30446.14095,489.4367017,0.002427294,1229424.918,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3311.7123,5,6,sR32(5),f,30676.60826,489.4367017,2.76E-05,14185.18058,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3375.3285,5,4,pP1(5),e,29943.98144,325.7417926,0.00121124,866246.0227,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3358.8763,5,4,qP21(5),e,30089.05033,325.7417926,0.000365688,264098.5226,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3339.8324,5,4,rP31(5),e,30258.75738,325.7417926,8.26E-06,6035.996174,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3416.5888,5,4,nP13(5),e,29943.98144,683.4144964,4.03E-07,281.0734,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3399.7330,5,4,oP23(5),e,30089.05033,683.4144964,2.51E-05,17708.92385,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
