source_row,species,system,band,wavelength_vac_nm,lower_energy_eV,published_loggf,join_status,component_count,summed_loggf,subset_candidate_count,primary_wavelengths_A,primary_energies_eV,primary_loggfs,transition_labels,primary_source,primary_lines
256,CN,A-X,(0-0),1254.353,1.788,-1.077,PRIMARY_TUPLE_MATCH,1,,0,12543.54035,1.788013,-1.076859,rR1(88.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,199
257,CN,A-X,(0-0),1258.865,1.178,-1.162,PRIMARY_TUPLE_MATCH,1,,0,12588.65814,1.177961,-1.162320,pP1(71.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,70
258,CN,A-X,(0-0),1277.954,1.311,-1.147,PRIMARY_TUPLE_MATCH,1,,0,12779.54978,1.310818,-1.146602,pP1(75.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,74
259,CN,A-X,(0-0),1286.869,1.380,-1.143,PRIMARY_TUPLE_MATCH,1,,0,12868.69834,1.379675,-1.143273,pP2(76.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,1179
260,CN,A-X,(0-0),1293.257,1.415,-1.136,PRIMARY_TUPLE_MATCH,1,,0,12932.57424,1.414826,-1.136093,pP1(78.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,77
261,CN,A-X,(0-0),1294.349,1.749,-0.797,PRIMARY_TUPLE_MATCH,1,,0,12943.49343,1.748810,-0.797235,qQ2(86.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,638
262,CN,A-X,(0-0),1311.691,1.867,-0.787,PRIMARY_TUPLE_MATCH,1,,0,13116.90802,1.867450,-0.786875,qQ1(90.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,752
263,CN,A-X,(0-0),1320.778,1.596,-1.121,PRIMARY_TUPLE_MATCH,1,,0,13207.78942,1.596375,-1.120865,pP1(83.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,82
264,OH,X-X,(0-0),9389.310,3.070,-1.227,PRIMARY_TUPLE_MATCH,1,,0,93891.39090,3.069935,-1.227425,rR1f(39.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,536
265,OH,X-X,(0-0),9391.329,3.071,-1.239,PRIMARY_TUPLE_MATCH,1,,0,93903.34010,3.071524,-1.239467,rR2e(38.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,245
266,OH,X-X,(0-0),9393.967,3.066,-1.228,PRIMARY_TUPLE_MATCH,1,,0,93937.54346,3.065592,-1.227630,rR1e(39.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,73
267,OH,X-X,(0-0),9395.361,3.068,-1.240,PRIMARY_TUPLE_MATCH,1,,0,93947.09555,3.067984,-1.239661,rR2f(38.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,708
268,OH,X-X,(0-0),9471.329,2.941,-1.255,PRIMARY_TUPLE_MATCH,1,,0,94706.70718,2.940611,-1.255050,rR2e(37.5),data/reference/cno_molecular_primary/oh_brooke2016/OH-Supplementary.zip,244
