source_row,species,system,band,wavelength_vac_nm,lower_energy_eV,published_loggf,join_status,component_count,summed_loggf,subset_candidate_count,primary_wavelengths_A,primary_energies_eV,primary_loggfs,transition_labels,primary_source,primary_lines
22,C2,Swan,(0-0),510.941,0.710,0.748,STRENGTH_MISMATCH,6,0.713203,0,5109.68454;5109.58381;5109.42550;5109.42433;5109.32478;5109.30053,0.710093;0.710045;0.710093;0.710093;0.710045;0.709911,-6.079622;-3.279112;-3.272543;0.228214;0.235917;0.243709,pR13e(55);pQ12f(56);pQ23e(55);pP3e(55);pP2f(56);pP1e(57),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,880;500;1643;2408;1260;121
23,C2,Swan,(0-0),513.392,0.137,-0.262,PRIMARY_TUPLE_MATCH,1,,0,5133.91789,0.136816,-0.262352,rR2e(17),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,1414
24,C2,Swan,(0-0),514.265,0.420,0.404,AMBIGUOUS_SUM_MATCH,4,0.404035,8,5143.12020;5142.80751;5142.62764;5142.62605,0.419797;0.419566;0.419566;0.419481,-3.156487;-3.152533;0.097439;0.108026,pQ23f(40);pQ12e(41);pP2e(41);pP1f(42),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,1628;485;1245;106
25,C2,Swan,(0-0),514.274,0.420,0.087,PRIMARY_TUPLE_MATCH,1,,0,5142.74060,0.419797,0.086932,pP3f(40),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,2393
26,C2,Swan,(0-0),514.476,0.103,-0.409,PRIMARY_TUPLE_MATCH,1,,0,5144.75695,0.101357,-0.408650,rR1f(12),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,267
27,C2,Swan,(0-0),514.502,0.103,-0.444,PRIMARY_TUPLE_MATCH,1,,0,5145.02411,0.101888,-0.443732,rR2e(11),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,1408
28,C2,Swan,(0-0),514.530,0.103,-0.478,PRIMARY_TUPLE_MATCH,1,,0,5145.29124,0.102438,-0.477637,rR3f(10),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,2557
29,C2,Swan,(0-0),514.601,0.388,0.382,AMBIGUOUS_SUM_MATCH,2,0.382005,8,5146.00055;5145.99663,0.387377;0.387283,0.075378;0.086500,pP2e(39);pP1f(40),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,1243;104
30,C2,Swan,(0-0),515.199,0.328,0.335,AMBIGUOUS_SUM_MATCH,2,0.334993,3,5151.98901;5151.97959,0.327657;0.327543,0.027731;0.040107,pP2e(35);pP1f(36),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,1239;100
31,C2,Swan,(0-0),516.247,0.206,0.190,AMBIGUOUS_SUM_MATCH,3,0.190054,2,5162.86844;5162.48623;5162.45588,0.205790;0.205790;0.205598,-2.960875;-0.119962;-0.102774,pQ12e(25);pP2e(25);pP1f(26),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,469;1229;90
32,C2,Swan,(0-0),516.486,0.169,0.115,AMBIGUOUS_SUM_MATCH,2,0.114876,2,5164.87719;5164.83421,0.168115;0.167871,-0.196432;-0.176113,pP2e(21);pP1f(22),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,1225;86
33,C2,Swan,(1-0),472.765,0.373,-0.138,AMBIGUOUS_SUM_MATCH,3,-0.138061,8,4727.90382;4727.72652;4727.69049,0.372137;0.372038;0.371843,-3.622916;-0.444995;-0.433546,pQ23e(37);pP2f(38);pP1e(39),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,27017;26726;25863
34,C2,Swan,(1-2),557.646,0.634,-0.137,AMBIGUOUS_SUM_MATCH,2,-0.136772,4,5576.46463;5576.39314,0.633320;0.633058,-0.445602;-0.430140,pP2f(28);pP1e(29),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,30626;29763
35,C2,Swan,(1-2),558.220,0.583,-0.551,PRIMARY_TUPLE_MATCH,1,,0,5582.20011,0.582543,-0.550538,pP3f(22),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,31493
36,C2,Swan,(0-1),560.973,0.555,-0.118,AMBIGUOUS_SUM_MATCH,2,-0.117462,4,5609.73258;5609.71930,0.554447;0.554342,-0.424394;-0.412669,pP2e(37);pP1f(38),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,3817;2678
37,C2,Swan,(0-1),560.988,0.555,-0.436,PRIMARY_TUPLE_MATCH,1,,0,5609.87781,0.554696,-0.436020,pP3f(36),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,4965
38,C2,Swan,(0-1),561.406,0.526,-0.461,PRIMARY_TUPLE_MATCH,1,,0,5614.05006,0.525924,-0.461213,pP3f(34),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,4963
39,C2,Swan,(0-1),562.434,0.449,-0.223,AMBIGUOUS_SUM_MATCH,3,-0.222970,2,5624.71983;5624.35121;5624.32059,0.448624;0.448624;0.448467,-3.495355;-0.531741;-0.516850,pQ12e(29);pP2e(29);pP1f(30),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,3049;3809;2670
40,CH,A-X,(1-1),425.420,0.523,-1.506,PRIMARY_TUPLE_MATCH,1,,0,4254.19768,0.522710,-1.506265,R  0.00274,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,8356
41,CH,A-X,(1-1),425.441,0.523,-1.471,PRIMARY_TUPLE_MATCH,1,,0,4254.40344,0.522858,-1.471130,R -0.00844,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,9351
42,CH,A-X,(0-0),425.645,0.157,-1.455,PRIMARY_TUPLE_MATCH,1,,0,4256.44557,0.156784,-1.460293,R -0.00153,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,7813
43,CH,A-X,(1-1),426.518,0.460,-1.575,PRIMARY_TUPLE_MATCH,1,,0,4265.16916,0.459624,-1.574716,R  0.02203,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,6340
44,CH,A-X,(0-0),427.539,0.074,-1.563,PRIMARY_TUPLE_MATCH,1,,0,4275.38905,0.073792,-1.562869,R -0.00055,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,4789
45,CH,A-X,(0-0),435.783,0.157,-1.793,PRIMARY_TUPLE_MATCH,1,,0,4357.81863,0.157178,-1.792523,P  0.00308,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,7981
46,CH,X-X,(1-0),3294.615,0.773,-2.600,PRIMARY_UNRESOLVED_SUM_MATCH,2,-2.599519,1,32946.30218;32945.86797,0.774713;0.774654,-2.884240;-2.917495,R  0.0047;R  0.0036,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,44643;44294
47,CH,X-X,(1-0),3303.095,0.915,-2.523,STRENGTH_MISMATCH,2,-2.535959,0,33031.04427;33030.77149,0.917316;0.917263,-2.821529;-2.853020,R  0.0003;R -0.0065,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,45363;45014
48,CH,X-X,(1-0),3303.452,0.464,-2.778,PRIMARY_UNRESOLVED_SUM_MATCH,2,-2.780788,1,33034.92883;33034.11040,0.464949;0.464862,-3.062604;-3.101921,R  0.0030;R  0.0036,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,43023;42674
49,CH,X-X,(1-0),3328.182,0.312,-3.234,PRIMARY_TUPLE_MATCH,1,,0,33281.80197,0.314707,-3.233868,R  0.0036,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,41594
50,CH,X-X,(1-0),3328.316,0.312,-3.186,PRIMARY_TUPLE_MATCH,1,,0,33283.17555,0.314766,-3.188928,R -0.0060,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,41943
51,CH,X-X,(1-0),3340.768,0.268,-3.283,PRIMARY_TUPLE_MATCH,1,,0,33407.68767,0.269731,-3.282905,R  0.0033,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,41234
52,CH,X-X,(1-0),3340.912,0.268,-3.235,PRIMARY_TUPLE_MATCH,1,,0,33409.13866,0.269855,-3.235515,R -0.0024,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,41583
53,CH,X-X,(1-0),3341.536,1.229,-2.400,STRENGTH_MISMATCH,4,-2.120057,0,33417.45623;33417.34450;33415.36806;33415.25643,1.231034;1.230990;1.233690;1.233738,-2.708069;-2.736664;-2.708039;-2.736638,R -0.0001;R -0.0073;R -0.0027;R -0.0009,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,46803;46454;46983;46634
54,CH,X-X,(1-0),3341.748,1.229,-2.421,AMBIGUOUS_SUM_MATCH,2,-2.421073,4,33415.36806;33415.25643,1.233690;1.233738,-2.708039;-2.736638,R -0.0027;R -0.0009,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,46983;46634
55,CH,X-X,(1-0),3354.336,0.227,-3.330,PRIMARY_TUPLE_MATCH,1,,0,33543.41574,0.228775,-3.334918,R -0.0023,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,40694
56,CH,X-X,(1-0),3354.502,0.227,-3.285,PRIMARY_TUPLE_MATCH,1,,0,33545.04728,0.228913,-3.284663,R -0.0036,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,41043
57,CH,X-X,(1-0),3368.937,0.189,-3.391,PRIMARY_TUPLE_MATCH,1,,0,33689.41931,0.191577,-3.390452,R -0.0037,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,40334
58,CH,X-X,(1-0),3369.147,0.190,-3.337,PRIMARY_TUPLE_MATCH,1,,0,33691.46237,0.191688,-3.336793,R -0.0043,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,40683
59,CH,X-X,(1-0),3386.223,0.155,-3.393,PRIMARY_TUPLE_MATCH,1,,0,33862.20568,0.157178,-3.392647,R -0.0023,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,40503
60,CH,X-X,(1-0),3404.767,0.123,-3.516,PRIMARY_TUPLE_MATCH,1,,0,34047.68560,0.125838,-3.515781,R -0.0018,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,39614
61,CH,X-X,(1-0),3405.068,0.124,-3.453,PRIMARY_TUPLE_MATCH,1,,0,34050.66391,0.126000,-3.452850,R -0.0028,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,39963
62,CH,X-X,(1-0),3425.336,0.096,-3.588,PRIMARY_TUPLE_MATCH,1,,0,34253.41194,0.097998,-3.587906,R -0.0052,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,39434
63,CH,X-X,(1-0),3425.709,0.096,-3.518,PRIMARY_TUPLE_MATCH,1,,0,34257.10475,0.098193,-3.518402,R -0.0050,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,39783
64,CH,X-X,(1-0),3426.271,0.096,-3.519,PRIMARY_TUPLE_MATCH,1,,0,34262.71518,0.097949,-3.518499,R -0.0029,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,39603
65,CH,X-X,(2-1),3466.055,1.151,-2.275,AMBIGUOUS_SUM_MATCH,3,-2.277827,2,34660.69949;34660.41111;34657.97945,1.152907;1.152931;1.152907,-2.563573;-2.594989;-5.770419,R  0.0066;R -0.0088;Q  0.0000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,45023;44672;44964
66,CH,X-X,(2-1),3481.479,1.293,-2.217,AMBIGUOUS_SUM_MATCH,3,-2.219063,2,34814.84418;34814.66243;34811.19249,1.294816;1.294850;1.294816,-2.505787;-2.535129;-5.790655,R  0.0065;R -0.0069;Q  0.0000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,45743;45392;45684
67,CH,X-X,(2-1),3481.883,1.293,-2.219,PRIMARY_UNRESOLVED_SUM_MATCH,2,-2.219233,1,34819.00212;34818.78386,1.292672;1.292624,-2.505839;-2.535183,R  0.0013;R -0.0061,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,45923;45572
68,CH,X-X,(2-1),3490.577,0.639,-2.935,PRIMARY_TUPLE_MATCH,1,,0,34905.75625,0.641659,-2.934428,R -0.0017,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,41612
69,CH,X-X,(2-1),3490.728,0.639,-2.891,PRIMARY_TUPLE_MATCH,1,,0,34907.23055,0.641717,-2.890890,R  0.0004,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,41963
70,CH,X-X,(2-1),3516.531,0.557,-2.984,PRIMARY_TUPLE_MATCH,1,,0,35165.30505,0.559687,-2.983523,R -0.0018,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,41243
71,CH,X-X,(1-0),3527.370,0.021,-3.878,AMBIGUOUS_COMPONENT_MATCH,2,,0,35273.69338;35270.42999,0.021284;0.021331,-3.878465;-3.878332,R -0.0003;R -0.0020,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,38163;38343
72,CH,X-X,(2-1),3568.989,0.458,-3.210,PRIMARY_TUPLE_MATCH,1,,0,35689.90696,0.459960,-3.209697,R -0.0033,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,39632
73,CH,X-X,(2-1),3569.319,0.458,-3.148,PRIMARY_TUPLE_MATCH,1,,0,35693.17706,0.460116,-3.147666,R -0.0002,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,39983
74,CH,X-X,(2-1),3590.970,0.431,-3.281,PRIMARY_TUPLE_MATCH,1,,0,35909.69214,0.432904,-3.281246,R -0.0001,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,39272
75,CH,X-X,(3-2),3644.955,1.091,-2.329,PRIMARY_UNRESOLVED_SUM_MATCH,2,-2.329000,1,36450.08275;36449.03317,1.091816;1.091735,-2.612042;-2.648796,R -0.0018;R  0.0014,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,43059;42706
76,CH,X-X,(3-2),3650.817,1.041,-2.691,PRIMARY_TUPLE_MATCH,1,,0,36508.16888,1.042470,-2.687474,R  0.0021,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,42166
77,CH,X-X,(3-2),3650.937,1.041,-2.646,PRIMARY_TUPLE_MATCH,1,,0,36509.36850,1.042558,-2.649478,R -0.0024,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,42519
78,CH,X-X,(3-2),3652.374,1.442,-2.128,PRIMARY_UNRESOLVED_SUM_MATCH,2,-2.128085,1,36523.87656;36523.54306,1.441914;1.441861,-2.414132;-2.444632,R  0.0035;R -0.0060,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,45219;44866
79,CH,X-X,(3-2),3661.034,1.507,-2.099,PRIMARY_UNRESOLVED_SUM_MATCH,2,-2.099249,1,36610.45744;36610.18937,1.508688;1.508638,-2.385882;-2.415169,R  0.0013;R -0.0080,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,45399;45046
80,CH,X-X,(2-1),3666.597,0.370,-3.567,PRIMARY_TUPLE_MATCH,1,,0,36665.98407,0.372397,-3.567541,R -0.0029,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,38372
81,CH,X-X,(3-2),3668.813,0.950,-2.729,PRIMARY_TUPLE_MATCH,1,,0,36688.14631,0.952412,-2.729025,R -0.0041,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,41799
82,CH,X-X,(3-2),3680.588,0.910,-2.815,PRIMARY_TUPLE_MATCH,1,,0,36805.95020,0.911522,-2.815430,R -0.0051,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,41266
83,CH,X-X,(3-2),3680.762,0.910,-2.769,PRIMARY_TUPLE_MATCH,1,,0,36807.60295,0.911637,-2.771747,R -0.0016,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,41619
84,CH,X-X,(3-2),3693.757,0.872,-2.865,PRIMARY_TUPLE_MATCH,1,,0,36937.60647,0.874245,-2.863559,R -0.0048,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,40906
85,CH,X-X,(3-2),3693.976,0.872,-2.817,PRIMARY_TUPLE_MATCH,1,,0,36939.73505,0.874330,-2.816930,R  0.0009,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,41259
86,CH,X-X,(3-2),3694.527,0.872,-2.864,PRIMARY_TUPLE_MATCH,1,,0,36945.31687,0.873671,-2.863665,R -0.0036,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,40726
87,CH,X-X,(3-2),3710.490,0.837,-2.916,PRIMARY_TUPLE_MATCH,1,,0,37104.93905,0.838799,-2.915841,R -0.0039,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,40546
88,CH,X-X,(3-2),3728.067,0.805,-2.918,PRIMARY_TUPLE_MATCH,1,,0,37280.67313,0.807477,-2.917772,R -0.0009,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,40539
89,CH,X-X,(3-2),3748.550,0.776,-3.036,PRIMARY_TUPLE_MATCH,1,,0,37485.48142,0.778171,-3.036071,R -0.0010,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,39826
90,CH,X-X,(3-2),3770.038,0.751,-3.107,PRIMARY_TUPLE_MATCH,1,,0,37700.34526,0.752742,-3.106771,R -0.0001,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,39466
91,CH,X-X,(3-2),3770.482,0.751,-3.039,PRIMARY_TUPLE_MATCH,1,,0,37704.79307,0.752922,-3.038395,R  0.0014,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,39819
92,CH,X-X,(3-2),3771.106,0.751,-3.036,PRIMARY_TUPLE_MATCH,1,,0,37711.05938,0.752696,-3.038490,R -0.0047,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,39639
93,CH,X-X,(3-2),3795.461,0.728,-3.110,PRIMARY_TUPLE_MATCH,1,,0,37954.59642,0.730180,-3.109459,R -0.0031,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,39459
174,NH,X-X,(0-0),11311.232,2.138,-1.557,AMBIGUOUS_COMPONENT_MATCH,2,,0,113114.40096;113112.07695,2.134587;2.134914,-1.551582;-1.551697,rR1(35);rR3(33),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,71;200
175,NH,X-X,(0-0),11471.850,2.027,-1.570,PRIMARY_TUPLE_MATCH,1,,0,114717.91896,2.026837,-1.565579,rR3(32),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,199
176,NH,X-X,(0-0),11650.680,1.920,-1.584,PRIMARY_TUPLE_MATCH,1,,0,116505.79492,1.920418,-1.580791,rR3(31),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,198
177,NH,X-X,(0-0),12068.331,1.713,-1.615,AMBIGUOUS_COMPONENT_MATCH,2,,0,120683.00479;120680.39593,1.713002;1.713042,-1.610180;-1.615275,rR2(30);rR3(29),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,328;196
178,NH,X-X,(0-0),12576.702,1.514,-1.653,AMBIGUOUS_COMPONENT_MATCH,2,,0,125767.19514;125763.70750,1.513703;1.513738,-1.648247;-1.655396,rR2(28);rR3(27),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,326;194
179,NH,X-X,(0-0),12870.162,1.417,-1.674,AMBIGUOUS_COMPONENT_MATCH,2,,0,128701.70327;128697.71375,1.417369;1.417400,-1.669508;-1.677689,rR2(27);rR3(26),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,325;193
180,NH,X-X,(1-1),13475.164,1.746,-1.733,AMBIGUOUS_COMPONENT_MATCH,2,,0,134753.88162;134750.00887,1.745555;1.745577,-1.727012;-1.733054,rR2(27);rR3(26),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,1200;1074
181,NH,X-X,(1-1),13806.663,1.656,-1.754,AMBIGUOUS_COMPONENT_MATCH,2,,0,138068.51130;138064.05491,1.655756;1.655775,-1.748526;-1.755745,rR2(26);rR3(25),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,1199;1073
182,NH,X-X,(0-0),13941.013,1.143,-1.746,PRIMARY_TUPLE_MATCH,1,,0,139410.02097,1.142950,-1.742957,rR2(24),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,322
183,NH,X-X,(0-0),14373.640,1.057,-1.774,PRIMARY_TUPLE_MATCH,1,,0,143736.37043,1.056692,-1.770910,rR2(23),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,321
184,NH,X-X,(1-1),14576.537,1.483,-1.801,AMBIGUOUS_COMPONENT_MATCH,2,,0,145766.57965;145760.76561,1.483218;1.483231,-1.796773;-1.806379,rR2(24);rR3(23),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,1197;1071
185,NH,X-X,(0-0),14851.890,0.973,-1.804,PRIMARY_TUPLE_MATCH,1,,0,148518.73562,0.973211,-1.800770,rR2(22),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,320
186,NH,X-X,(1-1),15023.045,1.401,-1.828,PRIMARY_TUPLE_MATCH,1,,0,150231.43483,1.400689,-1.823660,rR2(23),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,1196
187,NH,X-X,(1-0),2891.001,0.740,-3.411,PRIMARY_TUPLE_MATCH,1,,0,28910.01347,0.740398,-3.410829,rR2(19),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,901
188,NH,X-X,(1-0),2892.479,0.815,-3.365,PRIMARY_TUPLE_MATCH,1,,0,28924.79681,0.814971,-3.364972,rR2(20),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,902
189,NH,X-X,(1-0),2892.855,0.601,-3.508,PRIMARY_TUPLE_MATCH,1,,0,28928.54967,0.600788,-3.507606,rR2(17),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,899
190,NH,X-X,(1-0),2900.364,0.973,-3.278,PRIMARY_TUPLE_MATCH,1,,0,29003.65409,0.973211,-3.277721,rR2(22),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,904
191,NH,X-X,(1-0),2906.836,1.057,-3.236,PRIMARY_TUPLE_MATCH,1,,0,29068.37021,1.056692,-3.236133,rR2(23),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,905
192,NH,X-X,(1-0),2907.451,0.416,-3.668,PRIMARY_TUPLE_MATCH,1,,0,29074.50897,0.416435,-3.667801,rR2(14),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,896
193,NH,X-X,(1-0),2915.442,0.362,-3.726,PRIMARY_TUPLE_MATCH,1,,0,29154.41448,0.361968,-3.726058,rR2(13),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,895
194,NH,X-X,(2-1),3053.669,0.902,-3.234,PRIMARY_TUPLE_MATCH,1,,0,30536.69012,0.901823,-3.233560,rR2(16),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,2299
195,NH,X-X,(2-1),3063.770,0.787,-3.339,PRIMARY_TUPLE_MATCH,1,,0,30637.72770,0.787235,-3.338983,rR2(14),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,2297
196,NH,X-X,(2-1),3066.213,1.321,-2.962,PRIMARY_TUPLE_MATCH,1,,0,30662.13033,1.320789,-2.962025,rR2(22),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,2305
197,NH,X-X,(2-1),3074.895,1.401,-2.922,PRIMARY_TUPLE_MATCH,1,,0,30748.96435,1.400689,-2.921929,rR2(23),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,2306
198,NH,X-X,(2-1),3153.969,0.496,-3.811,PRIMARY_TUPLE_MATCH,1,,0,31539.69581,0.495936,-3.811512,rR2(7),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,2290
199,NH,X-X,(3-2),3231.031,1.248,-3.037,PRIMARY_TUPLE_MATCH,1,,0,32310.31186,1.248333,-3.037404,rR2(16),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,4156
200,NH,X-X,(3-2),3234.146,1.192,-3.087,PRIMARY_TUPLE_MATCH,1,,0,32341.47568,1.191913,-3.087241,rR2(15),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,4155
201,NH,X-X,(3-2),3239.229,1.139,-3.139,PRIMARY_TUPLE_MATCH,1,,0,32392.34403,1.138654,-3.139308,rR2(14),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,4154
202,NH,X-X,(3-2),3246.273,1.088,-3.194,PRIMARY_TUPLE_MATCH,1,,0,32462.75384,1.088623,-3.193851,rR2(13),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,4153
203,NH,X-X,(3-2),3255.261,1.042,-3.251,PRIMARY_TUPLE_MATCH,1,,0,32552.60857,1.041887,-3.251177,rR2(12),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,4152
204,NH,X-X,(4-3),3445.428,1.423,-3.049,PRIMARY_TUPLE_MATCH,1,,0,34454.30104,1.422761,-3.048650,rR2(13),data/reference/cno_molecular_primary/nh_brooke2015/BrookeEtAl-NH-2015-JCP.zip,6080
205,CN,A-X,(0-0),1087.516,0.056,-2.601,PRIMARY_TUPLE_MATCH,1,,0,10875.16510,0.056233,-2.601238,sR21(15.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,347
206,CN,A-X,(0-0),1087.548,0.089,-2.630,PRIMARY_TUPLE_MATCH,1,,0,10875.48160,0.088991,-2.630489,sR21(19.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,351
207,CN,A-X,(0-0),1088.369,0.026,-2.591,PRIMARY_TUPLE_MATCH,1,,0,10883.69000,0.025786,-2.590801,sR21(10.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,342
208,CN,A-X,(0-0),1088.654,0.021,-2.596,PRIMARY_TUPLE_MATCH,1,,0,10886.54041,0.021099,-2.595680,sR21(9.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,341
209,CN,A-X,(0-0),1090.053,0.190,-2.714,PRIMARY_TUPLE_MATCH,1,,0,10900.53411,0.189875,-2.713911,sR21(28.5),data/reference/cno_molecular_primary/cn_brooke2014/table4.dat.gz,360
