wavelength_air_A,A,ew_mA,rew,loggf_reference,source_accuracy_dex,excitation_potential_eV,log_gf,mismatch_mA,n_fe1_within_50mA,blend_species,blend_ratio_dex,robust_z,is_loose,is_laboratory,catastrophic
7401.5894,7.427734375,51.775290933131295,-5.155202441188829,K07,0.2,5.41,-1.123,0.6,1,Ti I,0.7608,-1.0599,1.0,False,False
7401.6826,7.427734375,51.736588255409394,-5.155532671698296,BK,0.04,4.186,-1.548,0.4,1,Ca I,-5.6919,-1.0599,0.0,True,False
7418.6663,7.4453125,56.61923136467261,-5.117361867166297,BWL,0.02,4.143,-1.376,0.7,1,none,,-0.9636,0.0,True,False
7435.5909,7.4453125,31.990895855816685,-5.36628908523441,K07,0.2,5.309,-0.712,0.1,1,Co I,-1.572,-0.9636,1.0,False,False
7440.911,7.69140625,70.7676811862494,-5.021791144514824,K07,0.2,4.913,-0.573,1.0,1,Ca I,-5.7246,0.3854,1.0,False,False
7443.0217,7.638671875,46.91673430882442,-5.200421510223872,FMW,0.08,4.186,-1.82,0.3,1,V II,-6.5462,0.0964,1.0,False,False
7447.3931,7.779296875,43.85662415091464,-5.229969079107382,K07,0.2,4.956,-1.209,0.9,2,Mo I,1.5406,0.8672,1.0,False,False
7453.9966,7.708984375,17.521550465004264,-5.628816656492709,FMW,0.08,4.186,-2.41,0.4,1,U II,2.7539,0.4818,1.0,False,False
7461.5194,7.708984375,34.1638461910776,-5.339260514528853,FMW,0.08,2.559,-3.58,0.6,1,Y II,-5.6352,0.4818,1.0,False,False
7471.7402,7.568359375,12.088660318045092,-5.791043588208148,K07,0.2,2.728,-3.919,0.8,1,Fe II,-5.0991,-0.2891,1.0,False,False
7476.3747,7.884765625,40.50141381723184,-5.266220875402651,FMW,0.08,4.796,-1.68,0.3,1,Ti I,0.408,1.4453,1.0,False,False
7482.2226,7.6474609375,43.98986696228785,-5.23067797598993,K07,0.2,5.086,-1.377,0.4,1,Si I,-1.2249,0.1445,1.0,False,False
7491.6468,7.55078125,76.08734883082265,-4.993264842094299,GESHRL14,0.03,4.301,-1.06,0.2,2,Fe I,-3.3941,-0.3854,0.0,True,False
7498.5298,7.708984375,24.39194591137364,-5.487729673427247,FMW,0.08,4.143,-2.25,0.2,1,none,,0.4818,1.0,False,False
7507.265,7.97265625,69.11195375325171,-5.035928575973192,K07,0.2,4.415,-1.475,1.0,1,V I,0.5488,1.9271,1.0,False,False
7514.1982,7.3486328125,21.43817206366088,-5.544694893882407,K07,0.2,5.309,-0.868,0.8,2,Fe I,-5.7106,-1.4935,1.0,False,False
7540.4291,7.638671875,15.350733221343296,-5.691266936582172,FMW,0.08,2.728,-3.85,0.9,1,Cr I,-0.4545,0.0964,1.0,False,False
7559.7188,7.90234375,46.82623475444821,-5.208016403235489,K07,0.2,5.064,-1.077,0.2,1,none,,1.5417,1.0,False,False
7568.8981,7.498046875,88.12886814594148,-4.9339144659343335,GESHRL14,0.03,4.283,-0.88,0.9,1,none,,-0.6745,0.0,True,False
7583.7875,7.515625,91.564508133034,-4.918158988637087,BWL,0.02,3.018,-1.885,0.5,1,V I,-3.2255,-0.5781,0.0,True,False
7710.3626,7.322265625,80.62427964537028,-4.980608955001921,BWL,0.02,4.22,-1.074,0.4,1,none,,-1.638,0.0,True,False
7719.0583,7.83203125,34.17976210026501,-5.3537952854569415,K07,0.2,5.033,-1.31,10.3,1,none,,1.1563,1.0,False,False
7723.2067,7.9375,56.10285391905154,-5.138812704109943,GESB82c,0.08,2.279,-3.617,0.3,1,Ti I,0.6522,1.7344,1.0,False,False
7745.5127,7.603515625,28.479964894195493,-5.434510720740571,K07,0.2,5.086,-1.172,0.3,1,Mn II,-7.7627,-0.0964,1.0,False,False
7746.5948,7.55078125,22.802418141145825,-5.5311299346636575,K07,0.2,5.064,-1.282,0.2,1,Ti I,-0.7092,-0.3854,1.0,False,False
7751.1084,7.515625,51.992002229765326,-5.173427267997227,K07,0.2,4.991,-0.753,0.6,1,Ni I,-1.3635,-0.5781,1.0,False,False
7802.4727,7.744140625,20.149307737611817,-5.587972127954116,K07,0.2,5.086,-1.522,0.3,1,Ce II,2.5225,0.6745,1.0,False,False
7807.9084,7.533203125,68.99720308514148,-5.053703223423596,K07,0.2,4.991,-0.541,0.6,1,none,,-0.4818,1.0,False,False
7810.814,8.640625,70.30366079920529,-5.04571835615055,K07,0.2,5.033,-1.155,1.0,1,none,,5.5886,1.0,False,True
7844.5582,7.65625,16.36018006544234,-5.680780410104567,FMW,0.08,4.835,-1.81,0.2,2,Sc I,-1.3755,0.1927,1.0,False,False
7879.7564,7.97265625,25.66694777808596,-5.487138564639685,FMW,0.08,5.033,-1.65,0.6,1,none,,1.9271,1.0,False,False
7941.0872,7.357421875,48.852196441012254,-5.210995870190991,BKK,0.04,3.274,-2.286,0.8,1,none,,-1.4453,0.0,True,False
