element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,problem_class,problem_status,problem_tickets,problem_action,ep_eV,nlte_delta_dex,nlte_source,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2
Fe,I,5223.1824,kpno_solar_atlas,41.23875736077297,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.026; red_chi2=2.773; n_pix=67; window +/-0.224 A wing-wide from EW 40 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.026,-5.102629621903246,ENGINE-B,True,,,,,,3.6352,0.0,"none — LTE, no departure applied",False,0.014245067334315716,53.792474200348856,2.9738616867285534,2.773
Fe,I,5257.6544,kpno_solar_atlas,34.92797657606608,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.466; red_chi2=3.948; n_pix=57; window +/-0.194 A wing-wide from EW 29 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.466,-5.1776186082327875,ENGINE-B,True,,,,,,3.5732,0.0,"none — LTE, no departure applied",False,0.026116460087020368,8.198391601734443,2.533817935734411,3.948
Fe,I,5293.9582,kpno_solar_atlas,7.603199364805847,SYNTHESIS (VIS) via _fit_synth_flux,,-5.8427841295325855,ENGINE-B,False,CHI2-GATE: red_chi2 122.623 >= 10.0. The fit converged (A=6.292) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,,,,,4.1426,0.0,"none — LTE, no departure applied",False,0.039200283510694815,0.26571048170566886,2.2922733056351907,122.623
Fe,I,5295.3121,kpno_solar_atlas,62.02126456270182,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.537; red_chi2=1.929; n_pix=63; window +/-0.211 A wing-wide from EW 35 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.537,-4.931350945147764,ENGINE-B,True,,,,,,4.4153,0.0,"none — LTE, no departure applied",False,0.012111198699825647,69.79358909216455,2.462867267337564,1.929
Fe,I,5308.4567,kpno_solar_atlas,35.21469345826263,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.632; red_chi2=2.102; n_pix=62; window +/-0.211 A wing-wide from EW 35 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.632,-5.178244367017927,ENGINE-B,True,,,,,,4.7955,0.0,"none — LTE, no departure applied",False,0.025119661969560406,7.921071011660114,2.3675436888270065,2.102
Fe,I,5321.1073,kpno_solar_atlas,117.5857535796988,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.341; red_chi2=3.728; n_pix=97; window +/-0.259 A wing-wide from EW 53 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.341,-4.655647309747007,ENGINE-B,True,,,,,,4.4346,0.0,"none — LTE, no departure applied",False,0.01450585124356229,46.74738140378827,2.6589426068281155,3.728
Fe,I,5333.7683,kpno_solar_atlas,0.7166867725968374,SYNTHESIS (VIS) via _fit_synth_flux,,-6.871704756857432,ENGINE-B,False,"NON-MINIMUM: chi2 at a bracket end is not above the reported minimum (frac_rise = -8.06e-05 <= 0), so the optimizer returned a point that is not a minimum and the fit did not determine A(X). A correctness failure, not a quality threshold. Measured and retained; excluded from the aggregate only (RYA-711). Fit reported A=4.108.",,,,,3.0173,0.0,"none — LTE, no departure applied",False,1.3935355535453022,-8.061959823800469e-05,0.10797472072291647,6.091
Fe,I,5366.42,kpno_solar_atlas,120.3734717289006,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.808; red_chi2=0.196; n_pix=55; window +/-0.191 A wing-wide from EW 27 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.808,-4.649153873161587,ENGINE-B,True,,,,,,5.0674,0.0,"none — LTE, no departure applied",False,0.0096897266158038,52.78341901208063,2.192012868166006,0.196
Fe,I,5379.5734,kpno_solar_atlas,78.21673606772974,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.709; red_chi2=8.739; n_pix=85; window +/-0.296 A wing-wide from EW 68 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.709,-4.837448148318279,ENGINE-B,True,,,,,,3.6946,0.0,"none — LTE, no departure applied",False,0.010866841323974849,22.93488732343718,2.291431149420074,8.739
Fe,I,5386.3328,kpno_solar_atlas,55.47597884136328,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.450; red_chi2=2.516; n_pix=61; window +/-0.218 A wing-wide from EW 38 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.45,-4.9871882093816495,ENGINE-B,True,,,,,,4.1544,0.0,"none — LTE, no departure applied",False,0.012314347758521646,65.7177968074815,2.550378050405291,2.516
Fe,I,5417.0332,kpno_solar_atlas,46.23145567552609,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.617; red_chi2=3.927; n_pix=63; window +/-0.229 A wing-wide from EW 42 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.617,-5.068823929157138,ENGINE-B,True,,,,,,4.4153,0.0,"none — LTE, no departure applied",False,0.015232768741893552,46.125468765217136,2.3832188987182406,3.927
Fe,I,5441.3386,kpno_solar_atlas,36.928330149188085,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.550; red_chi2=1.886; n_pix=62; window +/-0.222 A wing-wide from EW 39 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.55,-5.168346081868741,ENGINE-B,True,,,,,,4.3125,0.0,"none — LTE, no departure applied",False,0.011606140566057254,82.95401391462536,2.4496122556592628,1.886
Fe,I,5461.5489,kpno_solar_atlas,51.076572433631554,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.687; red_chi2=1.577; n_pix=56; window +/-0.202 A wing-wide from EW 31 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.687,-5.029094080846916,ENGINE-B,True,,,,,,4.4456,0.0,"none — LTE, no departure applied",False,0.011094847729889,72.21099452833785,2.313054089193801,1.577
Fe,I,5464.2795,kpno_solar_atlas,92.30116058320715,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.311; red_chi2=1.909; n_pix=69; window +/-0.246 A wing-wide from EW 48 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.311,-4.772325743747025,ENGINE-B,True,,,,,,4.1426,0.0,"none — LTE, no departure applied",False,0.011339692226633575,104.50924717337124,2.6891824289971353,1.909
Fe,I,5472.7084,kpno_solar_atlas,64.03033417079793,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.513; red_chi2=1.616; n_pix=73; window +/-0.267 A wing-wide from EW 57 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.513,-4.931816540041197,ENGINE-B,True,,,,,,4.2089,0.0,"none — LTE, no departure applied",False,0.012733871515393647,101.80327631028116,2.487147317424343,1.616
Fe,I,5478.4549,kpno_solar_atlas,38.659255827123786,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.593; red_chi2=2.189; n_pix=75; window +/-0.275 A wing-wide from EW 60 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.593,-5.151404600975667,ENGINE-B,True,,,,,,4.1909,0.0,"none — LTE, no departure applied",False,0.012545065084730626,60.99359269809419,2.407021279966216,2.189
Fe,I,5505.8807,kpno_solar_atlas,122.30416219498078,SYNTHESIS (VIS) via _fit_synth_flux,,-4.653385559995087,ENGINE-B,False,CHI2-GATE: red_chi2 104.177 >= 10.0. The fit converged (A=6.758) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,,,,,4.4153,0.0,"none — LTE, no departure applied",False,0.09132724126609115,0.5382500799064142,2.757930939948994,104.177
Fe,I,5508.4084,kpno_solar_atlas,58.793999298315185,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=8.137; red_chi2=2.084; n_pix=63; window +/-0.231 A wing-wide from EW 43 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",8.137,-4.971693129023556,ENGINE-B,True,,,,,,4.9556,0.0,"none — LTE, no departure applied",False,0.018428884605959026,20.466074768259293,1.8632994321153102,2.084
Fe,I,5522.4458,kpno_solar_atlas,48.436475837900815,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.525; red_chi2=2.597; n_pix=66; window +/-0.248 A wing-wide from EW 49 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.525,-5.056958925150307,ENGINE-B,True,,,,,,4.2089,0.0,"none — LTE, no departure applied",False,0.01329852234508095,98.65104298055624,2.474505400853478,2.597
Fe,I,5525.477,kpno_solar_atlas,72.61478858302334,SYNTHESIS (VIS) via _fit_synth_flux,,-4.881344698228115,ENGINE-B,False,CHI2-GATE: red_chi2 15.868 >= 10.0. The fit converged (A=7.208) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,,,,,4.2089,0.0,"none — LTE, no departure applied",False,0.025862428224082582,19.02352051859606,2.792098005606694,15.868
Fe,I,5525.5433,kpno_solar_atlas,72.59862355451283,SYNTHESIS (VIS) via _fit_synth_flux,,-4.8814465998357965,ENGINE-B,False,CHI2-GATE: red_chi2 16.924 >= 10.0. The fit converged (A=7.211) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,,,,,4.2305,0.0,"none — LTE, no departure applied",False,0.027275151547343987,17.831492941710525,2.789057613489491,16.924
Fe,I,5532.7462,kpno_solar_atlas,73.12312644832869,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.311; red_chi2=2.705; n_pix=79; window +/-0.293 A wing-wide from EW 66 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.311,-4.8788859967746365,ENGINE-B,True,,,,,,3.5732,0.0,"none — LTE, no departure applied",False,0.012751732962049385,85.8545811820276,2.6893763056555766,2.705
Fe,I,5532.8637,kpno_solar_atlas,74.09572439471923,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.320; red_chi2=2.126; n_pix=79; window +/-0.292 A wing-wide from EW 66 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.32,-4.87315682340803,ENGINE-B,True,,,,,,4.4456,0.0,"none — LTE, no departure applied",False,0.008697542395242279,109.59172685114002,2.679856233520998,2.126
Fe,I,5536.5801,kpno_solar_atlas,8.697444628684815,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.365; red_chi2=4.243; n_pix=51; window +/-0.195 A wing-wide from EW 29 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.365,-5.803849914874289,ENGINE-B,True,,,,,,2.8316,0.0,"none — LTE, no departure applied",False,0.04770123598988306,2.4910453782126685,2.634757767652582,4.243
Fe,I,5546.5051,kpno_solar_atlas,89.55635795642107,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.615; red_chi2=4.17; n_pix=80; window +/-0.297 A wing-wide from EW 68 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.615,-4.791922993113167,ENGINE-B,True,,,,,,4.3714,0.0,"none — LTE, no departure applied",False,0.018328772232499103,56.4152516009511,2.3849631565384986,4.17
Fe,I,5553.5765,kpno_solar_atlas,53.98930491244459,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.535; red_chi2=4.409; n_pix=80; window +/-0.298 A wing-wide from EW 69 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.535,-5.012265022446082,ENGINE-B,True,,,,,,4.4346,0.0,"none — LTE, no departure applied",False,0.017492557827464467,40.53526733297773,2.4651988691932,4.409
Fe,I,5560.2109,kpno_solar_atlas,93.39568873059731,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.557; red_chi2=6.626; n_pix=137; window +/-0.275 A wing-wide from EW 60 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.557,-4.774764435696957,ENGINE-B,True,,,,,,4.4346,0.0,"none — LTE, no departure applied",False,0.016699946298709082,44.81261797636931,2.4428014227799135,6.626
Fe,I,5568.81,kpno_solar_atlas,160.45001789067842,SYNTHESIS (VIS) via _fit_synth_flux,,-4.5404226307661695,ENGINE-B,False,CHI2-GATE: red_chi2 11.967 >= 10.0. The fit converged (A=7.273) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,,,,,3.6352,0.0,"none — LTE, no departure applied",False,0.08561722142679912,0.9344032959427038,2.727159043916185,11.967
Fe,I,5584.0216,kpno_solar_atlas,0.13213469032740738,SYNTHESIS (VIS) via _fit_synth_flux,,-7.625930238322683,ENGINE-B,False,CHI2-GATE: red_chi2 91.851 >= 10.0. The fit converged (A=4.189) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,,,,,4.3714,0.0,"none — LTE, no departure applied",False,,-2.1601365523254915e-05,0.1888827413541696,91.851
Fe,I,5607.6637,kpno_solar_atlas,20.677510885277638,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.577; red_chi2=0.879; n_pix=44; window +/-0.172 A wing-wide from EW 20 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.577,-5.433283702324809,ENGINE-B,True,,BAD_GF,owed,"785,713",flag,4.1544,0.0,"none — LTE, no departure applied",False,0.014664603821199829,54.75329525783428,2.4226661197012263,0.879
Fe,I,5609.9605,kpno_solar_atlas,32.92942472833646,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=8.508; red_chi2=4.264; n_pix=47; window +/-0.184 A wing-wide from EW 25 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",8.508,-5.231375659654103,ENGINE-B,True,,ABUNDANCE_OUTLIER,owed,"764,783,782,809",flag,3.6398,0.0,"none — LTE, no departure applied",False,0.05213100373292829,1.9964451370336602,1.4915666263907088,4.264
Fe,I,5611.3561,kpno_solar_atlas,35.342142195349794,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.536; red_chi2=4.469; n_pix=39; window +/-0.154 A wing-wide from EW 13 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.536,-5.200774960278854,ENGINE-B,True,,,,,,3.6352,0.0,"none — LTE, no departure applied",False,0.04166317309841408,4.740214095361164,2.4642629754463155,4.469
Fe,I,5617.1896,kpno_solar_atlas,60.39970991557215,SYNTHESIS (VIS) via _fit_synth_flux,,-4.96848423027677,ENGINE-B,False,CHI2-GATE: red_chi2 11.721 >= 10.0. The fit converged (A=7.568) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,,,,,3.2515,0.0,"none — LTE, no departure applied",False,0.029202310062097447,10.480797806464015,2.432166254570147,11.721
Fe,I,5618.632,kpno_solar_atlas,99.89273999830247,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.516; red_chi2=3.341; n_pix=71; window +/-0.274 A wing-wide from EW 59 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.516,-4.750096662583328,ENGINE-B,True,,,,,,4.2089,0.0,"none — LTE, no departure applied",False,0.01719194219476886,91.61739796625945,2.484389100502746,3.341
Fe,I,5619.595,kpno_solar_atlas,175.84004471802064,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.639; red_chi2=2.854; n_pix=63; window +/-0.241 A wing-wide from EW 46 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.639,-4.504587231893837,ENGINE-B,True,,,,,,4.3865,0.0,"none — LTE, no departure applied",False,0.014327175715072324,56.870124516828014,2.3608832007788054,2.854
Fe,I,5620.3945,kpno_solar_atlas,82.93344787048288,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.424; red_chi2=4.808; n_pix=67; window +/-0.260 A wing-wide from EW 54 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.424,-4.831037079025186,ENGINE-B,True,,,,,,3.3009,0.0,"none — LTE, no departure applied",False,0.013934924219037073,36.64037607239074,2.575797409730419,4.808
Fe,I,5620.4924,kpno_solar_atlas,83.55211654237819,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.429; red_chi2=3.836; n_pix=67; window +/-0.260 A wing-wide from EW 54 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.429,-4.827816908981767,ENGINE-B,True,,,,,,4.1544,0.0,"none — LTE, no departure applied",False,0.01251086263660451,46.74928511653309,2.5709931903296193,3.836
Fe,I,5635.8039,kpno_solar_atlas,80.80366877420889,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.727; red_chi2=1.5; n_pix=62; window +/-0.242 A wing-wide from EW 47 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.727,-4.8435247935162,ENGINE-B,True,,,,,,3.4149,0.0,"none — LTE, no departure applied",False,0.010214011535680844,112.82794916784759,2.2734028620057636,1.5
Fe,I,5650.7051,kpno_solar_atlas,98.97219852715536,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.609; red_chi2=8.554; n_pix=65; window +/-0.247 A wing-wide from EW 49 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.609,-4.756589425243135,ENGINE-B,True,,,,,,5.0856,0.0,"none — LTE, no departure applied",False,0.02700851546500821,19.089114051168707,2.3913444223893148,8.554
Fe,I,5651.4683,kpno_solar_atlas,94.13736107071911,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.637; red_chi2=0.713; n_pix=47; window +/-0.181 A wing-wide from EW 23 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.637,-4.778399276243924,ENGINE-B,True,,,,,,4.4733,0.0,"none — LTE, no departure applied",False,0.00956779231276034,98.80629851015297,2.363193543717788,0.713
Fe,I,5652.3173,kpno_solar_atlas,50.731942579932934,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.588; red_chi2=2.685; n_pix=52; window +/-0.204 A wing-wide from EW 32 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.588,-5.046945041299852,ENGINE-B,True,,,,,,4.2605,0.0,"none — LTE, no departure applied",False,0.01534815761042578,45.590868530274655,2.4122537737634806,2.685
Fe,I,5653.8644,kpno_solar_atlas,44.36731341612883,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.688; red_chi2=2.534; n_pix=66; window +/-0.254 A wing-wide from EW 52 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.688,-5.105282256753321,ENGINE-B,True,,,,,,4.3865,0.0,"none — LTE, no departure applied",False,0.014472658015340796,76.7761133610304,2.31201654715678,2.534
Fe,I,5665.6347,kpno_solar_atlas,5.120631566547571,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.180; red_chi2=0.897; n_pix=64; window +/-0.246 A wing-wide from EW 48 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.18,-6.043925040191294,ENGINE-B,True,,,,,,3.6416,0.0,"none — LTE, no departure applied",False,0.03597073512143381,3.5551270524615646,2.8202157473470786,0.897
Fe,I,5679.0229,kpno_solar_atlas,73.57597995262748,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.579; red_chi2=5.17; n_pix=77; window +/-0.305 A wing-wide from EW 71 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.579,-4.887537564785181,ENGINE-B,True,,,,,,4.652,0.0,"none — LTE, no departure applied",False,0.017570792103379897,68.32898067847775,2.4211009656536957,5.17
Fe,I,5691.4963,kpno_solar_atlas,44.59382070553805,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.561; red_chi2=2.235; n_pix=65; window +/-0.260 A wing-wide from EW 54 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.561,-5.1059517744655825,ENGINE-B,True,,,,,,4.3013,0.0,"none — LTE, no departure applied",False,0.013709552632237663,84.45469660806495,2.439188352985032,2.235
Fe,I,5730.854,kpno_solar_atlas,50.515949718772305,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.218; red_chi2=1.416; n_pix=54; window +/-0.218 A wing-wide from EW 38 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.218,-5.054790822153709,ENGINE-B,True,,,,,,4.913,0.0,"none — LTE, no departure applied",False,0.022018015112435372,10.212660813992805,2.78163702323078,1.416
