asset,type,star,req_lo_A,req_hi_A,actual_lo_A,actual_hi_A,n_selected_hdr,n_data_lines,truncated,over_100k_cap,hfs,quarantine,n_elements,elements,gf_source,band_optical,band_Y,band_J,band_H,band_K,verdict
vald_alpha_cen_a_uv2_raw.txt,raw,alpha_cen_a,2000.0,3780.0,2000.1,3779.7,82485.0,82485,False,False,unknown,False,72.0,"Ag,Al,As,Au,B,Ba,Be,Bi,C,CH,CN,CO,Ca,Cd,Ce,Co,Cr,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,H,Hf,Hg,Ho,In,Ir,K,La,Lu,Mg,Mn,Mo,NH,Na,Nb,Nd,Ni,OH,Os,P,Pb,Pd,Pt,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,V,W,Y,Yb,Zn,Zr",VALD3 (raw),27879,0,0,0,0,ACCEPT
vald_alpha_cen_b_nir_raw.txt,raw,alpha_cen_b,6910.0,17000.0,6911.5,16997.2,5152.0,5152,False,False,unknown,False,25.0,"Al,C,CN,Ca,Co,Cr,Cu,Fe,H,K,Mg,Mn,Mo,Na,Ni,O,Rb,S,Si,Sr,Ti,V,Y,Zn,Zr",VALD3 (raw),2033,411,953,1755,0,ACCEPT
vald_alpha_cen_b_optical_raw.txt,raw,alpha_cen_b,3780.0,6910.0,3780.3,6907.7,36840.0,36840,False,False,unknown,False,55.0,"Al,Ba,C,CH,CN,Ca,Ce,Co,Cr,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,H,Hf,Ho,In,Ir,K,La,Mg,MgH,Mn,Mo,Na,Nb,Nd,Ni,Os,Pb,Pd,Pr,Rh,Ru,S,Sc,Si,SiH,Sm,Sn,Sr,Tb,Th,Ti,Tm,V,W,Y,Yb,Zn,Zr",VALD3 (raw),36840,0,0,0,0,ACCEPT
vald_alpha_cen_b_uv1_raw.txt,raw,alpha_cen_b,1150.0,2000.0,1150.3,2000.0,24299.0,24299,False,False,unknown,False,46.0,"Al,As,Au,B,Ba,Bi,C,CO,Ca,Cl,Co,Cr,Cu,Fe,Ga,Ge,H,Hg,In,Lu,Mg,Mn,Mo,N,Ni,O,Os,P,Pb,Pt,Rh,Ru,S,Sb,Sc,Se,Si,Sn,Sr,Te,Ti,V,Y,Yb,Zn,Zr",VALD3 (raw),0,0,0,0,0,ACCEPT
vald_alpha_cen_b_uv2_raw.txt,raw,alpha_cen_b,2000.0,3780.0,2000.1,3780.0,89714.0,89714,False,False,unknown,False,72.0,"Ag,Al,As,Au,B,Ba,Be,Bi,C,CH,CN,CO,Ca,Cd,Ce,Co,Cr,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,H,Hf,Hg,Ho,In,Ir,K,La,Lu,Mg,Mn,Mo,NH,Na,Nb,Nd,Ni,OH,Os,P,Pb,Pd,Pt,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,V,W,Y,Yb,Zn,Zr",VALD3 (raw),32643,0,0,0,0,ACCEPT
vald_procyon_nir_hfson_raw.txt,raw,procyon,6910.0,11000.0,6914.5,10984.5,1147.0,1147,False,False,on,False,22.0,"Al,C,Ca,Co,Cr,Cu,Fe,H,K,Mg,Mn,N,Na,Ni,O,P,S,Se,Si,Sr,Ti,Y",VALD3 (raw),938,209,0,0,0,ACCEPT
vald_procyon_optical_hfson_raw.txt,raw,procyon,3000.0,6910.0,3000.1,6907.7,37806.0,37806,False,False,on,False,64.0,"Ag,Al,As,Au,Ba,Be,Bi,C,CH,Ca,Cd,Ce,Co,Cr,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,H,Hf,Ho,Ir,K,La,Lu,Mg,Mn,Mo,NH,Na,Nb,Nd,Ni,O,OH,Os,Pb,Pd,Pr,Pt,Re,Rh,Ru,S,Sc,Si,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tm,V,Y,Yb,Zn,Zr",VALD3 (raw),37806,0,0,0,0,ACCEPT
vald_procyon_uv_hfson_raw.txt,raw,procyon,1150.0,3000.0,1150.3,3000.0,69683.0,69683,False,False,on,False,67.0,"Al,As,Au,B,Ba,Be,Bi,C,CO,Ca,Cd,Ce,Cl,Co,Cr,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,H,Hf,Hg,In,Ir,La,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,O,OH,Os,P,Pb,Pd,Pt,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Ti,Tm,V,W,Y,Yb,Zn,Zr",VALD3 (raw),0,0,0,0,0,ACCEPT
vald_solar_fuv_1150_2000_hfson_raw.txt,raw,solar,1150.0,2000.0,1150.3,2000.0,42886.0,42886,False,False,on,False,51.0,"Ag,Al,As,Au,B,Ba,Be,Bi,C,CO,Ca,Ce,Cl,Co,Cr,Cu,Fe,Ga,Ge,H,Hg,In,Ir,Lu,Mg,Mn,Mo,N,Ni,O,Os,P,Pb,Pd,Pt,Rh,Ru,S,Sb,Sc,Se,Si,Sn,Sr,Te,Ti,V,Y,Yb,Zn,Zr",VALD3 (raw),0,0,0,0,0,ACCEPT
vald_solar_ir_17000_25000_hfson_raw.txt,raw,solar,17000.0,25000.0,17000.6,24998.0,9968.0,9968,False,False,on,False,27.0,"Al,C,CH,CN,CO,Ca,Co,Cr,Cu,Fe,H,K,Mg,Mn,Na,Ni,O,OH,P,S,Sc,Si,Ti,V,Y,Yb,Zn",VALD3 (raw),0,0,0,1980,7988,ACCEPT
vald_solar_ir_9500_17000_hfson_raw.txt,raw,solar,9500.0,17000.0,9500.3,16998.5,16793.0,16793,False,False,on,False,40.0,"Al,B,Ba,C,CN,CO,Ca,Ce,Cl,Co,Cr,Cu,Dy,Er,Eu,Fe,Ga,Ge,H,K,Mg,Mn,N,Na,Ni,O,OH,P,Rb,S,Sc,Si,Sm,Sr,Ti,V,Y,Yb,Zn,Zr",VALD3 (raw),0,3600,4966,8227,0,ACCEPT
vald_solar_nearuv_2000_3780_hfson_raw.txt,raw,solar,2000.0,3780.0,2000.0,3780.0,161526.0,161526,False,True,on,False,76.0,"Ag,Al,As,Au,B,Ba,Be,Bi,C,CH,CN,CO,Ca,Cd,Ce,Co,Cr,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,H,Hf,Hg,Ho,In,Ir,K,La,Lu,Mg,Mn,Mo,N,NH,Na,Nb,Nd,Ni,O,OH,Os,P,Pb,Pd,Pr,Pt,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr",VALD3 (raw),62072,0,0,0,0,ACCEPT
vald_solar_raw.txt,raw,solar,3780.0,6910.0,3780.0,6909.8,108969.0,108969,False,True,unknown,False,73.0,"Ag,Al,Au,Ba,Bi,C,C2,CH,CN,Ca,Cd,Ce,Co,Cr,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,H,Hf,Ho,In,Ir,K,La,Li,Lu,Mg,MgH,Mn,Mo,N,NH,Na,Nb,Nd,Ni,O,OH,Os,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sc,Si,SiH,Sm,Sn,Sr,Ta,Tb,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr",VALD3 (raw),108969,0,0,0,0,ACCEPT
vald_solar_redopt_6910_9500_hfson_raw.txt,raw,solar,6910.0,9500.0,6910.2,9499.9,14352.0,14352,False,False,on,False,45.0,"Al,Ba,C,CN,Ca,Ce,Cl,Co,Cr,Cs,Cu,Dy,Eu,Fe,Gd,Ge,H,Hf,K,La,Mg,Mn,Mo,N,Na,Nd,Ni,O,P,Pb,Pd,Pr,Pt,Rb,S,Sc,Se,Si,Sm,Sr,Ti,V,Y,Zn,Zr",VALD3 (raw),14352,0,0,0,0,ACCEPT
canonical_gf.csv,assembled,?,,,3780.0,9199.9,,145886,,,n/a,False,,,K07:23899; K10:23563; VALD3:19890; K09:10320,145886,0,0,0,0,optical-only
