element,ion,wavelength_air_A,instrument,instrument_provenance,ew_mA,ew_err_mA,profile_type,chi2,blend_flag,notes
Ni,I,5186.55271,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),6.64,7.21,voigt,0.0132,False,
Ti,II,5188.68713,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),181.44,53.14,voigt,0.0208,False,
Ti,II,5211.5303,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),38.85,7.96,voigt,0.0119,False,
Fe,I,5213.34317,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),6.05,18.02,voigt,0.0177,False,
Cr,I,5214.13143,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),22.9,12.92,voigt,0.0182,False,
Cr,I,5214.85846,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),202.38,20.61,voigt,0.0209,False,
Fe,I,5215.18001,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),202.5,19.79,voigt,0.0219,False,
Cr,I,5215.2853,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),202.54,19.84,voigt,0.0221,False,
Cr,I,5216.14628,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),201.95,17.6,voigt,0.0186,False,
Fe,I,5216.27365,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),201.48,17.53,voigt,0.0185,False,
Fe,I,5217.38899,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),163.11,18.96,voigt,0.0262,False,
Cr,I,5220.8912,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),38.11,8.36,voigt,0.005,False,
Fe,I,5221.03533,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),53.17,11.16,voigt,0.0053,False,
Fe,I,5223.18241,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),39.71,10.63,voigt,0.0131,False,
Cr,I,5223.87811,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),205.4,150.08,voigt,0.0165,False,
