element,ion,wavelength_air_A,instrument,instrument_provenance,ew_mA,ew_err_mA,profile_type,chi2,blend_flag,notes
Si,I,6000.85486,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),9.92,3.84,voigt,0.0003,False,
Si,I,6002.07656,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),96.52,19.63,voigt,0.0072,False,
Fe,I,6004.04473,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),81.91,43.62,voigt,0.0082,False,
Fe,I,6007.95931,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),86.91,10.39,voigt,0.0094,False,
Fe,I,6008.34711,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),121.03,8.25,voigt,0.0057,False,
Fe,I,6009.43749,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),126.89,52.36,voigt,0.0118,False,
Fe,I,6013.91474,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),112.63,17.38,voigt,0.0048,False,
Fe,I,6020.168,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),154.52,23.74,voigt,0.0084,False,
Si,I,6022.22932,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),101.44,75.93,voigt,0.0181,False,
Fe,I,6024.05681,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),130.98,12.87,voigt,0.0086,False,
Cr,I,6025.15435,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),94.44,123.54,voigt,0.0163,False,
Fe,I,6034.03465,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),15.34,1.24,voigt,0.0001,False,
P,I,6034.04,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),15.34,1.24,voigt,0.0001,False,
Fe,I,6034.89465,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),17.63,13.57,voigt,0.0002,False,
Fe,I,6036.4561,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),13.5,1.16,voigt,0.0001,False,
Si,I,6042.39879,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),68.36,0.57,voigt,0.0,False,
P,I,6043.12,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),52.97,13.44,voigt,0.0034,False,
Cr,II,6053.4683,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),32.35,1.92,voigt,0.0003,False,
Fe,I,6055.08941,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),86.1,19.78,voigt,0.0062,False,
Fe,I,6055.40153,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),96.07,36.05,voigt,0.0056,False,
Fe,I,6056.33404,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),88.17,1.51,voigt,0.0003,False,
Si,I,6063.99314,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),59.96,155.86,voigt,0.0144,False,
Fe,I,6065.482,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),135.86,3.39,voigt,0.0005,True,blend_flag
Fe,I,6065.80007,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),130.74,1.22,voigt,0.0001,False,
Fe,I,6066.67025,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),78.7,27.39,voigt,0.0135,False,
Si,I,6067.62354,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),13.7,14.9,voigt,0.0002,False,
Fe,I,6067.77674,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),16.65,5.78,voigt,0.0,False,
Fe,I,6071.74686,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),16.57,4.47,voigt,0.0,False,
Ni,I,6072.05775,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),16.5,4.45,voigt,0.0,False,
Si,I,6076.9247,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),22.4,11.35,voigt,0.0066,False,
Fe,I,6077.97581,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),163.99,19.68,voigt,0.0072,False,
Fe,I,6078.4906,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),104.39,4.53,voigt,0.0019,False,
Si,I,6080.02218,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),72.45,115.29,voigt,0.0093,False,
Fe,I,6081.82832,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),66.4,11.13,voigt,0.0018,False,
Mg,I,6083.522,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),59.89,82.68,voigt,0.0046,False,
Fe,II,6084.10166,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),28.5,6.3,voigt,0.0044,False,
Si,I,6091.9188,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),52.35,7.54,voigt,0.0031,False,
Ti,I,6092.7918,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),81.04,44.01,voigt,0.0028,False,
Fe,I,6094.37244,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),25.15,3.18,voigt,0.0013,False,
Ni,I,6095.35267,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),32.92,58.2,voigt,0.0035,False,
Fe,I,6097.08091,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),56.69,5.47,voigt,0.0014,False,
Fe,I,6102.59858,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),226.21,12.11,voigt,0.007,False,
Fe,I,6105.1272,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),9.77,15.5,voigt,0.0063,False,
Fe,II,6116.04607,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),79.29,0.95,voigt,0.0001,False,
Fe,I,6117.19423,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),79.92,13.89,voigt,0.0037,False,
Ni,I,6119.75668,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),30.65,1.44,voigt,0.0002,False,
Ca,I,6122.217,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),120.73,3.57,voigt,0.0,False,
Si,I,6123.49394,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),120.94,60.47,voigt,0.0242,False,
Fe,II,6129.69501,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),53.26,91.18,voigt,0.0048,False,
Si,I,6131.5729,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),62.53,6.55,voigt,0.001,False,
Fe,I,6133.08357,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),34.65,30.63,voigt,0.0013,False,
Fe,I,6136.615,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),213.3,13.04,voigt,0.0093,True,blend_flag
Fe,I,6137.69088,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),196.5,14.94,voigt,0.0135,False,
Fe,II,6141.02076,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),174.57,43.59,voigt,0.0132,False,
Ni,I,6142.03378,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),142.28,3.16,voigt,0.0014,False,
Si,I,6142.2036,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),188.4,16.53,voigt,0.0099,False,
Fe,I,6145.40918,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),48.05,2.71,voigt,0.0007,False,
Fe,II,6149.258,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),46.47,7.17,voigt,0.0053,True,blend_flag
Ti,I,6149.7245,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),89.03,130.87,voigt,0.0089,False,
Si,I,6152.29226,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),81.29,62.38,voigt,0.0042,False,
Si,I,6155.69334,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),155.8,27.3,voigt,0.0057,False,
Fe,I,6156.37075,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),94.12,24.03,voigt,0.0101,False,
Ca,I,6163.755,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),123.43,103.07,voigt,0.0308,False,
Fe,I,6165.12182,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),50.82,12.91,voigt,0.0148,False,
Fe,I,6165.35945,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),30.15,11.17,voigt,0.0132,False,
Ca,I,6166.439,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),80.65,3.76,voigt,0.0027,False,
Fe,I,6169.4572,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),170.41,14.0,voigt,0.012,False,
Fe,I,6170.83613,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),96.05,18.29,voigt,0.0201,False,
Fe,I,6171.00906,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),137.17,38.3,voigt,0.0224,False,
Cr,I,6172.03925,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),44.05,105.19,voigt,0.0123,False,
Fe,I,6173.33395,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),76.02,3.99,voigt,0.0004,False,
Ti,I,6174.75123,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),87.76,34.72,voigt,0.0084,False,
Fe,II,6179.39043,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),82.7,14.1,voigt,0.0035,False,
Fe,I,6182.62004,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),30.96,4.16,voigt,0.0002,False,
Fe,I,6183.55773,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),26.01,0.88,voigt,0.0,False,
Fe,I,6185.69266,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),23.45,4.06,voigt,0.0015,False,
Fe,I,6187.39746,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),95.5,33.47,voigt,0.0039,False,
Fe,I,6188.50016,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),82.54,19.44,voigt,0.0034,False,
Fe,I,6191.55715,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),189.17,7.74,voigt,0.0038,False,
Y,I,6191.71783,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),189.94,7.57,voigt,0.0036,False,
Si,I,6194.41604,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),29.64,2.8,voigt,0.0004,False,
Si,I,6194.88433,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),57.79,5.2,voigt,0.0004,False,
Fe,I,6199.5058,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),106.83,17.74,voigt,0.0059,False,
Ca,I,6204.75719,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),26.39,0.55,voigt,0.0,False,
Fe,I,6209.71353,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),15.49,4.74,voigt,0.0001,False,
Ca,I,6210.87089,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),16.07,1.86,voigt,0.0001,False,
Fe,I,6212.09817,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),47.53,22.23,voigt,0.0078,False,
Ti,I,6212.21089,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),55.96,22.21,voigt,0.0077,False,
Fe,I,6215.42814,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),100.58,10.75,voigt,0.0073,False,
Fe,I,6217.68298,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),31.56,153.5,voigt,0.0103,False,
Ti,I,6220.47471,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),124.02,21.17,voigt,0.0086,False,
Si,I,6222.68208,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),20.82,36.03,voigt,0.0017,False,
Fe,I,6229.2255,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),38.84,22.23,voigt,0.0183,False,
Fe,II,6229.34039,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),43.72,11.14,voigt,0.0187,False,
Si,I,6237.31908,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),86.69,5.69,voigt,0.0023,False,
Fe,II,6239.94268,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),111.97,63.65,voigt,0.0047,False,
Fe,I,6240.3096,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),76.61,8.29,voigt,0.0036,False,
Fe,I,6240.64577,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),61.73,2.02,voigt,0.0006,False,
Si,I,6243.81457,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),73.18,8.78,voigt,0.0049,False,
Ni,I,6244.96517,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),135.76,60.7,voigt,0.0174,False,
Fe,II,6247.557,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),62.86,10.47,voigt,0.0139,True,blend_flag
Fe,I,6252.55455,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),140.19,8.32,voigt,0.0081,False,
Si,I,6253.59806,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),229.04,43.68,voigt,0.0225,False,
Si,I,6255.49159,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),151.97,47.39,voigt,0.0211,False,
Ti,I,6258.1016,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),64.02,13.52,voigt,0.0149,False,
Fe,I,6261.53316,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),54.61,13.4,voigt,0.0022,False,
Ti,I,6264.8097,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),96.59,3.26,voigt,0.0017,False,
Fe,I,6265.13191,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),95.93,1.26,voigt,0.0001,False,
Fe,I,6268.20693,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),30.99,43.1,voigt,0.0007,False,
Ti,I,6268.525,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),28.6,101.22,voigt,0.0037,False,
Fe,II,6269.95909,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),59.57,2.09,voigt,0.0008,False,
Fe,I,6271.27749,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),34.02,6.36,voigt,0.0039,False,
Ni,I,6272.6284,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),43.22,8.92,voigt,0.0008,False,
Fe,I,6274.08882,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),28.19,6.55,voigt,0.0001,False,
Si,I,6279.34314,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),142.72,37.0,voigt,0.0236,False,
Si,I,6280.42086,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),243.51,28.64,voigt,0.0141,False,
Fe,I,6286.50873,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),34.68,5.3,voigt,0.0014,False,
V,I,6286.93254,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),50.97,20.14,voigt,0.0014,False,
Fe,I,6290.54273,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),144.92,20.03,voigt,0.0069,False,
Fe,I,6293.61027,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),98.85,84.87,voigt,0.0064,False,
Fe,I,6301.49953,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),169.75,12.89,voigt,0.0103,False,
Si,I,6301.62465,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),170.0,12.91,voigt,0.0103,False,
Ti,I,6303.7565,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),7.74,9.01,voigt,0.0114,False,
Fe,I,6304.78929,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),45.89,87.18,voigt,0.0041,False,
Mn,I,6304.92885,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),52.68,68.64,voigt,0.0029,False,
Mn,I,6306.36464,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),31.96,2.32,voigt,0.0016,False,
Fe,II,6307.52011,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),37.72,63.76,voigt,0.0028,False,
Si,I,6308.82529,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),7.67,5.56,voigt,0.0027,False,
Ti,I,6312.236,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),6.16,6.38,voigt,0.0022,False,
Ti,I,6312.37977,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),8.38,4.99,voigt,0.0026,False,
Fe,I,6315.30547,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),119.62,13.39,voigt,0.0091,False,
Fe,I,6315.41119,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),118.39,13.28,voigt,0.0091,False,
Cr,I,6317.09764,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),122.89,111.74,voigt,0.0183,False,
Mg,I,6319.237,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),199.88,27.63,voigt,0.0107,False,
Mg,I,6319.493,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),176.15,80.81,voigt,0.0116,False,
Fe,I,6322.68458,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),79.23,5.43,voigt,0.001,False,
Fe,I,6330.8474,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),42.7,3.09,voigt,0.0014,False,
Si,I,6334.46568,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),103.78,24.46,voigt,0.0095,False,
Fe,I,6335.32954,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),114.9,6.78,voigt,0.0066,False,
Ti,I,6336.0993,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),204.3,31.01,voigt,0.018,False,
Fe,I,6336.39324,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),170.84,23.03,voigt,0.0165,False,
Fe,I,6336.82299,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),137.26,9.23,voigt,0.0089,False,
Fe,I,6338.87537,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),95.83,39.82,voigt,0.0038,False,
Ca,I,6343.30812,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),110.88,13.98,voigt,0.0035,False,
Si,I,6344.42885,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),73.53,0.81,voigt,0.0001,False,
Fe,I,6353.83538,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),62.85,17.52,voigt,0.0057,False,
Si,I,6354.90247,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),91.54,1.24,voigt,0.0002,False,
Ti,I,6359.88764,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),54.08,19.87,voigt,0.0075,False,
O,I,6363.776,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),1.8,0.78,voigt,0.0,False,ew_below_threshold; NLTE_flag; CN_blend_possible; forbidden_line; upper_limit
Fe,I,6364.69383,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),34.69,5.8,voigt,0.0024,False,
Fe,I,6366.70998,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),35.62,1.98,voigt,0.0001,False,
Fe,I,6368.62435,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),33.49,24.8,voigt,0.0007,False,
Fe,II,6369.459,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),22.88,4.99,voigt,0.0011,False,
Si,II,6371.37137,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),42.48,3.57,voigt,0.0007,False,
Ti,I,6371.4957,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),42.38,2.51,voigt,0.0004,False,
Ni,I,6373.9261,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),10.2,6.08,voigt,0.0,False,
Ca,I,6374.93003,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),23.94,2.75,voigt,0.0,False,
Fe,I,6375.78952,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),21.99,3.23,voigt,0.0,False,
Fe,I,6376.20023,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),21.48,16.67,voigt,0.0001,False,
Fe,II,6385.45778,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),54.52,18.13,voigt,0.0008,False,
Si,I,6391.02048,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),19.28,33.2,voigt,0.0005,False,
Fe,I,6394.07558,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),168.55,19.96,voigt,0.009,False,
Ti,I,6395.4718,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),15.77,29.42,voigt,0.0149,False,
Si,I,6397.34319,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),7.29,4.81,voigt,0.0,False,
Fe,I,6399.64594,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),282.9,14.8,voigt,0.0067,False,
Ca,I,6399.75245,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),271.56,8.69,voigt,0.003,False,
Fe,I,6399.99991,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),278.34,6.75,voigt,0.0017,False,
Si,I,6407.06959,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),164.33,25.73,voigt,0.008,False,
Fe,I,6411.10526,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),181.41,14.36,voigt,0.0086,False,
Fe,I,6411.6476,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),155.39,7.93,voigt,0.0016,False,
Fe,I,6412.20195,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),171.38,14.69,voigt,0.0087,False,
Si,I,6414.97971,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),72.77,5.6,voigt,0.0018,False,
Fe,I,6419.9483,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),110.36,11.91,voigt,0.0123,False,
Si,I,6423.72036,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),10.53,4.94,voigt,0.0002,False,
Ca,I,6424.58479,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),19.12,0.79,voigt,0.0,False,
Si,I,6427.88821,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),5.7,6.58,voigt,0.0,False,
Fe,II,6432.67566,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),39.0,25.36,voigt,0.012,False,
Si,I,6433.33716,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),77.45,9.23,voigt,0.0016,False,
Si,I,6433.45722,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),77.89,10.17,voigt,0.0017,False,
Y,I,6435.00392,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),9.04,22.84,voigt,0.0004,False,
Fe,I,6436.4055,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),10.13,0.76,voigt,0.0001,False,
Fe,I,6438.7572,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),201.96,4.27,voigt,0.0017,False,
Ca,I,6439.075,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),204.91,1.5,voigt,0.0002,False,
Fe,I,6446.09942,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),6.97,0.73,voigt,0.0,False,
Fe,II,6446.40701,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),6.44,0.66,voigt,0.0,False,
Fe,I,6446.82022,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),6.85,1.29,voigt,0.0,False,
Ca,I,6449.808,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),152.23,4.29,voigt,0.0013,False,
Fe,I,6454.72342,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),94.45,111.23,voigt,0.0077,False,
Fe,II,6456.37961,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),85.38,6.86,voigt,0.0046,False,
Fe,I,6459.28383,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),22.57,9.96,voigt,0.0001,False,
Fe,I,6461.3566,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),120.3,40.1,voigt,0.0271,False,
Fe,I,6475.62352,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),98.2,3.96,voigt,0.001,False,
Fe,I,6481.86937,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),70.72,5.44,voigt,0.0029,False,
Si,I,6487.12063,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),12.76,1.03,voigt,0.0001,False,
Fe,II,6491.25444,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),45.42,4.85,voigt,0.0015,False,
Si,I,6493.44563,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),160.73,26.3,voigt,0.024,False,
Ca,I,6493.781,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),165.38,18.26,voigt,0.0231,False,
Fe,I,6494.97996,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),238.95,20.88,voigt,0.0209,False,
Ba,I,6498.757,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),166.7,173.74,voigt,0.019,False,hfs_total_ew
Ca,I,6499.65,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),96.68,19.53,voigt,0.0105,False,
Fe,I,6509.61504,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),33.92,5.05,voigt,0.0002,False,
Ti,II,6513.0443,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),21.56,46.99,voigt,0.0009,False,
Si,I,6513.75551,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),36.15,14.95,voigt,0.0009,False,
Si,I,6518.1286,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),76.28,5.76,voigt,0.0031,False,
Fe,I,6518.36532,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),74.42,4.86,voigt,0.0022,False,
Cr,I,6522.61267,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),32.3,5.24,voigt,0.0004,False,
Fe,I,6531.65996,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),41.52,7.02,voigt,0.0007,False,
Fe,I,6539.00484,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),16.39,4.55,voigt,0.0001,False,
Fe,I,6541.47193,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),16.36,4.59,voigt,0.0001,False,
Ti,I,6543.03718,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),45.42,7.82,voigt,0.0008,False,
Ti,I,6544.74929,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),47.26,139.97,voigt,0.011,False,
Ti,I,6548.32287,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),24.73,3.86,voigt,0.0013,False,
Fe,I,6550.51199,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),5.89,5.17,voigt,0.0005,False,
Ti,I,6554.223,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),13.38,6.12,voigt,0.0025,False,
Ti,I,6554.82929,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),96.8,23.26,voigt,0.0019,False,
Fe,I,6556.78666,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),12.58,3.4,voigt,0.0022,False,
Si,I,6572.4109,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),37.76,13.7,voigt,0.0019,False,
Ca,I,6572.779,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),30.0,4.2,voigt,0.0013,False,
Cr,I,6572.88451,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),35.02,4.67,voigt,0.0017,False,
Si,I,6572.99082,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),35.83,7.84,voigt,0.003,False,
Ni,I,6580.2133,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),13.94,2.71,voigt,0.0006,False,
Fe,I,6581.20875,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),29.71,1.6,voigt,0.0002,False,
Ni,I,6581.70139,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),38.69,8.48,voigt,0.0006,False,
Si,I,6583.70736,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),22.17,0.8,voigt,0.0,False,
C,I,6587.61,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),44.34,11.93,voigt,0.0024,False,NLTE_flag
Cr,I,6590.50589,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),17.27,22.9,voigt,0.0003,False,
Fe,I,6591.31237,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),9.96,16.08,voigt,0.0124,False,
Si,I,6593.04374,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),157.03,8.43,voigt,0.005,False,
Fe,I,6593.86911,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),109.56,7.9,voigt,0.0076,False,
