element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ew_inversion
Fe,I,5956.6933,kpno_solar_atlas,61.40753450629792,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.668; red_chi2=7.658; n_pix=84; window +/-0.277 A wing-wide from EW 60 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.668,-4.986783578648998,ENGINE-B-NLTE,True,,False
Fe,I,5959.9145,kpno_solar_atlas,7.631255308093624,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.296; red_chi2=3.373; n_pix=66; window +/-0.174 A wing-wide from EW 21 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.296,-5.892644046091814,ENGINE-B-NLTE,True,,False
Fe,I,5975.349,kpno_solar_atlas,57.50886522842421,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.077; red_chi2=9.894; n_pix=83; window +/-0.271 A wing-wide from EW 58 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.077,-5.016628477904858,ENGINE-B-NLTE,True,,False
Fe,I,6005.5313,kpno_solar_atlas,27.3024959080444,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.589; red_chi2=4.522; n_pix=57; window +/-0.194 A wing-wide from EW 29 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.589,-5.342349084107892,ENGINE-B-NLTE,True,,False
Fe,I,6012.2095,kpno_solar_atlas,33.95759858461712,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.688; red_chi2=5.355; n_pix=61; window +/-0.201 A wing-wide from EW 31 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.688,-5.248097135303135,ENGINE-B-NLTE,True,,False
Fe,I,6015.2431,kpno_solar_atlas,8.281583186256167,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.338; red_chi2=1.695; n_pix=51; window +/-0.173 A wing-wide from EW 20 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.338,-5.8611398150172604,ENGINE-B-NLTE,True,,False
Fe,I,6027.0703,kpno_solar_atlas,77.05550684112389,SYNTHESIS (VIS) via _fit_synth_flux,,-4.893302575717021,ENGINE-B-NLTE,False,CHI2-GATE: red_chi2 18.335 >= 10.0. The fit converged (A=7.447) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,False
Fe,I,6082.7098,kpno_solar_atlas,48.506725970848414,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.574; red_chi2=7.541; n_pix=66; window +/-0.230 A wing-wide from EW 42 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.574,-5.098295134898605,ENGINE-B-NLTE,True,,False
Fe,I,6085.2575,kpno_solar_atlas,25.00013773654621,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.545; red_chi2=9.44; n_pix=70; window +/-0.240 A wing-wide from EW 46 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.545,-5.386336558897802,ENGINE-B-NLTE,True,,False
Fe,I,6093.6421,kpno_solar_atlas,51.67811779968764,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.596; red_chi2=1.848; n_pix=62; window +/-0.213 A wing-wide from EW 36 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.596,-5.071570255496582,ENGINE-B-NLTE,True,,False
