row,line_id,species,wavelength_air_A,excitation_potential_eV,hfs_n_components,log_gf_before,loggf_reference_before,gf_tier_before,adjudication_status_before,n_candidates,verdict,nist_log_gf,nist_grade,nist_grades_all,nist_acc_pct,nist_tp_code,nist_wavelength_A,d_wavelength_A,d_ep_eV,delta_nist_minus_store,matched,gf_authority,gf_method,gf_vintage,is_laboratory
1592,gf_001592,C I,4817.373,7.483,1,-3.039,NIST10,OTHER,single_source,1,ADOPT,-3.0457574905606752,C,C,25.0,T6070n,4817.371,-0.001999999999497959,-0.0002240199999992143,-0.006757490560675095,True,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
1593,gf_001593,C I,4826.795,7.488,1,-3.182,NIST10,OTHER,single_source,1,ADOPT,-3.1870866433571443,C,C,25.0,T6070n,4826.804,0.009000000000014552,-0.00020131000000045418,-0.0050866433571443714,True,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
1594,gf_001594,C I,4836.765,8.537,1,-2.479,K10,KURUCZ,single_source,0,NO_NIST_ROW,,,,,,,,,,False,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
1595,gf_001595,C I,4837.502,8.537,1,-3.397,K10,KURUCZ,single_source,0,NO_NIST_ROW,,,,,,,,,,False,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
1596,gf_001596,C I,4839.265,8.537,1,-2.99,K10,KURUCZ,single_source,0,NO_NIST_ROW,,,,,,,,,,False,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
1597,gf_001597,C I,4840.303,8.537,1,-2.932,K10,KURUCZ,single_source,0,NO_NIST_ROW,,,,,,,,,,False,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
1598,gf_001598,C I,4846.17,10.56,1,-3.136,K10,KURUCZ,single_source,0,NO_NIST_ROW,,,,,,,,,,False,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
1599,gf_001599,C I,4850.717,10.562,1,-2.666,K10,KURUCZ,single_source,0,NO_NIST_ROW,,,,,,,,,,False,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
1600,gf_001600,C I,4853.039,8.537,1,-3.542,K10,KURUCZ,single_source,0,NO_NIST_ROW,,,,,,,,,,False,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
1601,gf_001601,C I,4854.078,8.537,1,-2.808,K10,KURUCZ,single_source,0,NO_NIST_ROW,,,,,,,,,,False,NIST_MCHF_PARTIAL_UPDATE_2006,"MCHF (multiconfiguration Hartree-Fock), Froese Fischer and coworkers [Froese Fischer (2004); Zatsarinny (2002)]; Breit-Pauli relativistic terms",2006,False
