element,species,band,line_type,lines,graded,solar_holdings_covering_band,holdings
N,N I,VIS,atomic,96,94,8,solar_harps|solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|solar_harps_molecfit_corrected|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016
N,N I,near-UV,atomic,1,0,6,solar_harps|solar_kpno|solar_kpno_kurucz2005_corrected|solar_harps_molecfit_corrected|solar_kpno_molecfit_corrected|solar_delbouille_liege
N,N I,red-optical,atomic,68,68,11,solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
N,N II,VIS,atomic,155,81,8,solar_harps|solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|solar_harps_molecfit_corrected|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016
N,N II,red-optical,atomic,65,31,11,solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
N,N III,VIS,atomic,23,0,8,solar_harps|solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|solar_harps_molecfit_corrected|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016
N,N III,red-optical,atomic,13,0,11,solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
N,N IV,VIS,atomic,16,0,8,solar_harps|solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|solar_harps_molecfit_corrected|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016
N,N IV,red-optical,atomic,10,0,11,solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
N,N V,VIS,atomic,10,0,8,solar_harps|solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|solar_harps_molecfit_corrected|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016
N,N V,red-optical,atomic,4,0,11,solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
N,CN,NIR,molecular,59,0,10,
N,NH,out-of-band,molecular,31,0,0,
O,O I,H,atomic,9,6,5,elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
O,O I,NIR,atomic,16,12,10,solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_kpno_molecfit_corrected|solar_iag_reiners2016|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
O,O I,VIS,atomic,72,45,8,solar_harps|solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|solar_harps_molecfit_corrected|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016
O,O I,near-UV,atomic,1,0,6,solar_harps|solar_kpno|solar_kpno_kurucz2005_corrected|solar_harps_molecfit_corrected|solar_kpno_molecfit_corrected|solar_delbouille_liege
O,O I,red-optical,atomic,38,23,11,solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
O,O II,VIS,atomic,85,27,8,solar_harps|solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|solar_harps_molecfit_corrected|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016
O,O II,red-optical,atomic,97,16,11,solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
O,O III,VIS,atomic,34,0,8,solar_harps|solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|solar_harps_molecfit_corrected|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016
O,O III,red-optical,atomic,46,0,11,solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
O,O IV,VIS,atomic,88,0,8,solar_harps|solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|solar_harps_molecfit_corrected|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016
O,O IV,red-optical,atomic,45,0,11,solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
O,O V,VIS,atomic,17,0,8,solar_harps|solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|solar_harps_molecfit_corrected|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016
O,O V,red-optical,atomic,7,0,11,solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
O,O VI,VIS,atomic,4,0,8,solar_harps|solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|solar_harps_molecfit_corrected|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016
O,OH,H,molecular,14,0,5,
O,OH,NIR,molecular,1,0,10,
O,OH,out-of-band,molecular,130,0,0,
