element,species,line_label,wavelength_air_A,lower_EP_eV,band,use_status,census_join_status,census_line_id,n_store_candidates,store_line_id,separation_A,verdict,store_wavelength_A,store_log_gf,store_gf_tier,store_nist_grade,store_gf_sigma_dex
O,O I,615.8nm,6158.18,10.7409313,VIS,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_108768,1,gf_108768,0.007,PRESENT,6158.187,-0.409,VALD3,,
O,O I,630.0nm,6300.3,0.0,VIS,SOURCE_ANALYSIS_GRID_SET,ABSENT,,1,gf_108773,0.004,PRESENT,6300.304,-9.717,NIST-C+,A,
O,O I,636.4nm,6363.77,0.0196224,VIS,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_108775,1,gf_108775,0.006,PRESENT,6363.776,-10.257252,NIST-C+,B+,0.029384
O,O I,777.2nm,7771.94,9.1460911,red-optical,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_108794,1,gf_108794,0.004,PRESENT,7771.944,0.369,NIST-C+,A,0.0128
O,O I,777.4nm,7774.16,9.1460911,red-optical,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_108795,1,gf_108795,0.006,PRESENT,7774.166,0.223,NIST-C+,A,0.0128
O,O I,777.5nm,7775.38,9.1460911,red-optical,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_108796,1,gf_108796,0.008,PRESENT,7775.388,0.002,NIST-C+,A,0.0128
O,O I,844.6nm,8446.24,9.5213637,red-optical,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_108814,1,gf_108814,0.007,PRESENT,8446.247,-0.462181,NIST-C+,B,0.041393
O,O I,844.6nm,8446.35,9.5213637,red-optical,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_108815,1,gf_108815,0.009,PRESENT,8446.359,0.236033,NIST-C+,B,0.041393
O,O I,844.7nm,8446.75,9.5213637,red-optical,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_108816,1,gf_108816,0.008,PRESENT,8446.758,0.01494,NIST-C+,B,0.041393
O,O I,926.1nm,9260.8,10.740225,red-optical,SOURCE_ANALYSIS_GRID_SET,ABSENT,,0,,,ABSENT_FROM_CANONICAL_GF,,,,,
O,O I,926.1nm,9260.84,10.740225,red-optical,SOURCE_ANALYSIS_GRID_SET,ABSENT,,0,,,ABSENT_FROM_CANONICAL_GF,,,,,
O,O I,926.1nm,9260.93,10.740225,red-optical,SOURCE_ANALYSIS_GRID_SET,ABSENT,,0,,,ABSENT_FROM_CANONICAL_GF,,,,,
O,O I,926.3nm,9262.58,10.7404755,red-optical,SOURCE_ANALYSIS_GRID_SET,ABSENT,,0,,,ABSENT_FROM_CANONICAL_GF,,,,,
O,O I,926.3nm,9262.66,10.7404755,red-optical,SOURCE_ANALYSIS_GRID_SET,ABSENT,,0,,,ABSENT_FROM_CANONICAL_GF,,,,,
O,O I,926.3nm,9262.77,10.7404755,red-optical,SOURCE_ANALYSIS_GRID_SET,ABSENT,,0,,,ABSENT_FROM_CANONICAL_GF,,,,,
O,O I,926.6nm,9265.82,10.7409313,red-optical,SOURCE_ANALYSIS_GRID_SET,ABSENT,,0,,,ABSENT_FROM_CANONICAL_GF,,,,,
O,O I,926.6nm,9265.93,10.7409313,red-optical,SOURCE_ANALYSIS_GRID_SET,ABSENT,,0,,,ABSENT_FROM_CANONICAL_GF,,,,,
O,O I,926.6nm,9266.0,10.7409313,red-optical,SOURCE_ANALYSIS_GRID_SET,ABSENT,,0,,,ABSENT_FROM_CANONICAL_GF,,,,,
N,N I,7442.29A,7442.29,10.3301,red-optical,AGSS21_ADOPTED_FIVE_LINE_SET,PHYSICAL_TUPLE_MATCH,gf_096732,1,gf_096732,0.008,PRESENT,7442.298,-0.400991,NIST-C+,B+,0.029384
N,N I,8216.33A,8216.33,10.3359,red-optical,AGSS21_ADOPTED_FIVE_LINE_SET,PHYSICAL_TUPLE_MATCH,gf_096754,1,gf_096754,0.006,PRESENT,8216.336,0.137987,NIST-C+,B+,0.029384
N,N I,8629.23A,8629.23,10.69,red-optical,AGSS21_ADOPTED_FIVE_LINE_SET,PHYSICAL_TUPLE_MATCH,gf_096759,1,gf_096759,0.005,PRESENT,8629.235,0.076276,NIST-C+,B+,0.029384
N,N I,8683.40A,8683.4,10.3301,red-optical,AGSS21_ADOPTED_FIVE_LINE_SET,PHYSICAL_TUPLE_MATCH,gf_096766,1,gf_096766,0.003,PRESENT,8683.403,0.105851,NIST-C+,B+,0.029384
N,N I,10108.90A,10108.9,11.7529,NIR,AGSS21_ADOPTED_FIVE_LINE_SET,ABSENT,,0,,,ABSENT_FROM_CANONICAL_GF,,,,,
