element,line_label,line_A,half_width_A,target_share,n_blend_rows
C,906.2nm,9062.48,1.1,0.2826,6
C,906.2nm,9062.48,1.4,0.2826,6
C,906.2nm,9062.48,2.0,0.2815,7
C,907.8nm,9078.28,0.25,0.9256,1
C,907.8nm,9078.28,0.5,0.7509,3
C,907.8nm,9078.28,0.62,0.7509,3
C,907.8nm,9078.28,1.1,0.7263,8
C,907.8nm,9078.28,1.4,0.3333,10
C,907.8nm,9078.28,2.0,0.3289,13
C,908.9nm,9088.5,0.25,0.327,1
C,908.9nm,9088.5,0.5,0.327,1
C,908.9nm,9088.5,0.62,0.327,1
C,908.9nm,9088.5,1.1,0.1896,3
C,908.9nm,9088.5,1.4,0.1896,3
C,908.9nm,9088.5,2.0,0.1872,6
C,909.5nm,9094.82,0.25,1.0,0
C,909.5nm,9094.82,0.5,0.6035,20
C,909.5nm,9094.82,0.62,0.5787,22
C,909.5nm,9094.82,1.1,0.5211,30
C,909.5nm,9094.82,1.4,0.5202,31
C,909.5nm,9094.82,2.0,0.5193,32
C,911.2nm,9111.8,0.25,0.9959,1
C,911.2nm,9111.8,0.5,0.5902,4
C,911.2nm,9111.8,0.62,0.5831,6
C,911.2nm,9111.8,1.1,0.5789,9
C,911.2nm,9111.8,1.4,0.5721,12
C,911.2nm,9111.8,2.0,0.5641,18
C,940.6nm,9405.72,0.25,0.9516,2
C,940.6nm,9405.72,0.5,0.9365,3
C,940.6nm,9405.72,0.62,0.9335,4
C,940.6nm,9405.72,1.1,0.5662,13
C,940.6nm,9405.72,1.4,0.3772,22
C,940.6nm,9405.72,2.0,0.3467,27
C,960.3nm,9603.03,0.25,0.9615,1
C,960.3nm,9603.03,0.5,0.9494,3
C,960.3nm,9603.03,0.62,0.9494,3
C,960.3nm,9603.03,1.1,0.6757,6
C,960.3nm,9603.03,1.4,0.4573,8
C,960.3nm,9603.03,2.0,0.4573,8
C,962.1nm,9620.77,0.25,0.9397,2
C,962.1nm,9620.77,0.5,0.8898,4
C,962.1nm,9620.77,0.62,0.8898,4
C,962.1nm,9620.77,1.1,0.8898,4
C,962.1nm,9620.77,1.4,0.8898,4
C,962.1nm,9620.77,2.0,0.8685,6
C,965.8nm,9658.42,0.25,1.0,0
C,965.8nm,9658.42,0.5,0.9272,1
C,965.8nm,9658.42,0.62,0.9272,1
C,965.8nm,9658.42,1.1,0.4939,4
C,965.8nm,9658.42,1.4,0.3227,7
C,965.8nm,9658.42,2.0,0.3184,10
N,7442.29A,7442.29,0.25,0.3,2
N,7442.29A,7442.29,0.5,0.0577,6
N,7442.29A,7442.29,0.62,0.0577,6
N,7442.29A,7442.29,1.1,0.009,16
N,7442.29A,7442.29,1.4,0.0043,28
N,7442.29A,7442.29,2.0,0.0039,31
N,8216.33A,8216.33,0.25,0.8182,2
N,8216.33A,8216.33,0.5,0.0732,4
N,8216.33A,8216.33,0.62,0.0596,5
N,8216.33A,8216.33,1.1,0.0545,8
N,8216.33A,8216.33,1.4,0.0495,10
N,8216.33A,8216.33,2.0,0.045,13
N,8629.23A,8629.23,0.25,0.3333,2
N,8629.23A,8629.23,0.5,0.2857,3
N,8629.23A,8629.23,0.62,0.2857,3
N,8629.23A,8629.23,1.1,0.2857,3
N,8629.23A,8629.23,1.4,0.2353,4
N,8629.23A,8629.23,2.0,0.2,6
N,8683.40A,8683.4,0.25,0.8,1
N,8683.40A,8683.4,0.5,0.063,3
N,8683.40A,8683.4,0.62,0.063,3
N,8683.40A,8683.4,1.1,0.0593,5
N,8683.40A,8683.4,1.4,0.0593,5
N,8683.40A,8683.4,2.0,0.0571,7
N,10108.90A,10108.9,0.25,0.6667,1
N,10108.90A,10108.9,0.5,0.0215,19
N,10108.90A,10108.9,0.62,0.0204,20
N,10108.90A,10108.9,1.1,0.0198,21
N,10108.90A,10108.9,1.4,0.0198,21
N,10108.90A,10108.9,2.0,0.0194,22
O,615.6nm,6155.973,0.25,0.044,1
O,615.6nm,6155.973,0.5,0.0178,3
O,615.6nm,6155.973,0.62,0.0178,3
O,615.6nm,6155.973,1.1,0.0052,7
O,615.6nm,6155.973,1.4,0.0051,9
O,615.6nm,6155.973,2.0,0.0017,53
O,615.7nm,6156.75,0.25,0.0538,1
O,615.7nm,6156.75,0.5,0.033,3
O,615.7nm,6156.75,0.62,0.0318,4
O,615.7nm,6156.75,1.1,0.008,22
O,615.7nm,6156.75,1.4,0.008,23
O,615.7nm,6156.75,2.0,0.005,49
O,615.8nm,6158.167,0.25,0.2778,6
O,615.8nm,6158.167,0.5,0.0169,32
O,615.8nm,6158.167,0.62,0.0166,37
O,615.8nm,6158.167,1.1,0.0156,42
O,615.8nm,6158.167,1.4,0.0113,48
O,615.8nm,6158.167,2.0,0.0094,68
O,630.0nm,6300.3,0.25,0.7879,3
O,630.0nm,6300.3,0.5,0.0258,16
O,630.0nm,6300.3,0.62,0.0257,17
O,630.0nm,6300.3,1.1,0.0236,22
O,630.0nm,6300.3,1.4,0.015,24
O,630.0nm,6300.3,2.0,0.0144,60
O,636.4nm,6363.77,0.25,1.0,0
O,636.4nm,6363.77,0.5,1.0,0
O,636.4nm,6363.77,0.62,0.0428,2
O,636.4nm,6363.77,1.1,0.0093,12
O,636.4nm,6363.77,1.4,0.0093,14
O,636.4nm,6363.77,2.0,0.0076,19
O,777.2nm,7771.94,0.25,0.9486,1
O,777.2nm,7771.94,0.5,0.9486,1
O,777.2nm,7771.94,0.62,0.9486,1
O,777.2nm,7771.94,1.1,0.9326,3
O,777.2nm,7771.94,1.4,0.9274,4
O,777.2nm,7771.94,2.0,0.8925,6
O,777.4nm,7774.16,0.25,0.9732,2
O,777.4nm,7774.16,0.5,0.9603,3
O,777.4nm,7774.16,0.62,0.9603,3
O,777.4nm,7774.16,1.1,0.9603,3
O,777.4nm,7774.16,1.4,0.541,6
O,777.4nm,7774.16,2.0,0.541,6
O,777.5nm,7775.38,0.25,0.9913,1
O,777.5nm,7775.38,0.5,0.9913,1
O,777.5nm,7775.38,0.62,0.9913,1
O,777.5nm,7775.38,1.1,0.9913,1
O,777.5nm,7775.38,1.4,0.4286,5
O,777.5nm,7775.38,2.0,0.4145,8
O,844.6nm,8446.295,0.25,0.3686,5
O,844.6nm,8446.295,0.5,0.3064,6
O,844.6nm,8446.295,0.62,0.2952,8
O,844.6nm,8446.295,1.1,0.2886,12
O,844.6nm,8446.295,1.4,0.2829,13
O,844.6nm,8446.295,2.0,0.2565,18
O,844.7nm,8446.75,0.25,0.568,1
O,844.7nm,8446.75,0.5,0.1854,5
O,844.7nm,8446.75,0.62,0.169,7
O,844.7nm,8446.75,1.1,0.155,14
O,844.7nm,8446.75,1.4,0.1533,15
O,844.7nm,8446.75,2.0,0.1524,16
O,926.1nm,9260.857,0.25,0.6667,1
O,926.1nm,9260.857,0.5,0.6667,1
O,926.1nm,9260.857,0.62,0.64,2
O,926.1nm,9260.857,1.1,0.4267,5
O,926.1nm,9260.857,1.4,0.4156,6
O,926.1nm,9260.857,2.0,0.0775,13
O,926.3nm,9262.67,0.25,0.9583,1
O,926.3nm,9262.67,0.5,0.6216,2
O,926.3nm,9262.67,0.62,0.6216,2
O,926.3nm,9262.67,1.1,0.5287,4
O,926.3nm,9262.67,1.4,0.2063,8
O,926.3nm,9262.67,2.0,0.1538,14
O,926.6nm,9265.917,0.25,1.0,0
O,926.6nm,9265.917,0.5,0.6506,13
O,926.6nm,9265.917,0.62,0.6506,13
O,926.6nm,9265.917,1.1,0.54,15
O,926.6nm,9265.917,1.4,0.5294,16
O,926.6nm,9265.917,2.0,0.1949,23
