wave,half_width_A,ew_synth,ew_obs,ratio
5472.709,0.8,58.58806699681808,46.1,1.2708908242259886
5472.709,1.0,59.71914262134515,46.1,1.2954260872309142
5472.709,1.4,141.53421133317664,46.1,3.070156428051554
5491.832,0.3,12.645298289868746,14.8,0.854412046612753
5491.832,0.45,12.701604928203938,14.8,0.8582165492029687
5491.832,0.6,12.807659634660189,14.8,0.86538240774731
5491.832,0.8,13.098986035552603,14.8,0.8850666240238244
5491.832,1.0,13.284632199298919,14.8,0.8976102837364134
5491.832,1.4,14.256697494757452,14.8,0.9632903712673954
5618.632,0.3,55.57729953106188,52.7,1.0545977140618952
5618.632,0.45,56.07975490785401,52.7,1.0641319716860342
5618.632,0.6,62.69768345619156,52.7,1.189709363495096
5618.632,0.8,73.18417781360807,52.7,1.3886940761595459
5618.632,1.0,100.02990426169002,52.7,1.8981006501269453
5618.632,1.4,116.35260914576114,52.7,2.2078293955552395
5753.122,0.3,87.57587869717572,81.9,1.0693025481950638
5753.122,0.45,89.06087083790437,81.9,1.0874343203651327
5753.122,0.6,89.98670083475649,81.9,1.0987387159310926
5753.122,0.8,90.80092188604807,81.9,1.1086803649090118
5753.122,1.0,92.14643597064995,81.9,1.125109108310744
5753.122,1.4,158.74899229984803,81.9,1.9383271343082786
5855.076,0.3,23.569104326359586,24.8,0.9503671099338542
5855.076,0.45,23.625070346472768,24.8,0.9526238042932568
5855.076,0.6,23.732588279242627,24.8,0.9569592048081704
5855.076,0.8,23.813392522120953,24.8,0.9602174404081029
5855.076,1.0,32.84885497130175,24.8,1.324550603681522
5855.076,1.4,66.94328164654685,24.8,2.699325872844631
5930.18,0.3,96.65112012548293,90.8,1.064439648959063
5930.18,0.45,100.26834087452302,90.8,1.1042768818780069
5930.18,0.6,136.48732625714442,90.8,1.5031643860918988
5930.18,0.8,138.99653147954717,90.8,1.5307988048408279
5930.18,1.0,140.04644567210494,90.8,1.5423617364769266
5930.18,1.4,143.23145187539015,90.8,1.577438897306059
6085.258,0.3,22.1445154217735,45.1,0.49100921112579826
6085.258,0.45,22.255312132440633,45.1,0.493465900941034
6085.258,0.6,22.2978361370484,45.1,0.494408783526572
6085.258,0.8,22.31506998959587,45.1,0.4947909088602188
6085.258,1.0,22.350205663766456,45.1,0.49556997037176176
6085.258,1.4,43.83507202006877,45.1,0.9719528164095071
6151.617,0.3,52.28703783269949,50.8,1.029272398281486
6151.617,0.45,52.36445983764956,50.8,1.0307964534970386
6151.617,0.6,52.390276680224645,50.8,1.0313046590595403
6151.617,0.8,53.02280370484069,50.8,1.0437559784417458
6151.617,1.0,53.02970603000022,50.8,1.0438918509842563
6151.617,1.4,53.660438411087966,50.8,1.0563078427379522
6230.722,0.3,138.11289363373368,151.9,0.9092356394584179
6230.722,0.45,144.34571432531558,151.9,0.9502680337413797
6230.722,0.6,147.59812409129685,151.9,0.9716795529380964
6230.722,0.8,149.81068311481513,151.9,0.9862454451271568
6230.722,1.0,151.48294566624526,151.9,0.9972544151826547
6230.722,1.4,156.07202011010784,151.9,1.0274655701784585
6408.017,0.3,106.92387126637918,100.0,1.069238712663792
6408.017,0.45,110.83986964119208,100.0,1.1083986964119208
6408.017,0.6,112.15017951330903,100.0,1.1215017951330903
6408.017,0.8,115.88279081679639,100.0,1.1588279081679638
6408.017,1.0,118.41114500779278,100.0,1.1841114500779277
6408.017,1.4,118.91248066309964,100.0,1.1891248066309965
6494.98,0.3,170.787812721167,157.2,1.086436467691902
6494.98,0.45,182.52105015399516,157.2,1.1610753826590023
6494.98,0.6,209.48402941732564,157.2,1.3325956069804432
6494.98,0.8,243.13221862994243,157.2,1.5466426121497612
6494.98,1.0,259.33270194239657,157.2,1.6496991217709707
6494.98,1.4,263.91080718222065,157.2,1.6788219286400805
6793.258,0.3,21.867841102614552,14.6,1.4977973357955172
6793.258,0.45,21.954443207913148,14.6,1.5037289868433663
6793.258,0.6,21.988760577589563,14.6,1.5060794916157236
6793.258,0.8,22.03199101736867,14.6,1.50904048064169
