separation_A,depth_ratio,noise,catalogue_error_A,realisation,true_ew_A,ew_two_A,ew_one_A,err_two,err_one,interloper_depth,chi2_two,chi2_one
0.02,0.1,0.005,0.0,1,0.03871518746591226,0.02193319434494332,0.04262007718330517,0.4334731204839201,0.10086196071841488,0.17330939191658298,2.55841067694433e-05,2.558192626202738e-05
0.02,0.1,0.005,0.0,2,0.03871518746591226,0.032657605734571576,0.042572050054234284,0.15646525634608457,0.09962143646386565,0.0775031937306796,2.2205245621200528e-05,2.2178256071023452e-05
0.02,0.1,0.005,0.0,3,0.03871518746591226,0.04103731858787632,0.042673300462065925,0.05997984961350477,0.10223669973543804,0.012619669127124183,2.632888323876291e-05,2.6263010351967892e-05
0.02,0.1,0.005,0.0,4,0.03871518746591226,0.024073687302227264,0.04230553253025769,0.3781849223015248,0.09273738032410772,0.14968379673488108,2.4876492484585194e-05,2.4869442256612593e-05
0.02,0.1,0.005,0.0,5,0.03871518746591226,0.042390659273729696,0.04252062651738488,0.0949361748810747,0.09829318416249982,0.0010001500892624355,2.5063805159367954e-05,2.5000388914696398e-05
0.02,0.1,0.005,0.0,6,0.03871518746591226,0.042695299227169095,0.04282593393471945,0.10280492028512646,0.10617916992980084,0.0010000850276406942,2.142829211465675e-05,2.137401143731901e-05
0.02,0.1,0.005,0.0,7,0.03871518746591226,0.028664506247423602,0.04272986957063275,0.2596056451318498,0.10369786038761457,0.11235191688218414,2.692654834127613e-05,2.6941729985577345e-05
0.02,0.1,0.005,0.0,8,0.03871518746591226,0.03299753868907742,0.042522247027965435,0.14768490484177774,0.09833504139441908,0.07559401327326117,2.5036963194356053e-05,2.4993702340783415e-05
0.02,0.1,0.005,0.0,9,0.03871518746591226,0.04237069623253363,0.04250080275568116,0.09442053638097336,0.09778114320386647,0.001000008613300362,2.739136976559262e-05,2.732107615154492e-05
0.02,0.1,0.005,0.0,10,0.03871518746591226,0.029738699809209557,0.042253732261627264,0.23185959423821131,0.091399397170183,0.09982447310858038,2.585125827960017e-05,2.5940643911588582e-05
0.02,0.1,0.005,0.0,11,0.03871518746591226,0.02847527772628656,0.04209817865987628,0.2644933528642133,0.0873815010438128,0.10929369606360716,2.334916806029897e-05,2.3427460749754452e-05
0.02,0.1,0.005,0.01,0,0.03871518746591226,0.039112803274162694,0.042637254953013425,0.010270279812038272,0.10130565661226482,0.0274191225357447,2.5701414065810116e-05,2.5672099653397544e-05
0.02,0.1,0.005,0.01,1,0.03871518746591226,0.0369354486105995,0.04222234952519411,0.04597004358766895,0.09058879186287859,0.041663087797136886,2.6112928441771506e-05,2.612550416485205e-05
0.02,0.1,0.005,0.01,2,0.03871518746591226,0.04029155745046566,0.042207567547575084,0.04071709547942546,0.09020697845613632,0.01486329940039184,2.3962158185824125e-05,2.391421509738415e-05
0.02,0.1,0.005,0.01,3,0.03871518746591226,0.038103263552717925,0.04271604806745205,0.015805784583456207,0.10334085570585054,0.0360677788781807,2.3984023774127055e-05,2.3993519784192734e-05
0.02,0.1,0.005,0.01,4,0.03871518746591226,0.037761433520869525,0.04288646509583524,0.02463513694418991,0.10774266903900923,0.03978403042081191,2.586634973876262e-05,2.5892041810003704e-05
0.02,0.1,0.005,0.01,5,0.03871518746591226,0.0425542591849746,0.04268507071104582,0.09916190441910036,0.10254072122546072,0.0010000157131809055,2.3492675915085612e-05,2.3430972895620268e-05
