src,instr,star,method,target
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:50:23.939.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:50:25.695.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:07:40.989.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-09T10:49:50.323.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:50:22.647.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-11T18:08:26.411.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-11T18:08:26.915.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T18:37:41.972.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2021-09-17T13:37:18.365.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:50:24.578.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2021-09-17T13:37:17.213.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2023-06-01T16:03:04.240.fits,UVES,REVIEW,LABEL-UNVERIFIED(target='14392810-6050040'),14392810-6050040
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-09T10:49:53.985.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:50:24.145.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:50:25.411.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:50:24.780.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-09T11:42:07.315.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-09T10:49:53.065.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:50:23.267.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T18:37:42.546.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2023-06-01T16:03:04.237.fits,UVES,REVIEW,LABEL-UNVERIFIED(target='14392810-6050040'),14392810-6050040
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-09T10:49:51.779.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:07:42.836.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-11T18:08:28.527.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-09T11:42:06.894.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:50:22.509.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-11T18:08:26.765.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-11T18:08:30.230.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-11T18:08:27.354.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-11T18:08:27.138.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:07:41.665.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:50:23.051.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2021-09-17T13:37:15.562.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-09T10:49:50.831.fits,UVES,DUP,dedup,
