band,species,wave_A,ep_eV,loggf,reached
H,FeI,16969.91,5.946,-0.069,True
H,NiI,17001.025,5.488,0.379,True
H,FeI,17005.45,6.066,0.005,True
H,FeI,17011.095,5.946,0.102,True
H,FeI,17033.659,6.394,-0.251,True
H,FeI,17037.787,6.394,-0.852,True
H,CI,17045.18,9.689,-0.204,True
H,FeI,17094.434,6.674,-0.364,True
H,MgI,17108.631,5.394,0.064,True
H,FeI,17130.952,6.351,-0.896,True
H,FeI,17161.103,6.017,-0.071,True
H,FeI,17166.201,5.946,-0.811,True
H,FeI,17400.579,6.37,-0.524,True
H,FeI,17418.506,6.319,-0.742,True
H,CI,17427.44,9.702,-0.139,True
H,FeI,17478.016,6.639,-0.037,True
H,FeI,17488.549,6.639,-0.126,True
