wave_A,klass,A,chi2,synth_depth,obs_depth,n_pix,a_lo,a_hi
11973.046,RAIL,11.495999999999999,40039.517496766566,0.6769771359055071,0.7198100000000001,169,4.4959999999999996,12.495999999999999
11973.046,RAIL,12.495999999999999,40347.19751984378,0.6751081127731362,0.7198100000000001,169,4.4959999999999996,12.495999999999999
12342.916,ctrl,6.4959999999999996,2686.4956937679667,0.03304568357351523,0.17876000000000003,159,4.4959999999999996,12.495999999999999
12342.916,ctrl,6.9959999999999996,1259.4947912083956,0.08955277168289699,0.17876000000000003,159,4.4959999999999996,12.495999999999999
12342.916,ctrl,7.4959999999999996,408.4254183425131,0.19247358800385872,0.17876000000000003,159,4.4959999999999996,12.495999999999999
12342.916,ctrl,7.7459999999999996,1020.1539996806625,0.24864555829505286,0.17876000000000003,159,4.4959999999999996,12.495999999999999
12342.916,ctrl,7.9959999999999996,2316.2504730935416,0.2972723656350523,0.17876000000000003,159,4.4959999999999996,12.495999999999999
12342.916,ctrl,8.245999999999999,4038.420659867625,0.33687460685617043,0.17876000000000003,159,4.4959999999999996,12.495999999999999
12342.916,ctrl,8.495999999999999,6013.958461924471,0.36954868906421723,0.17876000000000003,159,4.4959999999999996,12.495999999999999
12342.916,ctrl,8.995999999999999,10463.346576188182,0.42165862191459613,0.17876000000000003,159,4.4959999999999996,12.495999999999999
12342.916,ctrl,9.495999999999999,15276.330960502375,0.45966275797402856,0.17876000000000003,159,4.4959999999999996,12.495999999999999
12342.916,ctrl,9.995999999999999,19448.65528306823,0.47989752759685644,0.17876000000000003,159,4.4959999999999996,12.495999999999999
12342.916,ctrl,10.495999999999999,21575.54505719039,0.4826998751070346,0.17876000000000003,159,4.4959999999999996,12.495999999999999
12342.916,ctrl,11.495999999999999,22026.11093245366,0.47679808964148085,0.17876000000000003,159,4.4959999999999996,12.495999999999999
12342.916,ctrl,12.495999999999999,21987.065248267078,0.47549087544317914,0.17876000000000003,159,4.4959999999999996,12.495999999999999
12638.703,RAIL,6.4959999999999996,87798.27998180359,0.14421316369743364,0.39897000000000005,158,4.4959999999999996,12.495999999999999
12638.703,RAIL,6.9959999999999996,81257.2690879581,0.2535804421928467,0.39897000000000005,158,4.4959999999999996,12.495999999999999
12638.703,RAIL,7.4959999999999996,76733.25830493528,0.342582960811342,0.39897000000000005,158,4.4959999999999996,12.495999999999999
12638.703,RAIL,7.7459999999999996,75086.88247052475,0.3771715289092521,0.39897000000000005,158,4.4959999999999996,12.495999999999999
12638.703,RAIL,7.9959999999999996,73736.9499662653,0.40712334685599894,0.39897000000000005,158,4.4959999999999996,12.495999999999999
12638.703,RAIL,8.245999999999999,72640.89911366088,0.4337268888591689,0.39897000000000005,158,4.4959999999999996,12.495999999999999
12638.703,RAIL,8.495999999999999,71753.92084007723,0.45786624952762855,0.39897000000000005,158,4.4959999999999996,12.495999999999999
12638.703,RAIL,8.995999999999999,70321.65842565079,0.5000151306281397,0.39897000000000005,158,4.4959999999999996,12.495999999999999
12638.703,RAIL,9.495999999999999,68795.43915898228,0.5315842520516424,0.39897000000000005,158,4.4959999999999996,12.495999999999999
12638.703,RAIL,9.995999999999999,66713.55907393138,0.5464075738319144,0.39897000000000005,158,4.4959999999999996,12.495999999999999
12638.703,RAIL,10.495999999999999,64308.11527794972,0.5457916515550869,0.39897000000000005,158,4.4959999999999996,12.495999999999999
12638.703,RAIL,11.495999999999999,61911.092334958,0.5383947771923876,0.39897000000000005,158,4.4959999999999996,12.495999999999999
12638.703,RAIL,12.495999999999999,61565.74337331136,0.536995406034652,0.39897000000000005,158,4.4959999999999996,12.495999999999999
12648.741,RAIL,6.4959999999999996,108993.3906190945,0.07336407708588077,0.35297,152,4.4959999999999996,12.495999999999999
12648.741,RAIL,6.9959999999999996,102636.35057213325,0.16498062475790887,0.35297,152,4.4959999999999996,12.495999999999999
