centroid_A,ep_mean_eV,n_components,n_isotopes,isotopes,n_isotopes_catalogued,naive_total,per_isotope_total,per_isotope_spread,line_id,physical_id,species,wavelength_air_A,excitation_potential_eV,published_log_gf,sibling_gf_linelist_vald,loggf_reference,gf_tier,offset_dex,log10_n_isotopes,offset_minus_log10n,form_A,published_equals_naive,verdict,reason,corrected_log_gf,correction_term,sibling_residual
4989.951445285095,0.631,20,7,142;143;144;145;146;148;150,7,0.345107,-0.499991,3.8e-05,gf_098725,pk_9b640ca8bc86,Nd II,4989.9514,0.631,0.3451,-0.5,MC,OTHER,0.845091,0.845098,-7.41e-06,True,True,CORRECT,,-0.5,-0.845098,9e-06
5165.138571428572,0.6799999999999999,7,7,142;143;144;145;146;148;150,7,0.105098,-0.74,0.0,gf_098757,pk_825e42faf5e6,Nd II,5165.1386,0.68,0.1051,-0.74,HLSC,OTHER,0.8451,0.845098,1.96e-06,True,True,CORRECT,,-0.74,-0.845098,-0.0
5361.472635367829,0.6799999999999999,14,7,142;143;144;145;146;148;150,7,0.475084,-0.370014,7.2e-05,gf_098803,pk_ec718307cbd0,Nd II,5361.4726,0.68,0.4751,-0.37,MC,OTHER,0.845114,0.845098,1.639e-05,True,True,CORRECT,,-0.37,-0.845098,-1.4e-05
5442.2724285714285,0.6799999999999999,7,7,142;143;144;145;146;148;150,7,-0.064902,-0.91,0.0,gf_098818,pk_40cd35b12bde,Nd II,5442.2724,0.68,-0.0649,-0.91,MC,OTHER,0.8451,0.845098,1.96e-06,True,True,CORRECT,,-0.91,-0.845098,0.0
4987.157791660078,0.742,16,7,142;143;144;145;146;148;150,7,0.055092,-0.790006,0.000507,gf_098722,pk_ad9fa3d147ac,Nd II,4987.1578,0.742,0.0551,-0.79,HLSC,OTHER,0.845106,0.845098,7.97e-06,True,True,CORRECT,,-0.79,-0.845098,-6e-06
5250.81171860423,0.745,10,7,142;143;144;145;146;148;150,7,0.125086,-0.720012,8.5e-05,gf_098776,pk_014e42a4ad29,Nd II,5250.8117,0.745,0.1251,-0.72,HLSC,OTHER,0.845112,0.845098,1.415e-05,True,True,CORRECT,,-0.72,-0.845098,-1.2e-05
5293.16252071058,0.8230000000000002,15,7,142;143;144;145;146;148;150,7,0.945102,0.100004,0.000124,gf_098784,pk_9efb02b5732b,Nd II,5293.16,0.823,0.1,0.1,VALD3,VALD3,-4e-06,0.845098,-0.84510211,True,False,NOT_BUILT_BY_NAIVE_SUM,published +0.1000 is not the naive cluster sum +0.9451; this row took another column and is already correct or differs for another reason,,,
5276.876014100311,0.859,10,7,142;143;144;145;146;148;150,7,0.405084,-0.440014,0.00038,gf_098782,pk_48661bceeb90,Nd II,5276.876,0.859,0.4051,-0.44,MC,OTHER,0.845114,0.845098,1.61e-05,True,True,CORRECT,,-0.44,-0.845098,-1.4e-05
5306.467024530089,0.859,14,7,142;143;144;145;146;148;150,7,-0.124911,-0.970009,3.2e-05,gf_098787,pk_99dac4329b8e,Nd II,5306.467,0.859,-0.1249,-0.97,HLSC,OTHER,0.845109,0.845098,1.067e-05,True,True,CORRECT,,-0.97,-0.845098,-9e-06
5416.383453947522,0.859,10,7,142;143;144;145;146;148;150,7,-0.084916,-0.930015,0.000382,gf_098812,pk_cc76a9915fc6,Nd II,5416.3835,0.859,-0.0849,-0.93,MC,OTHER,0.845115,0.845098,1.65e-05,True,True,CORRECT,,-0.93,-0.845098,-1.5e-05
5581.601661289933,0.859,10,7,142;143;144;145;146;148;150,7,-0.344845,-1.189943,0.000344,gf_098849,pk_fcc9ae539cd5,Nd II,5581.6017,0.859,-0.3448,-1.19,HLSC,OTHER,0.845143,0.845098,4.521e-05,True,True,CORRECT,,-1.1899,-0.845098,5.7e-05
5811.576931845217,0.859,10,7,142;143;144;145;146;148;150,7,-0.014849,-0.859947,0.000204,gf_098895,pk_ac660889d5bc,Nd II,5811.5769,0.859,-0.0148,-0.86,HLSC,OTHER,0.845147,0.845098,4.897e-05,True,True,CORRECT,,-0.8599,-0.845098,5.3e-05
6365.509,0.9329999999999999,7,7,142;143;144;145;146;148;150,7,-0.354902,-1.2,0.0,gf_098958,pk_147dc02b2d4f,Nd II,6365.509,0.933,-0.3549,,HLSC,OTHER,0.8451,0.845098,1.96e-06,True,True,CORRECT,,-1.2,-0.845098,
5249.578428571429,0.976,7,7,142;143;144;145;146;148;150,7,1.045098,0.2,0.0,gf_098775,pk_819cd58c7e06,Nd II,5249.5784,0.976,1.0451,0.2,HLSC,OTHER,0.8451,0.845098,1.96e-06,True,True,CORRECT,,0.2,-0.845098,0.0
5311.455459190374,0.9860000000000003,15,7,142;143;144;145;146;148;150,7,0.425095,-0.420003,3.6e-05,gf_098790,pk_81f3ff33b7e2,Nd II,5311.4555,0.986,0.4251,-0.42,HLSC,OTHER,0.845103,0.845098,5.02e-06,True,True,CORRECT,,-0.42,-0.845098,-3e-06
5431.522330588802,1.1210000000000002,14,7,142;143;144;145;146;148;150,7,0.375107,-0.469991,0.000161,gf_098815,pk_6aa15ce0f491,Nd II,5431.5223,1.121,0.3751,-0.47,HLSC,OTHER,0.845091,0.845098,-7.46e-06,True,True,CORRECT,,-0.47,-0.845098,9e-06
5310.045714285715,1.136,7,7,142;143;144;145;146;148;150,7,-0.134902,-0.98,0.0,gf_098789,pk_a8bd8311200a,Nd II,5310.0457,1.136,-0.1349,-0.98,HLSC,OTHER,0.8451,0.845098,1.96e-06,True,True,CORRECT,,-0.98,-0.845098,-0.0
5740.864307093923,1.16,15,7,142;143;144;145;146;148;150,7,0.315095,-0.530003,3.6e-05,gf_098876,pk_d478ffd2664c,Nd II,5740.8643,1.16,0.3151,-0.53,HLSC,OTHER,0.845103,0.845098,5.02e-06,True,True,CORRECT,,-0.53,-0.845098,-3e-06
5356.995,1.264,7,7,142;143;144;145;146;148;150,7,0.565098,-0.28,0.0,gf_098800,pk_31898be64005,Nd II,5356.995,1.264,0.5651,,HLSC,OTHER,0.8451,0.845098,1.96e-06,True,True,CORRECT,,-0.28,-0.845098,
5485.699428571427,1.264,7,7,142;143;144;145;146;148;150,7,0.725098,-0.12,0.0,gf_098831,pk_d63d83ca595d,Nd II,5485.6994,1.264,0.7251,-0.12,HLSC,OTHER,0.8451,0.845098,1.96e-06,True,True,CORRECT,,-0.12,-0.845098,0.0
5842.373416096205,1.282,15,7,142;143;144;145;146;148;150,7,0.245102,-0.599996,0.000124,gf_098901,pk_c0480ca6aac1,Nd II,5842.3734,1.282,0.2451,-0.6,MC,OTHER,0.845096,0.845098,-2.11e-06,True,True,CORRECT,,-0.6,-0.845098,4e-06
6637.158729220458,1.452,17,7,142;143;144;145;146;148;150,7,0.00508,-0.840018,7.2e-05,gf_098994,pk_ffa80f9a2805,Nd II,6637.1587,1.452,0.0051,,HLSC,OTHER,0.845118,0.845098,2.006e-05,True,True,CORRECT,,-0.84,-0.845098,
4836.660082605962,0.10400000000000001,10,7,144;147;148;149;150;152;154,7,-1.344996,-2.190094,0.000659,gf_120199,pk_901cddcf9e1f,Sm II,4836.6601,0.104,-1.345,-2.19,LD-HS,OTHER,0.845094,0.845098,-3.88e-06,True,True,CORRECT,,-2.1901,-0.845098,-9.4e-05
4815.800454756528,0.18500000000000003,11,7,144;147;148;149;150;152;154,7,0.025063,-0.820035,0.000235,gf_120192,pk_61818d9f0bc9,Sm II,4815.8005,0.185,0.0251,-0.82,LD-HS,OTHER,0.845135,0.845098,3.745e-05,True,True,CORRECT,,-0.82,-0.845098,-3.5e-05
4854.368231556406,0.378,9,7,144;147;148;149;150;152;154,7,-0.404904,-1.250002,1.1e-05,gf_120204,pk_a548dbf91c20,Sm II,4854.3682,0.378,-0.4049,-1.25,LD-HS,OTHER,0.845102,0.845098,3.54e-06,True,True,CORRECT,,-1.25,-0.845098,-2e-06
4948.6294822801165,0.5440000000000002,19,7,144;147;148;149;150;152;154,7,-0.104942,-0.95004,0.000178,gf_120225,pk_432d0eac8407,Sm II,4948.63,0.544,-0.95,-0.95,VALD3,VALD3,4e-05,0.845098,-0.84505824,True,False,NOT_BUILT_BY_NAIVE_SUM,published -0.9500 is not the naive cluster sum -0.1049; this row took another column and is already correct or differs for another reason,,,
4929.555519606558,0.659,13,7,144;147;148;149;150;152;154,7,-0.804917,-1.650015,7.5e-05,gf_120221,pk_2b2e1ebb63b0,Sm II,4929.5555,0.659,-0.8049,-1.65,LD-HS,OTHER,0.845115,0.845098,1.738e-05,True,True,CORRECT,,-1.65,-0.845098,-1.5e-05
5818.7392089912655,1.23,8,2,151;153,2,-0.94895,-1.24998,0.000118,gf_051789,pk_2627392fecd2,Eu II,5818.7392,1.23,-0.9489,-1.2495,LWHS,OTHER,0.30108,0.30103,4.952e-05,True,True,CORRECT,,-1.25,-0.30103,-0.00048
6049.503340660457,1.279,7,2,151;153,2,-0.499147,-0.800177,0.000332,gf_051794,pk_b0a1131ff91d,Eu II,6049.5033,1.279,-0.4991,-0.7994,LWHS,OTHER,0.301077,0.30103,4.702e-05,True,True,CORRECT,,-0.8002,-0.30103,-0.000777
6173.021494146648,1.32,6,2,151;153,2,-0.558956,-0.859986,0.000471,gf_051795,pk_9475c704ef2b,Eu II,6173.0215,1.32,-0.559,-0.8594,LWHS,OTHER,0.300986,0.30103,-4.421e-05,True,True,CORRECT,,-0.86,-0.30103,-0.000586
6437.631524205436,1.32,9,2,151;153,2,-0.018623,-0.319653,1.2e-05,gf_051797,pk_e961cfb80e76,Eu II,6437.6315,1.32,-0.0186,-0.3195,LWHS,OTHER,0.301053,0.30103,2.27e-05,True,True,CORRECT,,-0.3197,-0.30103,-0.000153
6645.090465037879,1.3799999999999997,11,2,151;153,2,0.42085,0.11982,9.4e-05,gf_051798,pk_2661aba9a167,Eu II,6645.0905,1.38,0.4208,0.1203,LWHS,OTHER,0.30098,0.30103,-4.958e-05,True,True,CORRECT,,0.1198,-0.30103,-0.00048
5105.532817914985,1.3889999999999998,7,2,63;65,2,-1.214888,-1.515918,4.1e-05,gf_047779,pk_58052be4ad50,Cu I,5105.537,1.389,-1.542,-1.5419,VALD3,VALD3,-0.026082,0.30103,-0.32711244,True,False,NOT_BUILT_BY_NAIVE_SUM,published -1.5420 is not the naive cluster sum -1.2149; this row took another column and is already correct or differs for another reason,,,
5700.233888573917,1.642,10,2,63;65,2,-2.028995,-2.330025,0.0,gf_048015,pk_3fa8b373dfeb,Cu I,5700.237,1.642,-2.583,-2.5829,VALD3,VALD3,-0.252975,0.30103,-0.55400509,True,False,NOT_BUILT_BY_NAIVE_SUM,published -2.5830 is not the naive cluster sum -2.0290; this row took another column and is already correct or differs for another reason,,,
5782.122042132111,1.642,10,2,63;65,2,-1.487873,-1.788903,0.0,gf_048042,pk_5d1cb73ea504,Cu I,5782.122,1.642,-1.4879,-1.9048,KR|1989ZPh,OTHER,0.301003,0.30103,-2.666e-05,True,True,CORRECT,,-1.7889,-0.30103,0.115897
5153.226999999999,3.786,2,2,63;65,2,0.27803,-0.023,0.0,gf_047794,pk_c0a8c15bb759,Cu I,5153.231,3.786,0.116,0.1162,VALD3,VALD3,0.139,0.30103,-0.16203,True,False,NOT_BUILT_BY_NAIVE_SUM,published +0.1160 is not the naive cluster sum +0.2780; this row took another column and is already correct or differs for another reason,,,
5218.196157027723,3.817,4,2,63;65,2,0.564971,0.263941,0.0,gf_047815,pk_74a41a8f9fea,Cu I,5218.198,3.817,0.364,0.3641,VALD3,VALD3,0.100059,0.30103,-0.20097068,True,False,NOT_BUILT_BY_NAIVE_SUM,published +0.3640 is not the naive cluster sum +0.5650; this row took another column and is already correct or differs for another reason,,,
5220.064938236791,3.817,4,2,63;65,2,-0.315029,-0.616059,0.0,gf_047817,pk_bc33f0a01276,Cu I,5220.066,3.817,-0.59,-0.5899,VALD3,VALD3,0.026059,0.30103,-0.27497068,True,False,NOT_BUILT_BY_NAIVE_SUM,published -0.5900 is not the naive cluster sum -0.3150; this row took another column and is already correct or differs for another reason,,,
4934.074162451075,0.0,11,5,134;135;136;137;138,7,0.542029,-0.156941,0.000148,gf_001465,pk_24f578fbfd4b,Ba II,4934.0742,0.0,0.542,-0.1497,1992A&A...,OTHER,0.698941,0.69897,-2.925e-05,True,True,CORRECT,,-0.1569,-0.69897,-0.007241
5853.667957591073,0.604,6,5,134;135;136;137;138,7,-0.208073,-0.907043,0.000213,gf_001470,pk_58fb66dd312a,Ba II,5853.668,0.604,-1.01,-0.9997,NIST ASD v5.11 grade A,NIST-C+,-0.102957,0.69897,-0.80192736,True,False,NOT_BUILT_BY_NAIVE_SUM,published -1.0100 is not the naive cluster sum -0.2081; this row took another column and is already correct or differs for another reason,,,
6496.897673632196,0.604,7,5,134;135;136;137;138,7,0.288883,-0.410105,0.009669,gf_001479,pk_d51b4fc410db,Ba II,6496.897,0.604,-0.377,-0.3767,VALD3,VALD3,0.033105,0.69897,-0.66586484,True,False,NOT_BUILT_BY_NAIVE_SUM,published -0.3770 is not the naive cluster sum +0.2889; this row took another column and is already correct or differs for another reason,,,
6141.714506208022,0.7039999999999998,6,5,134;135;136;137;138,7,0.666948,-0.032022,0.000109,gf_001473,pk_53a78eebea43,Ba II,6141.713,0.704,-0.076,-0.0757,VALD3,VALD3,-0.043978,0.69897,-0.7429483,True,False,NOT_BUILT_BY_NAIVE_SUM,published -0.0760 is not the naive cluster sum +0.6669; this row took another column and is already correct or differs for another reason,,,
6707.919333210544,0.0,2,2,6;7,2,0.174101,-0.1525,0.301,gf_087098,pk_2a550daf36bd,Li I,6707.9193,0.0,-0.123,-0.3369,NIST ASD v5.11 grade A+,NIST-C+,0.0295,0.30103,-0.27153,False,False,NOT_FORM_A,"per-isotope totals disagree by 0.3010 dex (> 0.02); the isotopes do not each carry the full gf, so a count correction is not defined here",,,
