wave,ew_ref,ew_synth,abundance,status,ratio,n_fe1_in_window,n_neighbours,target_strength,window_strength,predicted_ratio,half_A,corrected_ratio
5398.279,75.1,153.3075622133939,7.557,ok,2.0413789908574422,12,11,2.804386306522381e-05,3.0684001627735754e-05,1.0941431840674578,1.0,1.8657329502969184
5472.709,46.1,59.71914262134515,7.458,ok,1.2954260872309142,3,2,6.757432321956413e-06,8.945227231152182e-06,1.3237612757270438,1.0,0.9785949407829844
5491.832,14.8,13.545237079626874,7.398,ok,0.9152187215964104,7,6,1.4350428357348425e-06,1.4678106740553332e-06,1.022834048924896,1.0,0.8947871089727601
5618.632,52.7,100.02990426169002,7.521,ok,1.8981006501269453,6,5,1.1188753468873587e-05,1.6289476089007362e-05,1.455879435928557,1.0,1.3037485132938502
5753.122,81.9,92.14643597064996,7.548,ok,1.1251091083107443,5,4,3.9106547865049735e-05,3.9243833425787303e-05,1.0035105517677325,1.0,1.1211731718503708
5855.076,24.8,32.84885497130175,7.413,ok,1.324550603681522,2,1,3.1505221433135683e-06,3.15741282128766e-06,1.0021871542749559,1.0,1.3216599295166418
5930.18,90.8,143.1262010293428,7.525,ok,1.576279747019194,15,14,5.104610129689959e-05,5.628934761003944e-05,1.1027159015072188,1.0,1.429452268589486
6085.258,45.1,22.350205663766456,7.463,ok,0.49556997037176176,3,2,3.132520854055378e-06,3.1417740133271557e-06,1.0029539018901656,1.0,0.4941104166779861
6151.617,50.8,53.50934487092543,7.499,ok,1.0533335604512881,9,8,6.323513061622795e-06,6.3658317350743734e-06,1.0066922726400944,1.0,1.0463312266109632
6230.722,151.9,191.87769425281053,7.487,ok,1.2631842939618863,6,5,0.000305161784266585,0.00030518446904867583,1.0000743369034406,1.0,1.2630903997328045
6408.017,100.0,118.59778432760928,7.547,ok,1.1859778432760928,8,7,5.80036470819217e-05,5.8128335614752416e-05,1.0021496671175627,1.0,1.1834338544334069
6494.98,157.2,325.7447821407421,7.538,ok,2.072167825322787,3,2,0.0004244955881120862,0.0004339625300143324,1.022301626135503,1.0,2.0269632487585687
6793.258,14.6,22.500781350592256,7.676,ok,1.541149407574812,11,10,1.302911030685455e-06,1.3127351584901881e-06,1.0075401371032715,1.0,1.5296158940185687
4800.649,72.5,128.47959859632547,7.49,ok,1.7721323944320755,12,11,2.2563768869645598e-05,3.9764308318814484e-05,1.762307908246139,1.5,1.0055747841452485
4977.648,35.8,78.55067782311679,7.521,ok,2.194153011818905,7,6,3.421939676021727e-06,7.926263658524323e-05,23.163072435394962,1.5,0.09472633727406861
4991.268,107.1,118.51282422122806,7.543,ok,1.1065623176585253,13,12,4.682728305426965e-05,5.0621328265748875e-05,1.081022108566115,1.5,1.023625982197799
5222.395,25.5,80.11808683000093,7.433,ok,3.1418857580392525,6,5,1.5066791903864721e-06,1.8059676599454734e-05,11.986411383847626,1.5,0.2621206345606595
5267.269,33.6,255.24051945489583,7.44,ok,7.596444031395709,11,10,3.866574685858342e-06,0.0009994970193455436,258.49675760851494,1.5,0.029386999286467957
5398.279,75.1,153.3075622133939,7.557,ok,2.0413789908574422,15,14,2.804386306522381e-05,0.0016619268613273924,59.26169506184362,1.5,0.03444685456140133
5472.709,46.1,59.71914262134515,7.458,ok,1.2954260872309142,6,5,6.757432321956413e-06,5.004167605261086e-05,7.405427634105077,1.5,0.17492927501781771
5491.832,14.8,13.545237079626874,7.398,ok,0.9152187215964104,11,10,1.4350428357348425e-06,1.541934660271836e-05,10.744868528487219,1.5,0.08517728431669
