true_star,instrument,src_folder,raw_object,norm_reason,file,date_obs,exptime,snr35,specsys,sep_arcsec,tight_sep_flag,integrity,src_path
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:42:12.080.fits,2010-04-03T08:51:57.425,3.0077,300.0,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:42:12.080.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:41:24.287.fits,2010-04-03T08:52:32.428,3.0069,259.4,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:41:24.287.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:41:48.560.fits,2010-04-03T08:53:07.420,3.0004,257.9,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:41:48.560.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:41:42.927.fits,2010-04-03T08:53:42.342,3.0057,282.4,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:41:42.927.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:44:02.853.fits,2010-04-04T06:35:06.116,1.0077,170.0,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:44:02.853.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:43:38.633.fits,2010-04-04T06:35:39.428,1.0074,181.7,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:43:38.633.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:41:21.433.fits,2010-04-04T06:36:11.969,0.9996,149.4,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:41:21.433.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:44:52.203.fits,2010-04-04T06:36:45.831,0.9995,161.5,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:44:52.203.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:44:43.013.fits,2010-04-04T06:37:18.503,1.0003,186.0,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:44:43.013.fits
alpha_cen_a,HARPS,Alpha Cen A,HD128620,HD128620,ADP.2014-09-24T09:44:11.147.fits,2010-04-04T06:37:51.365,1.0074,168.7,BARYCENT,,False,OK,/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri (vetted)/Alpha Cen A/HARPS/ADP.2014-09-24T09:44:11.147.fits
