source,species,wavelength_air_A,elo_cm1,eup_cm1,elo_eV,eup_eV,j_lo,j_up,aki_1e6_s-1,e_aki_1e6_s-1,loggf,e_loggf_dex
DenHartog2019,Fe II,2382.037,0.0,41968.0698,0.0,5.2033774941668876,4.5,5.5,313.0,4.4,0.5,0.01
DenHartog2019,Fe II,2382.358,3117.4877,45079.9019,0.3865192136265961,5.589195502760795,1.5,2.5,2.63,0.2,-1.87,0.03
DenHartog2019,Fe II,2383.06,384.7872,42334.8444,0.047707532561421094,5.248851748955515,3.5,2.5,7.82,0.23,-1.4,0.01
DenHartog2019,Fe II,2383.245,2837.9807,44784.7859,0.3518647622736272,5.552605782054399,2.5,2.5,29.5,1.6,-0.82,0.02
DenHartog2019,Fe II,2384.388,3117.4877,45044.1916,0.3865192136265961,5.584767989839294,1.5,1.5,32.6,2.2,-0.96,0.03
DenHartog2019,Fe II,2385.006,2837.9807,44753.8179,0.3518647622736272,5.548766239397153,2.5,3.5,2.92,0.19,-1.7,0.03
DenHartog2019,Fe II,2388.629,384.7872,42237.0575,0.047707532561421094,5.236727718541222,3.5,3.5,98.0,2.6,-0.18,0.01
DenHartog2019,Fe II,2391.478,2430.1369,44232.5398,0.30129857564248735,5.484135992005073,3.5,4.5,2.97,0.19,-1.59,0.03
DenHartog2019,Fe II,2395.419,667.6829,42401.3198,0.0827821291676388,5.257093648140398,2.5,1.5,25.1,1.1,-1.06,0.02
DenHartog2019,Fe II,2395.625,384.7872,42114.838,0.047707532561421094,5.2215744318001605,3.5,4.5,266.0,4.0,0.36,0.01
DenHartog2019,Fe II,2399.241,667.6829,42334.8444,0.0827821291676388,5.248851748955515,2.5,2.5,137.3,3.3,-0.15,0.01
DenHartog2019,Fe II,2402.599,2837.9807,44446.9051,0.3518647622736272,5.510713901898617,2.5,3.5,2.13,0.13,-1.83,0.03
DenHartog2019,Fe II,2404.431,862.6118,42439.8511,0.10695023258665065,5.261870920485694,1.5,0.5,59.0,5.0,-0.99,0.04
DenHartog2019,Fe II,2404.885,667.6829,42237.0575,0.0827821291676388,5.236727718541222,2.5,3.5,205.0,5.0,0.15,0.01
DenHartog2019,Fe II,2406.661,862.6118,42401.3198,0.10695023258665065,5.257093648140398,1.5,1.5,167.0,6.0,-0.24,0.02
DenHartog2019,Fe II,2410.519,862.6118,42334.8444,0.10695023258665065,5.248851748955515,1.5,2.5,153.7,3.7,-0.1,0.01
DenHartog2019,Fe II,2411.067,977.0498,42439.8511,0.12113873628756354,5.261870920485694,0.5,0.5,242.0,22.0,-0.38,0.04
DenHartog2019,Fe II,2413.31,977.0498,42401.3198,0.12113873628756354,5.257093648140398,0.5,1.5,99.2,3.4,-0.46,0.01
DenHartog2019,Fe II,2451.101,1872.5998,42658.2444,0.23217278519922344,5.288948238730548,4.5,3.5,0.324,0.02,-2.63,0.03
DenHartog2019,Fe II,2526.833,2837.9807,42401.3198,0.3518647622736272,5.257093648140398,2.5,1.5,0.68,0.07,-2.58,0.04
DenHartog2019,Fe II,2562.535,7955.3186,46967.4751,0.9863337999444338,5.823224752956919,3.5,2.5,184.0,6.0,0.03,0.01
DenHartog2019,Fe II,2563.475,8391.9554,47389.809,1.0404698636012155,5.875587483021853,2.5,1.5,145.0,5.0,-0.25,0.01
DenHartog2019,Fe II,2566.912,8680.4706,47626.11,1.0762411894105586,5.904885073097085,1.5,0.5,117.2,3.8,-0.64,0.01
DenHartog2019,Fe II,2577.922,8846.7837,47626.11,1.096861385803892,5.904885073097085,0.5,0.5,126.0,4.0,-0.6,0.01
DenHartog2019,Fe II,2582.583,8680.4706,47389.809,1.0762411894105586,5.875587483021853,1.5,1.5,84.9,2.7,-0.47,0.01
DenHartog2019,Fe II,2585.876,0.0,38660.0537,0.0,4.793235769586508,4.5,3.5,87.2,2.1,-0.16,0.01
DenHartog2019,Fe II,2591.543,8391.9554,46967.4751,1.0404698636012155,5.823224752956919,2.5,2.5,55.1,2.0,-0.48,0.02
DenHartog2019,Fe II,2593.728,8846.7837,47389.809,1.096861385803892,5.875587483021853,0.5,1.5,14.9,0.5,-1.22,0.01
DenHartog2019,Fe II,2598.369,384.7872,38858.9696,0.047707532561421094,4.817898198004695,3.5,2.5,143.1,3.0,-0.06,0.01
DenHartog2019,Fe II,2599.395,0.0,38458.9934,0.0,4.768307469453191,4.5,4.5,236.0,4.0,0.38,0.01
DenHartog2019,Fe II,2607.087,667.6829,39013.216,0.0827821291676388,4.8370223142707305,2.5,1.5,174.0,4.0,-0.15,0.01
DenHartog2019,Fe II,2611.073,8680.4706,46967.4751,1.0762411894105586,5.823224752956919,1.5,2.5,7.23,0.31,-1.36,0.02
DenHartog2019,Fe II,2611.873,384.7872,38660.0537,0.047707532561421094,4.793235769586508,3.5,3.5,124.9,3.0,0.01,0.01
DenHartog2019,Fe II,2613.824,862.6118,39109.3161,0.10695023258665065,4.8489372081390965,1.5,0.5,215.0,6.0,-0.36,0.01
DenHartog2019,Fe II,2617.617,667.6829,38858.9696,0.0827821291676388,4.817898198004695,2.5,2.5,48.5,1.0,-0.52,0.01
DenHartog2019,Fe II,2620.409,862.6118,39013.216,0.10695023258665065,4.8370223142707305,1.5,1.5,3.44,0.13,-1.85,0.02
DenHartog2019,Fe II,2621.669,977.0498,39109.3161,0.12113873628756354,4.8489372081390965,0.5,0.5,53.6,1.6,-0.96,0.01
DenHartog2019,Fe II,2625.667,384.7872,38458.9934,0.047707532561421094,4.768307469453191,3.5,4.5,34.9,1.2,-0.44,0.01
DenHartog2019,Fe II,2628.293,977.0498,39013.216,0.12113873628756354,4.8370223142707305,0.5,1.5,87.0,2.6,-0.44,0.01
DenHartog2019,Fe II,2631.047,862.6118,38858.9696,0.10695023258665065,4.817898198004695,1.5,2.5,81.6,1.7,-0.29,0.01
DenHartog2019,Fe II,2631.323,667.6829,38660.0537,0.0827821291676388,4.793235769586508,2.5,3.5,59.8,1.8,-0.3,0.01
DenHartog2019,Fe II,2692.834,7955.3186,45079.9019,0.9863337999444338,5.589195502760795,3.5,2.5,1.5,0.07,-2.01,0.02
DenHartog2019,Fe II,2714.413,7955.3186,44784.7859,0.9863337999444338,5.552605782054399,3.5,2.5,54.8,1.4,-0.44,0.01
DenHartog2019,Fe II,2724.884,8391.9554,45079.9019,1.0404698636012155,5.589195502760795,2.5,2.5,9.69,0.36,-1.19,0.02
DenHartog2019,Fe II,2727.539,8391.9554,45044.1916,1.0404698636012155,5.584767989839294,2.5,1.5,98.0,3.2,-0.36,0.01
DenHartog2019,Fe II,2730.734,8680.4706,45289.8248,1.0762411894105586,5.615222625251195,1.5,1.5,28.0,1.6,-0.91,0.02
DenHartog2019,Fe II,2732.448,1872.5998,38458.9934,0.23217278519922344,4.768307469453191,4.5,4.5,0.076,0.006,-3.07,0.03
DenHartog2019,Fe II,2736.966,8680.4706,45206.4704,1.0762411894105586,5.6048879967808665,1.5,0.5,121.0,9.0,-0.57,0.03
DenHartog2019,Fe II,2739.547,7955.3186,44446.9051,0.9863337999444338,5.510713901898617,3.5,3.5,237.0,5.0,0.33,0.01
DenHartog2019,Fe II,2743.197,8846.7837,45289.8248,1.096861385803892,5.615222625251195,0.5,1.5,200.0,11.0,-0.05,0.02
DenHartog2019,Fe II,2746.483,8680.4706,45079.9019,1.0762411894105586,5.589195502760795,1.5,2.5,216.0,7.0,0.16,0.01
DenHartog2019,Fe II,2746.982,8391.9554,44784.7859,1.0404698636012155,5.552605782054399,2.5,2.5,178.0,5.0,0.08,0.01
DenHartog2019,Fe II,2749.181,8680.4706,45044.1916,1.0762411894105586,5.584767989839294,1.5,1.5,129.0,4.0,-0.24,0.01
DenHartog2019,Fe II,2749.321,8391.9554,44753.8179,1.0404698636012155,5.548766239397153,2.5,3.5,226.0,7.0,0.31,0.01
DenHartog2019,Fe II,2749.486,8846.7837,45206.4704,1.096861385803892,5.6048879967808665,0.5,0.5,117.0,8.0,-0.58,0.03
DenHartog2019,Fe II,2755.736,7955.3186,44232.5398,0.9863337999444338,5.484135992005073,3.5,4.5,224.0,6.0,0.41,0.01
DenHartog2019,Fe II,2761.813,8846.7837,45044.1916,1.096861385803892,5.584767989839294,0.5,1.5,13.7,0.5,-1.2,0.02
DenHartog2019,Fe II,2768.934,8680.4706,44784.7859,1.0762411894105586,5.552605782054399,1.5,2.5,4.42,0.17,-1.51,0.02
DenHartog2019,Fe II,2868.874,8391.9554,43238.6066,1.0404698636012155,5.3609039809015915,2.5,2.5,0.85,0.08,-2.21,0.04
DenHartog2019,Fe II,2880.756,7955.3186,42658.2444,0.9863337999444338,5.288948238730548,3.5,3.5,2.26,0.21,-1.65,0.04
DenHartog2019,Fe II,2917.466,8391.9554,42658.2444,1.0404698636012155,5.288948238730548,2.5,3.5,0.179,0.023,-2.74,0.05
DenHartog2019,Fe II,2926.585,7955.3186,42114.838,0.9863337999444338,5.2215744318001605,3.5,4.5,4.13,0.34,-1.28,0.03
DenHartog2019,Fe II,2939.507,8391.9554,42401.3198,1.0404698636012155,5.257093648140398,2.5,1.5,0.4,0.05,-2.68,0.05
DenHartog2019,Fe II,2944.395,13673.2045,47626.11,1.695261300019126,5.904885073097085,1.5,0.5,55.1,2.8,-0.85,0.02
DenHartog2019,Fe II,2947.655,13474.4474,47389.809,1.6706185602916515,5.875587483021853,2.5,1.5,30.2,1.8,-0.81,0.03
DenHartog2019,Fe II,2953.774,8391.9554,42237.0575,1.0404698636012155,5.236727718541222,2.5,3.5,4.0,0.33,-1.38,0.03
DenHartog2019,Fe II,2961.275,8680.4706,42439.8511,1.0762411894105586,5.261870920485694,1.5,0.5,0.9,0.17,-2.63,0.08
DenHartog2019,Fe II,2964.623,13904.8604,47626.11,1.723982971094191,5.904885073097085,0.5,0.5,9.5,0.8,-1.6,0.04
DenHartog2019,Fe II,2965.032,13673.2045,47389.809,1.695261300019126,5.875587483021853,1.5,1.5,8.6,0.6,-1.35,0.03
DenHartog2019,Fe II,2970.515,8680.4706,42334.8444,1.0762411894105586,5.248851748955515,1.5,2.5,2.81,0.23,-1.65,0.03
DenHartog2019,Fe II,2975.936,8846.7837,42439.8511,1.096861385803892,5.261870920485694,0.5,0.5,0.98,0.16,-2.59,0.07
DenHartog2019,Fe II,2979.353,8846.7837,42401.3198,1.096861385803892,5.257093648140398,0.5,1.5,1.81,0.17,-2.02,0.04
DenHartog2019,Fe II,2984.825,13474.4474,46967.4751,1.6706185602916515,5.823224752956919,2.5,2.5,44.9,2.6,-0.45,0.02
DenHartog2019,Fe II,2985.545,13904.8604,47389.809,1.723982971094191,5.875587483021853,0.5,1.5,24.0,1.6,-0.89,0.03
DenHartog2019,Fe II,3002.644,13673.2045,46967.4751,1.695261300019126,5.823224752956919,1.5,2.5,16.9,1.8,-0.87,0.04
DenHartog2019,Fe II,3170.337,13673.2045,45206.4704,1.695261300019126,5.6048879967808665,1.5,0.5,1.3,0.23,-2.38,0.07
DenHartog2019,Fe II,3183.114,13673.2045,45079.9019,1.695261300019126,5.589195502760795,1.5,2.5,1.07,0.09,-2.01,0.04
DenHartog2019,Fe II,3186.737,13673.2045,45044.1916,1.695261300019126,5.584767989839294,1.5,1.5,3.84,0.26,-1.64,0.03
DenHartog2019,Fe II,3192.91,13474.4474,44784.7859,1.6706185602916515,5.552605782054399,2.5,2.5,1.36,0.13,-1.9,0.04
DenHartog2019,Fe II,3193.801,13904.8604,45206.4704,1.723982971094191,5.6048879967808665,0.5,0.5,7.4,0.7,-1.65,0.04
DenHartog2019,Fe II,3196.071,13474.4474,44753.8179,1.6706185602916515,5.548766239397153,2.5,3.5,1.48,0.1,-1.74,0.03
DenHartog2019,Fe II,3210.445,13904.8604,45044.1916,1.723982971094191,5.584767989839294,0.5,1.5,3.8,0.29,-1.62,0.03
DenHartog2019,Fe II,3213.309,13673.2045,44784.7859,1.695261300019126,5.552605782054399,1.5,2.5,6.2,0.4,-1.24,0.03
DenHartog2019,Fe II,3227.743,13474.4474,44446.9051,1.6706185602916515,5.510713901898617,2.5,3.5,7.5,0.5,-1.03,0.03
DenHartog2019,Fe II,3255.888,7955.3186,38660.0537,0.9863337999444338,4.793235769586508,3.5,3.5,0.242,0.025,-2.51,0.04
DenHartog2019,Fe II,3277.349,7955.3186,38458.9934,0.9863337999444338,4.768307469453191,3.5,4.5,0.45,0.09,-2.14,0.08
DenHartog2019,Fe II,4173.451,20830.5534,44784.7859,2.582659466330795,5.552605782054399,2.5,2.5,0.268,0.03,-2.38,0.05
DenHartog2019,Fe II,4233.162,20830.5534,44446.9051,2.582659466330795,5.510713901898617,2.5,3.5,0.45,0.05,-2.02,0.05
DenHartog2019,Fe II,4303.17,21812.0454,45044.1916,2.7043489652246624,5.584767989839294,1.5,1.5,0.27,0.07,-2.52,0.1
DenHartog2019,Fe II,4351.762,21812.0454,44784.7859,2.7043489652246624,5.552605782054399,1.5,2.5,0.66,0.11,-1.95,0.07
DenHartog2019,Fe II,4385.377,22409.8178,45206.4704,2.7784632970873617,5.6048879967808665,0.5,0.5,0.4,0.07,-2.64,0.07
DenHartog2019,Fe II,4416.819,22409.8178,45044.1916,2.7784632970873617,5.584767989839294,0.5,1.5,0.23,0.05,-2.57,0.09
DenHartog2019,Fe II,4508.281,23031.2829,45206.4704,2.855515149368406,5.6048879967808665,1.5,0.5,0.63,0.1,-2.42,0.06
DenHartog2019,Fe II,4522.628,22939.3512,45044.1916,2.8441170712328114,5.584767989839294,2.5,1.5,0.42,0.06,-2.29,0.06
DenHartog2019,Fe II,4549.466,22810.3459,44784.7859,2.8281224525179844,5.552605782054399,3.5,2.5,0.64,0.1,-1.92,0.06
DenHartog2019,Fe II,4583.829,22637.195,44446.9051,2.8066544769725676,5.510713901898617,4.5,3.5,0.45,0.06,-1.94,0.05
