species,wavelength_air_A,excitation_potential_eV,log_gf,loggf_reference,nist_grade,adjudication_status
Fe II,3249.916,3.8887,-3.017,VALD3,,single_source
Fe II,3250.339,3.8892,-3.134,VALD3,,single_source
Fe II,3251.29,3.8143,-3.233,VALD3,,single_source
Fe II,3251.349,4.4948,-2.524,VALD3,,single_source
Fe II,3252.404,3.8916,-4.813,VALD3,,single_source
Fe II,3252.626,5.2889,-3.615,VALD3,,single_source
Fe II,3254.238,0.0828,-8.964,VALD3,,single_source
Fe II,3255.887,0.9863,-2.48,VALD3,,single_source
Fe II,3257.363,3.9674,-2.836,VALD3,,single_source
Fe II,3257.618,3.9034,-3.675,VALD3,,single_source
Fe II,3257.892,5.5688,-1.764,VALD3,,single_source
Fe II,3258.026,3.8887,-4.02,VALD3,,single_source
Fe II,3258.773,3.8916,-1.154,VALD3,,single_source
Fe II,3259.052,3.9034,-0.973,VALD3,,single_source
Fe II,3259.43,5.5706,-3.746,VALD3,,single_source
Fe II,3259.75,3.9034,-4.43,VALD3,,single_source
Fe II,3260.525,3.8916,-5.168,VALD3,,single_source
Fe II,3261.516,5.9561,-2.49,VALD3,,single_source
Fe II,3264.764,1.0405,-3.878,VALD3,,single_source
Fe II,3265.914,3.8887,-4.535,VALD3,,single_source
Fe II,3266.265,7.4937,-2.416,VALD3,,single_source
Fe II,3266.34,3.8892,-4.547,VALD3,,single_source
Fe II,3266.717,7.4943,-2.519,VALD3,,single_source
Fe II,3266.936,3.7677,-2.141,VALD3,,single_source
Fe II,3267.041,3.9034,-3.496,VALD3,,single_source
Fe II,3267.239,2.0295,-7.005,VALD3,,single_source
Fe II,3268.426,3.8916,-5.21,VALD3,,single_source
Fe II,3268.515,4.1536,-2.182,VALD3,,single_source
Fe II,3268.92,3.9034,-4.401,VALD3,,single_source
Fe II,3269.768,4.1493,-2.422,VALD3,,single_source
Fe II,3270.427,3.7677,-4.386,VALD3,,single_source
Fe II,3273.494,4.1536,-2.225,VALD3,,single_source
Fe II,3276.602,3.9442,-1.887,VALD3,,single_source
Fe II,3277.348,0.9863,-2.39,VALD3,,single_source
Fe II,3277.546,0.107,-9.011,VALD3,,single_source
Fe II,3277.845,3.7677,-3.456,VALD3,,single_source
Fe II,3278.809,8.9705,-0.983,VALD3,,single_source
Fe II,3279.223,4.4791,-3.153,VALD3,,single_source
Fe II,3279.646,4.1493,-2.227,VALD3,,single_source
Fe II,3280.654,8.9705,-0.953,VALD3,,single_source
Fe II,3281.292,1.0405,-2.66,VALD3,,single_source
Fe II,3282.574,7.4867,-2.587,VALD3,,single_source
Fe II,3283.395,4.1536,-4.425,VALD3,,single_source
Fe II,3284.993,3.9442,-3.887,VALD3,,single_source
Fe II,3285.409,1.0762,-3.838,VALD3,,single_source
Fe II,3286.505,3.7677,-4.191,VALD3,,single_source
Fe II,3287.463,4.1493,-3.183,VALD3,,single_source
Fe II,3288.97,4.4791,-4.263,VALD3,,single_source
Fe II,3289.354,3.8143,-1.568,VALD3,,single_source
Fe II,3289.457,0.1211,-9.16,VALD3,,single_source
Fe II,3289.889,0.1211,-9.405,VALD3,,single_source
Fe II,3292.88,3.9442,-4.065,VALD3,,single_source
Fe II,3295.058,3.9442,-3.599,VALD3,,single_source
Fe II,3295.237,3.8916,-2.326,VALD3,,single_source
Fe II,3295.817,1.0762,-2.9,VALD3,,single_source
Fe II,3296.232,3.8143,-3.82,VALD3,,single_source
Fe II,3296.834,3.9674,-2.873,VALD3,,single_source
Fe II,3297.879,3.9442,-2.166,VALD3,,single_source
Fe II,3299.77,6.703,-1.922,VALD3,,single_source
Fe II,3301.858,3.8143,-4.146,VALD3,,single_source
Fe II,3302.718,4.4948,-3.423,VALD3,,single_source
Fe II,3302.857,1.0405,-3.51,VALD3,,single_source
Fe II,3303.465,1.0969,-3.372,VALD3,,single_source
Fe II,3304.428,3.9442,-2.707,VALD3,,single_source
Fe II,3304.436,5.3609,-4.216,VALD3,,single_source
Fe II,3305.613,3.9034,-3.444,VALD3,,single_source
Fe II,3306.265,3.7677,-3.483,VALD3,,single_source
Fe II,3306.466,9.144,-1.068,VALD3,,single_source
Fe II,3307.571,3.8143,-3.962,VALD3,,single_source
Fe II,3311.149,3.8143,-5.672,VALD3,,single_source
Fe II,3312.664,1.0762,-5.189,VALD3,,single_source
Fe II,3313.314,3.9674,-4.451,VALD3,,single_source
Fe II,3313.989,1.0969,-4.028,VALD3,,single_source
Fe II,3314.353,3.9442,-3.821,VALD3,,single_source
Fe II,3314.797,3.9674,-4.324,VALD3,,single_source
Fe II,3315.52,3.9674,-4.395,VALD3,,single_source
Fe II,3316.176,1.6706,-5.688,VALD3,,single_source
Fe II,3318.387,0.2322,-9.242,VALD3,,single_source
Fe II,3318.852,4.4791,-3.726,VALD3,,single_source
Fe II,3321.492,5.9561,-2.138,VALD3,,single_source
Fe II,3323.062,3.9674,-1.62,VALD3,,single_source
Fe II,3324.837,5.9109,-2.271,VALD3,,single_source
Fe II,3325.006,3.9674,-2.85,VALD3,,single_source
Fe II,3327.211,4.6156,-4.421,VALD3,,single_source
Fe II,3327.631,3.8143,-4.261,VALD3,,single_source
Fe II,3329.109,3.9034,-2.798,VALD3,,single_source
Fe II,3331.777,9.1257,-1.302,VALD3,,single_source
Fe II,3335.9,3.8887,-3.552,VALD3,,single_source
Fe II,3336.345,3.8892,-4.772,VALD3,,single_source
Fe II,3337.731,4.4791,-3.753,VALD3,,single_source
Fe II,3338.186,1.6953,-5.225,VALD3,,single_source
Fe II,3338.521,3.8916,-2.479,VALD3,,single_source
Fe II,3339.691,9.0075,-0.89,VALD3,,single_source
Fe II,3341.927,3.9442,-5.126,VALD3,,single_source
Fe II,3351.89,4.4948,-4.237,VALD3,,single_source
Fe II,3356.249,4.0761,-2.719,VALD3,,single_source
Fe II,3357.931,4.1536,-3.288,VALD3,,single_source
Fe II,3358.251,3.8916,-2.752,VALD3,,single_source
Fe II,3358.78,1.6706,-4.634,VALD3,,single_source
Fe II,3360.111,4.0803,-2.378,VALD3,,single_source
Fe II,3362.758,3.8887,-3.417,VALD3,,single_source
Fe II,3362.977,3.9674,-4.828,VALD3,,single_source
Fe II,3363.145,8.6301,-1.273,VALD3,,single_source
Fe II,3364.21,1.724,-5.258,VALD3,,single_source
Fe II,3365.421,3.8916,-3.312,VALD3,,single_source
Fe II,3365.625,5.9561,-2.654,VALD3,,single_source
Fe II,3366.965,5.5688,-1.654,VALD3,,single_source
Fe II,3368.483,4.4948,-3.538,VALD3,,single_source
Fe II,3368.607,5.5706,-2.853,VALD3,,single_source
Fe II,3368.613,3.8887,-4.517,VALD3,,single_source
Fe II,3369.028,3.9034,-4.731,VALD3,,single_source
Fe II,3369.346,3.8887,-2.826,VALD3,,single_source
Fe II,3369.8,3.8892,-3.099,VALD3,,single_source
Fe II,3371.286,3.8916,-3.175,VALD3,,single_source
Fe II,3373.094,3.8143,-5.044,VALD3,,single_source
Fe II,3376.2,0.2322,-7.886,VALD3,,single_source
