line_id,species,ion,our_wavelength,our_EP,our_loggf,our_source,our_gf_tier,our_hfs_n_components,our_lab_source_tag,linemake_matched,linemake_wavelength,linemake_EP,linemake_loggf,delta_loggf,our_loggf_printed,linemake_loggf_printed,agreement_threshold_dex,delta_within_threshold,linemake_primary_source,linemake_reference_class,linemake_source_tag,linemake_source_class,linemake_file,linemake_hfs_expanded,linemake_n_components,hfs_collapse,bulk_counterpart,linemake_readme_caveat,linemake_caveat_wavelength_A,linemake_caveat_tol_A,verdict,ambiguity
gf_093001,Mn II,2.0,5448.989,5.107,-11.985,K09,KURUCZ,1,,False,,,,,-11.985,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093002,Mn II,2.0,5448.992,6.133,-2.281,K09,KURUCZ,1,,False,,,,,-2.281,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093003,Mn II,2.0,5450.394,11.979,-7.032,K09,KURUCZ,1,,False,,,,,-7.032,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093004,Mn II,2.0,5454.435,6.139,-3.252,K09,KURUCZ,1,,False,,,,,-3.252,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093005,Mn II,2.0,5459.454,6.865,-4.059,K09,KURUCZ,1,,False,,,,,-4.059,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093006,Mn II,2.0,5459.904,5.993,-4.93,K09,KURUCZ,1,,False,,,,,-4.93,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093007,Mn II,2.0,5461.035,6.573,-7.388,K09,KURUCZ,1,,False,,,,,-7.388,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093008,Mn II,2.0,5461.283,10.215,-4.11,K09,KURUCZ,1,,False,,,,,-4.11,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093009,Mn II,2.0,5461.321,3.907,-9.145,K09,KURUCZ,1,,False,,,,,-9.145,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093010,Mn II,2.0,5461.632,4.122,-8.613,K09,KURUCZ,2,,False,,,,,-8.613,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093011,Mn II,2.0,5468.955,6.834,-4.053,K09,KURUCZ,1,,False,,,,,-4.053,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093012,Mn II,2.0,5469.2,6.834,-4.341,K09,KURUCZ,1,,False,,,,,-4.341,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093013,Mn II,2.0,5470.298,10.468,-1.802,K09,KURUCZ,1,,False,,,,,-1.802,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093014,Mn II,2.0,5470.634,4.126,-11.68,K09,KURUCZ,1,,False,,,,,-11.68,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093015,Mn II,2.0,5470.777,6.495,-1.993,K09,KURUCZ,1,,False,,,,,-1.993,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093016,Mn II,2.0,5470.831,10.219,-4.38,K09,KURUCZ,1,,False,,,,,-4.38,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093017,Mn II,2.0,5478.752,6.573,-4.388,K09,KURUCZ,1,,False,,,,,-4.388,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093018,Mn II,2.0,5479.167,10.323,-6.165,K09,KURUCZ,1,,False,,,,,-6.165,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093019,Mn II,2.0,5479.593,10.323,-6.746,K09,KURUCZ,1,,False,,,,,-6.746,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093020,Mn II,2.0,5480.08,1.809,-8.666,K09,KURUCZ,1,,False,,,,,-8.666,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093021,Mn II,2.0,5481.089,10.125,-6.364,K09,KURUCZ,1,,False,,,,,-6.364,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093022,Mn II,2.0,5484.905,6.139,-3.262,K09,KURUCZ,1,,False,,,,,-3.262,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093023,Mn II,2.0,5487.928,10.903,-6.192,K09,KURUCZ,1,,False,,,,,-6.192,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093024,Mn II,2.0,5488.212,9.858,-9.182,K09,KURUCZ,1,,False,,,,,-9.182,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093025,Mn II,2.0,5489.586,11.287,-8.609,K09,KURUCZ,1,,False,,,,,-8.609,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093026,Mn II,2.0,5490.123,5.993,-5.185,K09,KURUCZ,1,,False,,,,,-5.185,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093027,Mn II,2.0,5490.445,11.287,-8.952,K09,KURUCZ,1,,False,,,,,-8.952,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093028,Mn II,2.0,5491.106,11.287,-6.661,K09,KURUCZ,1,,False,,,,,-6.661,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093029,Mn II,2.0,5491.404,6.671,-4.429,K09,KURUCZ,1,,False,,,,,-4.429,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093030,Mn II,2.0,5499.782,10.131,-6.753,K09,KURUCZ,1,,False,,,,,-6.753,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093031,Mn II,2.0,5500.299,11.153,-7.421,K09,KURUCZ,1,,False,,,,,-7.421,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093032,Mn II,2.0,5500.611,10.91,-5.877,K09,KURUCZ,1,,False,,,,,-5.877,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093033,Mn II,2.0,5500.98,10.91,-6.038,K09,KURUCZ,1,,False,,,,,-6.038,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093034,Mn II,2.0,5501.083,6.494,-1.712,K09,KURUCZ,1,,False,,,,,-1.712,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093035,Mn II,2.0,5507.474,11.153,-3.116,K09,KURUCZ,1,,False,,,,,-3.116,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093036,Mn II,2.0,5507.565,12.002,-6.043,K09,KURUCZ,1,,False,,,,,-6.043,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093037,Mn II,2.0,5509.669,6.494,-3.129,K09,KURUCZ,1,,False,,,,,-3.129,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093038,Mn II,2.0,5509.903,12.002,-4.932,K09,KURUCZ,1,,False,,,,,-4.932,,,False,,,,,,False,,,False,,,,NO_MATCH,
gf_093039,Mn II,2.0,5509.963,6.495,-1.768,K09,KURUCZ,1,,False,,,,,-1.768,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093040,Mn II,2.0,5511.552,6.494,-1.851,K09,KURUCZ,1,,False,,,,,-1.851,,,False,,,,,,False,,,True,,,,NO_MATCH,
gf_093041,Mn II,2.0,5517.569,10.779,-3.696,K09,KURUCZ,1,,False,,,,,-3.696,,,False,,,,,,False,,,False,,,,NO_MATCH,
