line_id,species,ion,our_wavelength,our_EP,our_loggf,our_source,our_gf_tier,our_hfs_n_components,our_lab_source_tag,linemake_matched,linemake_wavelength,linemake_EP,linemake_loggf,delta_loggf,our_loggf_printed,linemake_loggf_printed,agreement_threshold_dex,delta_within_threshold,linemake_primary_source,linemake_reference_class,linemake_source_tag,linemake_source_class,linemake_file,linemake_hfs_expanded,linemake_n_components,hfs_collapse,bulk_counterpart,linemake_readme_caveat,linemake_caveat_wavelength_A,linemake_caveat_tol_A,verdict,ambiguity
gf_069914,Fe II,2.0,5197.568,3.23,-2.0458,NIST-C+ T7589,NIST-C+,1,NIST-C+,True,5197.577,3.231,-2.22,0.17420000000000035,-2.0458,-2.22,0.00505,False,"Den Hartog et al. (2019, ApJS, 243, 33); Meléndez & Barbuy (2009, A&A, 497, 611)",PRIMARY_LAB,MELBAR,PRIMARY_LAB,feII.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_000071,Al I,1.0,8075.353,4.087,-1.681,K75,KURUCZ,1,,True,8075.353,4.09,-1.51,-0.17100000000000004,-1.681,-1.51,0.0055,False,(catalogue only),UNSOURCED,NIST/C+,CATALOG,alI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_117787,Si I,1.0,6560.566,5.964,-1.409,K07,KURUCZ,1,,True,6560.57,5.9639,-1.57,0.16100000000000003,-1.409,-1.57,0.0055,False,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",PRIMARY_LAB,NIST/D,CATALOG,siI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_118030,Si I,1.0,7277.507,6.099,-2.935,K07,KURUCZ,1,,True,7277.51,6.0986,-3.084,0.14900000000000002,-2.935,-3.084,0.001,False,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",PRIMARY_LAB,NIST/E,CATALOG,siI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_068313,Fe II,2.0,4555.887,2.828,-2.2518,NIST-C+ T7589,NIST-C+,1,NIST-C+,True,4555.893,2.828,-2.4,0.1482000000000001,-2.2518,-2.40,0.00505,False,"Den Hartog et al. (2019, ApJS, 243, 33); Meléndez & Barbuy (2009, A&A, 497, 611)",PRIMARY_LAB,MELBAR,PRIMARY_LAB,feII.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_120713,Sr II,2.0,4161.7917,2.9403,-0.327,VALD3,VALD3,1,,True,4161.796,2.94,-0.47,0.14299999999999996,-0.327,-0.470,0.001,False,(catalogue only),CATALOG,NIST,CATALOG,srII.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_069752,Fe II,2.0,5169.028,2.891,-0.8601,NIST-C+ T7589,NIST-C+,1,NIST-C+,True,5169.033,2.891,-1.0,0.13990000000000002,-0.8601,-1.00,0.00505,False,"Den Hartog et al. (2019, ApJS, 243, 33); Meléndez & Barbuy (2009, A&A, 497, 611)",PRIMARY_LAB,MELBAR,PRIMARY_LAB,feII.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_000060,Al I,1.0,7606.16,4.085,-1.958,K75,KURUCZ,1,,True,7606.159,4.09,-1.82,-0.1379999999999999,-1.958,-1.82,0.0055,False,(catalogue only),UNSOURCED,NIST/D,CATALOG,alI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_000062,Al I,1.0,7615.337,4.087,-2.657,K75,KURUCZ,1,,True,7615.339,4.09,-2.52,-0.137,-2.657,-2.52,0.0055,False,(catalogue only),UNSOURCED,NIST/E,CATALOG,alI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_117934,Si I,1.0,7003.569,5.964,-0.89,GARZ,OTHER,1,,True,7003.569,5.9639,-0.754,-0.136,-0.89,-0.754,0.0055,False,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",PRIMARY_LAB,NIST/D+,CATALOG,siI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_000061,Al I,1.0,7614.82,4.087,-1.703,K75,KURUCZ,1,,True,7614.82,4.09,-1.57,-0.133,-1.703,-1.57,0.0055,False,(catalogue only),UNSOURCED,NIST/C,CATALOG,alI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_000051,Al I,1.0,7335.648,4.087,-1.801,K75,KURUCZ,1,,True,7335.645,4.09,-1.67,-0.131,-1.801,-1.67,0.0055,False,(catalogue only),UNSOURCED,NIST/C,CATALOG,alI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_000050,Al I,1.0,7327.47,4.085,-2.056,K75,KURUCZ,1,,True,7327.472,4.09,-1.93,-0.1260000000000001,-2.056,-1.93,0.0055,False,(catalogue only),UNSOURCED,NIST/D,CATALOG,alI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_000052,Al I,1.0,7335.987,4.087,-2.756,K75,KURUCZ,1,,True,7335.985,4.09,-2.63,-0.1259999999999999,-2.756,-2.63,0.0055,False,(catalogue only),UNSOURCED,NIST/E,CATALOG,alI.moog,False,1.0,neither,True,,,,DISAGREES_GF,
gf_148749,Mg I,1.0,3092.985,2.7116,-0.4470309465378022,VALD3,VALD3,2,,True,3092.984,2.712,-0.572,0.12496905346219778,-0.4470309465378022,-0.572,0.00050000000000005,False,"Pehlivan Rhodin et al. (2017, A&A, 598, A102)",PRIMARY_LAB,NIST/C,CATALOG,mgI.moog,False,1.0,ours_only,True,,,,DISAGREES_GF,
