line_set,band,species,wavelength_air_A,excitation_potential_eV,gbs_golden,gbs_selected_sun,elow_eV_paper,log_gf_gbs,vdw_abo_gbs,loggf_ref_code_gbs,loggf_ref_gbs_resolved,gf_provenance_gbs,n_methods_ew,n_methods_abund,ew_mA_min,ew_mA_max,ew_mA_mean,rew_min,rew_max,rew_mean,rew_class,our_wavelength_air_A,our_excitation_potential_eV,match_distance_mA,log_gf_ours,loggf_reference_ours,gf_tier_ours,nist_grade_ours,gf_synth_ges,delta_gbs_minus_ours,delta_gbs_minus_ges,telluric_exclusion
gbs,VIS,Fe I,5295.31,4.42,Y,1,4.4150,-1.590,1014.281,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,4,28.00,31.00,29.22,-5.2767,-5.2325,-5.2583,pass,5295.3120,4.4150,2.00,-1.5900,MRW,OTHER,,-1.5900,+0.0000,+0.0000,
gbs,VIS,Fe I,5365.40,3.57,Y,1,3.5730,-1.020,283.261,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",2,3,70.40,77.00,73.70,-4.8820,-4.8431,-4.8621,pass,5365.3990,3.5730,1.00,-1.0201,NIST-C+ T5720,NIST-C+,B,-1.0200,+0.0001,+0.0000,
gbs,VIS,Fe I,5373.71,4.47,Y,1,4.4730,-0.760,1044.282,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,61.10,66.21,63.37,-4.9442,-4.9094,-4.9284,pass,5373.7090,4.4730,1.00,-0.7100,PRIMARY LAB Ruffoni2014,LAB,,-0.7100,-0.0500,-0.0500,
gbs,VIS,Fe I,5379.57,3.69,Y,1,3.6940,-1.514,363.249,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,60.30,61.80,60.99,-4.9504,-4.9398,-4.9455,pass,5379.5740,3.6950,4.00,-1.4200,PRIMARY LAB Belmonte2017,LAB,,-1.5140,-0.0940,+0.0000,
gbs,VIS,Fe I,5386.33,4.15,Y,1,4.1540,-1.670,930.278,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,5,20.80,34.20,29.50,-5.4132,-5.1973,-5.2615,pass,5386.3330,4.1540,3.00,-1.6700,MRW,OTHER,,-1.6700,+0.0000,+0.0000,
gbs,VIS,Fe I,5389.48,4.42,Y,1,4.4150,-0.410,959.280,187,False,"Jofre+2014 (Table 4) code 187; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,80.00,88.46,84.39,-4.8285,-4.7848,-4.8053,ambiguous,5389.4790,4.4150,1.00,-0.4100,WBW|FMW,OTHER,,-0.4100,+0.0000,+0.0000,
gbs,VIS,Fe I,5395.22,4.45,Y,1,4.4450,-2.070,995.281,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",2,3,18.40,19.80,19.10,-5.4672,-5.4353,-5.4510,pass,5395.2170,4.4460,3.00,-2.0700,MRW,OTHER,,-2.0700,+0.0000,+0.0000,
gbs,VIS,Fe I,5398.28,4.45,Y,1,4.4450,-0.630,993.280,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,4,70.20,78.08,73.50,-4.8859,-4.8397,-4.8660,pass,5398.2790,4.4460,1.00,-0.6700,VALD3,VALD3,,-0.6300,+0.0400,+0.0000,
gbs,VIS,Fe I,5412.78,4.43,Y,1,4.4340,-1.716,971.280,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",2,3,17.20,19.03,18.12,-5.4979,-5.4540,-5.4754,pass,5412.7840,4.4350,4.00,-1.7153,NIST-C+ T6110,NIST-C+,B,-1.7160,-0.0007,+0.0000,
gbs,VIS,Fe I,5417.03,4.42,Y,1,4.4150,-1.580,944.280,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,4,30.57,36.10,32.92,-5.2485,-5.1763,-5.2163,pass,5417.0332,4.4150,3.20,-1.5791,MRW,OTHER,,-1.5791,-0.0009,-0.0009,
