element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2
Fe,I,10896.299,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.305,,1D-LTE,True,,3.0713,False,0.06268282960745616,0.9443729766371772,2.808839079837247,25.735
Fe,I,11119.795,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.833,,1D-LTE,True,,2.845,False,0.6874524152372803,0.044028097340804005,3.337126069051773,1172.959
Fe,I,11572.523,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.979,,1D-LTE,True,,6.28,False,0.5372600727760447,0.013833288244309506,3.4834931083385836,686.493
Fe,I,11593.588,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",10.559,,1D-LTE,True,,2.2227,False,0.45103952178179996,0.022203220808473218,1.9373764173680428,1225.894
Fe,I,11607.572,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.55,,1D-LTE,True,,2.1979,False,0.14816718834836892,2.1069278499461266,3.05443882294285,69.02
Fe,I,11638.26,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",8.517,,1D-LTE,True,,2.1759,False,0.07466611085673773,2.6420599921402146,3.978561574054325,17.89
Fe,I,11689.972,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",12.486,,1D-LTE,False,SYNTHESIS: edge_pinned,2.2227,False,,-4.617022024747273e-06,0.009879953604411185,243.955
Fe,I,11783.265,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.949,,1D-LTE,True,,2.8316,False,0.11760959471884876,0.5504299591743534,3.452614763034153,70.327
Fe,I,11882.844,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.851,,1D-LTE,True,,2.1979,False,0.21956484303500043,0.2872111111411639,3.3552319695696218,419.072
Fe,I,11973.046,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",10.056,,1D-LTE,True,,2.1759,False,0.21211261530583592,0.08027073580303629,2.439613286673609,222.316
Fe,I,12190.098,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.736,,1D-LTE,True,,3.6352,False,0.11947469129557158,1.075948949331338,3.2404884214990837,42.04
Fe,I,12227.112,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.419,,1D-LTE,True,,4.607,False,0.10412600971681357,0.3752247242453709,2.9228313039308214,79.848
Fe,I,12342.916,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.438,,1D-LTE,True,,4.6382,False,0.021568754128753063,8.943512770602398,2.941968171820859,2.421
Fe,I,12556.996,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.307,,1D-LTE,True,,2.2786,False,0.11878224403423374,0.34209322674281184,2.8105659476857943,71.937
Fe,I,12615.928,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.702,,1D-LTE,True,,4.6382,False,0.2196884761095448,0.14909819582529749,3.2057379571799443,232.885
Fe,I,12638.703,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",12.486,,1D-LTE,False,"NON-MINIMUM: chi2 at a bracket end is not above the reported minimum (frac_rise = -1.95e-05 <= 0), so the optimizer returned a point that is not a minimum and the fit did not determine A(X). A correctness failure, not a quality threshold. Measured and retained; excluded from the aggregate only (RYA-711).",4.5585,False,0.44792032046284863,-1.946181874487583e-05,0.01008168044108082,392.146
Fe,I,12648.741,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",12.489,,1D-LTE,False,SYNTHESIS: edge_pinned,4.607,False,,-1.3407064292336155e-05,0.006842305925532699,422.528
Fe,I,12807.152,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.5,,1D-LTE,True,,3.6398,False,0.09594141047641093,0.4262338726236296,3.0041418582420842,73.699
Fe,I,12879.766,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.626,,1D-LTE,True,,2.2786,False,0.09258353050372697,1.363042990550561,3.1296248946123226,34.645
