line_id,species,wavelength_air_A,wavelength_vac_A,EP_eV,our_log_gf,our_tier,match,primary_log_gf,delta_dex,primary_label,primary_source,graded
gf_006216,CH,4236.113,4237.3058,0.268,-1.414,VALD3,UNIQUE,-1.4089,-0.0051,R  0.00747,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006217,CH,4236.2564,4237.4493,0.2681,-1.3802,VALD3,AMBIGUOUS(2),,,,,NO
gf_006218,CH,4236.492,4237.6849,0.2664,-3.363,VALD3,ABSENT,,,,,NO
gf_006219,CH,4236.632,4237.8250,0.2665,-3.333,VALD3,ABSENT,,,,,NO
gf_006220,CH,4236.835,4238.0280,0.6391,-1.428,VALD3,UNIQUE,-1.4234,-0.0046,R -0.00210,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006221,CH,4236.9425,4238.1356,0.6392,-1.3976,VALD3,AMBIGUOUS(2),,,,,NO
gf_006222,CH,4237.134,4238.3271,0.6364,-3.377,VALD3,ABSENT,,,,,NO
gf_006223,CH,4237.2,4238.3931,0.2688,-1.0956,VALD3,AMBIGUOUS(2),,,,,NO
gf_006224,CH,4237.251,4238.4441,0.6365,-3.351,VALD3,ABSENT,,,,,NO
gf_006225,CH,4237.5661,4238.7593,0.2671,-3.0472,VALD3,ABSENT,,,,,NO
gf_006226,CH,4238.0155,4239.2088,0.6399,-1.1114,VALD3,AMBIGUOUS(2),,,,,NO
gf_006227,CH,4238.307,4239.5004,0.6372,-3.0628,VALD3,ABSENT,,,,,NO
gf_006228,CH,4242.156,4243.3504,0.5966,-1.454,VALD3,UNIQUE,-1.4488,-0.0052,R  0.03280,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006229,CH,4242.3004,4243.4949,0.5967,-1.42,VALD3,AMBIGUOUS(2),,,,,NO
gf_006230,CH,4242.43,4243.6245,0.227,-1.442,VALD3,UNIQUE,-1.4366,-0.0054,R  0.00413,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006231,CH,4242.44,4243.6345,0.5942,-3.403,VALD3,ABSENT,,,,,NO
gf_006232,CH,4242.576,4243.7705,0.5943,-3.374,VALD3,ABSENT,,,,,NO
gf_006233,CH,4242.6034,4243.7980,0.2271,-1.4035,VALD3,AMBIGUOUS(2),,,,,NO
gf_006234,CH,4242.776,4243.9706,0.2257,-3.391,VALD3,ABSENT,,,,,NO
gf_006235,CH,4242.948,4244.1426,0.2258,-3.358,VALD3,ABSENT,,,,,NO
gf_006236,CH,4243.2097,4244.4044,0.5974,-1.1355,VALD3,AMBIGUOUS(2),,,,,NO
gf_006237,CH,4243.272,4244.4667,0.0509,-3.73,VALD3,UNIQUE,-3.7250,-0.0050,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006238,CH,4243.331,4244.5257,0.2276,-1.442,VALD3,UNIQUE,-1.4366,-0.0054,R  0.00608,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006239,CH,4243.4374,4244.6322,0.2277,-1.4042,VALD3,AMBIGUOUS(2),,,,,NO
gf_006240,CH,4243.457,4244.6518,0.0511,-3.711,VALD3,UNIQUE,-3.7059,-0.0051,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006241,CH,4243.4781,4244.6729,0.5949,-3.0872,VALD3,ABSENT,,,,,NO
gf_006242,CH,4243.666,4244.8608,0.2263,-3.391,VALD3,ABSENT,,,,,NO
gf_006243,CH,4243.772,4244.9669,0.2264,-3.359,VALD3,ABSENT,,,,,NO
gf_006244,CH,4245.852,4247.0474,0.3878,-3.731,VALD3,UNIQUE,-3.7258,-0.0052,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006245,CH,4246.031,4247.2265,0.3879,-3.712,VALD3,UNIQUE,-3.7070,-0.0050,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006246,CH,4247.556,4248.7519,0.5572,-1.481,VALD3,UNIQUE,-1.4764,-0.0046,R  0.00477,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006247,CH,4247.7252,4248.9211,0.5566,-1.4388,VALD3,AMBIGUOUS(2),,,,,NO
gf_006248,CH,4247.979,4249.1750,0.5552,-3.398,VALD3,ABSENT,,,,,NO
gf_006249,CH,4248.424,4249.6201,0.5578,-1.481,VALD3,UNIQUE,-1.4764,-0.0046,R  0.00789,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006250,CH,4248.5264,4249.7225,0.5579,-1.444,VALD3,AMBIGUOUS(2),,,,,NO
gf_006251,CH,4248.671,4249.8671,0.5556,-3.43,VALD3,ABSENT,,,,,NO
gf_006252,CH,4248.729,4249.9252,0.1893,-1.472,VALD3,UNIQUE,-1.4666,-0.0054,R  0.00018,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006253,CH,4248.777,4249.9732,0.5557,-3.399,VALD3,ABSENT,,,,,NO
gf_006254,CH,4248.9382,4250.1344,0.189,-1.4251,VALD3,AMBIGUOUS(2),,,,,NO
gf_006255,CH,4249.248,4250.4443,0.1883,-3.385,VALD3,ABSENT,,,,,NO
gf_006256,CH,4249.491,4250.6874,0.1898,-1.472,VALD3,UNIQUE,-1.4666,-0.0054,R -0.00245,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006257,CH,4249.6392,4250.8356,0.1899,-1.4303,VALD3,AMBIGUOUS(2),,,,,NO
gf_006258,CH,4249.791,4250.9874,0.1887,-3.421,VALD3,ABSENT,,,,,NO
gf_006259,CH,4249.939,4251.1355,0.1888,-3.386,VALD3,ABSENT,,,,,NO
gf_006260,CH,4253.0,4254.1973,0.5209,-1.511,VALD3,UNIQUE,-1.5063,-0.0047,R  0.00274,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006261,CH,4253.2064,4254.4037,0.5204,-1.4649,VALD3,AMBIGUOUS(2),,,,,NO
gf_006262,CH,4253.434,4254.6314,0.5191,-3.425,VALD3,ABSENT,,,,,NO
gf_006263,CH,4253.736,4254.9335,0.5214,-1.511,VALD3,UNIQUE,-1.5062,-0.0048,R -0.00767,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006264,CH,4253.8782,4255.0757,0.5216,-1.469,VALD3,AMBIGUOUS(2),,,,,NO
gf_006265,CH,4253.956,4255.1535,0.5194,-3.46,VALD3,ABSENT,,,,,NO
gf_006266,CH,4254.101,4255.2986,0.5195,-3.425,VALD3,ABSENT,,,,,NO
gf_006267,CH,4254.313,4255.5106,0.0335,-3.622,VALD3,UNIQUE,-3.6169,-0.0051,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006268,CH,4254.433,4255.6307,0.0336,-3.606,VALD3,UNIQUE,-3.6009,-0.0051,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006269,CH,4254.915,4256.1128,0.9905,-3.401,VALD3,UNIQUE,-1.4231,-1.9779,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006270,CH,4254.995,4256.1928,0.1548,-1.504,VALD3,UNIQUE,-1.4994,-0.0046,R  0.00520,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006271,CH,4255.2482,4256.4461,0.1546,-1.453,VALD3,AMBIGUOUS(2),,,,,NO
gf_006272,CH,4255.525,4256.7229,0.1541,-3.414,VALD3,ABSENT,,,,,NO
gf_006273,CH,4255.628,4256.8260,0.1553,-1.504,VALD3,UNIQUE,-1.4993,-0.0047,R -0.00540,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006274,CH,4255.8237,4257.0217,0.1551,-1.4537,VALD3,AMBIGUOUS(2),,,,,NO
