line_id,species,wavelength_air_A,EP_eV,match,nist_grade,gf_sigma_dex,our_log_gf,nist_log_gf,delta_dex,action
gf_001660,C I,5039.917,8.64,ABSENT,,,-3.213,,,no evidence attached
gf_001661,C I,5040.123,7.946,UNIQUE,C,0.1249,-2.302,-2.3010,-0.0010,evidence attached; log_gf UNCHANGED
gf_001662,C I,5040.717,8.64,ABSENT,,,-9.134,,,no evidence attached
gf_001663,C I,5040.7697,7.946,ABSENT,,,-3.813,,,no evidence attached
gf_001664,C I,5041.481,7.946,UNIQUE,C,0.1249,-2.0,-2.0044,+0.0044,evidence attached; log_gf UNCHANGED
gf_001665,C I,5041.7859,7.946,AMBIGUOUS(2),,,-2.0072,,,no evidence attached
gf_001666,C I,5042.632,8.64,ABSENT,,,-3.727,,,no evidence attached
gf_001667,C I,5043.759,8.64,ABSENT,,,-3.078,,,no evidence attached
gf_001668,C I,5045.308,8.643,ABSENT,,,-2.807,,,no evidence attached
gf_001669,C I,5046.11,8.643,ABSENT,,,-3.216,,,no evidence attached
gf_001670,C I,5046.584,8.643,ABSENT,,,-3.125,,,no evidence attached
gf_001671,C I,5046.94,8.643,ABSENT,,,-2.212,,,no evidence attached
gf_001672,C I,5048.029,8.643,ABSENT,,,-3.208,,,no evidence attached
gf_001673,C I,5048.657,10.383,ABSENT,,,-7.697,,,no evidence attached
gf_001674,C I,5048.779,10.385,ABSENT,,,-9.126,,,no evidence attached
gf_001675,C I,5049.158,8.643,ABSENT,,,-4.141,,,no evidence attached
gf_001676,C I,5050.057,10.389,ABSENT,,,-8.367,,,no evidence attached
gf_001677,C I,5050.527,10.383,ABSENT,,,-9.656,,,no evidence attached
gf_001678,C I,5050.944,8.537,ABSENT,,,-8.617,,,no evidence attached
gf_001679,C I,5052.144,7.685,UNIQUE,B,0.0458,-1.303,-1.3028,-0.0002,evidence attached; log_gf UNCHANGED
gf_001680,C I,5052.167,7.6848,UNIQUE,B,0.0458,-1.303,-1.3028,-0.0002,evidence attached; log_gf UNCHANGED
gf_001681,C I,5053.515,8.537,UNIQUE,C,0.1249,-2.055,-2.0605,+0.0055,evidence attached; log_gf UNCHANGED
gf_001682,C I,5054.077,8.537,ABSENT,,,-3.963,,,no evidence attached
gf_001683,C I,5054.623,8.647,ABSENT,,,-3.837,,,no evidence attached
gf_001684,C I,5055.098,8.647,ABSENT,,,-3.055,,,no evidence attached
gf_001685,C I,5055.456,8.647,ABSENT,,,-2.429,,,no evidence attached
gf_001686,C I,5057.681,8.647,ABSENT,,,-2.223,,,no evidence attached
