line_id,species,wavelength_air_A,EP_eV,match,nist_grade,gf_sigma_dex,our_log_gf,nist_log_gf,delta_dex,action
gf_002188,C I,6605.77,8.851,UNIQUE,D,0.3010,-2.314,-2.3010,-0.0130,evidence attached; log_gf UNCHANGED
gf_002189,C I,6609.093,8.848,ABSENT,,,-4.713,,,no evidence attached
gf_002190,C I,6609.926,9.003,ABSENT,,,-3.6,,,no evidence attached
gf_002191,C I,6611.35,8.851,UNIQUE,D,0.3010,-1.837,-1.8386,+0.0016,evidence attached; log_gf UNCHANGED
gf_002192,C I,6613.716,9.172,ABSENT,,,-2.4,,,no evidence attached
gf_002193,C I,6616.526,9.172,ABSENT,,,-2.594,,,no evidence attached
gf_002194,C I,6617.255,9.003,ABSENT,,,-3.182,,,no evidence attached
gf_002195,C I,6618.829,8.851,ABSENT,,,-9.743,,,no evidence attached
gf_002196,C I,6619.525,9.003,ABSENT,,,-2.179,,,no evidence attached
gf_002197,C I,6621.791,9.003,ABSENT,,,-2.537,,,no evidence attached
gf_002198,C I,6636.569,8.849,ABSENT,,,-3.0013,,,no evidence attached
gf_002199,C I,6641.964,8.848,ABSENT,,,-3.624,,,no evidence attached
gf_002200,C I,6651.01,8.851,ABSENT,,,-4.849,,,no evidence attached
gf_002201,C I,6653.975,8.848,ABSENT,,,-3.657,,,no evidence attached
gf_002202,C I,6654.61,9.003,UNIQUE,D,0.3010,-2.024,-2.0223,-0.0017,evidence attached; log_gf UNCHANGED
gf_002203,C I,6655.466,8.537,UNIQUE,C,0.1249,-1.999,-2.0044,+0.0054,evidence attached; log_gf UNCHANGED
gf_002204,C I,6655.52,8.5371,UNIQUE,C,0.1249,-1.999,-2.0044,+0.0054,evidence attached; log_gf UNCHANGED
gf_002205,C I,6658.86,10.979,ABSENT,,,-8.134,,,no evidence attached
gf_002206,C I,6659.317,8.851,ABSENT,,,-1.946,,,no evidence attached
gf_002207,C I,6660.388,8.847,ABSENT,,,-3.293,,,no evidence attached
gf_002208,C I,6662.74,8.848,UNIQUE,C,0.1249,-2.127,-2.1249,-0.0021,evidence attached; log_gf UNCHANGED
gf_002209,C I,6663.054,8.851,ABSENT,,,-1.763,,,no evidence attached
gf_002210,C I,6663.116,10.98,ABSENT,,,-8.409,,,no evidence attached
gf_002211,C I,6663.476,10.983,ABSENT,,,-9.249,,,no evidence attached
gf_002212,C I,6665.892,8.848,ABSENT,,,-2.337,,,no evidence attached
gf_002213,C I,6668.917,10.985,ABSENT,,,-8.519,,,no evidence attached
gf_002214,C I,6671.85,8.851,UNIQUE,C,0.1249,-1.651,-1.6478,-0.0032,evidence attached; log_gf UNCHANGED
gf_002215,C I,6672.322,10.98,ABSENT,,,-8.06,,,no evidence attached
gf_002216,C I,6672.589,10.986,ABSENT,,,-9.421,,,no evidence attached
gf_002217,C I,6672.931,8.537,ABSENT,,,-4.332,,,no evidence attached
gf_002218,C I,6673.292,10.986,ABSENT,,,-9.134,,,no evidence attached
gf_002219,C I,6674.12,8.847,UNIQUE,C,0.1249,-2.225,-2.2218,-0.0032,evidence attached; log_gf UNCHANGED
gf_002220,C I,6675.003,8.851,ABSENT,,,-2.739,,,no evidence attached
gf_002221,C I,6679.64,8.848,UNIQUE,C,0.1249,-2.351,-2.3468,-0.0042,evidence attached; log_gf UNCHANGED
gf_002222,C I,6680.927,8.537,ABSENT,,,-3.789,,,no evidence attached
gf_002223,C I,6683.652,10.986,ABSENT,,,-7.272,,,no evidence attached
gf_002224,C I,6683.746,10.983,ABSENT,,,-7.832,,,no evidence attached
gf_002225,C I,6683.97,8.848,UNIQUE,C,0.1249,-2.226,-2.2218,-0.0042,evidence attached; log_gf UNCHANGED
gf_002226,C I,6685.9,8.848,ABSENT,,,-3.001,,,no evidence attached
gf_002227,C I,6688.79,8.851,UNIQUE,C,0.1249,-2.129,-2.1249,-0.0041,evidence attached; log_gf UNCHANGED
gf_002228,C I,6690.8,8.851,ABSENT,,,-2.812,,,no evidence attached
gf_002229,C I,6692.713,10.988,ABSENT,,,-7.85,,,no evidence attached
gf_002230,C I,6692.914,10.986,ABSENT,,,-8.721,,,no evidence attached
gf_002231,C I,6693.956,8.537,ABSENT,,,-4.234,,,no evidence attached
gf_002232,C I,6699.0,10.99,ABSENT,,,-9.861,,,no evidence attached
gf_002233,C I,6702.18,10.991,ABSENT,,,-9.385,,,no evidence attached
gf_002234,C I,6711.32,8.537,UNIQUE,C,0.1249,-2.694,-2.6968,+0.0028,evidence attached; log_gf UNCHANGED
gf_002235,C I,6713.582,8.537,ABSENT,,,-4.024,,,no evidence attached
gf_002236,C I,6814.664,9.172,ABSENT,,,-3.229,,,no evidence attached
gf_002237,C I,6817.954,9.172,ABSENT,,,-1.792,,,no evidence attached
gf_002238,C I,6828.12,8.537,UNIQUE,C,0.1249,-1.461,-1.4437,-0.0173,evidence attached; log_gf UNCHANGED
gf_002239,C I,6829.137,9.172,ABSENT,,,-2.893,,,no evidence attached
gf_002240,C I,6855.531,9.172,ABSENT,,,-2.404,,,no evidence attached
gf_002241,C I,6860.042,9.172,ABSENT,,,-2.67,,,no evidence attached
gf_002242,C I,6890.686,11.041,ABSENT,,,-9.34,,,no evidence attached
gf_002243,C I,6900.532,11.041,ABSENT,,,-9.586,,,no evidence attached
gf_002244,C I,6904.006,11.045,ABSENT,,,-8.007,,,no evidence attached
gf_002245,C I,6912.814,11.045,ABSENT,,,-7.787,,,no evidence attached
gf_002246,C I,6913.636,11.045,ABSENT,,,-8.329,,,no evidence attached
gf_002247,C I,6921.074,11.052,ABSENT,,,-9.925,,,no evidence attached
gf_002248,C I,6921.721,11.053,ABSENT,,,-8.913,,,no evidence attached
gf_002249,C I,6927.258,8.64,ABSENT,,,-3.723,,,no evidence attached
gf_002250,C I,6929.71,8.64,ABSENT,,,-3.535,,,no evidence attached
gf_002251,C I,6930.444,11.055,ABSENT,,,-9.121,,,no evidence attached
gf_002252,C I,6932.977,11.052,ABSENT,,,-7.29,,,no evidence attached
gf_002253,C I,6933.626,11.053,ABSENT,,,-7.273,,,no evidence attached
gf_002254,C I,6939.252,11.054,ABSENT,,,-7.555,,,no evidence attached
gf_002255,C I,6939.906,8.643,ABSENT,,,-3.246,,,no evidence attached
gf_002256,C I,6942.38,11.055,ABSENT,,,-8.808,,,no evidence attached
gf_002257,C I,6942.944,11.052,ABSENT,,,-8.619,,,no evidence attached
gf_002258,C I,6943.609,11.055,ABSENT,,,-8.697,,,no evidence attached
gf_002259,C I,6946.175,8.643,ABSENT,,,-3.211,,,no evidence attached
gf_002260,C I,6952.374,11.055,ABSENT,,,-8.464,,,no evidence attached
gf_002261,C I,6953.607,11.055,ABSENT,,,-9.789,,,no evidence attached
gf_002262,C I,6962.315,8.647,ABSENT,,,-2.681,,,no evidence attached
gf_002263,C I,6970.28,8.64,UNIQUE,C,0.1249,-3.142,-3.1427,+0.0007,evidence attached; log_gf UNCHANGED
gf_002264,C I,6980.6,8.643,ABSENT,,,-5.143,,,no evidence attached
gf_002265,C I,7022.13,8.643,ABSENT,,,-2.673,,,no evidence attached
gf_002266,C I,7022.256,8.643,UNIQUE,C,0.1249,-3.012,-2.6778,-0.3342,evidence attached; log_gf UNCHANGED
gf_002267,C I,7046.287,8.64,ABSENT,,,-3.606,,,no evidence attached
gf_002268,C I,7056.829,8.643,UNIQUE,C,0.1249,-2.451,-2.4498,-0.0012,evidence attached; log_gf UNCHANGED
gf_002269,C I,7071.098,8.643,UNIQUE,D,0.3010,-2.845,-2.8386,-0.0064,evidence attached; log_gf UNCHANGED
gf_002270,C I,7074.679,11.088,ABSENT,,,-9.171,,,no evidence attached
gf_002271,C I,7074.832,8.64,UNIQUE,D+,0.2218,-2.116,-2.1079,-0.0081,evidence attached; log_gf UNCHANGED
gf_002272,C I,7076.467,8.643,UNIQUE,D+,0.2218,-1.951,-1.9586,+0.0076,evidence attached; log_gf UNCHANGED
gf_002273,C I,7082.689,11.09,ABSENT,,,-9.318,,,no evidence attached
gf_002274,C I,7083.763,11.09,ABSENT,,,-7.767,,,no evidence attached
gf_002275,C I,7084.877,11.091,ABSENT,,,-8.683,,,no evidence attached
gf_002276,C I,7085.058,11.088,ABSENT,,,-9.906,,,no evidence attached
gf_002277,C I,7085.46,8.643,ABSENT,,,-2.374,,,no evidence attached
gf_002278,C I,7087.825,8.647,UNIQUE,C,0.1249,-1.442,-1.4389,-0.0031,evidence attached; log_gf UNCHANGED
gf_002279,C I,7089.444,8.64,UNIQUE,B,0.0458,-3.251,-3.2510,+0.0000,evidence attached; log_gf UNCHANGED
gf_002280,C I,7092.197,9.33,ABSENT,,,-3.301,,,no evidence attached
gf_002281,C I,7092.847,9.331,ABSENT,,,-4.557,,,no evidence attached
gf_002282,C I,7093.091,11.09,ABSENT,,,-7.494,,,no evidence attached
gf_002283,C I,7093.219,8.647,UNIQUE,D+,0.2218,-1.697,-1.6925,-0.0045,evidence attached; log_gf UNCHANGED
gf_002284,C I,7100.116,8.643,UNIQUE,B,0.0458,-1.47,-1.4685,-0.0015,evidence attached; log_gf UNCHANGED
gf_002285,C I,7108.927,8.64,UNIQUE,B,0.0458,-1.594,-1.5935,-0.0005,evidence attached; log_gf UNCHANGED
gf_002286,C I,7111.461,8.64,UNIQUE,B,0.0458,-1.085,-1.0915,+0.0065,evidence attached; log_gf UNCHANGED
gf_002287,C I,7113.171,8.647,UNIQUE,B,0.0458,-0.773,-0.7729,-0.0001,evidence attached; log_gf UNCHANGED
gf_002288,C I,7114.428,11.098,ABSENT,,,-7.4,,,no evidence attached
gf_002289,C I,7115.1702,8.6415,AMBIGUOUS(2),,,-0.8237,,,no evidence attached
gf_002290,C I,7116.981,8.647,UNIQUE,B,0.0458,-0.907,-0.9069,-0.0001,evidence attached; log_gf UNCHANGED
gf_002291,C I,7118.605,9.331,ABSENT,,,-2.229,,,no evidence attached
gf_002292,C I,7119.545,11.099,ABSENT,,,-7.169,,,no evidence attached
gf_002293,C I,7119.658,8.643,UNIQUE,B,0.0458,-1.148,-1.1487,+0.0007,evidence attached; log_gf UNCHANGED
gf_002294,C I,7120.488,11.099,ABSENT,,,-7.911,,,no evidence attached
gf_002295,C I,7122.086,11.1,ABSENT,,,-8.619,,,no evidence attached
gf_002296,C I,7122.2,8.643,UNIQUE,B,0.0458,-2.117,-2.1163,-0.0007,evidence attached; log_gf UNCHANGED
gf_002297,C I,7124.923,11.098,ABSENT,,,-8.208,,,no evidence attached
gf_002298,C I,7131.002,11.099,ABSENT,,,-8.127,,,no evidence attached
gf_002299,C I,7132.11,8.647,UNIQUE,B,0.0458,-2.204,-2.2055,+0.0015,evidence attached; log_gf UNCHANGED
gf_002300,C I,7139.169,8.647,ABSENT,,,-3.104,,,no evidence attached
gf_002301,C I,7151.909,9.33,ABSENT,,,-3.053,,,no evidence attached
gf_002302,C I,7152.571,9.331,ABSENT,,,-4.33,,,no evidence attached
gf_002303,C I,7153.02,9.331,ABSENT,,,-3.059,,,no evidence attached
gf_002304,C I,7187.741,9.003,ABSENT,,,-2.889,,,no evidence attached
gf_002305,C I,7194.346,9.003,ABSENT,,,-4.072,,,no evidence attached
gf_002306,C I,7202.27,9.003,UNIQUE,D,0.3010,-1.917,-1.9208,+0.0038,evidence attached; log_gf UNCHANGED
gf_002307,C I,7203.194,9.003,ABSENT,,,-5.399,,,no evidence attached
gf_002308,C I,7216.008,9.172,UNIQUE,D,0.3010,-2.257,-2.2218,-0.0352,evidence attached; log_gf UNCHANGED
gf_002309,C I,7219.386,9.33,ABSENT,,,-3.383,,,no evidence attached
gf_002310,C I,7220.0451,9.331,ABSENT,,,-2.6896,,,no evidence attached
gf_002311,C I,7220.135,11.124,ABSENT,,,-9.325,,,no evidence attached
gf_002312,C I,7224.244,9.003,ABSENT,,,-1.252,,,no evidence attached
gf_002313,C I,7230.945,11.124,ABSENT,,,-8.267,,,no evidence attached
gf_002314,C I,7237.186,9.172,ABSENT,,,-1.747,,,no evidence attached
gf_002315,C I,7240.124,8.64,ABSENT,,,-3.702,,,no evidence attached
gf_002316,C I,7240.131,11.131,ABSENT,,,-8.782,,,no evidence attached
gf_002317,C I,7241.32,9.003,UNIQUE,D,0.3010,-1.681,-1.6778,-0.0032,evidence attached; log_gf UNCHANGED
gf_002318,C I,7250.002,11.131,ABSENT,,,-6.825,,,no evidence attached
gf_002319,C I,7251.172,9.003,ABSENT,,,-2.748,,,no evidence attached
gf_002320,C I,7251.255,8.643,ABSENT,,,-3.658,,,no evidence attached
gf_002321,C I,7253.158,11.131,ABSENT,,,-6.756,,,no evidence attached
gf_002322,C I,7255.295,11.132,ABSENT,,,-8.731,,,no evidence attached
gf_002323,C I,7255.604,9.003,ABSENT,,,-4.316,,,no evidence attached
gf_002324,C I,7260.728,11.131,ABSENT,,,-7.746,,,no evidence attached
gf_002325,C I,7265.757,9.172,ABSENT,,,-2.349,,,no evidence attached
gf_002326,C I,7266.034,9.003,ABSENT,,,-3.203,,,no evidence attached
gf_002327,C I,7269.775,9.003,ABSENT,,,-3.97,,,no evidence attached
gf_002328,C I,7274.613,9.172,ABSENT,,,-2.638,,,no evidence attached
gf_002329,C I,7286.142,9.003,ABSENT,,,-3.141,,,no evidence attached
gf_002330,C I,7288.516,9.003,ABSENT,,,-2.424,,,no evidence attached
gf_002331,C I,7293.578,9.003,ABSENT,,,-2.889,,,no evidence attached
gf_002332,C I,7293.715,9.33,ABSENT,,,-4.296,,,no evidence attached
gf_002333,C I,7318.854,9.33,ABSENT,,,-3.573,,,no evidence attached
gf_002334,C I,7320.691,11.147,ABSENT,,,-6.459,,,no evidence attached
gf_002335,C I,7331.805,11.147,ABSENT,,,-7.179,,,no evidence attached
gf_002336,C I,7338.35,7.483,UNIQUE,E,1.0000,-4.62,-4.4089,-0.2111,evidence attached; log_gf UNCHANGED
gf_002337,C I,7340.139,9.33,ABSENT,,,-4.29,,,no evidence attached
gf_002338,C I,7340.836,9.331,ABSENT,,,-2.324,,,no evidence attached
gf_002339,C I,7342.305,11.155,ABSENT,,,-7.457,,,no evidence attached
gf_002340,C I,7353.2326,11.155,ABSENT,,,-5.4888,,,no evidence attached
gf_002341,C I,7355.703,11.155,ABSENT,,,-5.499,,,no evidence attached
gf_002342,C I,7361.285,9.331,ABSENT,,,-2.238,,,no evidence attached
gf_002343,C I,7364.378,11.155,ABSENT,,,-5.897,,,no evidence attached
gf_002344,C I,7364.739,9.003,UNIQUE,C,0.1249,-1.837,-1.8386,+0.0016,evidence attached; log_gf UNCHANGED
gf_002345,C I,7383.318,9.33,ABSENT,,,-2.389,,,no evidence attached
gf_002346,C I,7384.023,9.331,ABSENT,,,-5.239,,,no evidence attached
gf_002347,C I,7385.199,9.33,ABSENT,,,-4.37,,,no evidence attached
gf_002348,C I,7386.383,9.331,ABSENT,,,-2.717,,,no evidence attached
gf_002349,C I,7398.245,9.33,ABSENT,,,-2.933,,,no evidence attached
gf_002350,C I,7399.433,9.331,ABSENT,,,-3.434,,,no evidence attached
gf_002351,C I,7400.894,11.165,ABSENT,,,-8.003,,,no evidence attached
gf_002352,C I,7412.253,11.165,ABSENT,,,-7.994,,,no evidence attached
gf_002353,C I,7421.932,11.173,ABSENT,,,-8.77,,,no evidence attached
gf_002354,C I,7435.622,11.173,ABSENT,,,-6.767,,,no evidence attached
gf_002355,C I,7465.453,9.33,ABSENT,,,-2.1688,,,no evidence attached
gf_002356,C I,7466.173,9.331,ABSENT,,,-2.7923,,,no evidence attached
gf_002357,C I,7466.663,9.331,ABSENT,,,-2.486,,,no evidence attached
gf_002358,C I,7469.374,9.33,ABSENT,,,-2.752,,,no evidence attached
gf_002359,C I,7470.095,9.331,ABSENT,,,-2.0725,,,no evidence attached
gf_002360,C I,7472.508,9.331,ABSENT,,,-8.2,,,no evidence attached
gf_002361,C I,7473.31,8.771,UNIQUE,C+,0.0862,-2.043,-2.0458,+0.0028,evidence attached; log_gf UNCHANGED
gf_002362,C I,7476.166,8.771,UNIQUE,C+,0.0862,-1.574,-1.5735,-0.0005,evidence attached; log_gf UNCHANGED
gf_002363,C I,7483.441,8.771,UNIQUE,C+,0.0862,-1.372,-1.3768,+0.0048,evidence attached; log_gf UNCHANGED
gf_002364,C I,7504.952,9.33,ABSENT,,,-2.879,,,no evidence attached
gf_002365,C I,7505.422,9.331,ABSENT,,,-5.677,,,no evidence attached
gf_002366,C I,7505.6698,9.331,ABSENT,,,-2.18,,,no evidence attached
gf_002367,C I,7523.412,8.771,ABSENT,,,-5.016,,,no evidence attached
gf_002368,C I,7612.033,8.771,ABSENT,,,-2.868,,,no evidence attached
gf_002369,C I,7634.887,8.771,UNIQUE,C,0.1249,-3.166,-3.1612,-0.0048,evidence attached; log_gf UNCHANGED
gf_002370,C I,7643.158,9.33,ABSENT,,,-4.673,,,no evidence attached
gf_002371,C I,7645.357,8.771,ABSENT,,,-5.875,,,no evidence attached
gf_002372,C I,7662.424,8.771,UNIQUE,B,0.0458,-1.277,-1.2774,+0.0004,evidence attached; log_gf UNCHANGED
gf_002373,C I,7685.188,8.771,UNIQUE,B,0.0458,-1.519,-1.5186,-0.0004,evidence attached; log_gf UNCHANGED
gf_002374,C I,7686.414,9.33,ABSENT,,,-3.911,,,no evidence attached
gf_002375,C I,7692.486,8.771,UNIQUE,B,0.0458,-1.98,-1.9788,-0.0012,evidence attached; log_gf UNCHANGED
gf_002376,C I,7723.32,9.33,ABSENT,,,-3.436,,,no evidence attached
gf_002377,C I,7724.092,9.331,ABSENT,,,-2.346,,,no evidence attached
gf_002378,C I,7727.626,9.331,ABSENT,,,-2.738,,,no evidence attached
gf_002379,C I,7746.27,9.33,ABSENT,,,-3.002,,,no evidence attached
gf_002380,C I,7761.517,9.331,ABSENT,,,-2.201,,,no evidence attached
gf_002381,C I,7784.778,9.33,ABSENT,,,-2.382,,,no evidence attached
gf_002382,C I,7785.562,9.331,ABSENT,,,-3.533,,,no evidence attached
gf_002383,C I,7788.533,9.331,ABSENT,,,-2.839,,,no evidence attached
gf_002384,C I,7805.901,9.33,ABSENT,,,-3.0,,,no evidence attached
gf_002385,C I,7806.689,9.331,ABSENT,,,-5.011,,,no evidence attached
gf_002386,C I,7807.224,9.331,ABSENT,,,-3.045,,,no evidence attached
gf_002387,C I,7832.633,8.847,UNIQUE,B,0.0458,-1.807,-1.8069,-0.0001,evidence attached; log_gf UNCHANGED
gf_002388,C I,7837.1,8.848,UNIQUE,B,0.0458,-1.778,-1.7747,-0.0033,evidence attached; log_gf UNCHANGED
gf_002389,C I,7840.246,8.848,UNIQUE,B,0.0458,-1.845,-1.8416,-0.0034,evidence attached; log_gf UNCHANGED
gf_002390,C I,7848.24,8.848,UNIQUE,B,0.0458,-1.731,-1.7305,-0.0005,evidence attached; log_gf UNCHANGED
gf_002391,C I,7852.853,8.851,UNIQUE,B,0.0458,-1.682,-1.6778,-0.0042,evidence attached; log_gf UNCHANGED
gf_002392,C I,7860.881,8.851,UNIQUE,B,0.0458,-1.149,-1.1487,-0.0003,evidence attached; log_gf UNCHANGED
gf_002393,C I,7884.508,8.847,ABSENT,,,-4.34,,,no evidence attached
gf_002394,C I,7892.2,8.848,UNIQUE,C,0.1249,-3.348,-3.3468,-0.0012,evidence attached; log_gf UNCHANGED
gf_002395,C I,7904.998,8.851,ABSENT,,,-3.944,,,no evidence attached
gf_002396,C I,7944.567,9.33,ABSENT,,,-1.7358,,,no evidence attached
gf_002397,C I,7945.383,9.331,ABSENT,,,-2.3603,,,no evidence attached
gf_002398,C I,7945.937,9.331,ABSENT,,,-2.054,,,no evidence attached
gf_002399,C I,7951.341,9.33,ABSENT,,,-2.268,,,no evidence attached
gf_002400,C I,7952.2054,9.331,ABSENT,,,-1.5847,,,no evidence attached
gf_002401,C I,7981.895,8.847,ABSENT,,,-2.984,,,no evidence attached
gf_002402,C I,7987.896,9.172,UNIQUE,D,0.3010,-2.069,-2.0458,-0.0232,evidence attached; log_gf UNCHANGED
gf_002403,C I,7989.801,8.848,ABSENT,,,-3.564,,,no evidence attached
gf_002404,C I,7992.533,9.33,ABSENT,,,-2.535,,,no evidence attached
gf_002405,C I,7992.708,9.331,ABSENT,,,-5.702,,,no evidence attached
gf_002406,C I,7993.4197,9.331,ABSENT,,,-1.833,,,no evidence attached
gf_002407,C I,8002.895,8.851,ABSENT,,,-3.449,,,no evidence attached
gf_002408,C I,8014.983,8.848,UNIQUE,D,0.3010,-1.646,-1.6198,-0.0262,evidence attached; log_gf UNCHANGED
gf_002409,C I,8018.544,8.847,UNIQUE,D,0.3010,-2.13,-2.1549,+0.0249,evidence attached; log_gf UNCHANGED
gf_002410,C I,8021.25,8.851,UNIQUE,D,0.3010,-1.668,-1.6676,-0.0004,evidence attached; log_gf UNCHANGED
gf_002411,C I,8026.523,8.848,ABSENT,,,-2.616,,,no evidence attached
gf_002412,C I,8035.962,9.172,ABSENT,,,-1.496,,,no evidence attached
gf_002413,C I,8045.336,8.848,UNIQUE,B,0.0458,-1.881,-1.8794,-0.0016,evidence attached; log_gf UNCHANGED
gf_002414,C I,8058.612,8.851,UNIQUE,B,0.0458,-1.275,-1.2757,+0.0007,evidence attached; log_gf UNCHANGED
gf_002415,C I,8062.36,8.847,UNIQUE,B,0.0458,-1.855,-1.8539,-0.0011,evidence attached; log_gf UNCHANGED
gf_002416,C I,8070.43,8.848,UNIQUE,B,0.0458,-1.952,-1.9547,+0.0027,evidence attached; log_gf UNCHANGED
gf_002417,C I,8071.015,9.172,ABSENT,,,-2.398,,,no evidence attached
gf_002418,C I,8073.702,8.848,ABSENT,,,-5.302,,,no evidence attached
gf_002419,C I,8078.01,8.851,UNIQUE,C,0.1249,-3.071,-3.0706,-0.0004,evidence attached; log_gf UNCHANGED
gf_002420,C I,8078.48,8.848,UNIQUE,B,0.0458,-1.816,-1.8153,-0.0007,evidence attached; log_gf UNCHANGED
gf_002421,C I,8083.79,8.851,UNIQUE,B,0.0458,-1.732,-1.7328,+0.0008,evidence attached; log_gf UNCHANGED
gf_002422,C I,8087.072,8.851,ABSENT,,,-4.381,,,no evidence attached
gf_002423,C I,8091.193,9.172,ABSENT,,,-3.092,,,no evidence attached
gf_002424,C I,8155.637,7.483,UNIQUE,E,1.0000,-4.191,-3.7447,-0.4463,evidence attached; log_gf UNCHANGED
gf_002425,C I,8182.679,7.488,UNIQUE,E,1.0000,-4.385,-4.0969,-0.2881,evidence attached; log_gf UNCHANGED
gf_002426,C I,8253.873,8.851,ABSENT,,,-4.932,,,no evidence attached
gf_002427,C I,8335.147,7.685,UNIQUE,B+,0.0315,-0.437,-0.4365,-0.0005,evidence attached; log_gf UNCHANGED
gf_002428,C I,8355.918,9.33,ABSENT,,,-4.01,,,no evidence attached
gf_002429,C I,8356.822,9.331,ABSENT,,,-4.975,,,no evidence attached
gf_002430,C I,8429.936,9.33,ABSENT,,,-3.02,,,no evidence attached
gf_002431,C I,8430.855,9.331,ABSENT,,,-2.23,,,no evidence attached
gf_002432,C I,8437.115,9.33,ABSENT,,,-3.061,,,no evidence attached
gf_002433,C I,8438.035,9.331,ABSENT,,,-2.619,,,no evidence attached
gf_002434,C I,8438.66,9.331,ABSENT,,,-3.109,,,no evidence attached
gf_002435,C I,8455.497,9.33,ABSENT,,,-2.855,,,no evidence attached
gf_002436,C I,8510.485,9.331,ABSENT,,,-1.985,,,no evidence attached
gf_002437,C I,8536.295,9.33,ABSENT,,,-2.204,,,no evidence attached
gf_002438,C I,8537.237,9.331,ABSENT,,,-2.968,,,no evidence attached
gf_002439,C I,8544.015,9.331,ABSENT,,,-3.857,,,no evidence attached
gf_002440,C I,8544.656,9.331,ABSENT,,,-2.689,,,no evidence attached
gf_002441,C I,8566.429,9.631,ABSENT,,,-2.958,,,no evidence attached
gf_002442,C I,8574.8,9.33,ABSENT,,,-2.85,,,no evidence attached
gf_002443,C I,8575.751,9.331,ABSENT,,,-4.847,,,no evidence attached
gf_002444,C I,8576.396,9.331,ABSENT,,,-2.921,,,no evidence attached
gf_002445,C I,8653.699,9.631,ABSENT,,,-3.492,,,no evidence attached
gf_002446,C I,8689.195,9.003,ABSENT,,,-3.62,,,no evidence attached
gf_002447,C I,8699.025,9.003,ABSENT,,,-8.244,,,no evidence attached
gf_002448,C I,8727.139,1.264,UNIQUE,B,0.0458,-8.136,-8.1549,+0.0189,evidence attached; log_gf UNCHANGED
gf_002449,C I,8752.6555,9.631,ABSENT,,,-1.4939,,,no evidence attached
gf_002450,C I,8753.07,9.003,UNIQUE,D,0.3010,-1.744,-1.7447,+0.0007,evidence attached; log_gf UNCHANGED
gf_002451,C I,8818.679,9.003,ABSENT,,,-2.202,,,no evidence attached
gf_002452,C I,8873.271,9.003,ABSENT,,,-1.139,,,no evidence attached
gf_002453,C I,8890.588,9.33,ABSENT,,,-1.503,,,no evidence attached
gf_002454,C I,8890.75,9.33,ABSENT,,,-1.75,,,no evidence attached
gf_002455,C I,8891.611,9.331,ABSENT,,,-1.98,,,no evidence attached
gf_002456,C I,8891.773,9.331,ABSENT,,,-2.924,,,no evidence attached
gf_002457,C I,8892.467,9.331,ABSENT,,,-1.626,,,no evidence attached
gf_002458,C I,8895.844,9.003,ABSENT,,,-4.479,,,no evidence attached
gf_002459,C I,8899.32,9.631,ABSENT,,,-2.793,,,no evidence attached
gf_002460,C I,8899.619,9.685,ABSENT,,,-3.97,,,no evidence attached
gf_002461,C I,8903.207,9.33,ABSENT,,,-1.778,,,no evidence attached
gf_002462,C I,8904.232,9.331,ABSENT,,,-2.25,,,no evidence attached
gf_002463,C I,8904.334,9.331,ABSENT,,,-1.125,,,no evidence attached
gf_002464,C I,8918.586,9.003,UNIQUE,C,0.1249,-2.425,-2.4260,+0.0010,evidence attached; log_gf UNCHANGED
gf_002465,C I,8930.81,9.631,ABSENT,,,-8.45,,,no evidence attached
gf_002466,C I,8958.694,9.331,ABSENT,,,-5.83,,,no evidence attached
gf_002467,C I,8959.635,9.33,ABSENT,,,-2.25,,,no evidence attached
gf_002468,C I,8960.7365,9.331,ABSENT,,,-1.547,,,no evidence attached
gf_002469,C I,8961.094,9.631,ABSENT,,,-7.654,,,no evidence attached
gf_002470,C I,8965.315,9.696,ABSENT,,,-4.645,,,no evidence attached
gf_002471,C I,8965.724,9.003,ABSENT,,,-3.882,,,no evidence attached
gf_002472,C I,8972.835,9.003,UNIQUE,C,0.1249,-2.617,-2.6198,+0.0028,evidence attached; log_gf UNCHANGED
gf_002473,C I,8976.873,9.003,ABSENT,,,-4.048,,,no evidence attached
gf_002474,C I,8978.552,9.698,ABSENT,,,-5.01,,,no evidence attached
gf_002475,C I,8997.604,9.631,ABSENT,,,-4.512,,,no evidence attached
gf_002476,C I,9006.507,9.696,ABSENT,,,-5.266,,,no evidence attached
gf_002477,C I,9016.195,9.707,ABSENT,,,-5.84,,,no evidence attached
gf_002478,C I,9016.976,9.631,ABSENT,,,-3.384,,,no evidence attached
gf_002479,C I,9019.276,9.689,ABSENT,,,-5.589,,,no evidence attached
gf_002480,C I,9019.866,9.698,ABSENT,,,-4.197,,,no evidence attached
gf_002481,C I,9047.97,9.702,ABSENT,,,-2.859,,,no evidence attached
gf_002482,C I,9054.412,9.713,ABSENT,,,-2.487,,,no evidence attached
gf_002483,C I,9060.946,9.696,ABSENT,,,-3.367,,,no evidence attached
gf_002484,C I,9061.43,7.483,UNIQUE,B,0.0458,-0.347,-0.3468,-0.0002,evidence attached; log_gf UNCHANGED
gf_002485,C I,9062.47,7.48,UNIQUE,B,0.0458,-0.455,-0.4559,+0.0009,evidence attached; log_gf UNCHANGED
gf_002486,C I,9078.28,7.483,UNIQUE,B,0.0458,-0.581,-0.5834,+0.0024,evidence attached; log_gf UNCHANGED
gf_002487,C I,9080.325,9.713,ABSENT,,,-2.106,,,no evidence attached
