wavelength_air_A,flux_normalized
1.500971654769286397e+04,1.007792692117838840e+00
1.500976873155216890e+04,1.019027613250278907e+00
1.500982091445080368e+04,1.010564785348160299e+00
1.500987309638872466e+04,1.006591802302017724e+00
1.500992527736590091e+04,1.007552903935482469e+00
1.500997745738229969e+04,1.006458793740212521e+00
1.501002963643787734e+04,1.015963069142332031e+00
1.501008181453260840e+04,1.011171690737884932e+00
1.501013399166645286e+04,1.009115165662423763e+00
1.501018616783937614e+04,9.974762577842869460e-01
1.501023834305134369e+04,1.001719164396334127e+00
1.501029051730231913e+04,9.910657603190680121e-01
1.501034269059227154e+04,9.964121858639642948e-01
1.501039486292115544e+04,9.971438396256544490e-01
1.501044703428894718e+04,1.010339550950975607e+00
1.501049920469560311e+04,1.007822910871958522e+00
1.501055137414109595e+04,1.004484715268224138e+00
1.501060354262538021e+04,1.003731627543115401e+00
1.501065571014843226e+04,9.964029414580816146e-01
1.501070787671020298e+04,9.872131606929764880e-01
1.501076004231067782e+04,9.873265989179168534e-01
1.501081220694980402e+04,9.812076443264228232e-01
1.501086437062754885e+04,9.891526949116692391e-01
1.501091653334388138e+04,1.001833818827034595e+00
1.501096869509876342e+04,1.012727557811758494e+00
1.501102085589216404e+04,1.008341615086514986e+00
1.501107301572404322e+04,1.001183553304275664e+00
1.501112517459437004e+04,9.934011145289579625e-01
1.501117733250310448e+04,9.911153463649046147e-01
1.501122948945021199e+04,9.851932729882046935e-01
1.501128164543566345e+04,9.853257183141297393e-01
1.501133380045941522e+04,9.918335337647880001e-01
1.501138595452143818e+04,9.877660106302578180e-01
1.501143810762169596e+04,9.818084416690231464e-01
1.501149025976015400e+04,9.883190672555376421e-01
1.501154241093677228e+04,9.957545856855083422e-01
1.501159456115151988e+04,9.895495816102255482e-01
1.501164671040436406e+04,9.893507350889206853e-01
1.501169885869526115e+04,9.985790248229537980e-01
1.501175100602418388e+04,1.003392857867583032e+00
1.501180315239109405e+04,1.005041347046656597e+00
1.501185529779595527e+04,1.006098350371328554e+00
1.501190744223873662e+04,1.011009823103395044e+00
1.501195958571939991e+04,1.012678755530234564e+00
1.501201172823790694e+04,1.004445723342244801e+00
1.501206386979422859e+04,9.996513429167057652e-01
1.501211601038832305e+04,9.995546835947598519e-01
1.501216815002015937e+04,9.998539931684642390e-01
1.501222028868970483e+04,9.997880610889179342e-01
1.501227242639692304e+04,9.918408378968901484e-01
1.501232456314177034e+04,9.886254538893443078e-01
1.501237669892421945e+04,9.752110519617784856e-01
1.501242883374423582e+04,9.626587029017048547e-01
1.501248096760178305e+04,9.470260032640636094e-01
1.501253310049682113e+04,9.049891981862987489e-01
1.501258523242931915e+04,8.138169077907472237e-01
1.501263736339924799e+04,6.806524137123498575e-01
1.501268949340656036e+04,5.668149138364362294e-01
1.501274162245122898e+04,6.013560776726756263e-01
1.501279375053321746e+04,7.269982626651158020e-01
1.501284587765248762e+04,8.383726093657364320e-01
1.501289800380900488e+04,9.012699715773733189e-01
1.501295012900273650e+04,9.127606260598758459e-01
1.501300225323364430e+04,9.015702354575928501e-01
1.501305437650169733e+04,8.795990767268333510e-01
1.501310649880685742e+04,8.177859752182723430e-01
1.501315862014908816e+04,7.166644286941693531e-01
1.501321074052835866e+04,5.473689466582013496e-01
1.501326285994462887e+04,3.688200866139925149e-01
1.501331497839786789e+04,2.825184963964020302e-01
1.501336709588803569e+04,3.895357477887240738e-01
1.501341921241510317e+04,5.566618566633904086e-01
1.501347132797903032e+04,7.263333509949249089e-01
1.501352344257978257e+04,8.156140198729858737e-01
1.501357555621732536e+04,8.572554250599836445e-01
1.501362766889162413e+04,8.630824255072495621e-01
1.501367978060264431e+04,8.570613030149136780e-01
1.501373189135035136e+04,8.552433352818248347e-01
1.501378400113470161e+04,8.568499636936385278e-01
1.501383610995567142e+04,8.668795543957948935e-01
1.501388821781321894e+04,8.942884731082390015e-01
1.501394032470731327e+04,9.199638130904728150e-01
1.501399243063791982e+04,9.466979381778983793e-01
1.501404453560499314e+04,9.632003336923116166e-01
1.501409663960850776e+04,9.795949074278595958e-01
1.501414874264842365e+04,9.933268904806884514e-01
1.501420084472470990e+04,9.856024332115262965e-01
1.501425294583733194e+04,9.957888434384921661e-01
1.501430504598624611e+04,1.003353859220384781e+00
1.501435714517142696e+04,9.972435590884076717e-01
1.501440924339283447e+04,9.942051238396579782e-01
1.501446134065043589e+04,9.920853611313252829e-01
1.501451343694419120e+04,9.980953600575552809e-01
1.501456553227407130e+04,9.987224023757463875e-01
1.501461762664003618e+04,9.964432703038729189e-01
1.501466972004205309e+04,1.005337165268672450e+00
1.501472181248008383e+04,9.904175165303814588e-01
1.501477390395409748e+04,9.924077993657868246e-01
1.501482599446406130e+04,9.976903648937968105e-01
1.501487808400993163e+04,1.004921327230849259e+00
1.501493017259167027e+04,1.008596530113601730e+00
1.501498226020926086e+04,1.006482363933527191e+00
1.501503434686265064e+04,1.009028356160708295e+00
1.501508643255181232e+04,1.009768722115572448e+00
1.501513851727670772e+04,1.006260660253617489e+00
1.501519060103730226e+04,1.006603444730921559e+00
1.501524268383356321e+04,9.991774795044960911e-01
1.501529476566544872e+04,1.008513964159923226e+00
1.501534684653293152e+04,9.976276473106953091e-01
1.501539892643597159e+04,9.860855435927159407e-01
1.501545100537453254e+04,9.757473512737414589e-01
1.501550308334858710e+04,9.832140768259980401e-01
1.501555516035808978e+04,9.888674710091948095e-01
1.501560723640301330e+04,9.934420712002870468e-01
1.501565931148332129e+04,1.010065283175055173e+00
1.501571138559897190e+04,1.002966950468248797e+00
1.501576345874993604e+04,1.009570443688156738e+00
1.501581553093617913e+04,1.008444735567147310e+00
1.501586760215766117e+04,1.011468324505303329e+00
1.501591967241435123e+04,9.966703790314224154e-01
1.501597174170621292e+04,1.001539404395579203e+00
1.501602381003320988e+04,1.002214946996559108e+00
1.501607587739530754e+04,1.005339414896336381e+00
1.501612794379247316e+04,1.002173237397345984e+00
1.501618000922466672e+04,1.005327093065210953e+00
1.501623207369185911e+04,9.997604209505438488e-01
1.501628413719400851e+04,1.009356181805650676e+00
1.501633619973108398e+04,1.006814934103055670e+00
1.501638826130304733e+04,1.010027684427516226e+00
1.501644032190986763e+04,1.020341408430305297e+00
1.501649238155150852e+04,1.007877500392949210e+00
1.501654444022792813e+04,1.007705096286142687e+00
1.501659649793909921e+04,1.001994842106700867e+00
1.501664855468498899e+04,1.006109867398888857e+00
1.501670061046555020e+04,1.008379064634226552e+00
1.501675266528075736e+04,1.002187074864548277e+00
1.501680471913057045e+04,1.004204637517890131e+00
1.501685677201496037e+04,1.009075657092932454e+00
1.501690882393388529e+04,1.012084251281123004e+00
1.501696087488731609e+04,1.005431761795181789e+00
1.501701292487520914e+04,1.003436480028455202e+00
