canonical_line_id,physical_transition_id,species,ion,wavelength_air_A,medium,excitation_potential_eV,loggf,gf_sigma_dex,nist_grade,gf_tier,source_class,adopted_source,source_doi,source_set_membership,hfs_isotope_status,intake_status,notes
gf_001592,pk_c83046fee2d5,C I,1.0,4817.373,air,7.483,-3.039,,,OTHER,OTHER_COMPILED_OR_THEORETICAL,NIST10,,synth|linelist,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001593,pk_667a2ee68cad,C I,1.0,4826.795,air,7.488,-3.182,,,OTHER,OTHER_COMPILED_OR_THEORETICAL,NIST10,,synth|linelist,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001594,pk_ca7f4eafdd59,C I,1.0,4836.765,air,8.537,-2.479,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001595,pk_db94a66efd87,C I,1.0,4837.502,air,8.537,-3.397,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001596,pk_b079fa9adee7,C I,1.0,4839.265,air,8.537,-2.99,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001597,pk_8af042ccead7,C I,1.0,4840.303,air,8.537,-2.932,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001598,pk_217fb98507d2,C I,1.0,4846.17,air,10.56,-3.136,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001599,pk_1acd99a15921,C I,1.0,4850.717,air,10.562,-2.666,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001600,pk_6a18f5a883ed,C I,1.0,4853.039,air,8.537,-3.542,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001601,pk_709d01358883,C I,1.0,4854.078,air,8.537,-2.808,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001602,pk_da2b4f59beb4,C I,1.0,4854.177,air,10.564,-2.444,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001603,pk_c961d06271eb,C I,1.0,4855.106,air,8.537,-2.559,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001604,pk_3f8e98805e4a,C I,1.0,4858.876,air,8.537,-2.293,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001605,pk_c12c0e055c34,C I,1.0,4888.9098,air,7.4815,-1.6818,,,KURUCZ,FALLBACK,K10,,synth,HFS_OR_ISOTOPE_COMPONENTS,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001606,pk_50d31e352a62,C I,1.0,4890.653,air,7.488,-1.541,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
gf_001607,pk_228256867a31,C I,1.0,4893.299,air,8.64,-2.702,,,KURUCZ,FALLBACK,K10,,synth,NONE_RECORDED,INVENTORIED_NOT_FROZEN,Atomic inventory only; not an abundance-quality selection.
