species,element,ion,wavelength_air_A,excitation_potential_eV,log_gf,hfs_n_components,reference_code,gf_tier
Mn I,Mn,1,13642.930004015234,2.1636999999999995,-1.8199793046615038,12,VALD3,VALD3
Si I,Si,1,13643.8218,7.1252,-1.309,1,K07,KURUCZ
Si I,Si,1,13644.0639,7.1252,-1.93,1,K07,KURUCZ
Fe I,Fe,1,13645.0304,5.5022,-2.74,1,K14,KURUCZ
Si I,Si,1,13645.9449,7.1079,-1.843,1,K07,KURUCZ
Ca I,Ca,1,13649.114,6.0229,-1.319,1,K07,KURUCZ
Si I,Si,1,13649.164299999999,7.0399,-2.288,1,K07,KURUCZ
Ti I,Ti,1,13653.1275,2.2312,-2.4,1,BRW,OTHER
Fe I,Fe,1,13653.8825,5.6826,-2.416,1,K14,KURUCZ
Fe I,Fe,1,13654.6228,5.7956,-2.458,1,K14,KURUCZ
Fe I,Fe,1,13656.8967,6.4521,-1.592,1,K14,KURUCZ
Si I,Si,1,13658.9156,6.6192,-2.486,1,K07,KURUCZ
Si I,Si,1,13661.3103,7.1079,-2.375,1,K07,KURUCZ
Rb I,Rb,1,13665.01,1.589,-0.13399999999999998,1,Wc,OTHER
Ni I,Ni,1,13665.3326,6.2847,-1.451,1,K08,KURUCZ
Si I,Si,1,13667.3092,6.0986,-0.672,1,K07,KURUCZ
Fe II,Fe,2,13669.5143,6.7291,-2.429,1,RU,OTHER
Fe I,Fe,1,13670.0489,5.8441,-2.73,1,K14,KURUCZ
V I,V,1,13670.802220654226,1.8598772727272737,-2.355850397628991,22,K09,KURUCZ
Fe I,Fe,1,13672.1726,0.0516,-8.569,1,K14,KURUCZ
Ti I,Ti,1,13674.6188,3.5587,-1.794,1,K16,KURUCZ
Ti I,Ti,1,13679.5904,3.5693,-1.772,1,K16,KURUCZ
Ni I,Ni,1,13680.7224,5.8799,-2.111,1,K08,KURUCZ
Si I,Si,1,13682.9455,6.7271,-0.429,1,K07,KURUCZ
Mn I,Mn,1,13683.0227,2.9532,-2.68,1,K07,KURUCZ
Mn I,Mn,1,13683.3072,2.9532,-2.136,1,K07,KURUCZ
Fe I,Fe,1,13683.4063,6.3597,-2.061,1,K14,KURUCZ
Mn I,Mn,1,13683.4343,2.9532,-2.136,1,K07,KURUCZ
Mn I,Mn,1,13683.718800000002,2.9532,-2.233,1,K07,KURUCZ
Cr I,Cr,1,13684.0712,2.5441,-4.115,1,K16,KURUCZ
Si I,Si,1,13684.6818,7.0399,-1.758,1,K07,KURUCZ
Si I,Si,1,13685.1108,7.0693,-2.49,1,K07,KURUCZ
Si I,Si,1,13685.7084,6.7271,-2.145,1,K07,KURUCZ
Fe I,Fe,1,13689.0703,6.5107,-2.339,1,K14,KURUCZ
Fe I,Fe,1,13691.11,6.3981,-2.587,1,K14,KURUCZ
Fe I,Fe,1,13693.7842,6.368,-2.523,1,K14,KURUCZ
Si I,Si,1,13693.7973,6.1248,-0.08100000000000003,1,K07,KURUCZ
P I,P,1,13694.7,7.3813,-1.5,1,GUES,OTHER
Si I,Si,1,13696.1743,7.0399,-2.789,1,K07,KURUCZ
C I,C,1,13697.78,7.9458,-1.325,1,VALD3,VALD3
Ti I,Ti,1,13701.2142,1.8732,-3.098,1,K16,KURUCZ
Fe I,Fe,1,13701.7418,5.4457,-2.8,1,K14,KURUCZ
Fe I,Fe,1,13702.4724,6.3804,-2.415,1,K14,KURUCZ
Ti I,Ti,1,13702.8067,4.6542,-0.684,1,K16,KURUCZ
C I,C,1,13703.28,7.9461,-3.265,1,VALD3,VALD3
