species,element,ion,wavelength_air_A,excitation_potential_eV,log_gf,hfs_n_components,reference_code,gf_tier
Si I,Si,1,15091.869299999998,7.0693,-1.63,1,K07,KURUCZ
N I,N,1,15094.955,10.9318,-1.255,1,VALD3,VALD3
Fe I,Fe,1,15095.1371,6.264,-2.524,1,K14,KURUCZ
Fe I,Fe,1,15095.8573,6.2222,-2.8,1,K14,KURUCZ
Ni I,Ni,1,15097.692500000001,5.6312,-0.51,1,K08,KURUCZ
Fe I,Fe,1,15101.2457,6.323,-2.446,1,K14,KURUCZ
Ni I,Ni,1,15104.182000000003,6.3387,-1.643,1,K08,KURUCZ
Ti I,Ti,1,15104.4627,3.8691,-1.493,1,K16,KURUCZ
Fe I,Fe,1,15106.1083,6.0152,-2.681,1,K14,KURUCZ
Fe I,Fe,1,15107.0442,6.5318,-2.206,1,K14,KURUCZ
Ti I,Ti,1,15109.067,4.6542,-0.346,1,K16,KURUCZ
Fe I,Fe,1,15109.4712,5.6066,-2.87,1,K14,KURUCZ
Ni I,Ni,1,15113.8387,5.8445,-2.369,1,K08,KURUCZ
Fe I,Fe,1,15115.7674,5.8834,-3.018,1,K14,KURUCZ
C I,C,1,15116.39,10.0557,-1.768,1,VALD3,VALD3
Ni I,Ni,1,15116.6908,5.3053,-2.829,1,K08,KURUCZ
Ti I,Ti,1,15117.3106,2.3341,-1.64,1,VALD3,VALD3
Ca I,Ca,1,15118.172100000002,5.0182,-2.224,1,K07,KURUCZ
Fe I,Fe,1,15118.179,6.368,-2.401,1,K14,KURUCZ
Ni I,Ni,1,15119.1941,5.4717,-2.342,1,K08,KURUCZ
Si I,Si,1,15120.7766,6.7255,-2.04,1,K07,KURUCZ
Ca I,Ca,1,15121.853799999999,5.0182,-2.445,1,K07,KURUCZ
Si I,Si,1,15122.5492,6.7206,-1.277,1,K07,KURUCZ
Cr I,Cr,1,15124.8303,5.9347,-0.989,1,K16,KURUCZ
Fe I,Fe,1,15125.8349,5.5496,-3.03,1,K14,KURUCZ
Si I,Si,1,15127.9131,7.2297,-1.904,1,K07,KURUCZ
Fe I,Fe,1,15131.35,6.4555,-2.084,1,K14,KURUCZ
Fe I,Fe,1,15131.6546,5.5869,-2.853,1,K14,KURUCZ
Fe I,Fe,1,15132.669200000002,4.607,-4.42,1,K14,KURUCZ
C I,C,1,15132.839999999998,10.0557,-2.247,1,VALD3,VALD3
H I,H,1,15133.231,12.7485,-1.558,1,CDROM18,OTHER
Fe I,Fe,1,15134.8296,6.2771,-2.961,1,K14,KURUCZ
Mg I,Mg,1,15135.306,6.4314,-1.659,1,BRW,OTHER
Ni I,Ni,1,15135.6132,6.1509,-0.8,1,K08,KURUCZ
Mg I,Mg,1,15137.027,6.4314,-1.88,1,VALD3,VALD3
Fe I,Fe,1,15137.3298,6.2681,-2.47,1,K14,KURUCZ
Mg I,Mg,1,15137.85,6.4314,-2.359,1,BRW,OTHER
Ni I,Ni,1,15139.816999999997,5.447,-2.504,1,K08,KURUCZ
Fe I,Fe,1,15141.202,6.5654,-2.567,1,K14,KURUCZ
Fe I,Fe,1,15146.6502,6.4258,-2.468,1,K14,KURUCZ
N I,N,1,15146.664,10.9318,-1.275,1,VALD3,VALD3
Si I,Si,1,15147.104599999999,7.166,-2.853,1,K07,KURUCZ
Fe I,Fe,1,15148.8674,4.8349,-3.621,1,K14,KURUCZ
Si I,Si,1,15150.603,7.0644,-1.909,1,K07,KURUCZ
Cr I,Cr,1,15151.3722,5.9481,-0.801,1,K16,KURUCZ
Mn I,Mn,1,15152.3574,6.2188,-0.377,1,K07,KURUCZ
Fe I,Fe,1,15152.943,5.5237,-3.331,1,K14,KURUCZ
Fe I,Fe,1,15153.0854,5.5237,-2.879,1,K14,KURUCZ
Mn I,Mn,1,15153.7171,6.1267,-0.2740000000000001,1,K07,KURUCZ
Cr I,Cr,1,15153.8066,5.9247,-0.82,1,K16,KURUCZ
Ti I,Ti,1,15154.0203,4.6692,0.21500000000000002,1,K16,KURUCZ
Si I,Si,1,15154.0478,7.0644,-2.168,1,K07,KURUCZ
Mn I,Mn,1,15159.157809668823,4.888857142857142,0.6187726161060142,14,K07,KURUCZ
Fe I,Fe,1,15159.6686,5.4907,-3.252,1,K14,KURUCZ
Mn I,Mn,1,15159.7351,4.8889,-2.494,1,K07,KURUCZ
Fe I,Fe,1,15160.1008,6.3417,-2.17,1,K14,KURUCZ
Na I,Na,1,15160.843993102655,4.1164,-2.3318938449552227,6,VALD3,VALD3
Na I,Na,1,15161.605012531565,4.1164,-2.6418518963483986,4,VALD3,VALD3
K I,K,1,15163.0669,2.67,0.7101431574816689,2,K12,KURUCZ
Mn I,Mn,1,15163.8903,6.1267,-0.421,1,K07,KURUCZ
Fe I,Fe,1,15164.4654,6.3417,-2.73,1,K14,KURUCZ
V II,V,2,15167.649566140324,3.7956,-2.8201338346760227,17,K10,KURUCZ
V II,V,2,15168.1564283125,3.7957,-3.29719375845353,2,K10,KURUCZ
K I,K,1,15168.375999999998,2.6702,0.48,1,WSM,OTHER
V II,V,2,15168.4279,3.7957,-3.239,1,K10,KURUCZ
Fe I,Fe,1,15170.793700000002,5.9872,-2.613,1,K14,KURUCZ
Co I,Co,1,15171.435928973395,5.97621052631579,0.6824524947164896,19,K08,KURUCZ
Co I,Co,1,15172.039800000002,5.9762,-1.9,1,K08,KURUCZ
Co I,Co,1,15172.201399999998,5.9763,-2.298,1,K08,KURUCZ
Fe I,Fe,1,15172.264900000002,5.5122,-2.945,1,K14,KURUCZ
Si I,Si,1,15173.287299999998,7.1038,-2.531,1,K07,KURUCZ
Ni I,Ni,1,15173.584399999998,5.4879,-0.547,1,K08,KURUCZ
Cr I,Cr,1,15178.592799999999,3.3694,-2.02,1,K16,KURUCZ
Fe I,Fe,1,15184.836000000001,6.1692,-2.496,1,K14,KURUCZ
Ti I,Ti,1,15186.711400000002,1.8792,-2.32,1,BLNP,OTHER
Fe I,Fe,1,15187.5558,6.2181,-2.283,1,K14,KURUCZ
Ti I,Ti,1,15188.017499999998,2.3447,-1.89,1,KCN,OTHER
Mn I,Mn,1,15189.9465,6.1267,-0.614,1,K07,KURUCZ
H I,H,1,15191.861,12.7485,-1.486,1,BRW,OTHER
Ni I,Ni,1,15195.277199679473,5.2825,-0.9519328251313276,4,K08,KURUCZ
Fe I,Fe,1,15196.099700000002,6.3999,-2.536,1,K14,KURUCZ
Mg I,Mg,1,15197.287000000002,6.7262,-2.29,1,KP,OTHER
Fe I,Fe,1,15198.2759,6.306,-2.123,1,K14,KURUCZ
Ni I,Ni,1,15199.616099999997,5.4692,-0.501,1,K08,KURUCZ
Fe I,Fe,1,15200.482799999998,5.8961,-3.267,1,K14,KURUCZ
Si I,Si,1,15203.0902,7.0399,-1.914,1,K07,KURUCZ
Mg I,Mg,1,15203.389,6.7265,-2.77,1,KP,OTHER
Fe I,Fe,1,15204.8776,5.989,-2.671,1,K14,KURUCZ
Co I,Co,1,15206.8365,4.9159,-2.402,1,K08,KURUCZ
Co I,Co,1,15207.2566,4.9159,-2.507,1,K08,KURUCZ
Co I,Co,1,15207.309868112136,5.892250000000001,0.7712948719707428,18,K08,KURUCZ
Co I,Co,1,15207.4207,4.9159,-3.41,1,K08,KURUCZ
Co I,Co,1,15207.6261,4.9159,-2.623,1,K08,KURUCZ
Co I,Co,1,15207.7668,4.9159,-3.199,1,K08,KURUCZ
Co I,Co,1,15207.945242376445,4.9159,-2.7472531150377963,2,K08,KURUCZ
Co I,Co,1,15208.0627,4.9159,-3.126,1,K08,KURUCZ
Co I,Co,1,15208.0776,5.8923,-1.95,1,K08,KURUCZ
Ti I,Ti,1,15208.1436,4.6692,-0.613,1,K16,KURUCZ
Co I,Co,1,15208.249069444722,4.9159,-2.68361975591534,3,K08,KURUCZ
Co I,Co,1,15208.269199999999,5.8923,-2.142,1,K08,KURUCZ
Co I,Co,1,15208.4804,5.8923,-2.531,1,K08,KURUCZ
Co I,Co,1,15208.57921037583,4.915839999999999,-2.4464148077144343,10,K08,KURUCZ
Ni I,Ni,1,15208.9765,5.2799,-2.656,1,K08,KURUCZ
Fe I,Fe,1,15212.290500000001,6.3804,-2.054,1,K14,KURUCZ
Fe I,Fe,1,15217.398599999999,6.5232,-2.661,1,K14,KURUCZ
Mn I,Mn,1,15217.664807456806,4.888842857142857,0.4917182278430783,14,K07,KURUCZ
Mn I,Mn,1,15217.9545,4.8889,-0.899,1,K07,KURUCZ
Mn I,Mn,1,15218.065,4.8889,-1.081,1,K07,KURUCZ
Cr I,Cr,1,15219.0596,5.9282,-1.078,1,K16,KURUCZ
Ni I,Ni,1,15221.5506,6.2169,-1.616,1,K08,KURUCZ
Fe I,Fe,1,15222.0953,6.4403,-2.409,1,K14,KURUCZ
Fe I,Fe,1,15224.0448,6.3666,-2.036,1,K14,KURUCZ
Si I,Si,1,15224.132899999999,7.0693,-1.701,1,K07,KURUCZ
Fe I,Fe,1,15224.4899,6.4405,-2.61,1,K14,KURUCZ
Fe I,Fe,1,15224.9768,6.4736,-2.178,1,K14,KURUCZ
Ni I,Ni,1,15228.7924,5.3025,-2.748,1,K08,KURUCZ
Fe I,Fe,1,15229.01,6.3061,-2.046,1,K14,KURUCZ
Ni I,Ni,1,15229.2582,5.8445,-2.234,1,K08,KURUCZ
Fe I,Fe,1,15229.8405,5.9132,-3.067,1,K14,KURUCZ
Fe I,Fe,1,15231.2002,5.9558,-2.691,1,K14,KURUCZ
Ti II,Ti,2,15231.2026,3.1235,-2.846,1,K16,KURUCZ
Mg I,Mg,1,15231.657239016722,6.719,-0.8189526573405322,7,KP,OTHER
Si I,Si,1,15232.8596,7.1343,-2.613,1,K07,KURUCZ
Ti I,Ti,1,15234.099099999998,4.6692,-0.862,1,K16,KURUCZ
Ni I,Ni,1,15236.128300000002,6.1716,-1.159,1,K08,KURUCZ
Fe I,Fe,1,15237.8259,6.857,-2.131,1,K14,KURUCZ
Fe I,Fe,1,15238.822400000001,5.9665,-2.599,1,K14,KURUCZ
Fe I,Fe,1,15242.386499999999,6.62,-2.596,1,K14,KURUCZ
Cr I,Cr,1,15243.5043,5.9411,-1.149,1,K16,KURUCZ
Si I,Si,1,15243.588,6.7271,-0.867,1,K07,KURUCZ
Fe I,Fe,1,15244.473600000001,6.764,-2.533,1,K14,KURUCZ
Fe I,Fe,1,15246.4963,6.3083,-2.524,1,K14,KURUCZ
P I,P,1,15246.91,9.2666,0.0,1,GUES,OTHER
Fe I,Fe,1,15246.9637,6.3804,-2.83,1,K14,KURUCZ
Si I,Si,1,15249.4522,7.1079,-2.229,1,K07,KURUCZ
Fe I,Fe,1,15250.4199,5.6142,-2.818,1,K14,KURUCZ
Fe I,Fe,1,15251.285399999999,5.9303,-2.555,1,K14,KURUCZ
Si I,Si,1,15254.019700000003,7.166,-0.658,1,K07,KURUCZ
Ni I,Ni,1,15254.2741,5.2843,-2.913,1,K08,KURUCZ
Fe I,Fe,1,15254.5015,6.62,-2.356,1,K14,KURUCZ
Fe I,Fe,1,15255.2673,6.8346,-2.41,1,K14,KURUCZ
Fe I,Fe,1,15255.316200000001,5.4099,-3.57,1,K14,KURUCZ
Fe I,Fe,1,15256.9017,5.4457,-3.66,1,K14,KURUCZ
H I,H,1,15260.555,12.7485,-1.414,1,VALD3,VALD3
Fe I,Fe,1,15261.000699999999,6.347,-2.156,1,K14,KURUCZ
Ti I,Ti,1,15261.275600000003,4.6897,0.349,1,K16,KURUCZ
Mn I,Mn,1,15262.414892493603,4.888840000000001,0.3931277413305635,15,K07,KURUCZ
Fe I,Fe,1,15263.5497,6.6388,-2.434,1,K14,KURUCZ
Si I,Si,1,15265.8735,7.1038,-2.384,1,K07,KURUCZ
Fe I,Fe,1,15267.1277,5.9303,-2.87,1,K14,KURUCZ
Fe I,Fe,1,15268.8929,6.3083,-2.699,1,K14,KURUCZ
Ti I,Ti,1,15272.9703,5.2353,-0.10600000000000002,1,K16,KURUCZ
Ni I,Ni,1,15273.269,6.2868,-1.753,1,K08,KURUCZ
Fe I,Fe,1,15274.284099999999,5.9307,-2.955,1,K14,KURUCZ
Co I,Co,1,15276.127898915769,6.084899999999999,-0.3019456098583782,10,K08,KURUCZ
Si I,Si,1,15277.110699999997,7.1343,-2.624,1,K07,KURUCZ
Ni I,Ni,1,15277.1924,6.0793,-1.666,1,K08,KURUCZ
Si I,Si,1,15279.7725,6.7341,-2.214,1,K07,KURUCZ
Fe I,Fe,1,15283.4212,6.2368,-2.389,1,K14,KURUCZ
Ti I,Ti,1,15284.2414,4.6542,-0.996,1,K16,KURUCZ
Si I,Si,1,15286.954799999998,7.166,-2.524,1,K07,KURUCZ
S I,S,1,15288.3691,8.8464,-2.115,1,K04,KURUCZ
Rb I,Rb,1,15288.430011822087,1.589,-0.5349563523620887,10,Wc,OTHER
Rb I,Rb,1,15289.479995580063,1.5889999999999997,0.42002069533849606,12,Wc,OTHER
Ni I,Ni,1,15290.6747,5.2843,-2.751,1,K08,KURUCZ
Ni I,Ni,1,15290.7145,5.3053,-0.889,1,K08,KURUCZ
Ni I,Ni,1,15290.8345,5.2843,-1.893,1,K08,KURUCZ
Ni I,Ni,1,15290.9982,5.2843,-1.479,1,K08,KURUCZ
S I,S,1,15291.3904,9.1638,-1.518,1,K04,KURUCZ
Mn I,Mn,1,15291.6243,6.8802,-0.4570000000000001,1,K07,KURUCZ
S I,S,1,15291.624999999998,9.1638,-1.54,1,KP,OTHER
Fe I,Fe,1,15292.2769,5.8283,-2.793,1,K14,KURUCZ
Fe I,Fe,1,15293.1916,6.4403,-2.142,1,K14,KURUCZ
Fe I,Fe,1,15294.817699999998,3.6352,-5.317,1,K14,KURUCZ
Fe I,Fe,1,15295.6718,6.4258,-2.712,1,K14,KURUCZ
Fe I,Fe,1,15296.505000000001,6.3083,-2.071,1,K14,KURUCZ
Fe I,Fe,1,15296.7039,6.4258,-1.978,1,K14,KURUCZ
Fe I,Fe,1,15297.4038,6.3515,-2.743,1,K14,KURUCZ
Si I,Si,1,15298.9816,7.0288,-3.192,1,K07,KURUCZ
S I,S,1,15299.9767,9.1643,-1.296,1,K04,KURUCZ
S I,S,1,15300.211,9.1643,-1.32,1,KP,OTHER
Ca I,Ca,1,15301.1031,1.8989,-5.098,1,K07,KURUCZ
Fe II,Fe,2,15301.356,6.7291,-3.007,1,RU,OTHER
C I,C,1,15302.959999999997,10.0813,-2.029,1,VALD3,VALD3
Si I,Si,1,15305.881999999998,7.1079,-2.025,1,K07,KURUCZ
S I,S,1,15314.116199999999,9.165,-1.15,1,K04,KURUCZ
S I,S,1,15314.351,9.165,-1.18,1,KP,OTHER
Ti I,Ti,1,15315.5825,2.3447,-2.081,1,K16,KURUCZ
Si I,Si,1,15320.8964,7.0299,-3.12,1,K07,KURUCZ
Si I,Si,1,15322.3335,7.166,-2.726,1,K07,KURUCZ
Cr I,Cr,1,15322.9159,5.923,-1.104,1,K16,KURUCZ
Fe I,Fe,1,15325.3306,6.8346,-1.822,1,K14,KURUCZ
V I,V,1,15327.121030278182,4.1426,-1.608945609858378,10,K09,KURUCZ
Fe I,Fe,1,15328.0422,2.845,-5.708,1,K14,KURUCZ
Fe I,Fe,1,15328.3407,6.2681,-3.386,1,K14,KURUCZ
Fe I,Fe,1,15328.5287,6.5654,-1.862,1,K14,KURUCZ
V I,V,1,15329.0481,4.8512,-0.27699999999999997,1,K09,KURUCZ
Si I,Si,1,15330.190499999999,6.7181,-1.938,1,K07,KURUCZ
C I,C,1,15330.6,10.0831,-2.03,1,VALD3,VALD3
Fe I,Fe,1,15330.6137,6.409,-2.233,1,K14,KURUCZ
Fe I,Fe,1,15331.8316,2.6085,-7.76,1,K14,KURUCZ
Fe II,Fe,2,15334.7501,0.2322,-9.153,1,K13,KURUCZ
Ti I,Ti,1,15334.8465,1.8871,-0.96,1,BLNP,OTHER
Fe I,Fe,1,15335.0229,5.6066,-2.931,1,K14,KURUCZ
Fe I,Fe,1,15335.1429,6.2529,-3.071,1,K14,KURUCZ
Ni I,Ni,1,15335.9545,5.3634,-2.453,1,K08,KURUCZ
Fe I,Fe,1,15336.4274,6.5911,-2.44,1,K14,KURUCZ
Fe I,Fe,1,15336.4556,5.9024,-2.604,1,K14,KURUCZ
Y I,Y,1,15336.7591,3.7,-0.191,1,K06,KURUCZ
C I,C,1,15337.59,10.0831,-2.155,1,BRW,OTHER
Fe I,Fe,1,15338.0133,6.5904,-2.742,1,K14,KURUCZ
Ni I,Ni,1,15338.6816,6.257,-0.899,1,K08,KURUCZ
Si I,Si,1,15338.742800000002,6.2612,-2.494,1,K07,KURUCZ
Fe I,Fe,1,15338.8769,6.336,-3.084,1,K14,KURUCZ
Ni I,Ni,1,15339.1382,5.2884,-2.693,1,K08,KURUCZ
Ni I,Ni,1,15340.0632,5.4943,-2.909,1,K08,KURUCZ
Fe I,Fe,1,15341.574499999999,6.5904,-1.892,1,K14,KURUCZ
H I,H,1,15341.807,12.7485,-1.337,1,KOH,OTHER
Ti I,Ti,1,15342.1419,4.2561,-1.183,1,K16,KURUCZ
Si I,Si,1,15342.973,7.1079,-2.423,1,K07,KURUCZ
Fe I,Fe,1,15343.347400000002,5.6477,-3.547,1,K14,KURUCZ
Fe I,Fe,1,15345.632,6.6628,-2.667,1,K14,KURUCZ
Fe I,Fe,1,15345.9217,6.2681,-2.937,1,K14,KURUCZ
Fe I,Fe,1,15347.4742,6.5318,-2.366,1,K14,KURUCZ
Fe I,Fe,1,15347.486,5.8834,-2.766,1,K14,KURUCZ
Co I,Co,1,15347.947780812428,5.687966666666666,-0.2168878507483915,18,K08,KURUCZ
K I,K,1,15348.904,3.3968,-1.07,1,KP,OTHER
Fe I,Fe,1,15349.7011,6.3999,-2.059,1,K14,KURUCZ
Fe I,Fe,1,15350.8442,6.5911,-2.2,1,K14,KURUCZ
Fe I,Fe,1,15351.280300000002,0.0516,-8.821,1,K14,KURUCZ
K I,K,1,15351.426,3.3969,-1.23,1,KP,OTHER
Fe I,Fe,1,15352.3718,5.4581,-3.014,1,K14,KURUCZ
C I,C,1,15353.840000000002,9.713,-1.953,1,BRW,OTHER
Ca I,Ca,1,15354.4349,5.0261,-0.795,1,K07,KURUCZ
Si I,Si,1,15354.755699999998,6.2227,-3.67,1,K07,KURUCZ
Fe I,Fe,1,15357.057700000001,6.5654,-2.553,1,K14,KURUCZ
Fe I,Fe,1,15359.178799999998,6.5535,-2.462,1,K14,KURUCZ
Fe I,Fe,1,15359.572899999997,6.5904,-2.026,1,K14,KURUCZ
Si I,Si,1,15361.1612,5.9537,-2.084,1,K07,KURUCZ
C I,C,1,15364.390000000001,10.0831,-1.934,1,BRW,OTHER
Fe I,Fe,1,15366.929600000001,6.4187,-2.033,1,K14,KURUCZ
Ni I,Ni,1,15371.5933,5.3025,-2.825,1,K08,KURUCZ
Ni I,Ni,1,15371.7568,5.3025,-2.411,1,K08,KURUCZ
Si I,Si,1,15375.4283,6.7341,-1.699,1,K07,KURUCZ
Fe I,Fe,1,15375.771200000001,6.3109,-2.647,1,K14,KURUCZ
S I,S,1,15376.0715,8.8464,-2.467,1,K04,KURUCZ
Fe I,Fe,1,15376.2489,5.5022,-3.358,1,K14,KURUCZ
Fe I,Fe,1,15376.5067,4.7331,-4.137,1,K14,KURUCZ
Si I,Si,1,15376.8307,6.2227,-0.691,1,K07,KURUCZ
Si I,Si,1,15376.9395,6.7206,-2.397,1,K07,KURUCZ
Ni I,Ni,1,15378.5905,5.2799,-2.259,1,K08,KURUCZ
Fe I,Fe,1,15378.749,6.28,-2.473,1,K14,KURUCZ
Ni I,Ni,1,15380.0006,5.4809,-1.85,1,K08,KURUCZ
C I,C,1,15380.6,10.0854,-1.935,1,VALD3,VALD3
Ti I,Ti,1,15381.0867,2.3331,-1.998,1,K16,KURUCZ
Si I,Si,1,15381.7375,6.7206,-2.196,1,K07,KURUCZ
Si I,Si,1,15387.069,7.166,-1.109,1,K07,KURUCZ
Ni I,Ni,1,15390.589,5.8531,-1.713,1,K08,KURUCZ
Ca I,Ca,1,15394.7768,5.045,-1.939,1,K07,KURUCZ
Ti I,Ti,1,15399.289799999999,2.3341,-2.07,1,BRW,OTHER
S I,S,1,15400.077,8.6993,0.55,1,BQZ,OTHER
S I,S,1,15402.330999999998,8.6993,0.35,1,KP,OTHER
Fe I,Fe,1,15403.2565,6.8658,-1.858,1,K14,KURUCZ
S I,S,1,15403.783660192794,8.6995,0.7803901502315309,2,BQZ,OTHER
Si I,Si,1,15405.6349,7.166,-2.472,1,K07,KURUCZ
S I,S,1,15405.979,8.6995,-0.38,1,KP,OTHER
C I,C,1,15407.55,10.0854,-1.457,1,VALD3,VALD3
Fe I,Fe,1,15409.7169,6.8661,-1.767,1,K14,KURUCZ
Fe I,Fe,1,15411.322700000002,6.5798,-2.322,1,K14,KURUCZ
Fe I,Fe,1,15411.641100000003,6.8024,-2.285,1,K14,KURUCZ
Mg I,Mg,1,15412.253999999999,6.726,-2.04,1,KP,OTHER
Mg I,Mg,1,15415.289000000002,6.7262,-1.6868782045125885,2,KP,OTHER
Fe I,Fe,1,15416.5273,5.5376,-3.089,1,K14,KURUCZ
Ti I,Ti,1,15417.233399999997,4.4244,-0.939,1,K16,KURUCZ
Fe I,Fe,1,15419.6161,5.5022,-3.247,1,K14,KURUCZ
Si I,Si,1,15420.8054,7.0055,-2.642,1,K07,KURUCZ
Fe I,Fe,1,15421.5285,6.484,-2.572,1,K14,KURUCZ
Mg I,Mg,1,15421.567,6.726499999999999,-1.3660580205325286,3,KP,OTHER
S I,S,1,15422.274643268482,8.7005,0.9264566254114237,3,BQZ,OTHER
S I,S,1,15424.455000000002,8.7005,-1.92,1,KP,OTHER
Ti I,Ti,1,15426.9686,1.8732,-2.38,1,BLNP,OTHER
Si I,Si,1,15431.4501,7.1343,-2.668,1,K07,KURUCZ
Si I,Si,1,15431.6502,6.2612,-2.814,1,K07,KURUCZ
Mn I,Mn,1,15431.666899999998,6.2008,-1.291,1,K07,KURUCZ
Si I,Si,1,15435.3599,7.1252,-2.474,1,K07,KURUCZ
Fe I,Fe,1,15437.4907,4.607,-3.812,1,K14,KURUCZ
Ni I,Ni,1,15438.149986999117,2.7403,-4.573400253872902,2,K08,KURUCZ
H I,H,1,15438.938,12.7485,-1.254,1,KCN,OTHER
Fe I,Fe,1,15440.316100000002,5.9426,-3.239,1,K14,KURUCZ
Ni I,Ni,1,15443.8701,6.1716,-2.183,1,K08,KURUCZ
Fe I,Fe,1,15445.3685,5.6142,-3.641,1,K14,KURUCZ
Fe I,Fe,1,15447.5689,6.5318,-2.441,1,K14,KURUCZ
Fe I,Fe,1,15451.8284,6.3416,-2.237,1,K14,KURUCZ
Fe I,Fe,1,15452.6739,6.3597,-2.174,1,K14,KURUCZ
Fe I,Fe,1,15453.8969,6.4736,-2.722,1,K14,KURUCZ
Ni I,Ni,1,15454.7115,6.257,-0.885,1,K08,KURUCZ
Mn I,Mn,1,15454.8119,6.2115,-1.303,1,K07,KURUCZ
Fe I,Fe,1,15455.863200000002,3.9841,-5.052,1,K14,KURUCZ
Fe I,Fe,1,15456.740200000002,5.6477,-3.578,1,K14,KURUCZ
Fe I,Fe,1,15461.2151,4.1864,-4.253,1,K14,KURUCZ
Ni I,Ni,1,15463.707100000001,5.2843,-1.321,1,K08,KURUCZ
Ca I,Ca,1,15464.8194,5.0486,-2.419,1,K07,KURUCZ
Fe I,Fe,1,15468.107100000001,6.6155,-2.072,1,K14,KURUCZ
S I,S,1,15469.816,8.0452,-0.04999999999999998,1,BQZ,OTHER
Si I,Si,1,15471.9636,6.7255,-2.698,1,K07,KURUCZ
Fe I,Fe,1,15474.6794,5.9024,-3.112,1,K14,KURUCZ
Fe I,Fe,1,15475.089,6.3192,-2.367,1,K14,KURUCZ
S I,S,1,15475.616,8.0455,-0.52,1,BQZ,OTHER
Fe I,Fe,1,15475.870000000003,6.3207,-2.212,1,K14,KURUCZ
S I,S,1,15478.481999999998,8.0457,0.18000000000000002,1,BQZ,OTHER
Fe I,Fe,1,15479.9078,6.3207,-2.356,1,K14,KURUCZ
Fe I,Fe,1,15485.736900000002,6.4258,-2.811,1,K14,KURUCZ
Fe I,Fe,1,15486.7948,6.4258,-2.133,1,K14,KURUCZ
S I,S,1,15486.9148,8.4082,-2.016,1,K04,KURUCZ
Fe I,Fe,1,15488.779099999998,6.5798,-2.661,1,K14,KURUCZ
Fe I,Fe,1,15489.964599999998,5.8794,-3.27,1,K14,KURUCZ
Fe I,Fe,1,15491.726500000002,6.5107,-2.382,1,K14,KURUCZ
Fe I,Fe,1,15491.788899999998,6.3207,-2.761,1,K14,KURUCZ
S I,S,1,15491.8369,8.4082,-2.016,1,K04,KURUCZ
Fe I,Fe,1,15493.0037,5.4581,-2.962,1,K14,KURUCZ
Fe I,Fe,1,15493.5535,6.4555,-2.407,1,K14,KURUCZ
Ca I,Ca,1,15495.455500000002,5.1675,-1.886,1,K07,KURUCZ
Si I,Si,1,15495.6668,7.0055,-2.799,1,K07,KURUCZ
Si I,Si,1,15496.963899999999,7.0055,-1.987,1,K07,KURUCZ
Si I,Si,1,15496.999999999998,6.2694,-2.015,1,K07,KURUCZ
Fe I,Fe,1,15498.0642,5.5063,-2.913,1,K14,KURUCZ
Fe I,Fe,1,15498.451,6.5608,-2.702,1,K14,KURUCZ
Fe I,Fe,1,15498.662499999999,6.277,-2.371,1,K14,KURUCZ
Fe I,Fe,1,15501.1137,5.9426,-3.168,1,K14,KURUCZ
Fe I,Fe,1,15502.9309,6.3685,-2.394,1,K14,KURUCZ
C I,C,1,15506.06,10.0831,-2.048,1,VALD3,VALD3
Fe I,Fe,1,15506.1074,5.5237,-3.292,1,K14,KURUCZ
Si I,Si,1,15506.978,6.7271,-1.286,1,K07,KURUCZ
Si I,Si,1,15511.1163,7.166,-3.118,1,K07,KURUCZ
S I,S,1,15513.0803,8.4093,-1.673,1,K04,KURUCZ
Si I,Si,1,15514.6909,7.0917,-2.282,1,K07,KURUCZ
S I,S,1,15515.6156,8.4093,-1.943,1,K04,KURUCZ
Fe I,Fe,1,15516.716100000001,6.2865,-2.202,1,K14,KURUCZ
Fe I,Fe,1,15519.3609,6.2858,-2.915,1,K14,KURUCZ
Si I,Si,1,15520.115,7.1079,-2.279,1,K07,KURUCZ
Cl I,Cl,1,15520.455,10.495,0.54,1,KP,OTHER
Fe I,Fe,1,15525.2777,5.8405,-3.279,1,K14,KURUCZ
Y I,Y,1,15526.3555,1.9188,-1.355,1,K06,KURUCZ
Fe I,Fe,1,15526.4326,6.7106,-2.243,1,K14,KURUCZ
Fe I,Fe,1,15526.5484,6.347,-2.188,1,K14,KURUCZ
Fe I,Fe,1,15528.0629,5.9471,-3.338,1,K14,KURUCZ
Fe I,Fe,1,15530.810500000001,6.5654,-1.863,1,K14,KURUCZ
Ti I,Ti,1,15531.2979,4.6542,-0.16200000000000003,1,K16,KURUCZ
Si I,Si,1,15532.4489,6.7181,-1.397,1,K07,KURUCZ
Ca I,Ca,1,15536.8253,5.5745,-2.193,1,K07,KURUCZ
Fe I,Fe,1,15538.0931,6.3327,-2.693,1,K14,KURUCZ
Si I,Si,1,15538.4626,6.7606,-2.208,1,K07,KURUCZ
Si I,Si,1,15539.9915,6.8031,-2.431,1,K07,KURUCZ
C I,C,1,15540.169999999998,10.0854,-1.778,1,BRW,OTHER
Fe I,Fe,1,15541.4047,5.8441,-2.765,1,K14,KURUCZ
Fe I,Fe,1,15541.8324,5.9665,-2.449,1,K14,KURUCZ
Fe I,Fe,1,15541.8445,6.3705,-2.432,1,K14,KURUCZ
Si I,Si,1,15542.016,7.0055,-1.617,1,K07,KURUCZ
Ti I,Ti,1,15543.7583,1.8792,-1.08,1,BLNP,OTHER
