wavenumber_cm-1,wavelength_vac_A,wavelength_air_A,intensity
4255.63,23498.2835,23491.8724,1.004597
4255.635,23498.2558,23491.8448,1.003887
4255.64,23498.2282,23491.8172,1.003025
4255.645,23498.2006,23491.7896,1.002073
4255.65,23498.173,23491.762,1.001097
4255.655,23498.1454,23491.7344,1.000165
4255.66,23498.1178,23491.7068,0.99933
4255.665,23498.0902,23491.6792,0.998639
4255.67,23498.0626,23491.6516,0.998122
4255.675,23498.035,23491.624,0.997788
4255.68,23498.0074,23491.5964,0.997641
4255.685,23497.9798,23491.5688,0.997664
4255.69,23497.9522,23491.5412,0.99783
4255.695,23497.9245,23491.5136,0.998107
4255.7,23497.8969,23491.486,0.998458
4255.705,23497.8693,23491.4584,0.998844
4255.71,23497.8417,23491.4308,0.999228
4255.715,23497.8141,23491.4032,0.999573
4255.72,23497.7865,23491.3756,0.999851
4255.725,23497.7589,23491.348,1.000028
4255.73,23497.7313,23491.3204,1.00007
4255.735,23497.7037,23491.2928,0.999932
4255.74,23497.6761,23491.2652,0.999557
4255.745,23497.6485,23491.2376,0.998873
4255.75,23497.6209,23491.21,0.997782
4255.755,23497.5933,23491.1824,0.996163
4255.76,23497.5657,23491.1548,0.993884
4255.765,23497.538,23491.1272,0.99081
4255.77,23497.5104,23491.0996,0.98682
4255.775,23497.4828,23491.072,0.981829
4255.78,23497.4552,23491.0444,0.975826
4255.785,23497.4276,23491.0168,0.968882
4255.79,23497.4,23490.9892,0.961184
4255.795,23497.3724,23490.9616,0.953041
4255.8,23497.3448,23490.934,0.944862
4255.805,23497.3172,23490.9064,0.937145
4255.81,23497.2896,23490.8788,0.930416
4255.815,23497.262,23490.8512,0.925177
4255.82,23497.2344,23490.8236,0.921845
4255.825,23497.2068,23490.796,0.920688
4255.83,23497.1792,23490.7684,0.921793
4255.835,23497.1516,23490.7408,0.925048
4255.84,23497.124,23490.7132,0.930159
4255.845,23497.0963,23490.6857,0.936692
4255.85,23497.0687,23490.6581,0.944125
4255.855,23497.0411,23490.6305,0.951919
4255.86,23497.0135,23490.6029,0.959583
4255.865,23496.9859,23490.5753,0.966716
4255.87,23496.9583,23490.5477,0.973049
4255.875,23496.9307,23490.5201,0.978435
4255.88,23496.9031,23490.4925,0.98285
4255.885,23496.8755,23490.4649,0.986366
