wavenumber_cm-1,wavelength_vac_A,wavelength_air_A,solar,atmospheric,total
4256.70312,23492.3595,23485.9501,0.99287,0.88412,0.87054
4256.7124,23492.3083,23485.8989,0.99768,0.89702,0.8888
4256.72217,23492.2544,23485.845,0.99604,0.90927,0.9014
4256.73145,23492.2032,23485.7938,0.99211,0.91929,0.90788
4256.74072,23492.152,23485.7426,0.99641,0.92411,0.91567
4256.75049,23492.0981,23485.6887,0.99682,0.92916,0.92198
4256.75977,23492.0469,23485.6375,0.99206,0.93535,0.92504
4256.76953,23491.993,23485.5837,0.99365,0.93954,0.93048
4256.77881,23491.9418,23485.5325,0.99487,0.94409,0.93622
4256.78857,23491.8879,23485.4786,0.99087,0.94841,0.93735
4256.79785,23491.8367,23485.4274,0.99208,0.9487,0.93814
4256.80713,23491.7855,23485.3762,0.99559,0.94849,0.94073
4256.81689,23491.7316,23485.3224,0.99288,0.95004,0.94074
4256.82617,23491.6804,23485.2712,0.99182,0.94897,0.93905
4256.83594,23491.6265,23485.2173,0.99452,0.94603,0.93779
4256.84521,23491.5753,23485.1662,0.99234,0.94344,0.93288
4256.85449,23491.5241,23485.115,0.99021,0.93644,0.92393
4256.86426,23491.4702,23485.0611,0.99309,0.92618,0.91573
4256.87354,23491.419,23485.0099,0.99197,0.92276,0.91114
4256.8833,23491.3651,23484.956,0.98918,0.92706,0.91331
4256.89258,23491.3139,23484.9048,0.99238,0.92975,0.9187
4256.90186,23491.2627,23484.8536,0.9923,0.92562,0.91388
4256.91162,23491.2089,23484.7998,0.98922,0.91583,0.90111
4256.9209,23491.1577,23484.7486,0.99483,0.90379,0.89384
4256.93066,23491.1038,23484.6947,0.99673,0.88924,0.88025
4256.93994,23491.0526,23484.6435,0.98822,0.86649,0.8492
4256.94922,23491.0014,23484.5923,0.99253,0.83352,0.81835
4256.95898,23490.9475,23484.5385,0.99875,0.78674,0.77399
4256.96826,23490.8963,23484.4873,0.99757,0.69812,0.68176
4256.97803,23490.8424,23484.4334,0.99639,0.62017,0.60156
4256.9873,23490.7912,23484.3823,0.99522,0.64575,0.627
4256.99707,23490.7373,23484.3284,0.99404,0.7263,0.70849
4257.00635,23490.6861,23484.2772,0.99811,0.74961,0.73571
4257.01562,23490.635,23484.226,0.99249,0.75189,0.73416
4257.02539,23490.5811,23484.1721,0.99296,0.7969,0.78187
4257.03467,23490.5299,23484.1209,0.99712,0.85786,0.84951
4257.04443,23490.476,23484.0671,0.99324,0.89288,0.88207
4257.05371,23490.4248,23484.0159,0.99197,0.90976,0.89764
4257.06299,23490.3736,23483.9647,0.99534,0.92564,0.91762
4257.07275,23490.3197,23483.9109,0.99354,0.93873,0.92988
4257.08203,23490.2685,23483.8597,0.99198,0.94708,0.93671
4257.0918,23490.2146,23483.8058,0.99359,0.95543,0.94707
4257.10107,23490.1635,23483.7547,0.99241,0.96214,0.95325
4257.11035,23490.1123,23483.7035,0.99173,0.96479,0.95505
4257.12012,23490.0583,23483.6496,0.99409,0.96774,0.96038
4257.12939,23490.0072,23483.5984,0.99347,0.9723,0.96507
4257.13916,23489.9533,23483.5445,0.99102,0.97508,0.96553
4257.14844,23489.9021,23483.4933,0.99168,0.97625,0.96692
4257.15771,23489.8509,23483.4422,0.99304,0.97718,0.96925
4257.16748,23489.797,23483.3883,0.99331,0.9773,0.97002
4257.17676,23489.7458,23483.3371,0.99373,0.97778,0.97124
4257.18652,23489.692,23483.2833,0.99306,0.97965,0.97269
4257.1958,23489.6408,23483.2321,0.9918,0.98106,0.9727
4257.20557,23489.5869,23483.1782,0.99213,0.98138,0.97312
4257.21484,23489.5357,23483.1271,0.9928,0.98179,0.9744
4257.22412,23489.4845,23483.0759,0.99311,0.98195,0.97493
4257.23389,23489.4306,23483.022,0.99418,0.98148,0.97508
4257.24316,23489.3795,23482.9709,0.99467,0.98109,0.9751
4257.25293,23489.3255,23482.917,0.99384,0.98046,0.97402
4257.26221,23489.2743,23482.8658,0.99318,0.97982,0.97258
4257.27148,23489.2232,23482.8146,0.99295,0.98051,0.97246
4257.28125,23489.1693,23482.7608,0.99319,0.98157,0.97355
4257.29053,23489.1181,23482.7096,0.99396,0.98118,0.97419
4257.30029,23489.0642,23482.6557,0.99354,0.98066,0.97373
4257.30957,23489.013,23482.6045,0.9922,0.98088,0.97309
4257.31885,23488.9618,23482.5534,0.99229,0.97933,0.97176
4257.32861,23488.908,23482.4995,0.99265,0.97644,0.96902
