wavenumber_cm-1,wavelength_vac_A,wavelength_air_A,telluric_ratio
4302.060424,23244.6758,23238.3339,0.96809
4302.069901,23244.6246,23238.2827,0.97246
4302.079378,23244.5734,23238.2315,0.97687
4302.088855,23244.5222,23238.1803,0.977
4302.098333,23244.471,23238.1291,0.97668
4302.10781,23244.4198,23238.0779,0.97373
4302.117287,23244.3686,23238.0267,0.96222
4302.126764,23244.3174,23237.9755,0.94326
4302.136241,23244.2662,23237.9243,0.91776
4302.145718,23244.215,23237.8732,0.88679
4302.155195,23244.1638,23237.822,0.86234
4302.164672,23244.1126,23237.7708,0.85779
4302.174149,23244.0614,23237.7196,0.87314
4302.183626,23244.0102,23237.6684,0.90014
4302.193104,23243.959,23237.6172,0.93023
4302.202581,23243.9078,23237.566,0.95471
4302.212058,23243.8566,23237.5148,0.96908
4302.221535,23243.8054,23237.4636,0.97618
4302.231012,23243.7542,23237.4124,0.98017
4302.240489,23243.703,23237.3613,0.98222
4302.249966,23243.6518,23237.3101,0.98324
4302.259443,23243.6006,23237.2589,0.9844
4302.26892,23243.5494,23237.2077,0.98518
4302.278397,23243.4982,23237.1565,0.98476
4302.287874,23243.447,23237.1053,0.98375
4302.297352,23243.3958,23237.0541,0.98306
4302.306829,23243.3446,23237.0029,0.98283
4302.316306,23243.2934,23236.9518,0.98226
4302.325783,23243.2422,23236.9006,0.98003
4302.33526,23243.191,23236.8494,0.97512
4302.344737,23243.1398,23236.7982,0.96607
4302.354214,23243.0886,23236.747,0.95083
4302.363691,23243.0374,23236.6958,0.93047
4302.373168,23242.9862,23236.6447,0.91018
4302.382645,23242.935,23236.5935,0.89489
4302.392122,23242.8838,23236.5423,0.88901
4302.4016,23242.8326,23236.4911,0.89512
4302.411077,23242.7814,23236.4399,0.90452
4302.420554,23242.7302,23236.3887,0.9039
4302.430031,23242.679,23236.3375,0.8995
4302.439508,23242.6278,23236.2864,0.91071
4302.448985,23242.5766,23236.2352,0.93564
4302.458462,23242.5254,23236.184,0.95399
4302.467939,23242.4742,23236.1328,0.96073
4302.477416,23242.423,23236.0816,0.96537
4302.486893,23242.3718,23236.0305,0.96898
4302.496371,23242.3206,23235.9793,0.96839
4302.505848,23242.2694,23235.9281,0.9676
4302.515325,23242.2182,23235.8769,0.96866
4302.524802,23242.167,23235.8257,0.96789
4302.534279,23242.1158,23235.7745,0.96597
4302.543756,23242.0646,23235.7234,0.96555
4302.553233,23242.0134,23235.6722,0.96223
4302.56271,23241.9622,23235.621,0.95249
4302.572187,23241.911,23235.5698,0.94347
4302.581664,23241.8598,23235.5186,0.94279
4302.591141,23241.8087,23235.4675,0.94778
4302.600619,23241.7575,23235.4163,0.95381
4302.610096,23241.7063,23235.3651,0.96127
4302.619573,23241.6551,23235.3139,0.9687
4302.62905,23241.6039,23235.2627,0.97205
4302.638527,23241.5527,23235.2116,0.97302
4302.648004,23241.5015,23235.1604,0.97533
4302.657481,23241.4503,23235.1092,0.97668
4302.666958,23241.3991,23235.058,0.97494
4302.676435,23241.3479,23235.0069,0.97365
4302.685912,23241.2967,23234.9557,0.97483
4302.695389,23241.2455,23234.9045,0.9762
4302.704867,23241.1943,23234.8533,0.97692
4302.714344,23241.1431,23234.8021,0.97773
4302.723821,23241.092,23234.751,0.97785
4302.733298,23241.0408,23234.6998,0.97678
4302.742775,23240.9896,23234.6486,0.97549
4302.752252,23240.9384,23234.5974,0.97395
4302.761729,23240.8872,23234.5463,0.97057
4302.771206,23240.836,23234.4951,0.96445
4302.780683,23240.7848,23234.4439,0.95498
4302.79016,23240.7336,23234.3927,0.93892
4302.799638,23240.6824,23234.3416,0.91255
4302.809115,23240.6313,23234.2904,0.87878
4302.818592,23240.5801,23234.2392,0.84765
4302.828069,23240.5289,23234.188,0.82959
4302.837546,23240.4777,23234.1369,0.83006
4302.847023,23240.4265,23234.0857,0.84645
4302.8565,23240.3753,23234.0345,0.86945
4302.865977,23240.3241,23233.9833,0.89175
4302.875454,23240.2729,23233.9322,0.91114
4302.884931,23240.2218,23233.881,0.92582
4302.894408,23240.1706,23233.8298,0.93546
4302.903886,23240.1194,23233.7787,0.9424
4302.913363,23240.0682,23233.7275,0.94605
4302.92284,23240.017,23233.6763,0.94553
4302.932317,23239.9658,23233.6251,0.94456
4302.941794,23239.9146,23233.574,0.94415
4302.951271,23239.8635,23233.5228,0.94207
4302.960748,23239.8123,23233.4716,0.94042
4302.970225,23239.7611,23233.4205,0.93936
4302.979702,23239.7099,23233.3693,0.93447
4302.989179,23239.6587,23233.3181,0.92635
4302.998657,23239.6075,23233.2669,0.91503
4303.008134,23239.5563,23233.2158,0.89583
4303.017611,23239.5052,23233.1646,0.87359
4303.027088,23239.454,23233.1134,0.85646
4303.036565,23239.4028,23233.0623,0.84275
4303.046042,23239.3516,23233.0111,0.83685
4303.055519,23239.3004,23232.9599,0.84341
4303.064996,23239.2493,23232.9088,0.84208
4303.074473,23239.1981,23232.8576,0.82029
4303.08395,23239.1469,23232.8064,0.7944
4303.093427,23239.0957,23232.7553,0.74992
4303.102905,23239.0445,23232.7041,0.65318
4303.112382,23238.9933,23232.6529,0.55851
4303.121859,23238.9422,23232.6018,0.56931
4303.131336,23238.891,23232.5506,0.67024
4303.140813,23238.8398,23232.4994,0.74202
4303.15029,23238.7886,23232.4483,0.74323
4303.159767,23238.7374,23232.3971,0.73313
4303.169244,23238.6863,23232.3459,0.72202
4303.178721,23238.6351,23232.2948,0.65277
4303.188198,23238.5839,23232.2436,0.54934
4303.197675,23238.5327,23232.1924,0.52986
4303.207153,23238.4815,23232.1413,0.62578
4303.21663,23238.4304,23232.0901,0.73424
4303.226107,23238.3792,23232.0389,0.78738
4303.235584,23238.328,23231.9878,0.81686
4303.245061,23238.2768,23231.9366,0.84397
4303.254538,23238.2257,23231.8854,0.85688
4303.264015,23238.1745,23231.8343,0.86932
4303.273492,23238.1233,23231.7831,0.891
4303.282969,23238.0721,23231.732,0.90271
4303.292446,23238.0209,23231.6808,0.90478
4303.301924,23237.9698,23231.6296,0.90914
4303.311401,23237.9186,23231.5785,0.90526
4303.320878,23237.8674,23231.5273,0.89265
4303.330355,23237.8162,23231.4761,0.87938
4303.339832,23237.7651,23231.425,0.84757
4303.349309,23237.7139,23231.3738,0.80482
4303.358786,23237.6627,23231.3227,0.80591
4303.368263,23237.6115,23231.2715,0.85497
4303.37774,23237.5604,23231.2203,0.88928
4303.387217,23237.5092,23231.1692,0.88472
4303.396694,23237.458,23231.118,0.869
4303.406172,23237.4068,23231.0668,0.85377
4303.415649,23237.3557,23231.0157,0.83993
4303.425126,23237.3045,23230.9645,0.84219
4303.434603,23237.2533,23230.9134,0.86363
4303.44408,23237.2021,23230.8622,0.89174
4303.453557,23237.151,23230.8111,0.9201
4303.463034,23237.0998,23230.7599,0.94327
4303.472511,23237.0486,23230.7087,0.95399
4303.481988,23236.9975,23230.6576,0.95682
4303.491465,23236.9463,23230.6064,0.96067
4303.500942,23236.8951,23230.5553,0.96416
4303.51042,23236.8439,23230.5041,0.96384
4303.519897,23236.7928,23230.4529,0.96312
4303.529374,23236.7416,23230.4018,0.96442
4303.538851,23236.6904,23230.3506,0.96389
4303.548328,23236.6393,23230.2995,0.95837
4303.557805,23236.5881,23230.2483,0.9488
4303.567282,23236.5369,23230.1972,0.9322
4303.576759,23236.4857,23230.146,0.90199
4303.586236,23236.4346,23230.0948,0.86257
4303.595713,23236.3834,23230.0437,0.8275
4303.605191,23236.3322,23229.9925,0.80237
4303.614668,23236.2811,23229.9414,0.79051
4303.624145,23236.2299,23229.8902,0.80419
4303.633622,23236.1787,23229.8391,0.84413
4303.643099,23236.1276,23229.7879,0.88806
4303.652576,23236.0764,23229.7368,0.91923
4303.662053,23236.0252,23229.6856,0.9404
4303.67153,23235.9741,23229.6345,0.9542
4303.681007,23235.9229,23229.5833,0.95905
4303.690484,23235.8717,23229.5321,0.96059
4303.699961,23235.8206,23229.481,0.96407
4303.709439,23235.7694,23229.4298,0.96605
4303.718916,23235.7182,23229.3787,0.96497
4303.728393,23235.667,23229.3275,0.96423
4303.73787,23235.6159,23229.2764,0.96258
4303.747347,23235.5647,23229.2252,0.95691
4303.756824,23235.5136,23229.1741,0.95154
4303.766301,23235.4624,23229.1229,0.9526
4303.775778,23235.4112,23229.0718,0.95799
4303.785255,23235.3601,23229.0206,0.96165
4303.794732,23235.3089,23228.9695,0.96264
4303.804209,23235.2577,23228.9183,0.96335
4303.813687,23235.2066,23228.8672,0.96336
4303.823164,23235.1554,23228.816,0.96125
4303.832641,23235.1042,23228.7649,0.95933
4303.842118,23235.0531,23228.7137,0.96093
4303.851595,23235.0019,23228.6626,0.96532
4303.861072,23234.9507,23228.6114,0.96906
4303.870549,23234.8996,23228.5603,0.97008
4303.880026,23234.8484,23228.5091,0.96776
4303.889503,23234.7973,23228.458,0.96051
4303.89898,23234.7461,23228.4068,0.94539
4303.908458,23234.6949,23228.3557,0.92103
4303.917935,23234.6438,23228.3045,0.89211
