element,ion,wave_air_A,wave_vac_A,band,band_methods,ep_eV,log_gf_linelist_sum,log_gf_strongest_component,hfs_n_components,hfs_carried,central_depth,blend_flag,vald_proximity_min,instruments_coverage_module,instruments_on_sirius,instruments_coverage_blind_spot,best_gf_source,best_log_gf,best_sigma_dex,delta_best_minus_linelist,scale_mismatch,tier,telluric_required_band,canonical_log_gf,canonical_reference,canonical_gf_tier,canonical_hfs_n,canonical_lam_A,burheim_lam_vac_A,burheim_lam_air_A,burheim_gap_A,burheim_log_gf,burheim_unc_pct,burheim_sigma_dex,burheim_transition,papoulia19_log_gf,kurucz95_log_gf,topbase_m00_log_gf,nist_lam_A,nist_gap_A,nist_log_gf,nist_grade,nist_grade_worst,nist_sigma_dex,nist_n_components,nist_ref_line
Al,II,1763.869,1763.869,FUV/<3000A (NO DECLARED POLICY),,4.6437,-0.34,-0.34,1,False,0.947,False,1.0,,,,UNGRADED,-0.34,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1763.952,1763.952,FUV/<3000A (NO DECLARED POLICY),,4.6591,0.36,0.36,1,False,0.976,False,1.0,,,,UNGRADED,0.36000000000000004,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1765.816,1765.816,FUV/<3000A (NO DECLARED POLICY),,4.6437,-0.2098,-0.562,3,True,0.954,False,1.0,,,,UNGRADED,-0.20983123586341257,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,1766.381,1766.381,FUV/<3000A (NO DECLARED POLICY),,0.0139,0.46,0.46,1,False,0.999,False,1.0,,,,UNGRADED,0.45999999999999996,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1767.732,1767.732,FUV/<3000A (NO DECLARED POLICY),,4.6591,-0.12,-0.12,1,False,0.957,False,1.0,,,,UNGRADED,-0.12000000000000001,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,1769.133,1769.133,FUV/<3000A (NO DECLARED POLICY),,0.0139,-0.21,-0.21,1,False,0.999,False,1.0,,,,UNGRADED,-0.20999999999999996,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1772.803,1772.803,FUV/<3000A (NO DECLARED POLICY),,11.665,0.08,0.08,1,False,0.004,False,1.0,,,,UNGRADED,0.08000000000000002,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1774.002,1774.002,FUV/<3000A (NO DECLARED POLICY),,11.6728,0.43,0.43,1,False,0.009,False,1.0,,,,UNGRADED,0.43,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1774.77,1774.77,FUV/<3000A (NO DECLARED POLICY),,11.6728,-0.05,-0.05,1,False,0.003,False,1.0,,,,UNGRADED,-0.04999999999999998,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1776.973,1776.973,FUV/<3000A (NO DECLARED POLICY),,11.6878,0.7,0.7,1,False,0.017,False,1.0,,,,UNGRADED,0.7,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1777.826,1777.826,FUV/<3000A (NO DECLARED POLICY),,11.6878,-0.05,-0.05,1,False,0.003,False,1.0,,,,UNGRADED,-0.04999999999999998,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1818.355,1818.355,FUV/<3000A (NO DECLARED POLICY),,11.8466,0.19,0.19,1,False,0.004,False,1.0,,,,UNGRADED,0.19000000000000003,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,III,1854.716,1854.716,FUV/<3000A (NO DECLARED POLICY),,0.0,0.06,0.06,1,False,0.177,False,1.0,,,,UNGRADED,0.060000000000000026,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1855.9182,1855.9182,FUV/<3000A (NO DECLARED POLICY),,4.6361,-1.382,-1.382,1,False,0.852,False,1.0,,,,UNGRADED,-1.382,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1855.9323,1855.9323,FUV/<3000A (NO DECLARED POLICY),,4.6361,-1.2851,-1.507,2,True,0.852,False,1.0,,,,UNGRADED,-1.2851147444601678,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1858.025,1858.025,FUV/<3000A (NO DECLARED POLICY),,4.6437,-0.5498,-1.094,7,True,0.903,False,1.0,,,,UNGRADED,-0.5498276998447427,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1862.311,1862.311,FUV/<3000A (NO DECLARED POLICY),,4.659,-0.3199,-0.797,9,True,0.92,False,1.0,,,,UNGRADED,-0.31994927832677333,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,III,1862.79,1862.79,FUV/<3000A (NO DECLARED POLICY),,0.0,-0.24,-0.24,1,False,0.114,False,1.0,,,,UNGRADED,-0.24000000000000002,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1931.05,1931.05,FUV/<3000A (NO DECLARED POLICY),,7.4207,-0.218,-0.218,1,False,0.428,False,1.0,,,,UNGRADED,-0.21800000000000003,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,1932.266,1932.266,FUV/<3000A (NO DECLARED POLICY),,0.0,0.301,0.301,1,False,0.998,False,1.0,,,,UNGRADED,0.301,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,1936.459,1936.459,FUV/<3000A (NO DECLARED POLICY),,0.0139,0.602,0.602,1,False,0.998,False,1.0,,,,UNGRADED,0.602,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1960.847,1960.847,FUV/<3000A (NO DECLARED POLICY),,11.6728,-0.35,-0.35,1,False,0.002,False,1.0,,,,UNGRADED,-0.35,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1964.991,1964.991,FUV/<3000A (NO DECLARED POLICY),,11.6878,0.22,0.22,1,False,0.003,False,1.0,,,,UNGRADED,0.22,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,II,1990.533,1990.533,FUV/<3000A (NO DECLARED POLICY),,7.4207,0.29,0.29,1,False,0.661,False,1.0,,,,UNGRADED,0.2899999999999999,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2071.414,2072.0752,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.144,-4.144,1,False,0.553,False,1.0,,,,UNGRADED,-4.144,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2071.4338,2072.095,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.1134,-4.128,2,True,0.565,False,1.0,,,,UNGRADED,-4.113429360173188,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2071.4538,2072.115,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.0965,-4.111,2,True,0.577,False,1.0,,,,UNGRADED,-4.096462317041332,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2071.4748,2072.136,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.0795,-4.094,2,True,0.59,False,1.0,,,,UNGRADED,-4.079462317041332,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2071.4968,2072.1581,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.0625,-4.077,2,True,0.602,False,1.0,,,,UNGRADED,-4.062462317041332,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2071.5198,2072.181,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.0455,-4.06,2,True,0.614,False,1.0,,,,UNGRADED,-4.0454623170413315,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2071.5428,2072.2041,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.0285,-4.043,2,True,0.625,False,1.0,,,,UNGRADED,-4.028462317041332,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2071.5678,2072.229,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.0105,-4.025,2,True,0.636,False,1.0,,,,UNGRADED,-4.010495200603315,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2071.5938,2072.255,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.9925,-4.007,2,True,0.648,False,1.0,,,,UNGRADED,-3.9924952006033143,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2071.6208,2072.282,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.9745,-3.989,2,True,0.659,False,1.0,,,,UNGRADED,-3.9744952006033145,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2071.6488,2072.31,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.9555,-3.97,2,True,0.671,False,1.0,,,,UNGRADED,-3.9555280110166597,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2071.6778,2072.339,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.9365,-3.951,2,True,0.682,False,1.0,,,,UNGRADED,-3.936528011016659,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2071.7088,2072.37,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.9175,-3.932,2,True,0.692,False,1.0,,,,UNGRADED,-3.917528011016659,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2071.7407,2072.402,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.8985,-3.913,2,True,0.702,False,1.0,,,,UNGRADED,-3.898528011016659,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2071.7737,2072.435,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.8795,-3.894,2,True,0.712,False,1.0,,,,UNGRADED,-3.8795280110166592,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2071.8087,2072.47,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.8596,-3.874,2,True,0.721,False,1.0,,,,UNGRADED,-3.8595607484385748,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2071.8457,2072.507,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.8386,-3.853,2,True,0.731,False,1.0,,,,UNGRADED,-3.8385934130259574,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2071.8847,2072.546,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.8186,-3.833,2,True,0.74,False,1.0,,,,UNGRADED,-3.818560748438575,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2071.9247,2072.586,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.7976,-3.812,2,True,0.748,False,1.0,,,,UNGRADED,-3.797593413025957,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2071.9677,2072.629,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.7766,-3.791,2,True,0.757,False,1.0,,,,UNGRADED,-3.776593413025957,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.0126,2072.674,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.7546,-3.769,2,True,0.765,False,1.0,,,,UNGRADED,-3.7546260049353894,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.0596,2072.721,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.7326,-3.747,2,True,0.772,False,1.0,,,,UNGRADED,-3.732626004935389,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.1086,2072.77,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.7106,-3.725,2,True,0.779,False,1.0,,,,UNGRADED,-3.7106260049353894,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.1606,2072.822,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.6886,-3.703,2,True,0.787,False,1.0,,,,UNGRADED,-3.688626004935389,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.204,2072.8654,FUV/<3000A (NO DECLARED POLICY),,0.0,-5.154,-5.154,1,False,0.079,False,1.0,,,,UNGRADED,-5.154,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.217,2072.8784,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.679,-3.679,1,False,0.794,False,1.0,,,,UNGRADED,-3.679,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.261,2072.9224,FUV/<3000A (NO DECLARED POLICY),,0.0,-5.13,-5.13,1,False,0.083,False,1.0,,,,UNGRADED,-5.13,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.275,2072.9364,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.656,-3.656,1,False,0.8,False,1.0,,,,UNGRADED,-3.656,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.322,2072.9834,FUV/<3000A (NO DECLARED POLICY),,0.0,-5.107,-5.107,1,False,0.089,False,1.0,,,,UNGRADED,-5.107,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.336,2072.9974,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.632,-3.632,1,False,0.807,False,1.0,,,,UNGRADED,-3.632,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.386,2073.0474,FUV/<3000A (NO DECLARED POLICY),,0.0,-5.083,-5.083,1,False,0.096,False,1.0,,,,UNGRADED,-5.083,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.401,2073.0624,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.608,-3.608,1,False,0.813,False,1.0,,,,UNGRADED,-3.608,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.454,2073.1154,FUV/<3000A (NO DECLARED POLICY),,0.0,-5.059,-5.059,1,False,0.101,False,1.0,,,,UNGRADED,-5.059,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.47,2073.1314,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.583,-3.583,1,False,0.82,False,1.0,,,,UNGRADED,-3.583,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.526,2073.1874,FUV/<3000A (NO DECLARED POLICY),,0.0,-5.034,-5.034,1,False,0.107,False,1.0,,,,UNGRADED,-5.034,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.544,2073.2054,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.558,-3.558,1,False,0.825,False,1.0,,,,UNGRADED,-3.558,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.603,2073.2644,FUV/<3000A (NO DECLARED POLICY),,0.0,-5.009,-5.009,1,False,0.113,False,1.0,,,,UNGRADED,-5.009,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.621,2073.2824,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.532,-3.532,1,False,0.831,False,1.0,,,,UNGRADED,-3.532,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.685,2073.3464,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.983,-4.983,1,False,0.12,False,1.0,,,,UNGRADED,-4.983,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.704,2073.3654,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.506,-3.506,1,False,0.837,False,1.0,,,,UNGRADED,-3.506,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.771,2073.4325,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.956,-4.956,1,False,0.127,False,1.0,,,,UNGRADED,-4.956,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.792,2073.4535,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.479,-3.479,1,False,0.842,False,1.0,,,,UNGRADED,-3.479,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.864,2073.5255,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.93,-4.93,1,False,0.136,False,1.0,,,,UNGRADED,-4.93,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.886,2073.5475,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.451,-3.451,1,False,0.847,False,1.0,,,,UNGRADED,-3.451,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.962,2073.6235,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.902,-4.902,1,False,0.145,False,1.0,,,,UNGRADED,-4.902,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2072.986,2073.6475,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.423,-3.423,1,False,0.852,False,1.0,,,,UNGRADED,-3.423,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2073.068,2073.7295,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.874,-4.874,1,False,0.153,False,1.0,,,,UNGRADED,-4.874,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2073.093,2073.7545,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.395,-3.395,1,False,0.857,False,1.0,,,,UNGRADED,-3.395,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2073.18,2073.8415,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.846,-4.846,1,False,0.163,False,1.0,,,,UNGRADED,-4.846,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2073.207,2073.8685,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.365,-3.365,1,False,0.861,False,1.0,,,,UNGRADED,-3.365,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2073.301,2073.9626,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.816,-4.816,1,False,0.174,False,1.0,,,,UNGRADED,-4.816,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2073.33,2073.9916,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.335,-3.335,1,False,0.866,False,1.0,,,,UNGRADED,-3.335,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2073.431,2074.0926,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.786,-4.786,1,False,0.185,False,1.0,,,,UNGRADED,-4.786,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2073.462,2074.1236,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.305,-3.305,1,False,0.87,False,1.0,,,,UNGRADED,-3.305,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2073.571,2074.2326,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.756,-4.756,1,False,0.196,False,1.0,,,,UNGRADED,-4.756,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2073.604,2074.2656,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.273,-3.273,1,False,0.875,False,1.0,,,,UNGRADED,-3.273,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2073.721,2074.3826,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.724,-4.724,1,False,0.209,False,1.0,,,,UNGRADED,-4.724,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2073.757,2074.4186,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.241,-3.241,1,False,0.879,False,1.0,,,,UNGRADED,-3.241,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2073.884,2074.5457,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.692,-4.692,1,False,0.224,False,1.0,,,,UNGRADED,-4.692,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2073.922,2074.5837,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.208,-3.208,1,False,0.883,False,1.0,,,,UNGRADED,-3.208,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2074.059,2074.7207,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.659,-4.659,1,False,0.236,False,1.0,,,,UNGRADED,-4.659,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2074.101,2074.7627,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.174,-3.174,1,False,0.888,False,1.0,,,,UNGRADED,-3.174,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2074.25,2074.9117,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.625,-4.625,1,False,0.253,False,1.0,,,,UNGRADED,-4.625,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2074.295,2074.9567,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.14,-3.14,1,False,0.892,False,1.0,,,,UNGRADED,-3.14,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2074.457,2075.1188,FUV/<3000A (NO DECLARED POLICY),,0.0,-4.591,-4.591,1,False,0.27,False,1.0,,,,UNGRADED,-4.591,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
Al,I,2074.506,2075.1678,FUV/<3000A (NO DECLARED POLICY),,0.0,-3.104,-3.104,1,False,0.896,False,1.0,,,,UNGRADED,-3.104,0.2,0.0,False,EXCLUDED-NO-HOME,,,,,,,,,,,,,,,,,,,,,,,,
