FeII  572.60nm    572.595    572.754     3.4244934     -4.760      8.465     180   0.241
FeII  573.27nm    573.271    573.431     3.3866181     -4.600      8.467     179   0.247
FeII  581.37nm    581.367    581.528     5.5705518     -2.510      8.468     174   0.239
FeII  599.14nm    599.137    599.303     3.1527679     -3.540      8.545     172   0.221
FeII  608.41nm    608.410    608.579     3.1994526     -3.790      8.541     173   0.223
FeII  611.33nm    611.332    611.501     3.2213133     -4.140      8.539     173   0.228
FeII  611.60nm    611.604    611.774     3.2304592     -4.670      8.538     173   0.229
FeII  612.97nm    612.969    613.139     3.1994526     -4.640      8.545     172   0.220
FeII  614.77nm    614.773    614.944     3.8886966     -2.690      8.502     186   0.269
FeII  614.92nm    614.924    615.095     3.8891923     -2.690      8.502     186   0.269
FeII  615.01nm    615.009    615.180     3.2213133     -4.730      8.541     173   0.223
FeII  617.94nm    617.939    618.110     5.5687571     -2.620      8.470     173   0.236
FeII  618.49nm    618.492    618.664     5.5705518     -3.720      8.470     173   0.236
FeII  623.35nm    623.354    623.526     5.4841358     -2.510      8.457     227   0.192
FeII  623.84nm    623.838    624.011     3.8886966     -2.600      8.502     186   0.271
FeII  623.99nm    623.994    624.167     3.8891923     -3.410      8.502     186   0.271
FeII  624.74nm    624.735    624.908     6.2086227     -1.980      8.563     181   0.212
FeII  624.76nm    624.755    624.929     3.8916132     -2.300      8.502     186   0.272
FeII  624.89nm    624.890    625.064     5.5107136     -2.670      8.562     229   0.200
FeII  631.80nm    631.799    631.974     5.5107136     -1.960      8.562     229   0.199
FeII  633.20nm    633.195    633.371     6.2169160     -1.880      8.587     181   0.209
FeII  636.95nm    636.946    637.122     2.8910182     -4.110      8.471     169   0.204
FeII  637.11nm    637.113    637.289     5.5487660     -3.130      8.466     226   0.186
FeII  638.37nm    638.373    638.550     5.5526055     -2.240      8.559     229   0.197
FeII  638.55nm    638.545    638.722     5.5526055     -2.590      8.559     229   0.196
FeII  641.69nm    641.692    641.869     3.8916132     -2.640      8.501     185   0.276
FeII  643.27nm    643.267    643.445     2.8910182     -3.570      8.472     169   0.204
FeII  643.38nm    643.381    643.560     6.2187341     -2.370      8.635     181   0.214
FeII  644.30nm    644.295    644.474     5.5487660     -2.440      8.466     227   0.188
FeII  644.64nm    644.640    644.819     6.2224966     -1.970      8.635     181   0.214
FeII  645.58nm    645.584    645.763     5.5526055     -2.920      8.559     229   0.194
FeII  645.64nm    645.638    645.816     3.9034189     -2.050      8.501     185   0.276
FeII  648.22nm    648.220    648.400     6.2187341     -1.780      8.522     181   0.212
FeII  649.13nm    649.125    649.305     5.5847678     -2.760      8.560     230   0.193
FeII  649.30nm    649.304    649.483     5.5847678     -2.550      8.560     230   0.193
FeII  650.63nm    650.634    650.814     5.5891953     -2.680      8.464     229   0.192
FeII  650.81nm    650.813    650.993     5.5891953     -3.450      8.464     229   0.191
FeII  651.61nm    651.607    651.788     2.8910182     -3.310      8.473     169   0.203
FeII  651.70nm    651.703    651.883     5.5847678     -2.730      8.560     229   0.193
FeII  656.22nm    656.220    656.402     5.6048877     -2.830      8.562     230   0.192
FeII  658.67nm    658.671    658.853     5.6048877     -2.740      8.562     230   0.192
FeII  659.83nm    659.830    660.013     5.6152224     -3.050      8.460     228   0.190
FeII  722.24nm    722.239    722.438     3.8886966     -3.260      8.563     187   0.301
FeII  722.45nm    722.447    722.647     3.8891923     -3.200      8.563     187   0.301
