# Heiter et al. 2021, A&A 645 A106 (2021A&A...645A.106H) — VizieR J/A+A/645/A106, geslines.dat.
# SUBSET: Element == 'Fe', 4700 <= lambda <= 6900 A; 10 of 24 columns. Rows and values are AS PUBLISHED (RYA-161).
# Source: J_A+A_645_A106_geslines.dat.gz.fits.gz  md5 7dd3239948c2a71716d3158ae847bec3
Element	Ion	Isotope	lambda	loggf	e_loggf	r_loggf	gfflag	synflag	Elow
Fe	1	0	4769.0557	-2.899	0.000	K07	-	-	4.387
Fe	1	0	4769.1039	-3.285	0.000	K07	-	-	3.301
Fe	2	0	4769.3749	-3.802	0.000	RU	-	-	7.946
Fe	2	0	4769.4347	-5.767	0.000	RU	-	-	9.849
Fe	3	0	4769.4561	-11.975	0.000	K10	-	-	0.092
Fe	3	0	4769.4561	-8.667	0.000	K10	-	-	0.092
Fe	1	0	4769.5010	-5.271	0.000	K07	-	-	4.652
Fe	1	0	4769.5235	-4.760	0.000	K07	-	-	2.759
Fe	2	0	4769.6803	-7.107	0.000	K13	-	-	11.000
Fe	2	0	4769.7244	-4.847	0.000	RU	-	-	10.398
Fe	3	0	4769.7588	-5.097	0.000	K10	-	-	23.099
Fe	1	0	4769.8120	-2.518	0.000	K07	-	-	4.435
Fe	2	0	4769.8207	-4.439	0.000	RU	-	-	7.869
Fe	1	0	4769.8530	-6.017	0.000	K07	-	-	4.652
Fe	1	0	4769.9056	-7.758	0.000	K07	-	-	2.469
Fe	2	0	4769.9065	-2.233	0.000	K13	-	-	12.855
Fe	2	0	4770.0216	-3.351	0.000	K13	-	-	11.017
Fe	1	0	4770.0551	-2.404	0.000	K07	-	-	4.733
Fe	2	0	4770.2001	-3.482	0.000	K13	-	-	10.459
Fe	2	0	4770.2349	-7.726	0.000	K13	-	-	11.580
Fe	2	0	4770.2577	-6.960	0.000	K13	-	-	11.664
Fe	2	0	4770.2891	-5.169	0.000	K13	-	-	12.650
Fe	2	0	4770.4648	-5.090	0.000	K13	-	-	11.421
Fe	2	0	4770.5172	-3.514	0.000	K13	-	-	11.441
Fe	1	0	4770.5402	-7.169	0.000	K07	-	-	4.608
Fe	2	0	4770.5702	-1.558	0.000	K13	-	-	13.257
Fe	2	0	4770.6649	-1.218	0.000	K13	-	-	13.254
Fe	2	0	4770.6797	-6.586	0.000	K13	-	-	11.418
Fe	2	0	4770.7250	-2.769	0.000	K13	-	-	10.714
Fe	1	0	4771.0545	-3.277	0.000	K07	-	-	4.638
Fe	1	0	4771.6964	-3.234	0.097	BK	Y	-	2.198
Fe	1	0	4771.8807	-4.589	0.000	K07	-	-	4.473
Fe	1	0	4771.8839	-3.105	0.000	K07	-	-	4.371
Fe	2	0	4772.0645	-9.456	0.000	K13	-	-	0.107
Fe	2	0	4772.7674	-7.350	0.000	K13	-	-	2.692
Fe	1	0	4772.8030	-2.897	0.131	BWL	Y	N	1.557
Fe	1	0	4772.8303	-2.192	0.051	BWL	Y	-	3.017
Fe	1	0	4773.5156	-3.674	0.000	K07	-	-	3.018
Fe	1	0	4773.5869	-4.929	0.000	K07	-	-	4.260
Fe	1	0	4773.8349	-3.291	0.000	K07	-	-	4.584
Fe	1	0	4773.9683	-4.352	0.000	K07	-	-	4.186
Fe	1	0	4774.4870	-5.401	0.000	K07	-	-	2.424
Fe	2	0	4774.7282	-8.346	0.000	K13	-	-	0.232
Fe	1	0	4775.8683	-3.895	0.000	K07	-	-	4.209
Fe	1	0	4776.0673	-2.600	0.060	MRW	-	-	3.301
Fe	1	0	4776.3755	-1.301	0.000	K07	-	-	4.559
Fe	1	0	4776.4817	-2.650	0.000	K07	-	-	4.143
Fe	1	0	4779.2593	-4.932	0.000	K07	-	-	4.209
Fe	2	0	4779.4055	-7.657	0.000	K13	-	-	13.216
Fe	1	0	4779.4391	-2.020	0.086	BWL	Y	U	3.415
Fe	2	0	4779.5218	-4.616	0.000	K13	-	-	11.463
Fe	2	0	4779.6265	-2.294	0.000	K13	-	-	12.996
Fe	2	0	4779.6594	-5.728	0.000	K13	-	-	10.845
Fe	2	0	4779.7869	-2.678	0.000	K13	-	-	11.446
Fe	2	0	4779.8084	-4.402	0.000	K13	-	-	12.650
Fe	2	0	4779.8678	-6.824	0.000	K13	-	-	8.341
Fe	2	0	4780.0173	-2.573	0.000	RU	-	-	7.929
Fe	3	0	4780.0879	-6.371	0.000	K10	-	-	14.175
Fe	2	0	4780.0989	-7.702	0.000	K13	-	-	12.221
Fe	2	0	4780.1434	-1.681	0.000	K13	-	-	10.678
Fe	2	0	4780.1587	-5.719	0.000	K13	-	-	11.571
Fe	2	0	4780.1651	-13.397	0.000	K13	-	-	0.083
Fe	2	0	4780.3350	-4.042	0.000	RU	-	-	7.695
Fe	1	0	4780.4207	-2.620	0.000	K07	-	-	4.796
Fe	1	0	4780.4273	-5.482	0.000	K07	-	-	2.728
Fe	2	0	4780.4836	-4.808	0.000	K13	-	-	10.623
Fe	2	0	4780.5883	-7.878	0.000	K13	-	-	12.858
Fe	2	0	4780.5924	-7.578	0.000	K13	-	-	3.230
Fe	2	0	4780.6454	-8.425	0.000	K13	-	-	3.892
Fe	2	0	4780.6772	-3.883	0.000	K13	-	-	11.580
Fe	1	0	4780.8089	-2.641	0.000	K07	-	-	4.076
Fe	1	0	4780.8093	-3.502	0.000	K07	N	N	3.252
Fe	1	0	4781.7421	-2.180	0.000	K07	-	-	3.573
Fe	1	0	4782.0751	-1.949	0.000	K07	-	-	4.435
Fe	1	0	4782.3011	-2.948	0.000	K07	-	-	4.415
Fe	1	0	4782.7882	-3.680	0.000	FMW	-	-	3.237
Fe	1	0	4783.3608	-5.205	0.000	K07	-	-	4.076
Fe	1	0	4785.7226	-4.308	0.000	K07	-	-	4.076
Fe	1	0	4785.9566	-1.830	0.060	MRW	-	-	4.143
Fe	1	0	4786.0869	-5.806	0.000	K07	-	-	2.759
Fe	1	0	4786.8069	-1.606	0.027	BWL	Y	-	3.017
Fe	1	0	4787.4948	-4.162	0.000	K07	-	-	3.018
Fe	1	0	4787.5863	-5.809	0.000	K07	-	-	3.252
Fe	1	0	4787.8266	-2.604	0.052	BKK+BWL+GESHRL14	Y	U	2.998
Fe	1	0	4788.2192	-2.733	0.000	K07	-	-	4.446
Fe	1	0	4788.7566	-1.763	0.076	BWL	Y	U	3.237
Fe	1	0	4788.7786	-2.629	0.000	K07	-	-	4.143
Fe	1	0	4789.1994	-11.324	0.000	K07	-	-	0.000
Fe	1	0	4789.1994	-9.035	0.000	K07	-	-	0.000
Fe	2	0	4789.2476	-4.204	0.000	K13	-	-	11.427
Fe	3	0	4789.2593	-5.095	0.000	K10	-	-	22.272
Fe	2	0	4789.2705	-3.639	0.000	K13	-	-	11.427
Fe	1	0	4789.3905	-2.215	0.000	K07	-	-	4.638
Fe	2	0	4789.5018	-5.125	0.000	K13	-	-	11.433
Fe	2	0	4789.5105	-7.609	0.000	K13	-	-	12.887
Fe	2	0	4789.5353	-5.329	0.000	K13	-	-	11.433
Fe	2	0	4789.5697	-4.913	0.000	K13	-	-	11.428
Fe	1	0	4789.5761	-3.134	0.000	K07	-	-	4.473
Fe	2	0	4789.5881	-5.395	0.000	K13	-	-	11.428
Fe	1	0	4789.6500	-0.910	0.000	FMW	-	-	3.547
Fe	1	0	4789.6508	-0.957	0.041	BWL	Y	U	3.547
Fe	2	0	4789.7072	-1.065	0.000	K13	-	-	12.885
Fe	1	0	4789.7092	-3.895	0.000	K07	-	-	4.154
Fe	2	0	4789.7622	-4.915	0.000	K13	-	-	10.987
Fe	2	0	4789.8315	-4.830	0.000	K13	-	-	11.451
Fe	2	0	4789.8540	-5.392	0.000	RU	-	-	10.987
Fe	2	0	4789.8953	-3.894	0.000	K13	-	-	12.864
Fe	1	0	4789.9252	-3.045	0.000	K07	-	-	4.593
Fe	2	0	4790.0792	-2.183	0.000	K13	-	-	12.866
Fe	2	0	4790.0884	-7.459	0.000	K13	-	-	10.398
Fe	2	0	4790.1102	-7.962	0.000	K13	-	-	10.459
Fe	1	0	4790.1157	-3.067	0.000	K07	-	-	4.446
Fe	2	0	4790.4577	-4.482	0.000	K13	-	-	11.428
Fe	1	0	4790.5600	-2.540	0.090	MRW	-	-	4.154
Fe	1	0	4790.7244	-2.504	0.000	K07	-	-	4.415
Fe	1	0	4790.7431	-3.140	0.080	MRW	-	-	3.252
Fe	1	0	4790.8833	-5.976	0.000	K07	-	-	2.404
Fe	1	0	4790.9607	-3.836	0.000	K07	-	-	3.635
Fe	1	0	4791.2462	-2.435	0.046	BK	Y	-	3.274
Fe	1	0	4791.6041	-3.203	0.000	K07	-	-	4.446
Fe	1	0	4791.9319	-4.022	0.000	K07	-	-	4.218
Fe	1	0	4792.3968	-2.522	0.000	K07	-	-	4.796
Fe	1	0	4792.4308	-2.975	0.000	K07	-	-	4.733
Fe	1	0	4792.5197	-4.277	0.000	K07	-	-	4.178
Fe	1	0	4792.6422	-4.667	0.000	K07	-	-	2.759
Fe	1	0	4793.3143	-3.125	0.000	K07	-	-	4.371
Fe	1	0	4793.9614	-3.430	0.080	MRW	U	U	3.047
Fe	1	0	4794.3541	-3.950	0.090	MRW	U	U	2.424
Fe	1	0	4794.7332	-4.577	0.000	K07	-	-	4.415
Fe	1	0	4795.3225	-3.125	0.000	K07	-	-	4.835
Fe	1	0	4795.9820	-3.729	0.000	K07	-	-	4.143
Fe	1	0	4796.0478	-1.431	0.000	K07	-	-	4.796
Fe	1	0	4796.6024	-2.093	0.000	K07	-	-	4.796
Fe	1	0	4797.6226	-3.340	0.000	K07	-	-	4.186
Fe	1	0	4798.0228	-4.843	0.000	K07	-	-	4.796
Fe	1	0	4798.2649	-1.174	0.066	BWL	Y	-	4.186
Fe	2	0	4798.2759	-8.999	0.000	K13	-	-	0.121
Fe	2	0	4798.6649	-1.818	0.000	RU	-	-	10.308
Fe	1	0	4798.7313	-4.150	0.070	MRW	-	-	1.608
Fe	1	0	4799.0584	-2.770	0.000	FMW	-	-	4.283
Fe	2	0	4799.2477	-8.293	0.000	K13	-	-	13.224
Fe	2	0	4799.2901	-5.701	0.000	K13	-	-	12.823
Fe	2	0	4799.2991	-11.749	0.000	K13	-	-	0.000
Fe	2	0	4799.4056	-3.659	0.000	K13	-	-	12.891
Fe	1	0	4799.4060	-2.130	0.060	MRW	U	U	3.640
Fe	2	0	4799.4219	-3.211	0.000	RU	-	-	7.940
Fe	3	0	4799.4818	-12.646	0.000	K10	-	-	0.127
Fe	2	0	4799.4839	-4.575	0.000	K13	-	-	12.719
Fe	1	0	4799.5567	-6.943	0.000	K07	-	-	3.695
Fe	2	0	4799.6000	-3.374	0.000	K13	-	-	12.874
Fe	1	0	4799.6853	-3.288	0.000	K07	-	-	4.283
Fe	2	0	4799.7097	-6.875	0.000	K13	-	-	11.441
Fe	1	0	4799.7682	-3.747	0.000	K07	-	-	3.547
Fe	1	0	4799.8086	-2.322	0.000	K07	-	-	4.387
Fe	3	0	4799.8643	-3.685	0.000	K10	-	-	22.277
Fe	2	0	4799.9570	-5.577	0.000	RU	-	-	10.853
Fe	2	0	4800.0171	-1.231	0.000	K13	-	-	12.871
Fe	2	0	4800.1213	-2.713	0.000	RU	-	-	10.273
Fe	2	0	4800.1255	-8.990	0.000	K13	-	-	12.221
Fe	1	0	4800.1278	-2.640	0.080	MRW	-	-	3.039
Fe	2	0	4800.1978	-7.056	0.000	K13	-	-	11.547
Fe	2	0	4800.2951	-1.109	0.000	K13	-	-	12.892
Fe	2	0	4800.3089	-3.515	0.000	RU	-	-	9.639
Fe	1	0	4800.5067	-2.257	0.000	K07	-	-	4.220
Fe	1	0	4800.5542	-3.861	0.000	K07	-	-	3.301
Fe	1	0	4800.6489	-1.028	0.046	BWL	Y	-	4.143
Fe	1	0	4800.6969	-2.010	0.000	K07	-	-	4.549
Fe	2	0	4800.6992	-4.401	0.000	K13	-	-	12.874
Fe	1	0	4801.6185	-2.650	0.000	FMW	-	-	4.284
Fe	1	0	4801.7730	-1.236	0.000	K07	-	-	4.835
Fe	1	0	4802.5232	-1.925	0.000	K07	N	N	4.607
Fe	1	0	4802.8746	-2.027	0.000	K07	N	Y	3.695
Fe	1	0	4802.8797	-1.514	0.051	BWL	Y	Y	3.642
Fe	1	0	4803.0294	-2.947	0.000	K07	-	-	5.064
Fe	1	0	4803.7186	-4.689	0.000	K07	-	-	4.608
Fe	1	0	4804.0078	-4.117	0.000	K07	-	-	4.191
Fe	1	0	4804.5174	-2.590	0.000	FMW	-	-	3.573
Fe	1	0	4804.5929	-4.195	0.000	K07	-	-	3.415
Fe	2	0	4804.7104	-2.458	0.000	RU	-	-	7.708
Fe	1	0	4804.9215	-6.553	0.000	K07	-	-	2.453
Fe	1	0	4805.0981	-2.568	0.000	K07	-	-	4.256
Fe	1	0	4805.3169	-1.182	0.000	K07	-	-	4.733
Fe	1	0	4805.5245	-2.717	0.000	K07	-	-	4.638
Fe	1	0	4807.2308	-2.331	0.000	K07	-	-	4.256
Fe	2	0	4807.2420	-2.531	0.000	RU	-	-	9.100
Fe	1	0	4807.2847	-3.997	0.000	K07	-	-	3.301
Fe	2	0	4807.3277	-2.930	0.000	K13	-	-	9.100
Fe	1	0	4807.7082	-2.150	0.050	2014MNRAS.441.3127R	Y	-	3.368
Fe	1	0	4808.1478	-2.690	0.040	MRW	Y	Y	3.252
Fe	1	0	4808.5349	-4.652	0.000	K07	-	-	3.274
Fe	1	0	4808.6795	-1.296	0.000	K07	-	-	4.733
Fe	2	0	4809.0281	-0.904	0.000	K13	-	-	12.845
Fe	1	0	4809.1371	-2.228	0.000	K07	-	-	3.695
Fe	2	0	4809.2157	-1.253	0.000	K13	-	-	12.845
Fe	2	0	4809.2162	-1.919	0.000	K13	-	-	10.751
Fe	2	0	4809.2351	-4.888	0.000	K13	-	-	12.823
Fe	1	0	4809.2518	-3.378	0.000	K07	-	-	4.076
Fe	2	0	4809.2837	-2.759	0.000	K13	-	-	10.711
Fe	2	0	4809.3379	-4.467	0.000	K13	-	-	11.418
Fe	2	0	4809.6079	-3.680	0.000	K13	-	-	11.493
Fe	3	0	4809.6116	-1.387	0.000	K10	-	-	22.931
Fe	2	0	4809.7532	-2.527	0.000	K13	-	-	12.845
Fe	2	0	4809.8222	-6.238	0.000	K13	-	-	12.847
Fe	2	0	4809.8529	-5.899	0.000	K13	-	-	12.756
Fe	1	0	4809.8761	-3.303	0.000	K07	-	-	4.835
Fe	1	0	4809.9326	-1.891	0.000	K07	-	-	4.178
Fe	1	0	4809.9384	-2.620	0.080	MRW	U	N	3.573
Fe	2	0	4810.0575	-5.634	0.000	K13	-	-	10.600
Fe	2	0	4810.1640	-3.556	0.000	RU	-	-	7.946
Fe	1	0	4810.2647	-3.611	0.000	K07	-	-	4.435
Fe	2	0	4810.2948	-5.757	0.000	K13	-	-	12.895
Fe	2	0	4810.2957	-4.752	0.000	K13	-	-	12.879
Fe	2	0	4810.3443	-6.499	0.000	K13	-	-	11.441
Fe	2	0	4810.3809	-1.996	0.000	K13	-	-	12.847
Fe	2	0	4810.4485	-1.181	0.000	K13	-	-	12.879
Fe	2	0	4810.4954	-5.841	0.000	K13	-	-	11.050
Fe	2	0	4810.6207	-5.572	0.000	RU	-	-	10.419
Fe	2	0	4810.6575	-5.221	0.000	RU	-	-	7.804
Fe	2	0	4810.7443	-3.287	0.000	RU	-	-	5.569
Fe	1	0	4811.0332	-3.533	0.000	K07	N	N	3.071
Fe	1	0	4811.3653	-5.239	0.000	K07	-	-	4.103
Fe	1	0	4812.4677	-6.627	0.000	K07	-	-	2.759
Fe	1	0	4813.1128	-2.790	0.060	MRW	-	-	3.274
Fe	1	0	4813.7202	-2.430	0.000	FMW	-	-	4.580
Fe	1	0	4814.3702	-2.602	0.000	K07	-	-	4.186
Fe	2	0	4814.5441	-7.735	0.000	K13	-	-	0.232
Fe	2	0	4814.7953	0.069	0.000	K13	-	-	13.232
Fe	1	0	4815.2296	-2.760	0.000	K07	-	-	3.415
Fe	1	0	4815.2517	-3.189	0.000	K07	-	-	4.559
Fe	1	0	4815.9777	-2.818	0.000	K07	-	-	4.283
Fe	1	0	4816.6671	-3.311	0.000	K07	-	-	3.267
Fe	1	0	4817.4456	-3.581	0.000	K07	-	-	4.549
Fe	1	0	4817.7781	-3.430	0.050	MRW	-	-	2.223
Fe	1	0	4817.8431	-2.636	0.000	K07	-	-	4.154
Fe	2	0	4818.2380	-6.031	0.000	K13	-	-	2.276
Fe	1	0	4818.2436	-3.777	0.000	K07	-	-	4.435
Fe	2	0	4818.5109	-2.056	0.000	K13	-	-	10.714
Fe	1	0	4818.6582	-3.760	0.000	FMW	-	-	3.415
Fe	1	0	4818.7186	-3.426	0.000	K07	-	-	4.733
Fe	2	0	4818.8057	-2.696	0.000	RU	-	-	10.308
Fe	2	0	4819.0247	-3.466	0.000	RU	-	-	7.562
Fe	3	0	4819.1197	-3.862	0.000	K10	-	-	14.178
Fe	1	0	4819.1255	-4.338	0.000	K07	-	-	3.884
Fe	2	0	4819.2349	-5.914	0.000	K13	-	-	11.451
Fe	2	0	4819.2573	-3.918	0.000	K13	-	-	11.444
Fe	3	0	4819.2614	-3.134	0.000	K10	-	-	22.288
Fe	2	0	4819.2617	-4.849	0.000	K13	-	-	11.451
Fe	2	0	4819.2758	-3.360	0.000	K13	-	-	11.444
Fe	2	0	4819.3232	-4.354	0.000	K13	-	-	11.635
Fe	1	0	4819.3943	-2.978	0.000	K07	-	-	4.559
Fe	2	0	4819.3969	-0.217	0.000	K13	-	-	13.238
Fe	2	0	4819.4076	-3.105	0.000	K13	-	-	10.751
Fe	2	0	4819.4938	-4.331	0.000	K13	-	-	11.448
Fe	2	0	4819.5374	-4.631	0.000	K13	-	-	11.448
Fe	2	0	4819.7905	-11.281	0.000	K13	-	-	3.339
Fe	2	0	4819.7905	-9.256	0.000	K13	-	-	3.339
Fe	2	0	4820.0082	-2.268	0.000	K13	-	-	12.900
Fe	3	0	4820.1003	-5.610	0.000	K10	-	-	23.108
Fe	2	0	4820.1563	-3.793	0.000	K13	-	-	11.444
Fe	2	0	4820.1904	-5.968	0.000	K13	-	-	11.000
Fe	3	0	4820.2165	-6.138	0.000	K10	-	-	23.108
Fe	2	0	4820.2957	-7.119	0.000	K13	-	-	12.879
Fe	2	0	4820.2960	-3.560	0.000	RU	-	-	11.000
Fe	3	0	4820.3327	-7.330	0.000	K10	-	-	23.108
Fe	2	0	4820.4229	-2.040	0.000	K13	-	-	10.678
Fe	2	0	4820.4375	-4.610	0.000	K13	-	-	12.903
Fe	1	0	4820.4431	-6.594	0.000	K07	-	-	3.634
Fe	1	0	4820.5374	-7.483	0.000	K07	-	-	3.573
Fe	3	0	4820.6372	-4.681	0.000	K10	-	-	20.600
Fe	2	0	4820.6771	-4.243	0.000	RU	-	-	10.329
Fe	2	0	4820.8273	-0.723	0.000	RU	-	-	10.308
Fe	1	0	4821.0026	-2.367	0.000	K07	-	-	4.076
Fe	2	0	4821.0807	-2.936	0.000	RU	-	-	7.929
Fe	1	0	4821.4086	-4.161	0.000	K07	-	-	4.103
Fe	1	0	4821.4911	-2.482	0.000	K07	-	-	4.387
Fe	1	0	4821.7795	-3.709	0.000	K07	-	-	4.835
Fe	1	0	4821.8460	-3.711	0.000	K07	-	-	4.584
Fe	1	0	4822.3277	-1.569	0.000	K07	-	-	4.733
Fe	1	0	4822.4642	-5.197	0.000	K07	-	-	4.218
Fe	2	0	4822.4954	-5.606	0.000	RU	-	-	6.803
Fe	1	0	4822.5585	-2.478	0.000	K07	-	-	4.154
Fe	1	0	4822.6678	-3.621	0.000	K07	-	-	3.274
Fe	1	0	4823.2283	-2.491	0.000	K07	-	-	3.884
Fe	1	0	4823.6263	-3.191	0.000	K07	-	-	4.415
Fe	2	0	4823.9307	-8.883	0.000	K13	-	-	3.387
Fe	1	0	4824.1647	-2.238	0.000	K07	-	-	3.635
Fe	2	0	4824.1938	-1.422	0.000	RU	-	-	10.288
Fe	1	0	4824.4557	-2.766	0.000	K07	-	-	4.143
Fe	2	0	4824.8327	-2.172	0.000	RU	-	-	8.145
Fe	1	0	4824.8622	-5.174	0.000	K07	-	-	3.047
Fe	2	0	4825.7247	-5.052	0.000	RU	-	-	2.635
Fe	2	0	4826.1363	-1.131	0.000	RU	-	-	10.329
Fe	1	0	4826.5660	-2.945	0.000	K07	-	-	4.076
Fe	1	0	4826.6200	-1.887	0.000	K07	-	-	4.796
Fe	2	0	4826.6823	-0.500	0.000	RU	-	-	10.288
Fe	2	0	4828.1359	-0.431	0.000	K13	-	-	13.238
Fe	2	0	4828.2243	-0.745	0.000	K13	-	-	12.855
Fe	2	0	4828.9552	-2.026	0.000	K13	-	-	12.855
Fe	2	0	4829.0476	-4.094	0.000	K13	-	-	11.435
Fe	2	0	4829.0679	-6.404	0.000	K13	-	-	10.906
Fe	2	0	4829.1082	-1.198	0.000	RU	-	-	10.288
Fe	2	0	4829.1176	-2.971	0.000	K13	-	-	12.855
Fe	1	0	4829.1504	-5.826	0.000	K07	-	-	4.580
Fe	2	0	4829.1511	-2.854	0.000	K13	-	-	12.908
Fe	2	0	4829.2020	-5.358	0.000	RU	-	-	10.455
Fe	1	0	4829.2092	-8.239	0.000	K07	-	-	5.064
Fe	2	0	4829.2223	-0.869	0.000	K13	-	-	12.885
Fe	2	0	4829.3532	-3.585	0.000	K13	-	-	11.125
Fe	2	0	4829.3872	-2.953	0.000	RU	-	-	10.398
Fe	1	0	4829.4449	-8.430	0.000	K07	-	-	5.064
Fe	1	0	4829.4729	-3.745	0.000	K07	-	-	4.580
Fe	2	0	4829.6294	-9.637	0.000	K13	-	-	7.269
Fe	2	0	4829.6817	-6.223	0.000	K13	-	-	12.887
Fe	1	0	4829.6824	-3.558	0.000	K07	-	-	4.143
Fe	2	0	4829.6940	-4.573	0.000	K13	-	-	11.580
Fe	2	0	4829.7370	-1.382	0.000	K13	-	-	12.885
Fe	1	0	4829.8025	-7.291	0.000	K07	-	-	4.593
Fe	2	0	4829.8396	-7.065	0.000	K13	-	-	11.580
