element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Fe 1	9401.113	940.1113	-0.415	5.0331	40594.689	4.0	6.3515	51228.302	5.0	11.0	1.330	1.380	GA	7.59E+08	8.880	-5.090	-7.520	-7.520	-7.520	1.000	0.313	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9404.333	940.4333	-1.629	4.9880	40230.933	2.0	6.3061	50862.127	2.0	5.0	1.500	1.800	GA	6.17E+08	8.790	-5.380	-7.540	-7.540	-7.540	1.000	0.076	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
C 1	9405.730	940.5730	0.286	7.6848	61982.092	1.0	9.0026	72610.866	2.0	5.0	99.000	99.000	GA	0.00E+00	0.000	0.000	-7.319	-7.319	-7.319	1.000	0.295	0.000	X	X	F	0	1	6.0	6.000000	6.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9409.552	940.9552	-1.642	5.0331	40594.689	4.0	6.3503	51218.624	3.0	7.0	1.330	1.290	GA	7.24E+08	8.860	-4.950	-7.540	-7.540	-7.540	1.000	0.068	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9410.159	941.0159	-1.018	5.0995	41130.241	1.0	6.4167	51754.176	1.0	3.0	-0.010	0.020	GA	6.76E+08	8.830	-4.430	-7.490	-7.490	-7.490	1.000	0.171	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
S 1	9413.274	941.3274	0.520	8.4114	67842.516	3.0	9.7282	78463.225	4.0	9.0	99.000	99.000	GA	0.00E+00	0.000	0.000	0.000	0.000	0.000	1.000	0.090	0.000	X	X	F	0	1	16.0	16.000000	16.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
S 1	9413.460	941.3460	0.380	8.4114	67842.516	3.0	9.7282	78463.225	4.0	9.0	1.370	1.250	GA	2.45E+08	8.390	-5.420	-7.610	-7.610	-7.610	1.000	0.074	0.000	X	X	F	0	1	16.0	16.000000	16.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Si 1	9413.500	941.3500	-0.433	5.0823	40991.514	1.0	6.3991	51612.222	0.0	1.0	1.000	0.000	GA	4.27E+08	8.630	-4.850	-7.177	-7.177	-7.177	1.000	0.439	0.000	X	X	F	0	1	14.0	14.000000	14.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9414.042	941.4042	-0.323	5.0638	40842.301	3.0	6.3804	51461.397	4.0	9.0	1.250	1.360	GA	7.08E+08	8.850	-5.520	-7.510	-7.510	-7.510	1.000	0.324	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mg 1	9414.943	941.4943	-1.474	5.9459	47956.918	2.0	7.2624	58575.206	2.0	5.0	99.000	99.000	GA	0.00E+00	0.000	0.000	0.000	0.000	0.000	1.000	0.130	0.000	X	X	F	0	1	12.0	12.000000	12.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mg 1	9414.959	941.4959	-1.474	5.9459	47956.918	3.0	7.2624	58575.206	3.0	7.0	99.000	99.000	GA	0.00E+00	0.000	0.000	0.000	0.000	0.000	1.000	0.130	0.000	X	X	F	0	1	12.0	12.000000	12.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mg 1	9414.964	941.4964	-0.743	5.9459	47956.918	1.0	7.2624	58575.206	2.0	5.0	99.000	99.000	GA	0.00E+00	0.000	0.000	0.000	0.000	0.000	1.000	0.276	0.000	X	X	F	0	1	12.0	12.000000	12.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mg 1	9414.964	941.4964	-0.572	5.9459	47956.918	2.0	7.2624	58575.206	3.0	7.0	99.000	99.000	GA	1.86E+08	8.270	0.000	0.000	0.000	0.000	1.000	0.306	0.000	X	X	F	0	1	12.0	12.000000	12.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mg 1	9414.964	941.4964	-0.411	5.9459	47956.918	3.0	7.2624	58575.206	4.0	9.0	99.000	99.000	GA	0.00E+00	0.000	0.000	0.000	0.000	0.000	1.000	0.331	0.000	X	X	F	0	1	12.0	12.000000	12.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9415.063	941.5063	-1.595	5.0638	40842.301	3.0	6.3803	51460.590	3.0	7.0	1.250	1.240	GA	8.13E+08	8.910	-5.210	-7.530	-7.530	-7.530	1.000	0.070	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Ca 1	9416.971	941.6971	-0.891	4.1308	33317.149	0.0	5.4471	43933.824	1.0	3.0	0.000	1.000	GA	1.05E+08	8.020	-4.110	-7.180	-7.180	-7.180	1.000	0.078	0.000	X	X	F	0	1	20.0	20.000000	20.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
S 1	9421.765	942.1765	0.240	8.4093	67825.579	2.0	9.7248	78435.802	3.0	7.0	99.000	99.000	GA	0.00E+00	0.000	0.000	0.000	0.000	0.000	1.000	0.061	0.000	X	X	F	0	1	16.0	16.000000	16.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Si 1	9421.786	942.1786	-1.133	6.1248	49399.844	1.0	7.4403	60010.067	1.0	3.0	1.970	1.490	GA	1.00E+08	8.000	-4.330	-7.190	-7.190	-7.190	1.000	0.134	0.000	X	X	F	0	1	14.0	14.000000	14.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
S 1	9421.933	942.1933	0.399	8.4093	67825.579	2.0	9.7248	78435.802	3.0	7.0	1.200	1.090	GA	2.82E+08	8.450	-5.430	-7.610	-7.610	-7.610	1.000	0.076	0.000	X	X	F	0	1	16.0	16.000000	16.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mg 1	9429.814	942.9814	-1.271	5.9315	47840.774	0.0	7.2460	58442.931	1.0	3.0	99.000	99.000	GA	0.00E+00	0.000	0.000	0.000	0.000	0.000	1.000	0.174	0.000	X	X	F	0	1	12.0	12.000000	12.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Ti 2	9432.151	943.2151	-2.050	2.5903	20892.178	3.5	3.9044	31491.110	3.5	8.0	1.140	1.150	GA	1.45E+08	8.160	-6.590	-7.850	-7.850	-7.850	1.000	0.105	0.000	X	X	F	0	2	22.1	22.000000	22.01	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mg 1	9432.742	943.2742	-1.396	5.9320	47844.807	1.0	7.2460	58442.931	1.0	3.0	99.000	99.000	GA	0.00E+00	0.000	0.000	0.000	0.000	0.000	1.000	0.148	0.000	X	X	F	0	1	12.0	12.000000	12.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mg 1	9432.764	943.2764	-0.919	5.9320	47844.807	1.0	7.2460	58442.931	2.0	5.0	99.000	99.000	GA	0.00E+00	0.000	0.000	0.000	0.000	0.000	1.000	0.246	0.000	X	X	F	0	1	12.0	12.000000	12.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
S 1	9436.967	943.6967	0.190	8.4082	67816.707	1.0	9.7216	78409.992	2.0	5.0	99.000	99.000	GA	0.00E+00	0.000	0.000	0.000	0.000	0.000	1.000	0.056	0.000	X	X	F	0	1	16.0	16.000000	16.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
S 1	9437.130	943.7130	0.190	8.4082	67816.707	1.0	9.7216	78409.992	2.0	5.0	0.530	0.670	GA	2.95E+08	8.470	-5.430	-7.610	-7.610	-7.610	1.000	0.056	0.000	X	X	F	0	1	16.0	16.000000	16.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9437.793	943.7793	-1.405	4.6076	37162.800	3.0	5.9209	47755.279	3.0	7.0	1.090	1.240	GA	1.82E+08	8.260	-5.370	-7.550	-7.550	-7.550	1.000	0.200	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mg 1	9438.781	943.8781	-1.396	5.9328	47851.259	2.0	7.2460	58442.931	2.0	5.0	99.000	99.000	GA	0.00E+00	0.000	0.000	0.000	0.000	0.000	1.000	0.147	0.000	X	X	F	0	1	12.0	12.000000	12.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mg 1	9438.783	943.8783	-0.648	5.9328	47851.259	2.0	7.2460	58442.931	3.0	7.0	99.000	99.000	GA	0.00E+00	0.000	0.000	0.000	0.000	0.000	1.000	0.295	0.000	X	X	F	0	1	12.0	12.000000	12.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9443.801	944.3801	-0.223	5.0856	41018.130	2.0	6.3981	51604.157	3.0	7.0	1.000	1.280	GA	6.92E+08	8.840	-4.300	-7.500	-7.500	-7.500	1.000	0.337	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Cr 1	9447.045	944.7045	-1.460	2.5446	20523.583	5.0	3.8567	31106.383	4.0	9.0	1.250	1.350	GA	1.23E+07	7.090	-5.960	-7.800	-7.800	-7.800	1.000	0.171	0.000	X	X	F	0	1	24.0	24.000000	24.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9452.336	945.2336	-1.515	5.0095	40404.342	1.0	6.3208	50980.690	0.0	1.0	1.500	0.000	GA	5.75E+08	8.760	-5.450	-7.560	-7.560	-7.560	1.000	0.091	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9454.194	945.4194	-0.815	5.0995	41130.241	1.0	6.4106	51704.976	2.0	5.0	-0.010	0.970	GA	6.76E+08	8.830	-4.990	-7.500	-7.500	-7.500	1.000	0.217	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9463.028	946.3028	-1.250	4.9556	39969.610	3.0	6.2655	50534.666	3.0	7.0	1.500	1.620	GA	6.31E+08	8.800	-5.780	-7.540	-7.540	-7.540	1.000	0.152	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9485.954	948.5954	-2.956	3.3009	26623.554	2.0	4.6076	37162.800	3.0	7.0	1.180	1.090	GA	1.20E+08	8.080	-6.280	-7.750	-7.750	-7.750	1.000	0.149	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9495.883	949.5883	-1.702	5.0638	40842.301	3.0	6.3691	51370.256	2.0	5.0	1.250	0.950	GA	7.24E+08	8.860	-5.000	-7.550	-7.550	-7.550	1.000	0.057	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Si 1	9505.205	950.5205	-1.122	6.1248	49399.844	1.0	7.4288	59917.313	2.0	5.0	1.970	1.450	GA	9.55E+07	7.980	-4.290	-7.180	-7.180	-7.180	1.000	0.136	0.000	X	X	F	0	1	14.0	14.000000	14.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	9507.152	950.7152	-1.918	4.6520	37520.910	2.0	5.9558	48036.767	2.0	5.0	0.690	0.990	GA	1.82E+08	8.260	-5.310	-7.550	-7.550	-7.550	1.000	0.085	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
