wavelength_air_A,flux
8.673687488995106833e+03,9.657999999999999918e-01
8.673697486290635425e+03,9.660999999999999588e-01
8.673707483586167655e+03,9.663000000000000478e-01
8.673717480881696247e+03,9.665000000000000258e-01
8.673727478177228477e+03,9.666000000000000147e-01
8.673737475472755250e+03,9.666000000000000147e-01
8.673747472768289299e+03,9.666000000000000147e-01
8.673757470063817891e+03,9.667000000000000037e-01
8.673767467359346483e+03,9.669999999999999707e-01
8.673777464654876894e+03,9.676000000000000156e-01
8.673787461950407305e+03,9.683000000000000496e-01
8.673797459245937716e+03,9.691999999999999504e-01
8.673807456541466308e+03,9.698999999999999844e-01
8.673817453836996719e+03,9.705000000000000293e-01
8.673827451132525312e+03,9.710999999999999632e-01
8.673837448428053904e+03,9.715000000000000302e-01
8.673847445723584315e+03,9.716000000000000192e-01
8.673857443019114726e+03,9.717999999999999972e-01
8.673867440314645137e+03,9.717999999999999972e-01
8.673877437610173729e+03,9.717999999999999972e-01
8.673887434905704140e+03,9.717000000000000082e-01
8.673897432201234551e+03,9.716000000000000192e-01
8.673907429496761324e+03,9.715000000000000302e-01
8.673917426792288097e+03,9.715000000000000302e-01
8.673927424087818508e+03,9.715000000000000302e-01
8.673937421383347100e+03,9.715000000000000302e-01
8.673947418678877511e+03,9.715000000000000302e-01
8.673957415974406103e+03,9.715000000000000302e-01
8.673967413269936515e+03,9.713000000000000522e-01
8.673977410565465107e+03,9.711999999999999522e-01
8.673987407860991880e+03,9.710999999999999632e-01
8.673997405156522291e+03,9.710999999999999632e-01
8.674007402452049064e+03,9.707999999999999963e-01
8.674017399747577656e+03,9.705000000000000293e-01
8.674027397043108067e+03,9.700999999999999623e-01
8.674037394338636659e+03,9.697999999999999954e-01
8.674047391634165251e+03,9.696000000000000174e-01
8.674057388929692024e+03,9.695000000000000284e-01
8.674067386225222435e+03,9.694000000000000394e-01
8.674077383520747389e+03,9.695000000000000284e-01
8.674087380816279619e+03,9.697000000000000064e-01
8.674097378111806393e+03,9.698999999999999844e-01
8.674107375407334985e+03,9.698999999999999844e-01
8.674117372702863577e+03,9.699999999999999734e-01
8.674127369998390350e+03,9.699999999999999734e-01
8.674137367293918942e+03,9.700999999999999623e-01
8.674147364589447534e+03,9.700999999999999623e-01
8.674157361884974307e+03,9.704000000000000403e-01
8.674167359180501080e+03,9.707999999999999963e-01
8.674177356476031491e+03,9.713000000000000522e-01
8.674187353771560083e+03,9.718999999999999861e-01
8.674197351067085037e+03,9.724000000000000421e-01
8.674207348362613629e+03,9.727999999999999980e-01
8.674217345658142222e+03,9.731999999999999540e-01
8.674227342953668995e+03,9.735000000000000320e-01
8.674237340249197587e+03,9.737999999999999989e-01
8.674247337544726179e+03,9.740999999999999659e-01
8.674257334840251133e+03,9.743000000000000549e-01
8.674267332135779725e+03,9.745000000000000329e-01
8.674277329431306498e+03,9.747999999999999998e-01
8.674287326726833271e+03,9.748999999999999888e-01
8.674297324022363682e+03,9.749999999999999778e-01
