element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Al 1	19482.286	1948.2286	-2.538	5.2363	42233.608	1.5	5.8725	47364.907	2.5	6.0	99.000	99.000	GA	0.00E+00	0.000	0.000	0.000	0.000	0.000	1.000	0.002	0.000	X	X	F	0	1	13.0	13.000000	13.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19484.347	1948.4347	0.340	6.3327	51076.670	4.0	6.9688	56207.163	4.0	9.0	1.490	1.430	GA	6.46E+07	7.810	-4.350	-7.340	-7.340	-7.340	1.000	0.340	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mn 1	19488.464	1948.8464	-0.496	6.2188	50158.005	3.5	6.8548	55287.691	3.5	8.0	2.000	1.940	GA	3.24E+07	7.510	-3.820	-7.120	-7.120	-7.120	1.000	0.006	0.000	X	X	F	0	1	25.0	25.000000	25.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19490.843	1949.0843	-0.683	6.0172	48531.991	3.0	6.6531	53660.870	3.0	7.0	1.110	1.210	GA	1.55E+08	8.190	-4.640	-7.510	-7.510	-7.510	1.000	0.191	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19491.417	1949.1417	-2.082	6.3597	51294.440	3.0	6.9956	56423.319	4.0	9.0	1.350	0.860	GA	3.24E+08	8.510	-5.290	-7.570	-7.570	-7.570	1.000	0.007	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Si 1	19493.366	1949.3366	-0.395	6.1248	49399.844	1.0	6.7606	54527.916	2.0	5.0	1.970	1.500	GA	1.07E+08	8.030	-4.870	-7.390	-7.390	-7.390	1.000	0.387	0.000	X	X	F	0	1	14.0	14.000000	14.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19494.503	1949.4503	-2.643	5.5392	44676.661	4.0	6.1751	49805.540	3.0	7.0	1.500	1.750	GA	1.10E+08	8.040	-4.860	-7.490	-7.490	-7.490	1.000	0.011	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Si 1	19496.491	1949.6491	-2.737	7.1660	57797.688	2.0	7.8018	62925.761	1.0	3.0	1.010	0.680	GA	1.35E+08	8.130	-3.170	-6.930	-6.930	-6.930	1.000	0.003	0.000	X	X	F	0	1	14.0	14.000000	14.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19497.126	1949.7126	-2.185	6.1189	49352.257	5.0	6.7546	54479.523	4.0	9.0	1.590	1.510	GA	3.98E+07	7.600	-4.870	-7.310	-7.310	-7.310	1.000	0.009	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19497.647	1949.7647	-2.557	6.6750	53837.506	3.0	7.3108	58965.579	4.0	9.0	1.280	1.250	GA	1.15E+08	8.060	-4.170	-7.270	-7.270	-7.270	1.000	0.001	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Al 1	19497.708	1949.7708	-2.384	5.2368	42237.640	2.5	5.8725	47364.907	3.5	8.0	99.000	99.000	GA	0.00E+00	0.000	0.000	0.000	0.000	0.000	1.000	0.003	0.000	X	X	F	0	1	13.0	13.000000	13.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Ni 1	19499.400	1949.9400	-1.175	6.2927	50754.048	2.0	6.9284	55881.315	1.0	3.0	1.190	1.300	GA	1.38E+08	8.140	-4.090	-7.260	-7.260	-7.260	1.000	0.008	0.000	X	X	F	0	1	28.0	28.000000	28.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19500.192	1950.0192	-0.705	6.7640	54555.339	4.0	7.3996	59681.799	5.0	11.0	0.870	0.930	GA	1.15E+08	8.060	-3.790	-7.330	-7.330	-7.330	1.000	0.057	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Ni 1	19500.749	1950.0749	-2.682	5.4809	44206.440	3.0	6.1165	49332.899	4.0	9.0	1.410	1.220	GA	1.74E+08	8.240	-3.600	-7.510	-7.510	-7.510	1.000	0.001	0.000	X	X	F	0	1	28.0	28.000000	28.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Ni 1	19501.019	1950.1019	-1.824	5.4809	44206.440	3.0	6.1165	49332.899	4.0	9.0	1.410	1.220	GA	1.74E+08	8.240	-3.600	-7.510	-7.510	-7.510	1.000	0.009	0.000	X	X	F	0	1	28.0	28.000000	28.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Ni 1	19501.291	1950.1291	-1.410	5.4809	44206.440	3.0	6.1165	49332.899	4.0	9.0	1.410	1.220	GA	1.74E+08	8.240	-3.600	-7.510	-7.510	-7.510	1.000	0.022	0.000	X	X	F	0	1	28.0	28.000000	28.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mn 1	19502.189	1950.2189	-0.621	6.2188	50158.005	3.5	6.8543	55283.658	2.5	6.0	2.000	2.290	GA	3.24E+07	7.510	-3.760	-7.120	-7.120	-7.120	1.000	0.005	0.000	X	X	F	0	1	25.0	25.000000	25.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19502.950	1950.2950	-1.958	6.7699	54602.926	1.0	7.4055	59729.386	1.0	3.0	1.330	2.240	GA	1.48E+08	8.170	-4.400	-7.120	-7.120	-7.120	1.000	0.004	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19504.635	1950.4635	-0.639	6.4403	51944.523	2.0	7.0758	57070.176	3.0	7.0	1.810	1.580	GA	1.45E+08	8.160	-4.270	-7.300	-7.300	-7.300	1.000	0.112	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19504.947	1950.4947	-2.453	5.5869	45061.387	3.0	6.2224	50187.041	2.0	5.0	1.510	1.470	GA	1.91E+08	8.280	-5.380	-7.540	-7.540	-7.540	1.000	0.014	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Ca 1	19505.739	1950.5739	-1.129	1.8858	15210.003	1.0	2.5213	20335.656	1.0	3.0	1.500	0.500	GA	1.07E+06	6.030	-5.860	-7.770	-7.770	-7.770	1.000	0.489	0.000	X	X	F	0	1	20.0	20.000000	20.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Si 1	19506.104	1950.6104	-0.428	6.0986	49188.526	2.0	6.7341	54314.179	1.0	3.0	1.500	1.470	GA	1.17E+08	8.070	-4.860	-7.390	-7.390	-7.390	1.000	0.386	0.000	X	X	F	0	1	14.0	14.000000	14.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19507.056	1950.7056	-2.412	6.7417	54375.478	2.0	7.3771	59500.324	1.0	3.0	1.240	1.740	GA	5.01E+08	8.700	-4.810	-7.490	-7.490	-7.490	1.000	0.001	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19507.630	1950.7631	-0.236	6.4258	51827.572	2.0	7.0612	56952.419	2.0	5.0	1.040	1.230	GA	7.24E+07	7.860	-4.350	-7.340	-7.340	-7.340	1.000	0.206	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Si 1	19508.152	1950.8152	-0.281	6.0827	49060.284	1.0	6.7181	54185.131	1.0	3.0	1.530	0.510	GA	3.80E+08	8.580	-5.160	-7.440	-7.440	-7.440	1.000	0.400	0.000	X	X	F	0	1	14.0	14.000000	14.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19509.100	1950.9100	-2.892	5.5869	45061.387	3.0	6.2222	50185.427	4.0	9.0	1.510	1.680	GA	1.15E+08	8.060	-4.700	-7.480	-7.480	-7.480	1.000	0.006	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19509.309	1950.9309	-0.101	6.4258	51827.572	1.0	7.0612	56952.419	2.0	5.0	1.460	1.230	GA	7.24E+07	7.860	-4.350	-7.340	-7.340	-7.340	1.000	0.238	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Si 1	19509.412	1950.9412	-2.398	7.1343	57542.010	1.0	7.7696	62666.050	1.0	3.0	1.840	0.920	GA	8.71E+07	7.940	-2.550	-6.940	-6.940	-6.940	1.000	0.007	0.000	X	X	F	0	1	14.0	14.000000	14.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19511.251	1951.1251	-1.477	5.9464	47960.950	4.0	6.5817	53084.991	5.0	11.0	1.290	1.390	GA	1.20E+08	8.080	-4.300	-7.450	-7.450	-7.450	1.000	0.055	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19511.373	1951.1373	-1.816	6.7640	54555.339	4.0	7.3993	59679.379	3.0	7.0	0.870	1.140	GA	1.23E+08	8.090	-4.300	-7.290	-7.290	-7.290	1.000	0.005	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19513.563	1951.3563	-2.619	6.4609	52110.673	1.0	7.0961	57233.906	2.0	5.0	2.630	0.450	GA	1.15E+08	8.060	-4.250	-7.330	-7.330	-7.330	1.000	0.002	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19514.614	1951.4614	-2.093	6.6910	53966.554	3.0	7.3262	59089.788	3.0	7.0	1.110	1.160	GA	1.91E+08	8.280	-4.770	-7.260	-7.260	-7.260	1.000	0.003	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19519.404	1951.9404	-2.933	5.9799	48231.146	5.0	6.6149	53352.767	6.0	13.0	1.270	1.190	GA	1.10E+08	8.040	-5.010	-7.510	-7.510	-7.510	1.000	0.002	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19519.491	1951.9491	-2.606	6.6685	53785.080	3.0	7.3035	58906.700	4.0	9.0	1.090	1.150	GA	2.88E+08	8.460	-4.760	-7.430	-7.430	-7.430	1.000	0.001	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Cr 1	19521.069	1952.1069	-0.459	6.0333	48661.846	3.0	6.6682	53782.660	4.0	9.0	1.460	1.500	GA	1.10E+08	8.040	-4.710	-7.340	-7.340	-7.340	1.000	0.005	0.000	X	X	F	0	1	24.0	24.000000	24.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19521.275	1952.1275	-2.472	6.7799	54683.581	4.0	7.4148	59804.395	4.0	9.0	1.140	1.390	GA	5.75E+07	7.760	-4.560	-7.070	-7.070	-7.070	1.000	0.001	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Cr 1	19522.018	1952.2018	-3.403	3.0128	24299.871	2.0	3.6477	29420.685	1.0	3.0	1.510	2.510	GA	1.62E+07	7.210	-6.110	-7.780	-7.780	-7.780	1.000	0.004	0.000	X	X	F	0	1	24.0	24.000000	24.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19530.847	1953.0847	-1.491	6.4534	52050.181	2.0	7.0880	57168.575	3.0	7.0	1.570	1.430	GA	1.10E+08	8.040	-4.270	-7.280	-7.280	-7.280	1.000	0.019	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19531.599	1953.1599	-1.420	6.6531	53660.870	3.0	7.2877	58779.265	2.0	5.0	1.210	1.460	GA	2.40E+08	8.380	-4.560	-7.430	-7.430	-7.430	1.000	0.015	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19532.691	1953.2691	-1.073	6.7395	54357.733	3.0	7.3740	59475.321	4.0	9.0	1.180	1.390	GA	1.23E+08	8.090	-3.800	-7.140	-7.140	-7.140	1.000	0.027	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19533.274	1953.3274	-0.103	6.3680	51361.384	3.0	7.0026	56479.778	2.0	5.0	1.410	1.520	GA	7.41E+07	7.870	-4.180	-7.330	-7.330	-7.330	1.000	0.250	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19534.061	1953.4061	-0.643	6.4187	51770.307	3.0	7.0533	56888.701	3.0	7.0	1.490	1.630	GA	1.05E+08	8.020	-4.400	-7.260	-7.260	-7.260	1.000	0.115	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19534.171	1953.4171	-2.961	5.8151	46901.945	1.0	6.4496	52019.532	1.0	3.0	1.600	2.430	GA	1.91E+08	8.280	-4.660	-7.500	-7.500	-7.500	1.000	0.003	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	19534.713	1953.4713	-1.051	6.7640	54555.339	4.0	7.3985	59672.927	4.0	9.0	0.870	1.150	GA	1.10E+08	8.040	-4.350	-7.230	-7.230	-7.230	1.000	0.027	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
V 1	19535.077	1953.5077	-2.229	4.0901	32988.881	3.5	4.7246	38106.469	2.5	6.0	1.180	1.370	GA	3.72E+08	8.570	-5.060	-7.520	-7.520	-7.520	1.000	0.001	0.000	X	X	F	0	1	23.0	23.000000	23.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
V 1	19535.091	1953.5091	-1.944	4.0901	32988.881	3.5	4.7246	38106.469	2.5	6.0	1.180	1.370	GA	3.72E+08	8.570	-5.060	-7.520	-7.520	-7.520	1.000	0.001	0.000	X	X	F	0	1	23.0	23.000000	23.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
V 1	19535.093	1953.5093	-2.199	4.0901	32988.881	3.5	4.7246	38106.469	2.5	6.0	1.180	1.370	GA	3.72E+08	8.570	-5.060	-7.520	-7.520	-7.520	1.000	0.001	0.000	X	X	F	0	1	23.0	23.000000	23.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
V 1	19535.118	1953.5118	-2.199	4.0901	32988.881	3.5	4.7246	38106.469	2.5	6.0	1.180	1.370	GA	3.72E+08	8.570	-5.060	-7.520	-7.520	-7.520	1.000	0.001	0.000	X	X	F	0	1	23.0	23.000000	23.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
V 1	19535.121	1953.5121	-1.756	4.0901	32988.881	3.5	4.7246	38106.469	2.5	6.0	1.180	1.370	GA	3.72E+08	8.570	-5.060	-7.520	-7.520	-7.520	1.000	0.001	0.000	X	X	F	0	1	23.0	23.000000	23.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
V 1	19535.125	1953.5125	-2.250	4.0901	32988.881	3.5	4.7246	38106.469	2.5	6.0	1.180	1.370	GA	3.72E+08	8.570	-5.060	-7.520	-7.520	-7.520	1.000	0.001	0.000	X	X	F	0	1	23.0	23.000000	23.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
V 1	19535.161	1953.5161	-1.811	4.0901	32988.881	3.5	4.7246	38106.469	2.5	6.0	1.180	1.370	GA	3.72E+08	8.570	-5.060	-7.520	-7.520	-7.520	1.000	0.001	0.000	X	X	F	0	1	23.0	23.000000	23.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
V 1	19535.165	1953.5165	-1.665	4.0901	32988.881	3.5	4.7246	38106.469	2.5	6.0	1.180	1.370	GA	3.72E+08	8.570	-5.060	-7.520	-7.520	-7.520	1.000	0.001	0.000	X	X	F	0	1	23.0	23.000000	23.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
V 1	19535.170	1953.5170	-2.375	4.0901	32988.881	3.5	4.7246	38106.469	2.5	6.0	1.180	1.370	GA	3.72E+08	8.570	-5.060	-7.520	-7.520	-7.520	1.000	0.001	0.000	X	X	F	0	1	23.0	23.000000	23.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
V 1	19535.219	1953.5219	-1.556	4.0901	32988.881	3.5	4.7246	38106.469	2.5	6.0	1.180	1.370	GA	3.72E+08	8.570	-5.060	-7.520	-7.520	-7.520	1.000	0.001	0.000	X	X	F	0	1	23.0	23.000000	23.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
