Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position(angair),Position(cm-1),f-value(4sig),f-value,Eupper,Elower,A,Branch,Label,v',J',N',Fnp,Label,"v""","J""","N""",Fnp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,e,3,X,4,f,1,3339.9564,29931.9042,0.0003426,0.000342587,30258.75738,326.8531771,204729.9394,rQ32(4),A,v=0,4,5,F3e,X,v=0,4,4,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,5,f,1,X,4,f,1,3360.4491,29749.3789,0.0004769,0.000476939,30076.23206,326.8531771,230362.1559,qR12(4),A,v=0,5,4,F1f,X,v=0,4,4,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,5,f,2,X,4,f,1,3340.6864,29925.3635,0.002435,0.002435313,30252.21673,326.8531771,1190215.83,rR2(4),A,v=0,5,5,F2f,X,v=0,4,4,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,5,f,3,X,4,f,1,3318.5395,30125.0695,0.00003671,3.67E-05,30451.92263,326.8531771,18182.62512,sR32(4),A,v=0,5,6,F3f,X,v=0,4,4,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,f,1,X,5,f,1,3394.1157,29454.3011,0.00004233,4.23E-05,29943.73778,489.4367017,29940.26412,oP12(5),A,v=0,4,3,F1f,X,v=0,5,5,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,f,2,X,5,f,1,3377.2678,29601.2322,0.001289,0.001289263,30090.66892,489.4367017,920987.1381,pP2(5),A,v=0,4,4,F2f,X,v=0,5,5,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,4,f,3,X,5,f,1,3358.1291,29769.9306,0.0002879,0.000287879,30259.36726,489.4367017,207997.4177,qP32(5),A,v=0,4,5,F3f,X,v=0,5,5,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,5,e,1,X,5,f,1,3378.8607,29587.2781,0.0002794,0.000279437,30076.71476,489.4367017,163168.3959,pQ12(5),A,v=0,5,4,F1e,X,v=0,5,5,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,5,e,2,X,5,f,1,3359.1554,29760.8361,0.003589,0.003589095,30250.27278,489.4367017,2120398.469,qQ2(5),A,v=0,5,5,F2e,X,v=0,5,5,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,5,e,3,X,5,f,1,3336.5709,29962.2735,0.0002424,0.000242438,30451.71018,489.4367017,145174.9922,rQ32(5),A,v=0,5,6,F3e,X,v=0,5,5,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,6,f,1,X,5,f,1,3360.3004,29750.6954,0.0003253,0.000325285,30240.13209,489.4367017,162498.5888,qR12(5),A,v=0,6,5,F1f,X,v=0,5,5,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,6,f,2,X,5,f,1,3337.1913,29956.7042,0.002427,0.002427294,30446.14095,489.4367017,1229424.918,rR2(5),A,v=0,6,6,F2f,X,v=0,5,5,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,6,f,3,X,5,f,1,3311.7123,30187.1716,0.00002758,2.76E-05,30676.60826,489.4367017,14185.18058,sR32(5),A,v=0,6,7,F3f,X,v=0,5,5,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
