element,wave_A,teff_K,logg,feh,delta_nlte
Mn,6304.906,6500,3.5,0.3,0.096
Mn,6306.342,6500,3.5,0.3,0.096
Mn,6867.11,6500,3.5,0.3,0.064
Mn,4998.126,6500,4.0,-0.5,0.171
Mn,6304.906,6500,4.0,-0.5,
Mn,6306.342,6500,4.0,-0.5,
Mn,6867.11,6500,4.0,-0.5,
Mn,4998.126,6500,4.0,0.0,0.117
Mn,6304.906,6500,4.0,0.0,0.135
Mn,6306.342,6500,4.0,0.0,0.134
Mn,6867.11,6500,4.0,0.0,
Mn,4998.126,6500,4.0,0.3,0.09
Mn,6304.906,6500,4.0,0.3,0.094
Mn,6306.342,6500,4.0,0.3,0.094
Mn,6867.11,6500,4.0,0.3,0.073
Mn,4998.126,6500,4.4,-0.5,0.163
Mn,6304.906,6500,4.4,-0.5,
Mn,6306.342,6500,4.4,-0.5,
Mn,6867.11,6500,4.4,-0.5,
Mn,4998.126,6500,4.4,0.0,0.109
Mn,6304.906,6500,4.4,0.0,0.127
Mn,6306.342,6500,4.4,0.0,0.127
Mn,6867.11,6500,4.4,0.0,
Mn,4998.126,6500,4.4,0.3,0.084
Mn,6304.906,6500,4.4,0.3,0.09
Mn,6306.342,6500,4.4,0.3,0.089
Mn,6867.11,6500,4.4,0.3,0.074
Mn,4998.126,6500,4.5,-0.5,0.159
Mn,6304.906,6500,4.5,-0.5,
Mn,6306.342,6500,4.5,-0.5,
Mn,6867.11,6500,4.5,-0.5,
Mn,4998.126,6500,4.5,0.0,0.106
Mn,6304.906,6500,4.5,0.0,0.125
Mn,6306.342,6500,4.5,0.0,0.124
Mn,6867.11,6500,4.5,0.0,
Mn,4998.126,6500,4.5,0.3,0.082
Mn,6304.906,6500,4.5,0.3,0.088
Mn,6306.342,6500,4.5,0.3,0.088
Mn,6867.11,6500,4.5,0.3,0.073
