element,ion,wave_A,teff_K,logg,feh,delta_nlte
Fe,I,3892.9,5800,4.0,0.2,0.013
Fe,I,3893.39,5800,4.0,0.2,0.01
Fe,I,3900.52,5800,4.0,0.2,0.01
Fe,I,3791.73,5800,4.0,0.35,0.01
Fe,I,3811.8,5800,4.0,0.35,0.009
Fe,I,3830.85,5800,4.0,0.35,0.014
Fe,I,3843.72,5800,4.0,0.35,0.009
Fe,I,3873.76,5800,4.0,0.35,0.007
Fe,I,3876.67,5800,4.0,0.35,0.009
Fe,I,3885.93,5800,4.0,0.35,0.009
Fe,I,3892.9,5800,4.0,0.35,0.011
Fe,I,3893.39,5800,4.0,0.35,0.008
Fe,I,3900.52,5800,4.0,0.35,0.009
Fe,I,3791.73,5800,4.3,-0.2,0.013
Fe,I,3811.8,5800,4.3,-0.2,0.012
Fe,I,3830.85,5800,4.3,-0.2,0.014
Fe,I,3843.72,5800,4.3,-0.2,0.01
Fe,I,3873.76,5800,4.3,-0.2,0.008
Fe,I,3876.67,5800,4.3,-0.2,0.008
Fe,I,3885.93,5800,4.3,-0.2,0.01
Fe,I,3892.9,5800,4.3,-0.2,0.013
Fe,I,3893.39,5800,4.3,-0.2,0.011
Fe,I,3900.52,5800,4.3,-0.2,0.01
Fe,I,3791.73,5800,4.3,0.0,0.011
Fe,I,3811.8,5800,4.3,0.0,0.01
Fe,I,3830.85,5800,4.3,0.0,0.013
Fe,I,3843.72,5800,4.3,0.0,0.009
Fe,I,3873.76,5800,4.3,0.0,0.007
Fe,I,3876.67,5800,4.3,0.0,0.008
Fe,I,3885.93,5800,4.3,0.0,0.009
Fe,I,3892.9,5800,4.3,0.0,0.012
Fe,I,3893.39,5800,4.3,0.0,0.009
Fe,I,3900.52,5800,4.3,0.0,0.008
Fe,I,3791.73,5800,4.3,0.2,0.01
Fe,I,3811.8,5800,4.3,0.2,0.009
Fe,I,3830.85,5800,4.3,0.2,0.012
Fe,I,3843.72,5800,4.3,0.2,0.008
Fe,I,3873.76,5800,4.3,0.2,0.006
Fe,I,3876.67,5800,4.3,0.2,0.007
Fe,I,3885.93,5800,4.3,0.2,0.008
Fe,I,3892.9,5800,4.3,0.2,0.01
Fe,I,3893.39,5800,4.3,0.2,0.008
Fe,I,3900.52,5800,4.3,0.2,0.007
Fe,I,3791.73,5800,4.3,0.35,0.008
Fe,I,3811.8,5800,4.3,0.35,0.008
Fe,I,3830.85,5800,4.3,0.35,0.012
Fe,I,3843.72,5800,4.3,0.35,0.007
Fe,I,3873.76,5800,4.3,0.35,0.006
Fe,I,3876.67,5800,4.3,0.35,0.007
Fe,I,3885.93,5800,4.3,0.35,0.008
Fe,I,3892.9,5800,4.3,0.35,0.009
Fe,I,3893.39,5800,4.3,0.35,0.007
Fe,I,3900.52,5800,4.3,0.35,0.007
Fe,I,3791.73,5800,4.5,-0.2,0.011
Fe,I,3811.8,5800,4.5,-0.2,0.01
Fe,I,3830.85,5800,4.5,-0.2,0.012
Fe,I,3843.72,5800,4.5,-0.2,0.009
Fe,I,3873.76,5800,4.5,-0.2,0.007
Fe,I,3876.67,5800,4.5,-0.2,0.007
Fe,I,3885.93,5800,4.5,-0.2,0.009
Fe,I,3892.9,5800,4.5,-0.2,0.011
Fe,I,3893.39,5800,4.5,-0.2,0.009
Fe,I,3900.52,5800,4.5,-0.2,0.008
Fe,I,3791.73,5800,4.5,0.0,0.01
Fe,I,3811.8,5800,4.5,0.0,0.009
Fe,I,3830.85,5800,4.5,0.0,0.011
Fe,I,3843.72,5800,4.5,0.0,0.007
Fe,I,3873.76,5800,4.5,0.0,0.006
Fe,I,3876.67,5800,4.5,0.0,0.006
Fe,I,3885.93,5800,4.5,0.0,0.007
Fe,I,3892.9,5800,4.5,0.0,0.01
Fe,I,3893.39,5800,4.5,0.0,0.008
Fe,I,3900.52,5800,4.5,0.0,0.007
Fe,I,3791.73,5800,4.5,0.2,0.008
Fe,I,3811.8,5800,4.5,0.2,0.007
Fe,I,3830.85,5800,4.5,0.2,0.01
Fe,I,3843.72,5800,4.5,0.2,0.007
Fe,I,3873.76,5800,4.5,0.2,0.006
Fe,I,3876.67,5800,4.5,0.2,0.006
Fe,I,3885.93,5800,4.5,0.2,0.006
Fe,I,3892.9,5800,4.5,0.2,0.009
Fe,I,3893.39,5800,4.5,0.2,0.007
Fe,I,3900.52,5800,4.5,0.2,0.006
Fe,I,3791.73,5800,4.5,0.35,0.007
Fe,I,3811.8,5800,4.5,0.35,0.006
Fe,I,3830.85,5800,4.5,0.35,0.01
Fe,I,3843.72,5800,4.5,0.35,0.006
Fe,I,3873.76,5800,4.5,0.35,0.005
Fe,I,3876.67,5800,4.5,0.35,0.006
Fe,I,3885.93,5800,4.5,0.35,0.006
Fe,I,3892.9,5800,4.5,0.35,0.008
Fe,I,3893.39,5800,4.5,0.35,0.006
Fe,I,3900.52,5800,4.5,0.35,0.006
Fe,I,3791.73,5800,4.6,-0.2,0.01
Fe,I,3811.8,5800,4.6,-0.2,0.009
Fe,I,3830.85,5800,4.6,-0.2,0.011
Fe,I,3843.72,5800,4.6,-0.2,0.008
Fe,I,3873.76,5800,4.6,-0.2,0.006
Fe,I,3876.67,5800,4.6,-0.2,0.006
Fe,I,3885.93,5800,4.6,-0.2,0.007
Fe,I,3892.9,5800,4.6,-0.2,0.01
Fe,I,3893.39,5800,4.6,-0.2,0.008
Fe,I,3900.52,5800,4.6,-0.2,0.007
Fe,I,3791.73,5800,4.6,0.0,0.009
Fe,I,3811.8,5800,4.6,0.0,0.008
Fe,I,3830.85,5800,4.6,0.0,0.01
Fe,I,3843.72,5800,4.6,0.0,0.007
Fe,I,3873.76,5800,4.6,0.0,0.006
Fe,I,3876.67,5800,4.6,0.0,0.006
Fe,I,3885.93,5800,4.6,0.0,0.006
Fe,I,3892.9,5800,4.6,0.0,0.009
Fe,I,3893.39,5800,4.6,0.0,0.007
Fe,I,3900.52,5800,4.6,0.0,0.006
Fe,I,3791.73,5800,4.6,0.2,0.007
Fe,I,3811.8,5800,4.6,0.2,0.007
Fe,I,3830.85,5800,4.6,0.2,0.009
Fe,I,3843.72,5800,4.6,0.2,0.006
Fe,I,3873.76,5800,4.6,0.2,0.005
Fe,I,3876.67,5800,4.6,0.2,0.006
Fe,I,3885.93,5800,4.6,0.2,0.006
Fe,I,3892.9,5800,4.6,0.2,0.008
Fe,I,3893.39,5800,4.6,0.2,0.006
Fe,I,3900.52,5800,4.6,0.2,0.005
Fe,I,3791.73,5800,4.6,0.35,0.007
Fe,I,3811.8,5800,4.6,0.35,0.006
Fe,I,3830.85,5800,4.6,0.35,0.009
Fe,I,3843.72,5800,4.6,0.35,0.005
Fe,I,3873.76,5800,4.6,0.35,0.005
Fe,I,3876.67,5800,4.6,0.35,0.005
Fe,I,3885.93,5800,4.6,0.35,0.005
Fe,I,3892.9,5800,4.6,0.35,0.007
Fe,I,3893.39,5800,4.6,0.35,0.005
Fe,I,3900.52,5800,4.6,0.35,0.005
Fe,I,3791.73,6200,4.0,-0.2,0.023
Fe,I,3811.8,6200,4.0,-0.2,0.022
Fe,I,3830.85,6200,4.0,-0.2,0.024
Fe,I,3843.72,6200,4.0,-0.2,0.019
Fe,I,3873.76,6200,4.0,-0.2,0.012
Fe,I,3876.67,6200,4.0,-0.2,0.014
Fe,I,3885.93,6200,4.0,-0.2,0.019
Fe,I,3892.9,6200,4.0,-0.2,0.024
Fe,I,3893.39,6200,4.0,-0.2,0.019
Fe,I,3900.52,6200,4.0,-0.2,0.021
Fe,I,3791.73,6200,4.0,0.0,0.019
Fe,I,3811.8,6200,4.0,0.0,0.018
Fe,I,3830.85,6200,4.0,0.0,0.02
Fe,I,3843.72,6200,4.0,0.0,0.015
Fe,I,3873.76,6200,4.0,0.0,0.01
Fe,I,3876.67,6200,4.0,0.0,0.012
Fe,I,3885.93,6200,4.0,0.0,0.016
Fe,I,3892.9,6200,4.0,0.0,0.019
Fe,I,3893.39,6200,4.0,0.0,0.016
Fe,I,3900.52,6200,4.0,0.0,0.016
Fe,I,3791.73,6200,4.0,0.2,0.016
Fe,I,3811.8,6200,4.0,0.2,0.014
Fe,I,3830.85,6200,4.0,0.2,0.018
Fe,I,3843.72,6200,4.0,0.2,0.013
Fe,I,3873.76,6200,4.0,0.2,0.009
Fe,I,3876.67,6200,4.0,0.2,0.011
Fe,I,3885.93,6200,4.0,0.2,0.013
Fe,I,3892.9,6200,4.0,0.2,0.016
Fe,I,3893.39,6200,4.0,0.2,0.013
Fe,I,3900.52,6200,4.0,0.2,0.013
Fe,I,3791.73,6200,4.0,0.35,0.013
Fe,I,3811.8,6200,4.0,0.35,0.012
Fe,I,3830.85,6200,4.0,0.35,0.017
Fe,I,3843.72,6200,4.0,0.35,0.011
Fe,I,3873.76,6200,4.0,0.35,0.008
Fe,I,3876.67,6200,4.0,0.35,0.011
Fe,I,3885.93,6200,4.0,0.35,0.012
Fe,I,3892.9,6200,4.0,0.35,0.014
Fe,I,3893.39,6200,4.0,0.35,0.011
Fe,I,3900.52,6200,4.0,0.35,0.012
Fe,I,3791.73,6200,4.3,-0.2,0.019
Fe,I,3811.8,6200,4.3,-0.2,0.017
Fe,I,3830.85,6200,4.3,-0.2,0.019
Fe,I,3843.72,6200,4.3,-0.2,0.015
Fe,I,3873.76,6200,4.3,-0.2,0.01
Fe,I,3876.67,6200,4.3,-0.2,0.011
Fe,I,3885.93,6200,4.3,-0.2,0.015
