element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason
Fe,II,3131.3946,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.149 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3158.3119,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.151 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3175.0698,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.269 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3177.2541,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.205 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3177.6579,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.040 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3184.4364,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.010 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3185.1032,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.116 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3190.1402,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.187 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3203.5053,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.004 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3209.6114,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.229 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3211.0743,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.041 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3220.8314,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.286 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3224.8041,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.072 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3239.8695,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.038 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3247.5413,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.204 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3249.9163,kpno_solar_atlas,529.2428734781745,"PROFILE-FIT (gaussian); gap 0.413 A [PER-LINE ESCAPE from near-UV ban]; model integrated; chi2_red=0.09459; sigma_fit=0.4000 A (init 0.0186, floor 0.0028); ew_err=229.34 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0324",,-3.7882171573446675,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.479 A from the catalogued position (depth 0.891 vs 0.331 at the line) — the EW is an upper bound on a blend, not this line"
Fe,II,3251.2897,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.024 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3251.3486,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.025 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3257.3634,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.031 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3257.8922,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.007 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3269.7679,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.023 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3279.2226,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.129 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3286.5053,kpno_solar_atlas,700.2452725292314,"PROFILE-FIT (voigt); gap 0.563 A [PER-LINE ESCAPE from near-UV ban]; model integrated; chi2_red=0.03592; sigma_fit=0.4000 A (init 0.0188, floor 0.0028); ew_err=286.51 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0328",,-3.671484151472051,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.254 A from the catalogued position (depth 0.940 vs 0.478 at the line) — the EW is an upper bound on a blend, not this line"
Fe,II,3287.4632,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.108 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3296.2324,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.034 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3301.858,kpno_solar_atlas,413.30604054779286,"PROFILE-FIT (gaussian); gap 0.321 A [PER-LINE ESCAPE from near-UV ban]; model integrated; chi2_red=0.05381; sigma_fit=0.4000 A (init 0.0189, floor 0.0028); ew_err=264.25 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0328",,-3.902486639395093,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.517 A from the catalogued position (depth 0.948 vs 0.301 at the line) — the EW is an upper bound on a blend, not this line"
Fe,II,3302.7178,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.069 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3304.4319,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.035 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3305.6127,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.116 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3306.2654,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.132 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3307.5705,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.092 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3314.3533,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.088 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3325.0065,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.065 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3329.1087,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.054 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3338.1858,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.209 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3356.2485,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.057 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3357.9312,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.075 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3362.7582,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.017 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3364.2098,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.097 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3365.4213,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.080 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3366.9651,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.228 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3368.5972,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.044 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3369.3456,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.049 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3369.7997,kpno_solar_atlas,697.9374206689413,"PROFILE-FIT (voigt); gap 0.333 A [PER-LINE ESCAPE from near-UV ban]; model integrated; chi2_red=0.02515; sigma_fit=0.4000 A (init 0.0193, floor 0.0029); ew_err=252.60 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0336",,-3.6837876031716683,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.225 A from the catalogued position (depth 0.953 vs 0.494 at the line) — the EW is an upper bound on a blend, not this line"
Fe,II,3380.9858,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.023 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3386.4538,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.062 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3391.3235,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.038 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3395.3321,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.274 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3402.318,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.112 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3420.1711,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.048 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3424.1732,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.294 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3428.6335,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.133 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3441.9062,kpno_solar_atlas,728.458231385797,"PROFILE-FIT (voigt); gap 0.670 A [PER-LINE ESCAPE from near-UV ban]; model integrated; chi2_red=0.02627; sigma_fit=0.4000 A (init 0.0197, floor 0.0029); ew_err=276.44 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0340,lm0344",,-3.6743943755334136,,False,"FEATURE-VERIFICATION: GF-GHOST: observed depth 0.508 vs predicted 0.096 (x5.3) at the correct position — the spectrum and the line parameters disagree; gf or identification is suspect, not the measurement"
Fe,II,3445.5825,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.013 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3449.4331,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.158 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3456.003,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.242 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3464.4003,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.097 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3464.4974,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.097 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3472.9132,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.095 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3482.0505,kpno_solar_atlas,409.62787163807064,"PROFILE-FIT (voigt); gap 0.356 A [PER-LINE ESCAPE from near-UV ban]; model integrated; chi2_red=0.0197; sigma_fit=0.4000 A (init 0.0200, floor 0.0030); ew_err=314.60 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0344,lm0348",,-3.929445566416661,,False,REW -3.929 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.
Fe,II,3482.4062,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.155 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3485.7427,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.059 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3486.0781,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.198 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3486.9286,kpno_solar_atlas,262.1894600241378,"PROFILE-FIT (voigt); gap 0.352 A [PER-LINE ESCAPE from near-UV ban]; model integrated; chi2_red=0.0126; sigma_fit=0.2103 A (init 0.0200, floor 0.0030); ew_err=205.55 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0348",,-4.123827825513937,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.375 A from the catalogued position (depth 0.741 vs 0.243 at the line) — the EW is an upper bound on a blend, not this line"
Fe,II,3489.1629,kpno_solar_atlas,608.405613134719,"PROFILE-FIT (gaussian); gap 0.728 A [PER-LINE ESCAPE from near-UV ban]; model integrated; chi2_red=0.08295; sigma_fit=0.4000 A (init 0.0200, floor 0.0030); ew_err=152.81 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0348",,-3.758528033819319,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.246 A from the catalogued position (depth 0.910 vs 0.389 at the line) — the EW is an upper bound on a blend, not this line"
Fe,II,3490.6269,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.135 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3495.6213,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.097 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3496.3477,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.076 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3497.7265,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.179 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3516.3048,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.142 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3518.5906,kpno_solar_atlas,376.415306817104,"PROFILE-FIT (gaussian); gap 0.301 A [PER-LINE ESCAPE from near-UV ban]; model integrated; chi2_red=0.06057; sigma_fit=0.3160 A (init 0.0202, floor 0.0030); ew_err=165.74 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0348,lm0352",,-3.970701462561684,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.236 A from the catalogued position (depth 0.909 vs 0.296 at the line) — the EW is an upper bound on a blend, not this line"
Fe,II,3521.6218,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.096 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3532.6853,kpno_solar_atlas,522.2475442558891,"PROFILE-FIT (gaussian); gap 0.442 A [PER-LINE ESCAPE from near-UV ban]; model integrated; chi2_red=0.08576; sigma_fit=0.4000 A (init 0.0203, floor 0.0030); ew_err=240.78 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0352",,-3.8302285446823765,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.521 A from the catalogued position (depth 0.912 vs 0.241 at the line) — the EW is an upper bound on a blend, not this line"
Fe,II,3535.625,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.010 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3560.2923,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.010 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3560.5543,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.106 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3566.0604,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.040 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3568.884,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.026 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3621.2644,kpno_solar_atlas,,profile fit not attempted in near-UV,,,,False,"BAND-POLICY: near-UV bans profile fitting (median gap 0.146 A) and this line does not escape it: nearest neighbour 0.056 A < 0.3 A, so no window contains this profile and excludes the neighbour's core."
Fe,II,3629.9894,kpno_solar_atlas,418.03472404982074,"PROFILE-FIT (voigt); gap 0.593 A [PER-LINE ESCAPE from near-UV ban]; model integrated; chi2_red=0.02834; sigma_fit=0.4000 A (init 0.0208, floor 0.0031); ew_err=374.63 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0360",,-3.938692998906698,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.366 A from the catalogued position (depth 0.874 vs 0.298 at the line) — the EW is an upper bound on a blend, not this line"
